Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Damián Emiliano Martínez-Aston Villa;Matty Cash-Aston Villa;Ezri Konsa-Aston Villa;Tyrone Mings-Aston Villa;Ian Maatsen-Aston Villa;Boubacar Kamara-Aston Villa;Youri Tielemans-Aston Villa;Morgan Rogers-Aston Villa;Marco Asensio-Aston Villa;John McGinn-Aston Villa;Ollie Watkins-Aston Villa;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Pau Torres-Aston Villa;Lucas Digne-Aston Villa;Amadou Onana-Aston Villa;Marcus Rashford-Aston Villa;Jacob Ramsey-Aston Villa;Andrés García Robledo-Aston Villa;Axel Disasi-Aston Villa;Donyell Malen-Aston Villa;Robin Olsen-Aston Villa;Leon Bailey-Aston Villa;Lamare Bogarde-Aston Villa;Emiliano Buendía-Aston Villa;Ross Barkley-Aston Villa;Diego Carlos-Aston Villa;Jhon Durán-Aston Villa;Jaden Philogene-Aston Villa;Joe Gauci-Aston Villa;Kosta Nedeljković-Aston Villa;Sil Swinkels-Aston Villa;Kadan Young-Aston Villa;Douglas Luiz-Aston Villa;Moussa Diaby-Aston Villa;Clément Lenglet-Aston Villa;Nicolò Zaniolo-Aston Villa;Tim Iroegbunam-Aston Villa;Alexandre Moreno Lopera-Aston Villa;Leander Dendoncker-Aston Villa;Filip Marschall-Aston Villa;Calum Chambers-Aston Villa
2025-04-19;Aston Villa;3;3;0;1;60;Newcastle;1;3;23;10;9;3;0.48;0.52;409;0.84;9;12;1;3;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.052;0.1111111111111111;344;0.0261627906976744;716.6666666666667;0.3043478260869565;14.583333333333334;13;-0.04;0;-2;-3;0.0562347188264058;0.1739130434782608;0.12;1.75;1;3;4;1;0;0;0;1;0.1739130434782608;0.4444444444444444;0.0097799511002444;5.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-15;Aston Villa;0;3;0;1;19;PSG;1;0;17;14;9;7;0.34;0.66;301;0.76;15;3;1;0;0;0;5;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;5;0.0471428571428571;0.0666666666666666;229;0.0655021834061135;673.5294117647059;0.2941176470588235;14.705882352941176;3;-0.32;0;1;12;0.0564784053156146;0.1764705882352941;0.1133333333333333;1.6666666666666667;1;2;3;1;0;0;0;1;0.1764705882352941;0.3333333333333333;0.0099667774086378;5.666666666666667;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Aston Villa;3;3;6;1;68;Southampton;1;3;25;7;10;2;0.61;0.39;537;0.92;4;11;1;3;0;0;13;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;2;0.0557142857142857;0.25;494;0.0080971659919028;809.8360655737705;0.52;21.311475409836067;18;0.2199999999999999;11;-2;-7;0.0465549348230912;0.12;0.2033333333333333;4.333333333333333;0;3;3;1;0;0;1;0;0.12;0.3;0.0055865921787709;8.333333333333334;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-09;Aston Villa;0;3;0;1;19;PSG;1;0;7;29;2;10;0.24;0.76;271;0.75;8;9;1;0;0;0;1;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;9;0.0262068965517241;0.125;203;0.0394088669950738;845.8333333333334;0.1428571428571428;4.166666666666667;-22;-0.52;-8;1;-1;0.025830258302583;0.1428571428571428;0.24;1.0;1;0;1;0;0;1;1;0;0.1428571428571428;0.5;0.003690036900369;7.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Aston Villa;3;3;29;1;55;Nottingham Forest;2;2;17;19;8;3;0.53;0.47;429;0.84;7;15;2;2;0;0;4;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;4;0.0247368421052631;0.2857142857142857;360;0.0194444444444444;679.2452830188679;0.2352941176470588;7.547169811320754;-2;0.06;0;0;-8;0.0396270396270396;0.1176470588235294;0.265;2.0;2;0;2;1;0;0;0;1;0.1176470588235294;0.25;0.0046620046620046;8.5;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Aston Villa;3;3;3;1;54;Brighton;3;2;8;11;5;4;0.44;0.56;383;0.83;11;16;3;2;0;0;0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;4;0.0509090909090909;0.2727272727272727;318;0.0345911949685534;722.7272727272727;0.0;0.0;-3;-0.12;-4;1;-5;0.02088772845953;0.375;0.1466666666666666;0.0;0;3;3;1;0;0;1;0;0.375;0.6;0.0078328981723237;2.6666666666666665;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Aston Villa;15;3;2;1;835;Preston;0;2;16;4;7;1;0.72;0.28;516;0.88;7;17;0;2;0;0;9;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0;0.07;0.0;454;0.0154185022026431;630.5555555555555;0.5625;12.5;12;0.4399999999999999;9;-2;-10;0.0310077519379844;0.1875;0.24;3.0;0;3;3;1;0;0;1;0;0.1875;0.4285714285714285;0.005813953488372;5.333333333333333;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-12;Aston Villa;0;3;3;1;26;Club Brujas;0;2;14;4;10;1;0.54;0.46;543;0.93;7;8;0;1;0;1;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1;0.115;0.0;505;0.0138613861386138;935.1851851851852;0.2142857142857142;5.555555555555555;10;0.08;2;-2;-1;0.0257826887661141;0.2142857142857142;0.18;1.0;0;3;3;1;0;0;0;1;0.2142857142857142;0.3;0.005524861878453;4.666666666666667;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Aston Villa;3;3;3;1;57;Brentford;2;2;12;13;4;3;0.4;0.6;316;0.75;5;10;2;2;0;0;5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;6;0.0461538461538461;0.4;237;0.0210970464135021;592.5;0.4166666666666667;12.5;-1;-0.1999999999999999;-1;0;-5;0.0379746835443038;0.0833333333333333;0.4;5.0;0;1;1;1;0;0;1;0;0.0833333333333333;0.25;0.0031645569620253;12.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-04;Aston Villa;0;3;3;1;26;Club Brujas;0;0;7;11;4;3;0.44;0.56;409;0.86;10;8;0;0;0;0;1;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;3;0.0509090909090909;0.0;352;0.0284090909090909;800.0;0.1428571428571428;2.272727272727273;-4;-0.12;-2;0;2;0.0171149144254278;0.4285714285714285;0.1466666666666666;0.3333333333333333;1;2;3;1;0;0;1;0;0.4285714285714285;0.75;0.0073349633251833;2.333333333333333;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
