Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marco Carnesecchi-Atalanta;Odilon Kossounou-Atalanta;Berat Djimsiti-Atalanta;Marten de Roon-Atalanta;Raoul Bellanova-Atalanta;Mario Pašalić-Atalanta;Éderson dos Santos-Atalanta;Davide Zappacosta-Atalanta;Charles De Ketelaere-Atalanta;Ademola Lookman-Atalanta;Mateo Retegui-Atalanta;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Isak Hien-Atalanta;Juan Guillermo Cuadrado-Atalanta;Sead Kolašinac-Atalanta;Stefan Posch-Atalanta;Rafael Tolói-Atalanta;Ibrahim Sulemana-Atalanta;Matteo Ruggeri-Atalanta;Lazar Samardžić-Atalanta;Marco Brescianini-Atalanta;Rui Patrício-Atalanta;Giorgio Scalvini-Atalanta;Marco Palestra-Atalanta;Nicolò Zaniolo-Atalanta;Juan Musso-Atalanta;Emil Holm-Atalanta;Teun Koopmeiners-Atalanta;Gianluca Scamacca-Atalanta;Giovanni Bonfanti-Atalanta;Hans Hateboer-Atalanta;Aleksei Miranchuk-Atalanta;El Bilal Touré-Atalanta;Mitchel Bakker-Atalanta;Luis Muriel-Atalanta;Tommaso Del Lungo-Atalanta;Michel Adopo-Atalanta;Nadir Zortea-Atalanta;Duván Zapata-Atalanta;Marco Sportiello-Atalanta;Joakim Mæhle-Atalanta;Rasmus Højlund-Atalanta;Brandon Soppy-Atalanta;José Luis Palomino-Atalanta
2025-05-12;Atalanta;4;17;17;17;74;Roma;1;0;16;10;3;4;0.58;0.42;463;0.81;14;14;1;0;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.0419999999999999;0.0714285714285714;375;0.0373333333333333;646.551724137931;0.5;13.793103448275865;6;0.1599999999999999;1;1;0;0.0345572354211663;0.125;0.29;4.0;1;1;2;1;0;0;0;1;0.125;0.6666666666666666;0.0043196544276457;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Atalanta;4;17;23;17;80;Monza;2;1;15;14;5;7;0.48;0.52;439;0.85;10;9;2;1;0;0;7;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;3;0.0371428571428571;0.2;373;0.0268096514745308;777.0833333333334;0.4666666666666667;14.583333333333334;1;-0.04;4;1;1;0.0341685649202733;0.2666666666666666;0.12;1.75;2;2;4;1;0;0;1;0;0.2666666666666666;0.8;0.0091116173120728;3.75;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Atalanta;4;17;3;17;82;Lecce;1;1;21;10;6;3;0.74;0.26;660;0.85;10;8;1;1;0;0;12;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.026;0.1;561;0.017825311942959;758.1081081081081;0.5714285714285714;16.216216216216218;11;0.48;9;0;2;0.0318181818181818;0.0476190476190476;0.74;12.0;0;1;1;0;1;0;0;1;0.0476190476190476;0.1666666666666666;0.0015151515151515;21.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Atalanta;4;17;6;17;25;Milan;1;0;11;12;2;1;0.53;0.47;530;0.88;7;8;1;0;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;7;0.0391666666666666;0.1428571428571428;466;0.0150214592274678;879.2452830188679;0.4545454545454545;9.433962264150942;-1;0.06;-2;1;-1;0.020754716981132;0.0909090909090909;0.53;5.0;0;1;1;1;0;0;1;0;0.0909090909090909;0.5;0.0018867924528301;11.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Atalanta;4;17;3;17;29;Bolonia;4;1;4;12;2;5;0.4;0.6;301;0.72;17;12;4;1;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;5;0.0499999999999999;0.2352941176470588;217;0.0783410138248847;542.5;1.0;10.0;-8;-0.1999999999999999;-1;3;5;0.0132890365448504;0.5;0.2;2.0;2;0;2;1;0;0;0;1;0.5;1.0;0.0066445182724252;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Atalanta;4;17;3;17;71;Lazio;1;2;10;8;2;3;0.59;0.41;499;0.84;6;6;1;2;0;0;11;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;4;0.05125;0.1666666666666666;419;0.0143198090692124;710.1694915254237;1.1;18.64406779661017;2;0.18;7;-1;0;0.0200400801603206;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Atalanta;4;29;2;17;70;Fiorentina;3;0;9;12;0;4;0.55;0.45;464;0.78;16;7;3;0;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2;0.0375;0.1875;362;0.0441988950276243;658.1818181818181;0.4444444444444444;7.272727272727272;-3;0.1;2;3;9;0.0193965517241379;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Atalanta;4;29;2;17;7;Inter;2;2;16;14;3;5;0.49;0.51;444;0.82;11;14;1;1;1;1;2;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;6;0.0364285714285714;0.1818181818181818;364;0.0302197802197802;742.8571428571429;0.125;4.081632653061225;2;-0.02;-4;0;-3;0.036036036036036;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Atalanta;4;6;3;17;14;Juventus;1;1;19;9;9;2;0.36;0.64;343;0.81;11;12;1;1;0;0;5;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;2;0.0711111111111111;0.0909090909090909;278;0.039568345323741;772.2222222222223;0.2631578947368421;13.88888888888889;10;-0.28;3;0;-1;0.0553935860058309;0.2105263157894736;0.09;1.25;1;3;4;1;0;0;1;0;0.2105263157894736;0.4444444444444444;0.0116618075801749;4.75;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Atalanta;4;17;2;17;81;Venezia;1;2;18;8;3;2;0.6;0.4;504;0.82;12;14;1;2;0;0;3;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2;0.05;0.0833333333333333;413;0.0290556900726392;688.3333333333334;0.1666666666666666;5.0;10;0.1999999999999999;1;-1;-2;0.0357142857142857;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
