Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Julen Agirrezabala-Athletic;Óscar de Marcos-Athletic;Dani Vivian-Athletic;Yeray Álvarez-Athletic;Iñigo Lekue-Athletic;Mikel Jauregizar-Athletic;Iñigo Ruiz de Galarreta-Athletic;Álex Berenguer-Athletic;Oihan Sancet-Athletic;Nico Williams-Athletic;Maroan Sannadi-Athletic;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Unai Simón-Athletic;Andoni Gorosabel-Athletic;Aitor Paredes-Athletic;Adama Boiro-Athletic;Beñat Prados-Athletic;Álvaro Djaló-Athletic;Unai Gómez-Athletic;Gorka Guruzeta-Athletic;Iñaki Williams-Athletic;Yuri Berchiche Izeta-Athletic;Unai Núñez-Athletic;Mikel Vesga-Athletic;Peio Canales-Athletic;Ander Herrera-Athletic;Nico Serrano-Athletic;Álex Padilla-Athletic;Dani García-Athletic;Asier Villalibre-Athletic;Iker Muniain-Athletic;Raúl García Escudero-Athletic;Imanol García de Albéniz-Athletic;Malcom Adu Ares-Athletic;Peru Nolaskoain-Athletic;Unai Egiluz-Athletic;Oier Zarraga-Athletic;Íñigo Martínez-Athletic;Ander Capa-Athletic;Mikel Balenziaga-Athletic
2025-04-17;Athletic;5;3;6;38;91;Rangers;1;3;22;7;4;2;0.56;0.44;463;0.82;15;9;1;3;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0628571428571428;0.0666666666666666;380;0.0394736842105263;678.5714285714286;0.2727272727272727;10.714285714285714;15;0.12;3;-2;6;0.0475161987041036;0.0909090909090909;0.28;3.0;1;1;2;1;0;0;0;1;0.0909090909090909;0.5;0.0043196544276457;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Athletic;1;3;3;38;42;Rayo Vallecano;4;3;13;11;4;3;0.55;0.45;430;0.8;12;7;4;3;0;0;7;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1;0.0409090909090909;0.3333333333333333;344;0.0348837209302325;625.4545454545454;0.5384615384615384;12.727272727272728;2;0.1;6;1;5;0.0302325581395348;0.2307692307692307;0.1833333333333333;2.333333333333333;0;3;3;1;0;0;0;1;0.2307692307692307;0.75;0.0069767441860465;4.333333333333333;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-10;Athletic;5;3;6;38;91;Rangers;3;1;19;4;3;0;0.72;0.28;532;0.89;12;6;3;0;0;1;9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;2;0.07;0.25;473;0.0253699788583509;656.9444444444445;0.4736842105263157;12.5;15;0.4399999999999999;7;2;6;0.0357142857142857;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Athletic;1;3;1;38;37;Villarreal;1;1;11;12;2;4;0.43;0.57;375;0.82;13;9;1;0;0;1;5;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;6;0.0474999999999999;0.0769230769230769;308;0.0422077922077922;716.2790697674419;0.4545454545454545;11.627906976744184;-1;-0.1399999999999999;-1;0;4;0.0293333333333333;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Athletic;1;3;9;38;41;Osasuna;1;1;11;5;5;2;0.62;0.38;537;0.85;12;12;1;1;0;0;3;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;4;0.076;0.0833333333333333;456;0.0263157894736842;735.483870967742;0.2727272727272727;4.838709677419355;6;0.24;-1;0;0;0.0204841713221601;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Athletic;1;3;3;38;43;Sevilla;2;4;9;11;4;4;0.38;0.62;307;0.73;13;13;2;4;0;0;6;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4;0.0563636363636363;0.1538461538461538;224;0.0580357142857142;589.4736842105264;0.6666666666666666;15.789473684210526;-2;-0.24;2;-2;0;0.0293159609120521;0.1111111111111111;0.38;6.0;0;1;1;1;0;0;1;0;0.1111111111111111;0.25;0.003257328990228;9.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Athletic;5;3;17;38;74;Roma;2;5;22;5;8;2;0.7;0.3;586;0.9;11;4;2;4;0;1;9;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;2;0.06;0.1818181818181818;527;0.0208728652751423;752.8571428571429;0.4090909090909091;12.857142857142858;17;0.3999999999999999;7;-3;7;0.0375426621160409;0.1363636363636363;0.2333333333333333;3.0;1;2;3;1;0;0;0;1;0.1363636363636363;0.375;0.0051194539249146;7.333333333333333;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Athletic;1;3;9;38;40;R.C.D. Mallorca;1;3;8;9;2;2;0.56;0.44;429;0.8;6;13;1;3;0;0;3;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3;0.0488888888888888;0.1666666666666666;343;0.0174927113702623;612.4999999999999;0.375;5.357142857142857;-1;0.12;0;-2;-7;0.0186480186480186;0.125;0.56;3.0;0;1;1;0;1;0;0;1;0.125;0.5;0.0023310023310023;8.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Athletic;5;3;17;38;74;Roma;3;1;16;12;1;5;0.41;0.59;378;0.8;15;12;2;1;1;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1;0.0491666666666666;0.2;302;0.0496688741721854;736.5853658536586;0.1875;7.317073170731708;4;-0.18;2;2;3;0.0423280423280423;0.0625;0.41;3.0;0;1;1;0;0;1;1;0;0.0625;1.0;0.0026455026455026;16.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Athletic;1;3;1;38;27;Atlético Madrid;3;2;15;12;3;4;0.49;0.51;480;0.83;8;7;3;2;0;0;2;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;6;0.0425;0.375;398;0.0201005025125628;812.2448979591837;0.1333333333333333;4.081632653061225;3;-0.02;-4;1;1;0.03125;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
