Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Jan Oblak-Atlético Madrid;Marcos Llorente-Atlético Madrid;José María Giménez-Atlético Madrid;Robin Le Normand-Atlético Madrid;Javi Galán-Atlético Madrid;Giuliano Simeone-Atlético Madrid;Pablo Barrios Rivas-Atlético Madrid;Koke Resurrección-Atlético Madrid;Conor Gallagher-Atlético Madrid;Julián Álvarez-Atlético Madrid;Alexander Sørloth-Atlético Madrid;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Nahuel Molina-Atlético Madrid;Clément Lenglet-Atlético Madrid;César Azpilicueta-Atlético Madrid;Antoine Griezmann-Atlético Madrid;Juan Musso-Atlético Madrid;Reinildo Mandava-Atlético Madrid;Rodrigo De Paul-Atlético Madrid;Samuel Lino-Atlético Madrid;Axel Witsel-Atlético Madrid;Ángel Correa-Atlético Madrid;Rodrigo Riquelme Reche-Atlético Madrid;Ilias Kostis-Atlético Madrid;Javi Serrano-Atlético Madrid;Horațiu Moldovan-Atlético Madrid;Arthur Vermeeren-Atlético Madrid;João Félix-Atlético Madrid;Thomas Lemar-Atlético Madrid;Stefan Savić-Atlético Madrid;Gabriel Paulista-Atlético Madrid;Mario Hermoso Canseco-Atlético Madrid;Álvaro Morata-Atlético Madrid;Saúl Ñíguez-Atlético Madrid;Memphis Depay-Atlético Madrid;Çağlar Söyüncü-Atlético Madrid;Yannick Carrasco-Atlético Madrid;Ivo Grbić-Atlético Madrid;Sergio Reguilón-Atlético Madrid;Matt Doherty-Atlético Madrid;Marco Moreno-Atlético Madrid;Geoffrey Kondogbia-Atlético Madrid;Carlos Martín Domínguez-Atlético Madrid
2025-04-19;Atlético Madrid;1;1;1;27;50;U. D. Las Palmas;1;3;7;8;2;2;0.59;0.41;543;0.83;13;13;1;3;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.05125;0.07692307692307693;451;0.028824833702882482;764.406779661017;0.5714285714285714;6.779661016949153;-1;0.18;0;-2;0;0.01289134438305709;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Atlético Madrid;1;1;0;27;43;Sevilla;4;1;13;11;5;6;0.56;0.44;540;0.87;12;14;4;1;0;0;7;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;7;0.04;0.3333333333333333;470;0.02553191489361702;839.2857142857142;0.5384615384615384;12.499999999999998;2;0.12000000000000005;0;3;-2;0.024074074074074074;0.15384615384615385;0.28;3.5;1;1;2;1;0;0;1;0;0.15384615384615385;0.4;0.003703703703703704;6.5;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Atlético Madrid;19;4;3;27;10;Barcelona;5;3;6;15;0;5;0.43;0.57;361;0.8;11;22;5;3;0;0;6;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;7;0.038;0.45454545454545453;289;0.03806228373702422;672.0930232558139;1.0;13.953488372093023;-9;-0.13999999999999996;-1;2;-11;0.01662049861495845;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Atlético Madrid;1;1;3;27;49;RCD Espanyol;1;2;13;8;2;1;0.61;0.39;626;0.87;14;12;1;2;0;0;3;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.04875;0.07142857142857142;545;0.025688073394495414;893.4426229508197;0.23076923076923078;4.918032786885246;5;0.21999999999999997;-1;-1;2;0.020766773162939296;0.07692307692307693;0.61;3.0;1;0;1;0;1;0;1;0;0.07692307692307693;0.5;0.001597444089456869;13.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Atlético Madrid;1;1;3;27;10;Barcelona;1;3;7;13;2;6;0.33;0.67;319;0.76;10;11;1;3;0;0;6;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;6;0.05153846153846154;0.1;242;0.04132231404958678;733.3333333333333;0.8571428571428571;18.18181818181818;-6;-0.34;0;-2;-1;0.0219435736677116;0.2857142857142857;0.165;3.0;1;1;2;0;0;1;0;1;0.2857142857142857;1.0;0.006269592476489028;3.5;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-12;Atlético Madrid;0;1;1;27;12;Real Madrid;4;4;17;10;8;3;0.38;0.62;510;0.86;11;16;4;4;0;0;10;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;10;0.062;0.36363636363636365;439;0.025056947608200455;1155.2631578947369;0.5882352941176471;26.31578947368421;7;-0.24;0;0;-5;0.03333333333333333;0.058823529411764705;0.38;10.0;1;0;1;1;0;0;0;1;0.058823529411764705;0.125;0.00196078431372549;17.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Atlético Madrid;1;1;7;27;48;Getafe;3;6;4;11;2;3;0.62;0.38;511;0.84;14;10;2;6;1;0;4;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;4;0.034545454545454546;0.21428571428571427;429;0.03263403263403263;691.9354838709678;1.0;6.451612903225807;-7;0.24;0;-3;4;0.007827788649706457;0.25;0.62;4.0;0;1;1;0;0;1;1;0;0.25;0.5;0.0019569471624266144;4.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-04;Atlético Madrid;0;1;1;27;12;Real Madrid;0;1;6;13;2;7;0.48;0.52;602;0.89;13;10;0;1;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;6;0.04;0.0;536;0.024253731343283583;1116.6666666666667;0.5;6.25;-7;-0.040000000000000036;-3;-1;3;0.009966777408637873;0.16666666666666666;0.48;3.0;1;0;1;0;0;1;1;0;0.16666666666666666;0.5;0.0016611295681063123;6.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Atlético Madrid;1;1;3;27;38;Athletic;2;3;12;15;4;3;0.51;0.49;487;0.83;7;8;2;3;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;2;0.03266666666666666;0.2857142857142857;404;0.017326732673267328;792.156862745098;0.5;11.76470588235294;-3;0.020000000000000018;4;-1;-1;0.024640657084188913;0.08333333333333333;0.51;6.0;0;1;1;1;0;0;0;1;0.08333333333333333;0.25;0.002053388090349076;12.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Atlético Madrid;19;1;3;27;10;Barcelona;4;0;10;16;7;9;0.32;0.68;325;0.76;10;12;4;0;0;0;3;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;8;0.0425;0.4;247;0.04048582995951417;771.875;0.3;9.375;-6;-0.36000000000000004;-5;4;-2;0.03076923076923077;0.4;0.08;0.75;2;2;4;0;1;0;1;0;0.4;0.5714285714285714;0.012307692307692308;2.5;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
