Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Finn Dahmen-Augsburgo;Chrislain Matsima-Augsburgo;Jeffrey Gouweleeuw-Augsburgo;Cédric Zesiger-Augsburgo;Marius Wolf-Augsburgo;Frank Onyeka-Augsburgo;Kristijan Jakić-Augsburgo;Dimitris Giannoulis-Augsburgo;Mert Kömür-Augsburgo;Alexis Claude-Maurice-Augsburgo;Samuel Essende-Augsburgo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Elvis Rexhbeçaj-Augsburgo;Keven Schlotterbeck-Augsburgo;Fredrik Jensen-Augsburgo;Phillip Tietz-Augsburgo;Nediljko Labrović-Augsburgo;Noahkai Banks-Augsburgo;Arne Maier-Augsburgo;Henri Koudossou-Augsburgo;Maximilian Bauer-Augsburgo;Robert Gumny-Augsburgo;Steve Mounié-Augsburgo;Ruben Vargas-Augsburgo;Mads Valentin-Augsburgo;Tim Breithaupt-Augsburgo;Arne Engels-Augsburgo;Tomáš Koubek-Augsburgo;Felix Uduokhai-Augsburgo;Iago Amaral Borduchi-Augsburgo;Niklas Dorsch-Augsburgo;Ermedin Demirovic-Augsburgo;Kevin Mbabu-Augsburgo;Sven Michel-Augsburgo;Patric Pfeiffer-Augsburgo;Dion Drena Beljo-Augsburgo;Mërgim Berisha-Augsburgo;Frederik Winther-Augsburgo;David Čolina-Augsburgo;Maurice Malone-Augsburgo;Renato Veiga-Augsburgo;Kelvin Yeboah-Augsburgo;Rafał Gikiewicz-Augsburgo;Julian Baumgartlinger-Augsburgo;Reece Oxford-Augsburgo;Carlos Gruezo-Augsburgo;Florian Niederlechner-Augsburgo;Raphael Framberger-Augsburgo;André Hahn-Augsburgo
2025-05-04;Augsburgo;9;17;29;173;177;KSV Holstein;0;2;27;7;10;5;0.72;0.28;592;0.87;4;20;0;2;0;0;12;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0.04;0.0;515;0.007766990291262136;715.2777777777778;0.4444444444444444;16.666666666666668;20;0.43999999999999995;12;-2;-16;0.04560810810810811;0.037037037037037035;0.72;12.0;0;1;1;0;0;1;0;1;0.037037037037037035;0.1;0.0016891891891891893;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Augsburgo;9;17;8;173;6;Leverkusen;1;0;11;14;2;5;0.47;0.53;461;0.85;10;10;1;0;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.03785714285714286;0.1;392;0.025510204081632654;834.0425531914894;0.6363636363636364;14.893617021276597;-3;-0.06000000000000005;4;1;0;0.02386117136659436;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Augsburgo;9;17;2;173;87;Frankfurt;2;1;13;8;2;5;0.45;0.55;406;0.81;6;8;2;1;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.06875;0.3333333333333333;329;0.0182370820668693;731.1111111111111;0.23076923076923078;6.666666666666666;5;-0.10000000000000003;-6;1;-2;0.03201970443349754;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Augsburgo;9;17;2;173;178;Bochum;2;2;12;25;5;9;0.47;0.53;388;0.78;9;14;1;2;1;0;6;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;7;0.0212;0.2222222222222222;303;0.0297029702970297;644.6808510638298;0.5;12.765957446808512;-13;-0.06000000000000005;-1;0;-5;0.030927835051546393;0.16666666666666666;0.235;3.0;1;1;2;1;0;0;1;0;0.16666666666666666;0.4;0.005154639175257732;6.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-04;Augsburgo;9;17;3;173;23;Bayern;3;0;6;19;3;7;0.3;0.7;289;0.75;8;8;2;0;1;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.03684210526315789;0.375;217;0.03686635944700461;723.3333333333334;0.3333333333333333;6.666666666666667;-13;-0.39999999999999997;-2;3;0;0.020761245674740483;0.16666666666666666;0.3;2.0;1;0;1;0;0;1;0;1;0.16666666666666666;0.3333333333333333;0.0034602076124567475;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Augsburgo;9;17;3;173;97;Hoffenheim;2;1;11;13;4;4;0.43;0.57;406;0.76;12;14;2;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;2;0.04384615384615384;0.16666666666666666;309;0.038834951456310676;718.6046511627907;0.18181818181818182;4.651162790697675;-2;-0.13999999999999996;0;1;-2;0.027093596059113302;0.09090909090909091;0.43;2.0;0;1;1;0;1;0;1;0;0.09090909090909091;0.25;0.0024630541871921183;11.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Augsburgo;9;17;0;173;175;Wolfsburg;1;2;10;13;2;2;0.42;0.58;392;0.76;7;9;1;2;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4;0.04461538461538461;0.14285714285714285;298;0.02348993288590604;709.5238095238095;0.1;2.380952380952381;-3;-0.15999999999999998;-3;-1;-2;0.025510204081632654;0.1;0.42;1.0;0;1;1;1;0;0;0;1;0.1;0.5;0.002551020408163265;10.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Augsburgo;9;17;3;173;11;Dortmund;4;1;6;15;1;1;0.28;0.72;241;0.67;12;6;4;1;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;12;0.048;0.3333333333333333;161;0.07453416149068323;575.0;0.5;10.714285714285714;-9;-0.43999999999999995;-9;3;6;0.024896265560165973;0.16666666666666666;0.28;3.0;1;0;1;1;0;0;1;0;0.16666666666666666;1.0;0.004149377593360996;6.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Augsburgo;9;17;3;173;170;Friburgo;1;1;13;7;5;3;0.51;0.49;480;0.84;13;9;1;1;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;2;0.06999999999999999;0.07692307692307693;403;0.03225806451612903;790.1960784313725;0.38461538461538464;9.803921568627452;6;0.020000000000000018;3;0;4;0.027083333333333334;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Augsburgo;9;17;3;173;172;Mönchengladbach;2;4;17;8;4;5;0.51;0.49;528;0.87;9;10;2;3;0;1;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;2;0.06125;0.2222222222222222;459;0.0196078431372549;900.0;0.23529411764705882;7.8431372549019605;9;0.020000000000000018;2;-2;-1;0.032196969696969696;0.17647058823529413;0.17;1.3333333333333333;0;3;3;1;0;0;1;0;0.17647058823529413;0.75;0.005681818181818182;5.666666666666667;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
