Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marcos Felipe-Bahía;Erick-Bahía;David Macedo-Bahía;Santi Mingo-Bahía;Luciano Batista da Silva Junior-Bahía;Éverton Ribeiro-Bahía;Caio Alexandre-Bahía;Jean Lucas Oliveira-Bahía;Cauly Oliveira Souza-Bahía;Erick Pulga-Bahía;Willian José-Bahía;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Luciano Rodríguez-Bahía;Gabriel Xavier-Bahía;Julio Cesar de Rezende Miranda-Bahía;Iago Amaral Borduchi-Bahía;Nicolás Acevedo-Bahía;Rodrigo Nestor-Bahía;Ademir da Silva Santos-Bahía;Michel Araújo-Bahía;Gilberto Moraes Júnior-Bahía;Ronaldo de Oliveira Strada-Bahía;Santiago Arias-Bahía;Frederico Lippert Neto Gomes-Bahía;Kanu-Bahía;Danilo Fernandes-Bahía;Thaciano-Bahía;Adriel-Bahía;Everaldo Stum-Bahía;Gabriel Teixeira-Bahía;Carlos de Pena-Bahía;Víctor Cuesta-Bahía;Cicinho-Bahía;Rafael Ratão-Bahía;Óscar Estupiñán-Bahía;Vitor Hugo-Bahía;Yago Felipe da Costa Rocha-Bahía;Camilo Cándido-Bahía;Raul Gustavo Pereira Bicalho-Bahía;Matheus Bahia Santos-Bahía;Vinicius Mingotti-Bahía;Léo Cittadini-Bahía;Ryan-Bahía;Kayky-Bahía;André Dhominique-Bahía;Jhoanner Chávez-Bahía;Lucas Mugni-Bahía;Vítor Jacaré-Bahía;Arthur de Oliveira Sales-Bahía
2025-05-07;Bahía;-1;20;9;697;225;Nacional;0;0;17;13;8;7;0.73;0.27;603;0.91;8;12;0;0;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.02076923076923077;0.0;549;0.014571948998178506;752.054794520548;0.35294117647058826;8.219178082191782;4;0.45999999999999996;-1;0;-4;0.028192371475953566;0.058823529411764705;0.73;6.0;0;1;1;0;0;1;0;1;0.058823529411764705;0.125;0.001658374792703151;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Bahía;10;0;0;697;210;Botafogo;3;4;9;16;2;4;0.48;0.52;431;0.85;11;7;3;4;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.0325;0.2727272727272727;366;0.030054644808743168;762.5;0.3333333333333333;6.25;-7;-0.040000000000000036;0;-1;4;0.02088167053364269;0.1111111111111111;0.48;3.0;1;0;1;1;0;0;0;1;0.1111111111111111;0.5;0.002320185614849188;9.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-30;Bahía;12;3;29;697;689;Paysandu;2;2;17;15;6;2;0.67;0.33;614;0.92;7;14;2;2;0;0;5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;8;0.022000000000000002;0.2857142857142857;565;0.012389380530973451;843.2835820895522;0.29411764705882354;7.462686567164178;2;0.34;-3;0;-7;0.02768729641693811;0.058823529411764705;0.67;5.0;1;0;1;1;0;0;1;0;0.058823529411764705;0.16666666666666666;0.0016286644951140066;17.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Bahía;10;6;3;697;217;Palmeiras;2;1;11;21;5;2;0.49;0.51;452;0.86;16;12;2;1;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;6;0.024285714285714285;0.125;389;0.04113110539845758;793.8775510204082;0.36363636363636365;8.16326530612245;-10;-0.020000000000000018;-2;1;4;0.024336283185840708;0.09090909090909091;0.49;4.0;0;1;1;1;0;0;1;0;0.09090909090909091;0.2;0.0022123893805309734;11.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-24;Bahía;-1;0;7;697;-1;Atlético Nacional;1;1;13;10;4;5;0.45;0.55;412;0.88;14;16;1;1;0;0;10;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0;0.05500000000000001;0.07142857142857142;363;0.03856749311294766;806.6666666666666;0.7692307692307693;22.22222222222222;3;-0.10000000000000003;10;0;-2;0.03155339805825243;0.07692307692307693;0.45;10.0;0;1;1;1;0;0;0;1;0.07692307692307693;0.25;0.0024271844660194173;13.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-21;Bahía;10;0;3;697;680;Ceará;2;4;13;10;4;2;0.65;0.35;571;0.9;14;18;2;4;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4;0.034999999999999996;0.14285714285714285;514;0.027237354085603113;790.7692307692307;0.23076923076923078;4.615384615384615;3;0.30000000000000004;-1;-2;-4;0.02276707530647986;0.07692307692307693;0.65;3.0;0;1;1;1;0;0;0;1;0.07692307692307693;0.25;0.0017513134851138354;13.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-17;Bahía;10;0;3;697;636;Cruzeiro;2;5;7;14;1;7;0.61;0.39;512;0.84;9;15;2;5;0;0;5;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;4;0.027857142857142858;0.2222222222222222;430;0.020930232558139535;704.9180327868853;0.7142857142857143;8.19672131147541;-7;0.21999999999999997;1;-3;-6;0.013671875;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Bahía;10;0;3;697;670;Mirassol;2;5;17;5;2;3;0.57;0.43;493;0.87;11;10;2;5;0;0;10;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2;0.086;0.18181818181818182;429;0.02564102564102564;752.6315789473684;0.5882352941176471;17.54385964912281;12;0.13999999999999996;8;-3;1;0.034482758620689655;0.058823529411764705;0.57;10.0;1;0;1;0;1;0;0;1;0.058823529411764705;0.5;0.002028397565922921;17.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-09;Bahía;-1;0;17;697;225;Nacional;2;3;11;13;2;5;0.56;0.44;475;0.84;10;15;2;3;0;0;3;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;6;0.033846153846153845;0.2;399;0.02506265664160401;712.4999999999999;0.2727272727272727;5.357142857142857;-2;0.12000000000000005;-3;-1;-5;0.023157894736842106;0.09090909090909091;0.56;3.0;0;1;1;1;0;0;1;0;0.09090909090909091;0.5;0.002105263157894737;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Bahía;10;0;3;697;662;Santos;2;5;10;22;3;6;0.44;0.56;381;0.77;16;13;2;5;0;0;3;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;9;0.025454545454545455;0.125;293;0.05460750853242321;665.9090909090909;0.3;6.818181818181818;-12;-0.12000000000000005;-6;-3;3;0.026246719160104987;0.2;0.22;1.5;1;1;2;0;1;0;1;0;0.2;0.6666666666666666;0.005249343832020997;5.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
