Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Wojciech Szczęsny-Barcelona;Jules Koundé-Barcelona;Pau Cubarsí-Barcelona;Íñigo Martínez-Barcelona;Gerard Martín-Barcelona;Fermín López Marín-Barcelona;Frenkie de Jong-Barcelona;Pedri-Barcelona;Raphinha-Barcelona;Robert Lewandowski-Barcelona;Ferran Torres-Barcelona;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Ronald Araújo-Barcelona;Gavi-Barcelona;Lamine Yamal-Barcelona;Alejandro Baldé-Barcelona;Eric García-Barcelona;Dani Olmo-Barcelona;Marc Casadó-Barcelona;Héctor Fort-Barcelona;Iñaki Peña-Barcelona;Pablo Torre-Barcelona;Ansu Fati-Barcelona;Sergi Domínguez-Barcelona;Pau Víctor-Barcelona;Marc-André ter Stegen-Barcelona;Marc Bernal-Barcelona;Álex Valle-Barcelona;Clément Lenglet-Barcelona;Andreas Christensen-Barcelona;İlkay Gündoğan-Barcelona;Unai Hernández-Barcelona;Julián Araujo-Barcelona;Vitor Roque-Barcelona;João Cancelo-Barcelona;Sergi Roberto-Barcelona;Marcos Alonso Mendoza-Barcelona;Oriol Romeu-Barcelona;João Félix-Barcelona;Marc Guiu-Barcelona;Ander Astralaga-Barcelona;Abde Ezzalzouli-Barcelona;Ousmane Dembélé-Barcelona;Sergiño Dest-Barcelona;Franck Kessié-Barcelona;Pau Prim-Barcelona;Daniel Rodríguez Crespo-Barcelona;Jordi Alba-Barcelona;Sergio Busquets-Barcelona
2025-04-19;Barcelona;1;0;7;10;44;Celta de Vigo;2;2;18;11;6;8;0.72;0.28;752;0.89;10;13;2;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.025454545454545455;0.2;669;0.014947683109118086;929.1666666666667;0.2222222222222222;5.555555555555555;7;0.43999999999999995;3;0;-3;0.023936170212765957;0.2222222222222222;0.18;1.0;1;3;4;1;0;0;0;1;0.2222222222222222;0.6666666666666666;0.005319148936170213;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-15;Barcelona;0;3;17;10;11;Dortmund;1;1;7;18;2;11;0.54;0.46;510;0.84;11;14;1;1;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;8;0.025555555555555557;0.09090909090909091;428;0.02570093457943925;792.5925925925925;0.5714285714285714;7.4074074074074066;-11;0.08000000000000002;-4;0;-3;0.013725490196078431;0.14285714285714285;0.54;4.0;0;1;1;0;0;1;1;0;0.14285714285714285;0.5;0.00196078431372549;7.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Barcelona;1;3;5;10;47;Leganés;1;2;12;6;3;1;0.67;0.33;600;0.87;4;10;1;2;0;0;8;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;4;0.055;0.25;522;0.007662835249042145;779.1044776119403;0.6666666666666666;11.940298507462686;6;0.34;4;-1;-6;0.02;0.08333333333333333;0.67;8.0;0;1;1;1;0;0;1;0;0.08333333333333333;0.3333333333333333;0.0016666666666666668;12.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-09;Barcelona;0;3;5;10;11;Dortmund;0;2;18;13;10;3;0.61;0.39;545;0.88;5;12;0;2;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;6;0.030000000000000002;0.0;480;0.010416666666666666;786.8852459016393;0.2222222222222222;6.557377049180328;5;0.21999999999999997;-2;-2;-7;0.03302752293577982;0.2222222222222222;0.1525;1.0;1;3;4;1;0;0;0;1;0.2222222222222222;0.4;0.007339449541284404;4.5;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Barcelona;1;0;3;10;39;Betis;2;1;13;6;5;2;0.74;0.26;729;0.9;16;12;2;1;0;0;9;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;3;0.043333333333333335;0.125;656;0.024390243902439025;886.4864864864865;0.6923076923076923;12.162162162162163;7;0.48;6;1;4;0.01783264746227709;0.07692307692307693;0.74;9.0;1;0;1;0;1;0;0;1;0.07692307692307693;0.2;0.0013717421124828531;13.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Barcelona;19;3;4;10;27;Atlético Madrid;3;5;15;6;5;0;0.57;0.43;498;0.84;22;11;3;5;0;0;7;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.07166666666666667;0.13636363636363635;418;0.05263157894736842;733.3333333333334;0.4666666666666667;12.280701754385966;9;0.13999999999999996;1;-2;11;0.030120481927710843;0.06666666666666667;0.57;7.0;1;0;1;1;0;0;1;0;0.06666666666666667;0.2;0.002008032128514056;15.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Barcelona;1;3;1;10;24;Girona;0;1;21;4;9;2;0.7;0.3;643;0.88;8;11;0;1;0;0;10;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;2;0.075;0.0;566;0.014134275618374558;808.5714285714287;0.47619047619047616;14.285714285714286;17;0.39999999999999997;8;-1;-3;0.03265940902021773;0.19047619047619047;0.175;2.5;1;3;4;1;0;0;0;1;0.19047619047619047;0.4444444444444444;0.006220839813374806;5.25;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-27;Barcelona;1;0;1;10;41;Osasuna;1;3;19;4;5;0;0.75;0.25;750;0.9;7;14;1;3;0;0;8;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;4;0.0625;0.14285714285714285;675;0.01037037037037037;900.0;0.42105263157894735;10.666666666666666;15;0.5;4;-2;-7;0.025333333333333333;0.15789473684210525;0.25;2.6666666666666665;2;1;3;1;0;0;0;1;0.15789473684210525;0.6;0.004;6.333333333333333;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Barcelona;1;3;1;10;27;Atlético Madrid;3;1;13;7;6;2;0.67;0.33;639;0.89;11;10;3;1;0;0;6;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;6;0.047142857142857146;0.2727272727272727;569;0.019332161687170474;849.2537313432836;0.46153846153846156;8.955223880597014;6;0.34;0;2;1;0.02034428794992175;0.3076923076923077;0.1675;1.5;0;4;4;1;0;0;1;0;0.3076923076923077;0.6666666666666666;0.006259780907668232;3.25;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-11;Barcelona;0;3;0;10;13;Benfica;0;1;20;8;6;2;0.66;0.34;650;0.89;4;8;0;1;0;0;1;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;6;0.0425;0.0;578;0.006920415224913495;875.7575757575758;0.05;1.5151515151515151;12;0.32;-5;-1;-4;0.03076923076923077;0.15;0.22;0.3333333333333333;3;0;3;1;0;0;0;1;0.15;0.5;0.004615384615384616;6.666666666666667;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
