Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Adrián San Miguel del Castillo-Betis;Aitor Ruibal-Betis;Marc Bartra-Betis;Natan Bernardo de Souza-Betis;Romain Perraud-Betis;Johnny Cardoso-Betis;Pablo Fornals-Betis;Antony dos Santos-Betis;Isco-Betis;Abde Ezzalzouli-Betis;Juan Camilo Hernández-Betis;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Fran Vieites-Betis;Youssouf Sabaly-Betis;Ricardo Rodríguez-Betis;Sergi Altimira-Betis;Giovani Lo Celso-Betis;Jesús Rodríguez Caraballo-Betis;Cédric Bakambu-Betis;Diego Llorente-Betis;Mateo Flores Lozano-Betis;Ezequiel Ávila-Betis;Vitor Roque-Betis;Ángel Ortiz Monterrey-Betis;Marc Roca-Betis;Sergio Arribas Prieto-Betis;Juanmi Jiménez-Betis;Assane Diao-Betis;Iker Losada-Betis;Rui Tiago Dantas Silva-Betis;Carlos Guirao Mora-Betis;Héctor Bellerín-Betis;Nobel Mendy-Betis;William Carvalho-Betis;Rodrigo Sánchez Rodríguez-Betis;Nabil Fekir-Betis;Marcos Fernández Sánchez-Betis;Sokratis Papastathopoulos-Betis;Ricardo Visus-Betis;Juan Miranda-Betis;Ayoze Pérez-Betis;Willian José-Betis;Chadi Riad-Betis;Abner Vinícius-Betis;Guido Rodríguez-Betis;Germán Pezzella-Betis;Luiz Henrique André Rosa da Silva-Betis;Andrés Guardado-Betis;Borja Iglesias-Betis;Claudio Bravo-Betis;Luiz Felipe Ramos Marchi-Betis;Edgar González-Betis;Sergio Canales-Betis;Joaquín Sánchez Rodríguez-Betis;Paul Akouokou-Betis;Martín Montoya-Betis
2025-04-21;Betis;1;3;3;39;24;Girona;2;3;17;11;9;5;0.39;0.61;337;0.83;11;13;2;3;0;0;9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8;0.05545454545454545;0.18181818181818182;280;0.039285714285714285;717.9487179487179;0.5294117647058824;23.076923076923077;6;-0.21999999999999997;1;-1;-2;0.050445103857566766;0.17647058823529413;0.13;3.0;3;0;3;1;0;0;1;0;0.17647058823529413;0.3333333333333333;0.008902077151335312;5.666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-17;Betis;21;3;0;39;140;Jagiellonia Białystok;2;3;12;8;5;1;0.58;0.42;616;0.9;6;10;2;3;0;0;5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4;0.0525;0.3333333333333333;554;0.010830324909747292;955.1724137931035;0.4166666666666667;8.620689655172415;4;0.15999999999999998;1;-1;-4;0.01948051948051948;0.08333333333333333;0.58;5.0;0;1;1;0;1;0;1;0;0.08333333333333333;0.2;0.0016233766233766235;12.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Betis;1;3;1;39;37;Villarreal;0;4;24;8;5;2;0.68;0.32;618;0.89;4;13;0;4;0;0;5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;5;0.04;0.0;550;0.007272727272727273;808.8235294117646;0.20833333333333334;7.352941176470588;16;0.36000000000000004;0;-4;-9;0.038834951456310676;0.041666666666666664;0.68;5.0;1;0;1;0;0;1;0;1;0.041666666666666664;0.2;0.0016181229773462784;24.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-10;Betis;21;3;3;39;140;Jagiellonia Białystok;1;2;27;4;8;1;0.65;0.35;705;0.92;7;11;1;2;0;0;6;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1;0.0875;0.14285714285714285;649;0.01078582434514638;998.4615384615385;0.2222222222222222;9.23076923076923;23;0.30000000000000004;5;-1;-4;0.03829787234042553;0.07407407407407407;0.325;3.0;2;0;2;1;0;0;0;1;0.07407407407407407;0.25;0.0028368794326241137;13.5;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Betis;1;3;0;39;10;Barcelona;1;2;6;13;2;5;0.26;0.74;255;0.69;12;16;1;2;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;9;0.05692307692307692;0.08333333333333333;176;0.06818181818181818;676.9230769230769;0.5;11.538461538461538;-7;-0.48;-6;-1;-4;0.023529411764705882;0.16666666666666666;0.26;3.0;1;0;1;0;1;0;1;0;0.16666666666666666;0.5;0.00392156862745098;6.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Betis;1;3;7;39;43;Sevilla;3;3;11;6;3;2;0.56;0.44;502;0.86;10;22;3;3;0;0;2;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.07333333333333333;0.3;432;0.023148148148148147;771.4285714285713;0.18181818181818182;3.571428571428571;5;0.12000000000000005;0;0;-12;0.021912350597609563;0.18181818181818182;0.28;1.0;2;0;2;1;0;0;0;1;0.18181818181818182;0.6666666666666666;0.00398406374501992;5.5;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Betis;1;3;5;39;47;Leganés;0;2;21;10;6;4;0.65;0.35;547;0.84;5;16;0;2;0;0;7;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;3;0.034999999999999996;0.0;459;0.010893246187363835;706.1538461538461;0.3333333333333333;10.769230769230768;11;0.30000000000000004;4;-2;-11;0.038391224862888484;0.14285714285714285;0.21666666666666667;2.3333333333333335;0;3;3;1;0;0;1;0;0.14285714285714285;0.5;0.005484460694698354;7.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Betis;21;3;0;39;138;Guimarães;2;5;8;7;6;2;0.38;0.62;364;0.81;18;16;2;5;0;0;3;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;3;0.08857142857142856;0.1111111111111111;295;0.061016949152542375;776.3157894736842;0.375;7.894736842105263;1;-0.24;0;-3;2;0.02197802197802198;0.5;0.095;0.75;2;2;4;1;0;0;1;0;0.5;0.6666666666666666;0.01098901098901099;2.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Betis;1;3;9;39;50;U. D. Las Palmas;2;7;14;8;6;1;0.67;0.33;582;0.87;12;14;2;6;0;1;11;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1;0.04125;0.16666666666666666;506;0.023715415019762844;755.2238805970148;0.7857142857142857;16.417910447761194;6;0.34;10;-5;-2;0.024054982817869417;0.07142857142857142;0.67;11.0;0;1;1;1;0;0;0;1;0.07142857142857142;0.16666666666666666;0.001718213058419244;14.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Betis;21;3;3;39;138;Guimarães;4;0;14;8;6;2;0.47;0.53;431;0.84;17;9;4;0;0;0;7;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;2;0.06625;0.23529411764705882;362;0.04696132596685083;770.2127659574469;0.5;14.893617021276597;6;-0.06000000000000005;5;4;8;0.03248259860788863;0.14285714285714285;0.235;3.5;0;2;2;0;1;0;0;1;0.14285714285714285;0.3333333333333333;0.004640371229698376;7.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Betis;1;3;0;39;12;Real Madrid;3;4;18;9;3;2;0.41;0.59;388;0.87;17;12;3;4;0;0;9;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;2;0.06555555555555555;0.17647058823529413;338;0.05029585798816568;824.3902439024391;0.5;21.951219512195124;9;-0.18;7;-1;5;0.04639175257731959;0.1111111111111111;0.205;4.5;1;1;2;1;0;0;0;1;0.1111111111111111;0.6666666666666666;0.005154639175257732;9.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Betis;1;3;1;39;48;Getafe;0;2;13;10;6;4;0.51;0.49;386;0.71;20;17;0;1;0;1;5;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;2;0.049;0.0;274;0.072992700729927;537.2549019607843;0.38461538461538464;9.803921568627452;3;0.020000000000000018;3;-2;3;0.03367875647668394;0.15384615384615385;0.255;2.5;1;1;2;1;0;0;1;0;0.15384615384615385;0.3333333333333333;0.0051813471502590676;6.5;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-20;Betis;21;3;29;39;153;Gent;2;1;16;9;7;1;0.53;0.47;458;0.83;6;15;1;1;1;0;6;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;4;0.05222222222222222;0.3333333333333333;380;0.015789473684210527;716.9811320754717;0.375;11.320754716981131;7;0.06000000000000005;2;1;-9;0.034934497816593885;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Betis;1;3;1;39;46;Real Sociedad;0;4;24;5;8;1;0.69;0.31;596;0.89;9;15;0;2;0;2;5;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;5;0.062;0.0;530;0.016981132075471698;768.1159420289856;0.20833333333333334;7.246376811594203;19;0.37999999999999995;0;-4;-6;0.040268456375838924;0.125;0.22999999999999998;1.6666666666666667;0;3;3;1;0;0;0;1;0.125;0.375;0.0050335570469798654;8.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-13;Betis;21;3;29;39;153;Gent;1;1;18;8;8;1;0.48;0.52;450;0.82;14;19;1;1;0;0;8;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;5;0.065;0.07142857142857142;369;0.037940379403794036;768.75;0.4444444444444444;16.666666666666668;10;-0.040000000000000036;3;0;-5;0.04;0.16666666666666666;0.16;2.6666666666666665;0;3;3;1;0;0;1;0;0.16666666666666666;0.375;0.006666666666666667;6.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Betis;1;3;6;39;44;Celta de Vigo;5;3;12;14;5;6;0.44;0.56;446;0.82;11;11;5;3;0;0;7;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;4;0.04;0.45454545454545453;366;0.030054644808743168;831.8181818181819;0.5833333333333334;15.909090909090908;-2;-0.12000000000000005;3;2;0;0.026905829596412557;0.16666666666666666;0.22;3.5;2;0;2;0;0;1;1;0;0.16666666666666666;0.4;0.004484304932735426;6.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Betis;1;3;1;39;38;Athletic;3;1;10;12;6;4;0.53;0.47;442;0.79;10;20;3;1;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;7;0.03916666666666666;0.3;349;0.02865329512893983;658.4905660377358;0.3;5.660377358490566;-2;0.06000000000000005;-4;2;-10;0.02262443438914027;0.2;0.265;1.5;2;0;2;0;1;0;0;1;0.2;0.3333333333333333;0.004524886877828055;5.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Betis;1;3;3;39;40;R.C.D. Mallorca;2;3;8;16;3;3;0.53;0.47;396;0.81;18;12;2;2;0;1;4;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;4;0.029375;0.1111111111111111;321;0.056074766355140186;605.6603773584906;0.5;7.547169811320754;-8;0.06000000000000005;0;-1;6;0.020202020202020204;0.125;0.53;4.0;0;1;1;1;0;0;1;0;0.125;0.3333333333333333;0.0025252525252525255;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Betis;1;3;3;39;45;Alavés;5;5;7;9;2;5;0.51;0.49;427;0.77;12;24;4;5;1;0;2;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;3;0.05444444444444444;0.4166666666666667;329;0.0364741641337386;645.0980392156863;0.2857142857142857;3.9215686274509802;-2;0.020000000000000018;-1;0;-12;0.01639344262295082;0.14285714285714285;0.51;2.0;1;0;1;0;0;1;0;1;0.14285714285714285;0.5;0.00234192037470726;7.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
