Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Timo Horn-Bochum;Tim Oermann-Bochum;Jakov Medić-Bochum;Bernardo Fernandes da Silva Junior-Bochum;Cristian Gamboa-Bochum;Matúš Bero-Bochum;Tom Krauß-Bochum;Maximilian Wittek-Bochum;Philipp Hofmann-Bochum;Moritz Broschinski-Bochum;Myron Boadu-Bochum;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Felix Passlack-Bochum;Ibrahima Sissoko-Bochum;Giorgos Masouras-Bochum;Gerrit Holtmann-Bochum;Ivan Ordets-Bochum;Erhan Mašović-Bochum;Patrick Drewes-Bochum;Dani de Wit-Bochum;Anthony Losilla-Bochum;Kōji Miyoshi-Bochum;Lukas Daschner-Bochum;Mats Pannewig-Bochum;Noah Loosli-Bochum;Andreas Luthe-Bochum;Keven Schlotterbeck-Bochum;Kevin Stöger-Bochum;Patrick Osterhage-Bochum;Takuma Asano-Bochum;Manuel Riemann-Bochum;Christopher Antwi-Adjei-Bochum;Philipp Förster-Bochum;Moritz-Broni Kwarteng-Bochum;Gonçalo Paciência-Bochum;Danilo Soares-Bochum;Saidy Janko-Bochum;Dominique Heintz-Bochum;Kostas Stafylidis-Bochum;Simon Zoller-Bochum;Jordi Osei-Tutu-Bochum;Vasilios Lampropoulos-Bochum;Pierre Kunde-Bochum;Jannes Horn-Bochum;Jacek Góralski-Bochum;Michael Esser-Bochum;Armel Bella-Kotchap-Bochum;Herbert Bockhorn-Bochum;Robert Tesche-Bochum;Sebastian Polter-Bochum
2025-04-27;Bochum;9;29;2;178;169;FC Union Berlin;3;2;10;5;4;1;0.67;0.33;509;0.81;11;9;3;2;0;0;10;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.066;0.2727272727272727;412;0.02669902912621359;614.9253731343283;1.0;14.925373134328357;5;0.34;6;1;2;0.019646365422396856;0.1;0.67;10.0;0;1;1;0;1;0;0;1;0.1;0.25;0.0019646365422396855;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Bochum;9;6;2;178;171;Werder Bremen;3;3;12;14;1;4;0.52;0.48;408;0.69;20;9;2;3;1;0;7;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;2;0.03428571428571429;0.15;282;0.07092198581560284;542.3076923076923;0.5833333333333334;13.461538461538462;-2;0.040000000000000036;5;0;11;0.029411764705882353;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Bochum;9;2;17;178;173;Augsburgo;2;2;25;12;9;5;0.53;0.47;427;0.78;14;9;2;1;0;1;7;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;6;0.03916666666666666;0.14285714285714285;333;0.042042042042042045;628.3018867924528;0.28;13.20754716981132;13;0.06000000000000005;1;0;5;0.0585480093676815;0.04;0.53;7.0;0;1;1;0;0;1;0;1;0.04;0.1111111111111111;0.00234192037470726;25.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Bochum;9;2;1;178;18;Stuttgart;1;1;11;14;2;6;0.55;0.45;491;0.81;17;13;1;1;0;0;2;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.03214285714285715;0.058823529411764705;398;0.04271356783919598;723.6363636363636;0.18181818181818182;3.6363636363636362;-3;0.10000000000000003;-2;0;4;0.02240325865580448;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-28;Bochum;9;4;2;178;6;Leverkusen;1;0;8;14;3;5;0.34;0.66;356;0.75;13;6;1;0;0;0;2;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;3;0.047142857142857146;0.07692307692307693;267;0.04868913857677903;785.2941176470588;0.25;5.88235294117647;-6;-0.32;-1;1;7;0.02247191011235955;0.125;0.34;2.0;1;0;1;0;0;1;1;0;0.125;0.3333333333333333;0.0028089887640449437;8.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Bochum;9;1;3;178;87;Frankfurt;4;1;17;18;7;7;0.51;0.49;419;0.77;7;9;4;1;0;0;8;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;3;0.02722222222222222;0.5714285714285714;323;0.021671826625386997;633.3333333333334;0.47058823529411764;15.686274509803921;-1;0.020000000000000018;5;3;-2;0.0405727923627685;0.058823529411764705;0.51;8.0;0;1;1;0;0;1;0;1;0.058823529411764705;0.14285714285714285;0.002386634844868735;17.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Bochum;9;4;3;178;23;Bayern;6;1;8;14;5;5;0.26;0.74;258;0.7;14;7;6;0;0;1;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;9;0.05285714285714286;0.42857142857142855;181;0.07734806629834254;696.1538461538461;0.375;11.538461538461538;-6;-0.48;-6;5;7;0.031007751937984496;0.375;0.08666666666666667;1.0;1;2;3;1;0;0;1;0;0.375;0.6;0.011627906976744186;2.6666666666666665;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Bochum;9;2;3;178;97;Hoffenheim;0;1;12;10;3;2;0.58;0.42;383;0.72;16;17;0;1;0;0;8;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.041999999999999996;0.0;276;0.057971014492753624;475.86206896551727;0.6666666666666666;13.793103448275863;2;0.15999999999999998;3;-1;-1;0.031331592689295036;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Bochum;9;2;1;178;175;Wolfsburg;3;2;11;13;5;6;0.45;0.55;379;0.76;15;8;3;2;0;0;5;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;3;0.04230769230769231;0.2;288;0.052083333333333336;640.0;0.45454545454545453;11.11111111111111;-2;-0.10000000000000003;2;1;7;0.029023746701846966;0.09090909090909091;0.45;5.0;0;1;1;0;1;0;1;0;0.09090909090909091;0.2;0.002638522427440633;11.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Bochum;9;4;3;178;11;Dortmund;1;0;18;17;9;2;0.3;0.7;301;0.73;12;4;1;0;0;0;2;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;8;0.041176470588235294;0.08333333333333333;220;0.05454545454545454;733.3333333333334;0.1111111111111111;6.666666666666667;1;-0.39999999999999997;-6;1;8;0.059800664451827246;0.1111111111111111;0.15;1.0;2;0;2;1;0;0;0;1;0.1111111111111111;0.2222222222222222;0.006644518272425249;9.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
