Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Kepa Arrizabalaga-Bournemouth;Julián Araujo-Bournemouth;Illya Zabarnyi-Bournemouth;Dean Huijsen-Bournemouth;Milos Kerkez-Bournemouth;Tyler Adams-Bournemouth;Lewis Cook-Bournemouth;Marcus Tavernier-Bournemouth;Justin Kluivert-Bournemouth;Dango Ouattara-Bournemouth;Francisco Evanilson de Lima Barbosa-Bournemouth;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Adam Smith-Bournemouth;Alex Scott-Bournemouth;Antoine Semenyo-Bournemouth;Marcos Senesi-Bournemouth;Ryan Christie-Bournemouth;Julio Soler-Bournemouth;David Brooks-Bournemouth;James Hill-Bournemouth;Ben Winterburn-Bournemouth;Daniel Jebbison-Bournemouth;Mark Travers-Bournemouth;Max Aarons-Bournemouth;Philip Billing-Bournemouth;Enes Ünal-Bournemouth;Norberto Murara-Bournemouth;Luis Sinisterra-Bournemouth;Romain Faivre-Bournemouth;Jaidon Anthony-Bournemouth;Dominic Solanke-Bournemouth;Lloyd Kelly-Bournemouth;Chris Mepham-Bournemouth;Kieffer Moore-Bournemouth;Andrei Radu-Bournemouth;Joe Rothwell-Bournemouth;Hamed Traorè-Bournemouth;Jefferson Lerma-Bournemouth;Matías Viña-Bournemouth;Jack Stephens-Bournemouth;Jordan Zemura-Bournemouth;Jack Stacey-Bournemouth;Ben Pearson-Bournemouth;Junior Stanislas-Bournemouth;Jamal Lowe-Bournemouth;Ryan Fredericks-Bournemouth
2025-05-10;Bournemouth;3;3;3;59;1;Aston Villa;4;4;10;6;4;3;0.67;0.33;489;0.86;19;12;4;3;0;1;10;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0;0.055;0.2105263157894736;421;0.0451306413301662;628.3582089552239;1.0;14.925373134328357;4;0.34;10;0;7;0.0204498977505112;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Bournemouth;3;3;0;59;9;Arsenal;2;0;9;13;2;4;0.49;0.51;417;0.82;16;7;2;0;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.0392307692307692;0.125;342;0.0467836257309941;697.9591836734694;0.3333333333333333;6.122448979591836;-4;-0.02;1;2;9;0.0215827338129496;0.2222222222222222;0.245;1.5;0;2;2;1;0;0;1;0;0.2222222222222222;1.0;0.0047961630695443;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Bournemouth;3;3;17;59;62;Manchester United;5;2;8;25;1;6;0.38;0.62;285;0.72;11;12;4;2;1;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;10;0.0248;0.4545454545454545;205;0.0536585365853658;539.4736842105264;0.625;13.157894736842104;-17;-0.24;-5;3;-1;0.0280701754385964;0.125;0.38;5.0;1;0;1;0;1;0;0;1;0.125;1.0;0.0035087719298245;8.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Bournemouth;3;3;17;59;65;Crystal Palace;4;4;15;5;4;0;0.73;0.27;570;0.87;10;13;4;3;0;1;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;5;0.054;0.4;496;0.0201612903225806;679.4520547945206;0.2666666666666666;5.47945205479452;10;0.4599999999999999;-1;0;-3;0.0263157894736842;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-14;Bournemouth;3;3;3;59;58;Fulham;3;2;12;12;3;7;0.4;0.6;329;0.72;11;10;3;2;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;9;0.0499999999999999;0.2727272727272727;237;0.0464135021097046;592.5;0.5;15.0;0;-0.1999999999999999;-3;1;1;0.0364741641337386;0.0833333333333333;0.4;6.0;1;0;1;1;0;0;0;1;0.0833333333333333;0.3333333333333333;0.0030395136778115;12.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Bournemouth;3;3;3;59;61;West Ham;2;2;11;9;4;3;0.44;0.56;361;0.73;13;13;2;2;0;0;7;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;4;0.0622222222222222;0.1538461538461538;264;0.0492424242424242;600.0;0.6363636363636364;15.909090909090908;2;-0.12;3;0;0;0.0304709141274238;0.1818181818181818;0.22;3.5;1;1;2;0;1;0;1;0;0.1818181818181818;0.5;0.0055401662049861;5.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Bournemouth;3;3;3;59;66;Ipswich;1;2;24;10;7;2;0.65;0.35;522;0.81;14;15;1;2;0;0;8;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;3;0.0349999999999999;0.0714285714285714;423;0.0330969267139479;650.7692307692307;0.3333333333333333;12.307692307692308;14;0.3;5;-1;-1;0.0459770114942528;0.0416666666666666;0.65;8.0;0;1;1;0;0;1;0;1;0.0416666666666666;0.1428571428571428;0.0019157088122605;24.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Bournemouth;15;3;0;59;3;Manchester City;3;3;5;17;2;7;0.36;0.64;290;0.67;14;12;3;3;0;0;2;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.0376470588235294;0.2142857142857142;194;0.0721649484536082;538.8888888888889;0.4;5.555555555555555;-12;-0.28;-2;0;2;0.0172413793103448;0.2;0.36;2.0;1;0;1;0;0;1;0;1;0.2;0.5;0.0034482758620689;5.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Bournemouth;3;3;3;59;57;Brentford;3;0;17;10;5;4;0.59;0.41;488;0.8;13;7;3;0;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0409999999999999;0.2307692307692307;390;0.0333333333333333;661.0169491525425;0.2352941176470588;6.779661016949153;7;0.18;1;3;6;0.0348360655737704;0.0588235294117647;0.59;4.0;1;0;1;0;0;1;0;1;0.0588235294117647;0.2;0.0020491803278688;17.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Bournemouth;3;3;0;59;56;Tottenham;3;3;17;12;8;4;0.39;0.61;336;0.76;16;15;3;3;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0508333333333333;0.1875;255;0.0627450980392156;653.8461538461538;0.3529411764705882;15.384615384615383;5;-0.2199999999999999;3;0;1;0.050595238095238;0.1176470588235294;0.195;3.0;1;1;2;0;1;0;1;0;0.1176470588235294;0.25;0.0059523809523809;8.5;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
