Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
28/9/24;Brentford;3;1;8;3;58;528;80;2;2;0;7;1;0;1;0;1;0;0;1
21/9/24;Brentford;3;4;6;6;52;489;80;9;1;0;4;1;0;1;0;0;1;1;0
17/9/24;Brentford;14;0;15;8;63;643;88;7;1;0;9;3;0;3;1;0;0;0;1
14/9/24;Brentford;3;4;8;5;46;468;85;3;1;0;3;1;0;1;0;0;1;1;0
31/8/24;Brentford;3;0;20;7;36;358;86;10;2;0;2;1;2;3;1;0;0;0;1
28/8/24;Brentford;14;3;10;4;72;580;87;9;1;0;2;1;0;1;1;0;0;1;0
25/8/24;Brentford;3;1;8;2;37;364;81;7;3;0;4;0;0;0;0;0;1;1;0
18/8/24;Brentford;3;0;9;5;46;403;77;6;1;0;4;1;1;2;1;0;0;0;1
9/8/24;Brentford;6;3;9;5;55;492;82;10;0;0;6;2;2;4;0;1;0;0;1
25/7/24;Brentford;6;6;2;1;44;429;85;8;1;0;2;1;0;1;0;1;0;1;0
20/7/24;Brentford;6;0;10;6;55;412;80;6;0;0;3;3;2;5;1;0;0;1;0
19/5/24;Brentford;3;0;10;5;54;471;83;15;4;0;3;0;2;2;0;0;1;0;1
11/5/24;Brentford;3;0;11;5;53;388;75;12;2;0;8;0;2;2;1;0;0;1;0
4/5/24;Brentford;3;0;7;3;55;502;80;3;1;0;7;0;0;0;0;1;0;0;1
27/4/24;Brentford;3;0;10;4;53;458;78;12;2;0;6;0;0;0;0;0;1;1;0
20/4/24;Brentford;3;0;21;9;47;345;75;10;2;0;9;2;3;5;1;0;0;1;0
13/4/24;Brentford;3;0;9;5;54;391;76;8;3;0;3;0;2;2;1;0;0;0;1
6/4/24;Brentford;3;2;8;3;30;247;68;11;2;0;3;0;3;3;0;1;0;1;0
30/3/24;Brentford;3;2;31;5;47;377;69;7;3;0;14;0;1;1;0;1;0;0;1
16/3/24;Brentford;3;2;9;5;39;292;63;17;4;1;4;0;1;1;0;0;1;1;0
9/3/24;Brentford;3;2;9;4;28;226;54;10;4;0;4;1;0;1;0;0;1;1;0
2/3/24;Brentford;3;2;14;5;31;297;69;10;3;0;0;0;2;2;0;1;0;0;1
26/2/24;Brentford;3;2;14;8;59;551;80;9;2;0;7;1;1;2;0;0;1;1;0
20/2/24;Brentford;3;2;6;2;30;304;74;6;4;0;1;0;0;0;0;0;1;1;0
17/2/24;Brentford;3;2;15;6;37;357;69;4;2;0;1;0;1;1;0;0;1;0;1
10/2/24;Brentford;3;2;9;6;28;272;60;9;3;0;4;1;1;2;1;0;0;1;0
5/2/24;Brentford;3;2;9;3;28;279;72;2;1;0;8;1;0;1;0;0;1;0;1
31/1/24;Brentford;3;2;9;5;31;276;66;15;3;0;3;1;1;2;0;0;1;1;0
20/1/24;Brentford;3;2;11;5;48;456;75;10;1;0;6;1;2;3;1;0;0;0;1
5/1/24;Brentford;15;2;14;3;74;596;89;8;3;0;4;1;0;1;0;1;0;0;1
30/12/23;Brentford;3;2;9;4;54;510;80;10;1;0;4;1;0;1;0;0;1;1;0
17/12/23;Brentford;3;2;4;3;32;250;68;19;6;1;7;1;0;1;0;0;1;0;1
9/12/23;Brentford;3;0;10;4;60;489;78;13;1;0;3;0;0;0;0;0;1;1;0
6/12/23;Brentford;3;1;8;2;38;377;74;8;1;0;3;1;0;1;0;0;1;1;0
2/12/23;Brentford;3;0;27;6;69;626;84;10;1;0;7;0;3;3;1;0;0;0;1
25/11/23;Brentford;3;4;9;3;36;298;64;9;1;0;1;0;0;0;0;0;1;0;1
12/11/23;Brentford;3;4;16;3;41;354;75;12;2;0;8;0;0;0;0;0;1;1;0
4/11/23;Brentford;3;0;16;4;60;560;80;12;1;0;4;1;2;3;1;0;0;0;1
28/10/23;Brentford;3;2;7;5;31;333;73;7;4;0;1;0;2;2;1;0;0;1;0
21/10/23;Brentford;3;0;23;10;49;443;79;14;5;0;5;1;2;3;1;0;0;0;1
7/10/23;Brentford;3;2;11;3;36;326;72;17;5;0;5;1;0;1;0;0;1;1;0
1/10/23;Brentford;3;0;18;5;60;578;84;10;2;0;11;0;1;1;0;1;0;1;0
27/9/23;Brentford;14;2;18;4;40;406;75;7;2;0;1;0;0;0;0;0;1;0;1
23/9/23;Brentford;3;0;12;2;58;588;82;9;2;0;1;1;0;1;0;0;1;0;1
16/9/23;Brentford;3;4;11;2;43;367;72;12;5;0;3;0;0;0;0;0;1;1;0
2/9/23;Brentford;3;0;21;7;62;484;83;6;1;0;5;1;1;2;0;1;0;0;1
29/8/23;Brentford;14;0;11;5;78;656;84;5;0;0;11;0;1;1;0;1;0;1;0
26/8/23;Brentford;3;0;12;1;60;518;84;9;0;0;8;1;0;1;0;1;0;0;1
13/8/23;Brentford;3;4;11;6;30;306;76;12;1;0;3;2;0;2;0;1;0;0;1
19/8/23;Brentford;3;0;17;8;45;391;83;12;2;0;5;1;2;3;1;0;0;1;0
30/7/23;Brentford;3;0;10;3;38;348;83;11;0;0;3;2;1;3;0;1;0;1;0
26/7/23;Brentford;3;1;14;7;41;386;80;16;2;0;8;0;0;0;0;0;1;0;1
23/7/23;Brentford;3;7;16;5;41;333;80;9;1;0;8;1;1;2;0;0;1;1;0
28/5/23;Brentford;3;4;11;4;34;323;79;12;4;0;3;0;1;1;1;0;0;0;1
20/5/23;Brentford;3;0;11;4;38;364;77;9;1;0;2;0;3;3;1;0;0;1;0
14/5/23;Brentford;3;0;24;10;54;506;81;5;1;0;7;2;0;2;1;0;0;0;1
29/4/23;Brentford;3;0;14;8;69;550;84;6;1;0;6;0;2;2;1;0;0;0;1
26/4/23;Brentford;3;4;7;1;27;263;65;13;2;0;2;1;1;2;1;0;0;1;0
22/4/23;Brentford;3;0;16;5;42;308;68;12;3;0;8;0;1;1;0;1;0;0;1
15/4/23;Brentford;3;0;10;3;49;436;80;8;1;0;2;0;0;0;0;0;1;1;0
