Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Mark Flekken-Brentford;Michael Kayode-Brentford;Nathan Collins-Brentford;Sepp van den Berg-Brentford;Keane Lewis-Potter-Brentford;Christian Nørgaard-Brentford;Yehor Yarmolyuk-Brentford;Bryan Mbeumo-Brentford;Mikkel Damsgaard-Brentford;Kevin Schade-Brentford;Yoane Wissa-Brentford;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Kristoffer Ajer-Brentford;Vitaly Janelt-Brentford;Ethan Pinnock-Brentford;Hákon Rafn Valdimarsson-Brentford;Mads Roerslev-Brentford;Mathias Jensen-Brentford;Kim Ji-soo-Brentford;Rico Henry-Brentford;Paris Maghoma-Brentford;Fábio Carvalho-Brentford;Ben Mee-Brentford;Igor Thiago-Brentford;Jayden Meghoma-Brentford;Ryan Trevitt-Brentford;Frank Onyeka-Brentford;Myles Peart-Harris-Brentford;Mathias Jørgensen-Brentford;Sergio Reguilón-Brentford;Ivan Toney-Brentford;Neal Maupay-Brentford;Thomas Strakosha-Brentford;Josh Dasilva-Brentford;Saman Ghoddos-Brentford;Shandon Baptiste-Brentford;Aaron Hickey-Brentford;David Raya-Brentford;Pontus Jansson-Brentford;Mads Bech Sørensen-Brentford
2025-05-04;Brentford;3;3;17;57;62;Manchester United;0;2;12;14;6;5;0.46;0.54;410;0.79;8;10;0;2;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.038571428571428576;0.0;324;0.024691358024691357;704.3478260869565;0.5833333333333334;15.217391304347826;-2;-0.08000000000000002;4;-2;-2;0.02926829268292683;0.3333333333333333;0.115;1.75;2;2;4;1;0;0;0;1;0.3333333333333333;0.6666666666666666;0.00975609756097561;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Brentford;3;3;3;57;54;Brighton;3;4;16;12;8;3;0.46;0.54;421;0.8;7;11;3;3;0;1;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.045000000000000005;0.42857142857142855;337;0.020771513353115726;732.6086956521739;0.25;8.695652173913043;4;-0.08000000000000002;-3;-1;-4;0.03800475059382423;0.25;0.115;1.0;1;3;4;1;0;0;0;1;0.25;0.5;0.009501187648456057;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Brentford;3;1;0;57;9;Arsenal;3;1;3;14;2;3;0.36;0.64;280;0.78;9;7;3;1;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;13;0.045714285714285714;0.3333333333333333;218;0.04128440366972477;605.5555555555555;1.6666666666666667;13.88888888888889;-11;-0.28;-8;2;2;0.010714285714285714;0.3333333333333333;0.36;5.0;0;1;1;0;1;0;1;0;0.3333333333333333;0.5;0.0035714285714285713;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Brentford;3;3;3;57;53;Chelsea;1;3;9;21;2;5;0.4;0.6;330;0.76;12;12;1;3;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6;0.02857142857142857;0.08333333333333333;251;0.04780876494023904;627.5;0.3333333333333333;7.5;-12;-0.19999999999999996;-3;-2;0;0.02727272727272727;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Brentford;3;3;0;57;60;Newcastle;1;1;12;21;3;4;0.52;0.48;427;0.77;12;12;1;1;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.022857142857142857;0.08333333333333333;329;0.0364741641337386;632.6923076923076;0.4166666666666667;9.615384615384615;-9;0.040000000000000036;1;0;0;0.02810304449648712;0.08333333333333333;0.52;5.0;0;1;1;0;0;1;1;0;0.08333333333333333;0.3333333333333333;0.00234192037470726;12.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Brentford;3;3;3;57;59;Bournemouth;0;3;10;17;4;5;0.41;0.59;350;0.7;7;13;0;3;0;0;3;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.03470588235294118;0.0;245;0.02857142857142857;597.5609756097562;0.3;7.317073170731708;-7;-0.18;-1;-3;-6;0.02857142857142857;0.2;0.205;1.5;1;1;2;1;0;0;1;0;0.2;0.5;0.005714285714285714;5.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Brentford;3;3;3;57;1;Aston Villa;2;2;13;12;3;4;0.6;0.4;459;0.86;10;5;2;2;0;0;6;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.03333333333333333;0.2;395;0.02531645569620253;658.3333333333334;0.46153846153846156;10.0;1;0.19999999999999996;1;0;5;0.02832244008714597;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Brentford;3;3;3;57;64;Everton;2;1;12;14;3;4;0.52;0.48;458;0.83;3;6;2;1;0;0;2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;5;0.03428571428571429;0.6666666666666666;380;0.007894736842105263;730.7692307692307;0.16666666666666666;3.846153846153846;-2;0.040000000000000036;-3;1;-3;0.026200873362445413;0.08333333333333333;0.52;2.0;1;0;1;0;1;0;0;1;0.08333333333333333;0.3333333333333333;0.002183406113537118;12.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-21;Brentford;3;3;3;57;63;Leicester City;0;4;14;8;6;3;0.53;0.47;425;0.84;10;10;0;4;0;0;6;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.05875;0.0;357;0.028011204481792718;673.5849056603773;0.42857142857142855;11.320754716981131;6;0.06000000000000005;1;-4;0;0.03294117647058824;0.2857142857142857;0.1325;1.5;3;1;4;1;0;0;1;0;0.2857142857142857;0.6666666666666666;0.009411764705882352;3.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Brentford;3;3;3;57;61;West Ham;1;1;14;13;5;3;0.41;0.59;362;0.77;13;10;1;1;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;9;0.045384615384615384;0.07692307692307693;279;0.04659498207885305;680.4878048780488;0.14285714285714285;4.878048780487805;1;-0.18;-7;0;3;0.03867403314917127;0.07142857142857142;0.41;2.0;1;0;1;1;0;0;1;0;0.07142857142857142;0.2;0.0027624309392265192;14.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Brentford;3;3;3;57;56;Tottenham;0;1;20;13;4;2;0.54;0.46;475;0.81;4;11;0;1;0;0;10;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;3;0.03538461538461539;0.0;385;0.01038961038961039;712.9629629629629;0.5;18.51851851851852;7;0.08000000000000002;7;-1;-7;0.042105263157894736;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Brentford;3;3;17;57;65;Crystal Palace;2;2;12;16;6;5;0.53;0.47;352;0.71;11;8;2;2;0;0;7;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.029375;0.18181818181818182;250;0.044;471.6981132075471;0.5833333333333334;13.20754716981132;-4;0.06000000000000005;3;0;3;0.03409090909090909;0.16666666666666666;0.265;3.5;0;2;2;1;0;0;1;0;0.16666666666666666;0.3333333333333333;0.005681818181818182;6.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Brentford;3;3;3;57;2;Liverpool;2;3;11;37;6;8;0.38;0.62;319;0.78;6;14;2;3;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;15;0.016756756756756756;0.3333333333333333;249;0.024096385542168676;655.2631578947369;0.18181818181818182;5.2631578947368425;-26;-0.24;-13;-1;-8;0.034482758620689655;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Brentford;3;0;3;57;3;Manchester City;0;0;18;21;6;8;0.44;0.56;415;0.8;4;4;0;0;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;5;0.02666666666666667;0.0;332;0.012048192771084338;754.5454545454545;0.2222222222222222;9.090909090909092;-3;-0.12000000000000005;-1;0;0;0.043373493975903614;0.1111111111111111;0.22;2.0;0;2;2;0;1;0;0;1;0.1111111111111111;0.3333333333333333;0.004819277108433735;9.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
