Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Bart Verbruggen-Brighton;Mats Wieffer-Brighton;Jan Paul van Hecke-Brighton;Lewis Dunk-Brighton;Pervis Estupiñán-Brighton;Carlos Baleba-Brighton;Jack Hinshelwood-Brighton;Yankuba Minteh-Brighton;Matt O'Riley-Brighton;Simon Adingra-Brighton;Danny Welbeck-Brighton;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Yasin Ayari-Brighton;Solly March-Brighton;João Pedro-Brighton;Diego Gómez Amarilla-Brighton;Kaoru Mitoma-Brighton;Brajan Gruda-Brighton;Adam Webster-Brighton;Georginio Rutter-Brighton;Tariq Lamptey-Brighton;Joel Veltman-Brighton;Jason Steele-Brighton;Julio Enciso-Brighton;Igor Julio-Brighton;Evan Ferguson-Brighton;Ferdi Kadıoğlu-Brighton;Jakub Moder-Brighton;James Milner-Brighton;Imari Samuels-Brighton;Jeremy Sarmiento-Brighton;Billy Gilmour-Brighton;Valentín Barco-Brighton;Pascal Groß-Brighton;Adam Lallana-Brighton;Facundo Buonanotte-Brighton;Odel Offiah-Brighton;Mark O'Mahony-Brighton;Ansu Fati-Brighton;Cameron Peupion-Brighton;Mahmoud Dahoud-Brighton;Moisés Caicedo-Brighton;Steven Alzate-Brighton;Levi Colwill-Brighton;Alexis Mac Allister-Brighton;Deniz Undav-Brighton;Robert Sánchez-Brighton
2025-05-04;Brighton;3;3;0;54;60;Newcastle;2;1;5;13;2;5;0.45;0.55;379;0.77;15;10;2;1;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.04230769230769231;0.13333333333333333;292;0.05136986301369863;648.8888888888889;0.2;2.2222222222222223;-8;-0.10000000000000003;-3;1;5;0.013192612137203167;0.2;0.45;1.0;1;0;1;0;1;0;0;1;0.2;0.5;0.002638522427440633;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Brighton;3;3;2;54;61;West Ham;2;1;16;12;9;4;0.53;0.47;514;0.86;7;9;2;1;0;0;8;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1;0.03916666666666666;0.2857142857142857;442;0.01583710407239819;833.9622641509434;0.5;15.094339622641508;4;0.06000000000000005;7;1;-2;0.0311284046692607;0.1875;0.17666666666666667;2.6666666666666665;1;2;3;1;0;0;0;1;0.1875;0.3333333333333333;0.005836575875486381;5.333333333333333;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Brighton;3;3;3;54;57;Brentford;4;3;12;16;3;8;0.54;0.46;479;0.84;11;7;3;3;1;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.02875;0.36363636363636365;402;0.02736318407960199;744.4444444444443;0.5833333333333334;12.962962962962962;-4;0.08000000000000002;3;1;4;0.025052192066805846;0.16666666666666666;0.27;3.5;1;1;2;0;0;1;1;0;0.16666666666666666;0.6666666666666666;0.0041753653444676405;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Brighton;3;7;3;54;63;Leicester City;2;5;21;15;7;6;0.6;0.4;530;0.86;9;11;2;5;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6;0.02666666666666667;0.2222222222222222;456;0.019736842105263157;760.0;0.14285714285714285;5.0;6;0.19999999999999996;-3;-3;-2;0.03962264150943396;0.09523809523809523;0.3;1.5;1;1;2;0;1;0;0;1;0.09523809523809523;0.2857142857142857;0.0037735849056603774;10.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Brighton;3;3;17;54;65;Crystal Palace;2;2;11;8;5;3;0.63;0.37;542;0.85;13;12;1;0;1;2;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.04625;0.15384615384615385;461;0.028199566160520606;731.7460317460317;0.36363636363636365;6.349206349206349;3;0.26;2;0;1;0.02029520295202952;0.09090909090909091;0.63;4.0;1;0;1;0;0;1;1;0;0.09090909090909091;0.2;0.0018450184501845018;11.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Brighton;3;3;3;54;1;Aston Villa;2;3;11;8;4;5;0.56;0.44;464;0.85;16;11;2;3;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0;0.055;0.125;394;0.04060913705583756;703.5714285714286;0.36363636363636365;7.142857142857142;3;0.12000000000000005;4;-1;5;0.023706896551724137;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Brighton;15;3;3;54;55;Nottingham Forest;2;4;13;13;2;5;0.53;0.47;563;0.78;19;10;2;4;0;0;6;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;7;0.036153846153846154;0.10526315789473684;439;0.04328018223234624;828.3018867924528;0.46153846153846156;11.320754716981131;0;0.06000000000000005;-1;-2;9;0.023090586145648313;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Brighton;3;3;3;54;3;Manchester City;5;2;15;11;3;3;0.39;0.61;328;0.74;10;10;5;2;0;0;5;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;4;0.05545454545454545;0.5;243;0.0411522633744856;623.0769230769231;0.3333333333333333;12.82051282051282;4;-0.21999999999999997;1;3;0;0.04573170731707317;0.13333333333333333;0.195;2.5;1;1;2;0;1;0;1;0;0.13333333333333333;0.6666666666666666;0.006097560975609756;7.5;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Brighton;3;3;17;54;58;Fulham;0;2;9;6;4;1;0.54;0.46;514;0.86;6;12;0;2;0;0;3;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;7;0.07666666666666667;0.0;442;0.013574660633484163;818.5185185185185;0.3333333333333333;5.555555555555555;3;0.08000000000000002;-4;-2;-6;0.017509727626459144;0.2222222222222222;0.27;1.5;1;1;2;1;0;0;0;1;0.2222222222222222;0.5;0.0038910505836575876;4.5;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Brighton;15;3;0;54;60;Newcastle;4;2;21;15;5;5;0.53;0.47;604;0.81;17;13;3;1;1;1;5;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;6;0.03133333333333333;0.23529411764705882;489;0.034764826175869123;922.6415094339623;0.23809523809523808;9.433962264150942;6;0.06000000000000005;-1;2;4;0.0347682119205298;0.09523809523809523;0.265;2.5;1;1;2;1;0;0;1;0;0.09523809523809523;0.4;0.0033112582781456954;10.5;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
