Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Elia Caprile-Cagliari;Gabriele Zappa-Cagliari;Yerry Mina-Cagliari;José Luis Palomino-Cagliari;Nadir Zortea-Cagliari;Michel Adopo-Cagliari;Antoine Makoumbou-Cagliari;Alessandro Deiola-Cagliari;Tommaso Augello-Cagliari;Florinel Coman-Cagliari;Roberto Piccoli-Cagliari;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Sebastiano Luperto-Cagliari;Matteo Prati-Cagliari;Nicolas Viola-Cagliari;Zito Luvumbo-Cagliari;Mattia Felici-Cagliari;Adam Obert-Cagliari;Răzvan Marin-Cagliari;Gianluca Gaetano-Cagliari;Simone Scuffet-Cagliari;Alen Sherri-Cagliari;Mateusz Wieteska-Cagliari;Gianluca Lapadula-Cagliari;Paulo Azzi-Cagliari;Leonardo Pavoletti-Cagliari;Nahitan Nández-Cagliari;Alberto Dossena-Cagliari;Ibrahim Sulemana-Cagliari;Eldor Shomurodov-Cagliari;Pantelis Hatzidiakos-Cagliari;Alessandro Di Pardo-Cagliari;Gaetano Oristanio-Cagliari;Jakub Jankto-Cagliari;Andrea Petagna-Cagliari;Edoardo Goldaniga-Cagliari;Boris Radunović-Cagliari;Marco Mancosu-Cagliari;Nunzio Lella-Cagliari;Giorgio Altare-Cagliari;Christos Kourfalidis-Cagliari;Marko Rog-Cagliari;Nik Prelec-Cagliari;Filippo Falco-Cagliari;Antonio Barreca-Cagliari;Vincenzo Millico-Cagliari;Elio Capradossi-Cagliari;Franco Carboni-Cagliari;Gastón Pereiro-Cagliari;Simone Aresti-Cagliari
2025-04-12;Cagliari;4;23;2;79;7;Inter;1;0;8;13;4;4;0.38;0.62;377;0.86;12;6;1;0;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.0476923076923076;0.0833333333333333;324;0.037037037037037;852.6315789473684;0.75;15.789473684210526;-5;-0.24;1;1;6;0.0212201591511936;0.125;0.38;6.0;0;1;1;0;0;1;1;0;0.125;0.25;0.0026525198938992;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Cagliari;4;17;17;79;75;Empoli;4;0;7;7;1;1;0.55;0.45;343;0.68;15;9;4;0;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;2;0.0642857142857143;0.2666666666666666;233;0.0643776824034334;423.6363636363636;0.4285714285714285;5.454545454545454;0;0.1;1;4;6;0.0204081632653061;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Cagliari;4;17;2;79;80;Monza;2;2;11;12;4;3;0.41;0.59;323;0.77;17;11;2;2;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;6;0.0491666666666666;0.1176470588235294;249;0.0682730923694779;607.3170731707318;0.3636363636363636;9.75609756097561;-1;-0.18;-2;0;6;0.0340557275541795;0.2727272727272727;0.1366666666666666;1.3333333333333333;0;3;3;1;0;0;0;1;0.2727272727272727;0.75;0.0092879256965944;3.6666666666666665;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Cagliari;4;23;17;79;74;Roma;2;0;11;13;5;1;0.39;0.61;404;0.78;12;4;2;0;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;8;0.0469230769230769;0.1666666666666666;315;0.0380952380952381;807.6923076923076;0.2727272727272727;7.692307692307692;-2;-0.2199999999999999;-5;2;8;0.0272277227722772;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-07;Cagliari;4;3;3;79;83;Genoa;2;2;9;8;1;2;0.46;0.54;379;0.7;16;15;2;2;0;0;2;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;5;0.0675;0.125;265;0.060377358490566;576.0869565217391;0.2222222222222222;4.3478260869565215;1;-0.08;-3;0;1;0.0237467018469656;0.1111111111111111;0.46;2.0;1;0;1;0;1;0;0;1;0.1111111111111111;1.0;0.0026385224274406;9.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Cagliari;4;1;3;79;29;Bolonia;2;1;2;15;1;5;0.36;0.64;296;0.66;24;15;2;1;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.0426666666666666;0.0833333333333333;195;0.123076923076923;541.6666666666667;0.5;2.7777777777777777;-13;-0.28;-3;1;9;0.0067567567567567;0.5;0.36;1.0;1;0;1;0;0;1;1;0;0.5;1.0;0.0033783783783783;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Cagliari;4;5;3;79;14;Juventus;0;1;8;14;2;7;0.39;0.61;367;0.79;9;15;0;1;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0435714285714285;0.0;290;0.0310344827586206;743.5897435897435;0.375;7.692307692307692;-6;-0.2199999999999999;-1;-1;-6;0.0217983651226158;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Cagliari;4;5;17;79;17;Atalanta;1;1;3;9;0;2;0.41;0.59;429;0.82;11;7;1;1;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;8;0.0655555555555555;0.0909090909090909;352;0.03125;858.5365853658537;0.6666666666666666;4.878048780487805;-6;-0.18;-6;0;4;0.0069930069930069;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Cagliari;4;8;0;79;76;Parma;0;2;14;9;3;1;0.38;0.62;327;0.79;14;12;0;2;0;0;7;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;6;0.0688888888888888;0.0;258;0.0542635658914728;678.9473684210526;0.5;18.42105263157895;5;-0.24;1;-2;2;0.0428134556574923;0.1428571428571428;0.19;3.5;0;2;2;1;0;0;0;1;0.1428571428571428;0.6666666666666666;0.0061162079510703;7.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-03;Cagliari;4;8;3;79;71;Lazio;0;0;15;11;5;6;0.38;0.62;336;0.83;14;9;0;0;0;0;7;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;7;0.0563636363636363;0.0;279;0.050179211469534;734.2105263157895;0.4666666666666667;18.42105263157895;4;-0.24;0;0;5;0.0446428571428571;0.0666666666666666;0.38;7.0;0;1;1;0;0;1;0;1;0.0666666666666666;0.2;0.0029761904761904;15.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-24;Cagliari;4;8;1;79;73;Torino;1;0;6;19;1;6;0.51;0.49;420;0.81;10;11;1;0;0;0;3;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;6;0.0257894736842105;0.1;340;0.0294117647058823;666.6666666666666;0.5;5.88235294117647;-13;0.02;-3;1;-1;0.0142857142857142;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Cagliari;4;8;0;79;82;Lecce;3;2;19;7;7;2;0.49;0.51;412;0.8;11;10;3;1;0;1;6;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1;0.0728571428571428;0.2727272727272727;330;0.0333333333333333;673.469387755102;0.3157894736842105;12.244897959183673;12;-0.02;5;1;1;0.0461165048543689;0.2105263157894736;0.1225;1.5;0;4;4;1;0;0;0;1;0.2105263157894736;0.5714285714285714;0.0097087378640776;4.75;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
