Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Fernando Miguel Kaufmann-Ceará;Fabiano Silva-Ceará;Marllon Gonçalves-Ceará;Willian Machado-Ceará;Matheus Bahia Santos-Ceará;Fernando Sobral-Ceará;Diego-Ceará;Antonio Galeano-Ceará;Lucas Mugni-Ceará;Pedro Henrique-Ceará;Pedro Raúl-Ceará;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Rafael Ramos-Ceará;Aylon Darwin Tavella-Ceará;Bruno-Ceará;Eder Ferreira Graminho-Ceará;Lourenço-Ceará;Matheus Araujo-Ceará;Fernandinho-Ceará;João Pedro-Ceará;David Ricardo-Ceará;Richardson Fernandes dos Santos-Ceará;Lucas Rian-Ceará;Erick Pulga-Ceará;Saulo Mineiro-Ceará;Patrick de Lucca-Ceará;Eric Almeida de Melo-Ceará;Jorge Eduardo Recalde-Ceará;Matheus Felipe Santos Nascimento-Ceará;Ramon Menezes Roma-Ceará;Richard-Ceará;Raí Ramos-Ceará;Facundo Barceló-Ceará;Jean Carlos de Souza Irmer-Ceará;Paulo Victor-Ceará;Janderson-Ceará;Jonathan Jesus-Ceará;Facundo Ismael Castro-Ceará;Guilherme Castilho-Ceará;João Victor-Ceará;André Luiz Ribeiro da Silva-Ceará;Luiz Otavio Anacleto Leandro-Ceará;Léo Santos-Ceará;Jean Carlos Vicente-Ceará;Pedro Lucas Obermüller-Ceará;Guilherme Bissoli-Ceará;Warley Leandro da Silva-Ceará;José Ricardo Barbosa Ribeiro Drumond-Ceará;Chay-Ceará;Pedro Antonio Pimentel Ferreira-Ceará;Lucas Ribeiro-Ceará;Erick de Arruda Serafim-Ceará;Chrystian Barletta-Ceará;Nicolas Godinho Johann-Ceará;Tiago Pagnussat-Ceará;Cléber-Ceará;Caíque de Jesus Gonçalves-Ceará;Breno Rodrigues da Silva-Ceará;Danilo Carvalho Barcelos-Ceará;Maranhão-Ceará;Sidnei Rechel da Silva Junior-Ceará;Hygor Cleber Garcia Silva-Ceará;Gabriel Lacerda-Ceará;Willian Formiga-Ceará;Míchel Macedo-Ceará;Vitor Gabriel-Ceará;Arthur Rodrigues Rezende-Ceará;Álvaro Vieira de Oliveira-Ceará;Marcos Ytalo Benício da Silva-Ceará;Marcos Victor-Ceará;Bruno Pacheco-Ceará;Geovane-Ceará;Léo Rafael-Ceará;João Ricardo Riedi-Ceará;Nino Paraíba-Ceará;Victor Luis-Ceará;Richard Candido Coelho-Ceará;Vinícius Moreira de Lima-Ceará;Vinícius Goes-Ceará;John Stiven Mendoza-Ceará;Jô-Ceará;Diego Rigonato Rodrigues-Ceará;Messias-Ceará;José Roberto Assunção de Araújo Filho-Ceará
2025-05-12;Ceará;10;3;1;680;662;Santos;2;1;13;14;6;1;0.33;0.67;243;0.76;21;11;2;1;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.0478571428571428;0.0952380952380952;185;0.1135135135135135;560.6060606060606;0.4615384615384615;18.18181818181818;-1;-0.34;-3;1;10;0.0534979423868312;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Ceará;10;3;3;680;693;Vitória;0;4;18;12;8;3;0.51;0.49;336;0.77;15;31;0;4;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0408333333333333;0.0;259;0.0579150579150579;507.84313725490193;0.1666666666666666;5.88235294117647;6;0.02;0;-4;-16;0.0535714285714285;0.0555555555555555;0.51;3.0;0;1;1;1;0;0;0;1;0.0555555555555555;0.125;0.0029761904761904;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-30;Ceará;12;3;1;680;217;Palmeiras;3;4;13;12;2;4;0.55;0.45;432;0.85;19;19;3;4;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0375;0.1578947368421052;367;0.0517711171662125;667.2727272727273;0.2307692307692307;5.454545454545454;1;0.1;-1;-1;0;0.0300925925925925;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Ceará;10;3;3;680;201;São Paulo;2;5;7;14;2;4;0.4;0.6;295;0.8;13;19;2;5;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.0428571428571428;0.1538461538461538;236;0.0550847457627118;590.0;0.4285714285714285;7.5;-7;-0.1999999999999999;1;-3;-6;0.023728813559322;0.1428571428571428;0.4;3.0;1;0;1;0;1;0;0;1;0.1428571428571428;0.5;0.0033898305084745;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-21;Ceará;10;3;0;680;697;Bahía;4;2;10;13;2;4;0.35;0.65;306;0.79;18;14;4;2;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.05;0.2222222222222222;242;0.0743801652892562;691.4285714285714;0.4;11.428571428571429;-3;-0.3;1;2;4;0.0326797385620915;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-15;Ceará;10;3;3;680;777;Vasco da Gama;3;4;11;11;2;3;0.35;0.65;332;0.8;14;12;3;4;0;0;1;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.059090909090909;0.2142857142857142;266;0.0526315789473684;760.0;0.0909090909090909;2.857142857142857;0;-0.3;-1;-1;2;0.0331325301204819;0.1818181818181818;0.175;0.5;1;1;2;1;0;0;0;1;0.1818181818181818;1.0;0.0060240963855421;5.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Ceará;10;3;0;680;779;Juventude;3;1;8;17;2;3;0.41;0.59;303;0.73;15;14;3;1;0;0;3;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;4;0.0347058823529411;0.2;221;0.0678733031674208;539.0243902439024;0.375;7.317073170731708;-9;-0.18;-1;2;1;0.0264026402640264;0.125;0.41;3.0;1;0;1;0;0;1;1;0;0.125;0.5;0.0033003300330033;8.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Ceará;10;3;3;680;206;Grêmio;1;3;12;12;6;3;0.37;0.63;249;0.75;9;18;1;3;0;0;3;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;10;0.0525;0.1111111111111111;187;0.0481283422459893;505.4054054054054;0.25;8.108108108108109;0;-0.26;-7;-2;-9;0.0481927710843373;0.1666666666666666;0.185;1.5;1;1;2;1;0;0;0;1;0.1666666666666666;0.3333333333333333;0.0080321285140562;6.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-31;Ceará;10;3;3;680;659;Bragantino;3;1;13;18;6;7;0.37;0.63;318;0.71;13;14;3;1;0;0;2;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;9;0.035;0.2307692307692307;226;0.0575221238938053;610.8108108108108;0.1538461538461538;5.405405405405405;-5;-0.26;-7;2;-1;0.040880503144654;0.1538461538461538;0.185;1.0;2;0;2;0;1;0;1;0;0.1538461538461538;0.3333333333333333;0.0062893081761006;6.5;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Ceará;29;3;1;680;668;Guarani;1;3;11;4;2;1;0.54;0.46;425;0.68;14;7;1;3;0;0;7;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2;0.115;0.0714285714285714;289;0.0484429065743944;535.1851851851851;0.6363636363636364;12.962962962962962;7;0.08;5;-2;7;0.0258823529411764;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
