Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Vicente Guaita-Celta de Vigo;Javier Rodríguez Galiano-Celta de Vigo;Yoel Lago-Celta de Vigo;Marcos Alonso Mendoza-Celta de Vigo;Sergio Carreira-Celta de Vigo;Fran Beltrán-Celta de Vigo;Pablo Durán-Celta de Vigo;Ilaix Moriba-Celta de Vigo;Iker Losada-Celta de Vigo;Williot Swedberg-Celta de Vigo;Borja Iglesias-Celta de Vigo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Carl Starfelt-Celta de Vigo;Óscar Mingueza-Celta de Vigo;Iago Aspas-Celta de Vigo;Hugo Sotelo-Celta de Vigo;Alfonso González-Celta de Vigo;Damián Rodríguez Sousa-Celta de Vigo;Mihailo Ristić-Celta de Vigo;Jailson-Celta de Vigo;Fer López-Celta de Vigo;Carlos Domínguez Cáceres-Celta de Vigo;Hugo Álvarez Antúnez-Celta de Vigo;Franco Cervi-Celta de Vigo;Iván Villar-Celta de Vigo;Jonathan Bamba-Celta de Vigo;Joseph Aidoo-Celta de Vigo;Anastasios Douvikas-Celta de Vigo;Javier Manquillo-Celta de Vigo;Miguel Román González-Celta de Vigo;Kevin Vázquez Comesaña-Celta de Vigo;Miguel Rodríguez Vidal-Celta de Vigo;Renato Tapia-Celta de Vigo;Luca de la Torre-Celta de Vigo;Jørgen Strand Larsen-Celta de Vigo;Carles Pérez-Celta de Vigo;Manuel Sánchez de la Peña-Celta de Vigo;Unai Núñez-Celta de Vigo;Tadeo Allende-Celta de Vigo;Carlos Dotor-Celta de Vigo;Agustín Marchesín-Celta de Vigo;Javi Galán-Celta de Vigo;Gabri Veiga-Celta de Vigo;Óscar Rodríguez Arnaiz-Celta de Vigo;Haris Seferović-Celta de Vigo;Hugo Mallo-Celta de Vigo;Gonçalo Paciência-Celta de Vigo;Augusto Solari-Celta de Vigo
2025-04-19;Celta de Vigo;1;7;0;44;10;Barcelona;2;2;11;18;8;6;0.28;0.72;289;0.73;13;10;2;2;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.04;0.15384615384615385;211;0.061611374407582936;753.5714285714286;0.09090909090909091;3.571428571428571;-7;-0.43999999999999995;-3;0;3;0.03806228373702422;0.2727272727272727;0.09333333333333334;0.3333333333333333;1;2;3;0;0;1;1;0;0.2727272727272727;0.375;0.010380622837370242;3.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Celta de Vigo;1;7;3;44;49;RCD Espanyol;2;2;16;5;6;3;0.65;0.35;591;0.86;14;10;2;2;0;0;13;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;5;0.06999999999999999;0.14285714285714285;508;0.027559055118110236;781.5384615384615;0.8125;20.0;11;0.30000000000000004;8;0;4;0.02707275803722504;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Celta de Vigo;1;5;3;44;40;R.C.D. Mallorca;0;3;10;7;4;2;0.56;0.44;487;0.86;11;9;0;3;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;4;0.06285714285714286;0.0;419;0.026252983293556086;748.2142857142857;0.2;3.571428571428571;3;0.12000000000000005;-2;-3;2;0.02053388090349076;0.2;0.28;1.0;0;2;2;1;0;0;1;0;0.2;0.5;0.004106776180698152;5.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-31;Celta de Vigo;1;6;4;44;50;U. D. Las Palmas;3;0;20;4;7;2;0.61;0.39;638;0.87;17;5;3;0;0;0;4;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;2;0.0975;0.17647058823529413;555;0.03063063063063063;909.8360655737705;0.2;6.557377049180328;16;0.21999999999999997;2;3;12;0.03134796238244514;0.05;0.61;4.0;1;0;1;0;1;0;0;1;0.05;0.14285714285714285;0.001567398119122257;20.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Celta de Vigo;1;6;7;44;51;Valladolid;3;3;10;5;1;2;0.61;0.39;567;0.87;15;9;3;3;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3;0.078;0.2;493;0.030425963488843813;808.1967213114755;0.4;6.557377049180328;5;0.21999999999999997;1;0;6;0.01763668430335097;0.1;0.61;4.0;0;1;1;1;0;0;1;0;0.1;1.0;0.001763668430335097;10.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Celta de Vigo;1;6;9;44;47;Leganés;3;2;7;12;4;6;0.57;0.43;594;0.85;10;9;3;2;0;0;2;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;5;0.035833333333333335;0.3;505;0.019801980198019802;885.9649122807018;0.2857142857142857;3.5087719298245617;-5;0.13999999999999996;-3;1;1;0.011784511784511785;0.2857142857142857;0.285;1.0;2;0;2;1;0;0;0;1;0.2857142857142857;0.5;0.003367003367003367;3.5;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Celta de Vigo;1;17;17;44;24;Girona;0;0;10;9;6;6;0.49;0.51;470;0.87;17;8;0;0;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;4;0.05666666666666667;0.0;409;0.04156479217603912;834.6938775510205;0.2;4.081632653061225;1;-0.020000000000000018;-2;0;9;0.02127659574468085;0.2;0.245;1.0;1;1;2;0;1;0;1;0;0.2;0.3333333333333333;0.00425531914893617;5.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-21;Celta de Vigo;1;6;4;44;41;Osasuna;1;0;12;18;5;1;0.45;0.55;460;0.88;11;13;1;0;0;0;5;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;4;0.030555555555555558;0.09090909090909091;405;0.027160493827160494;900.0;0.4166666666666667;11.11111111111111;-6;-0.10000000000000003;1;1;-2;0.02608695652173913;0.08333333333333333;0.45;5.0;0;1;1;1;0;0;0;1;0.08333333333333333;0.2;0.002173913043478261;12.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Celta de Vigo;1;6;1;44;27;Atlético Madrid;5;4;11;9;4;3;0.68;0.32;643;0.9;18;8;5;3;0;1;7;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;2;0.035555555555555556;0.2777777777777778;579;0.031088082901554404;851.470588235294;0.6363636363636364;10.294117647058822;2;0.36000000000000004;5;1;10;0.017107309486780714;0.09090909090909091;0.68;7.0;0;1;1;0;1;0;1;0;0.09090909090909091;0.25;0.0015552099533437014;11.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Celta de Vigo;1;6;3;44;39;Betis;3;5;14;12;6;5;0.56;0.44;558;0.85;11;11;3;5;0;0;4;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;7;0.03666666666666667;0.2727272727272727;474;0.023206751054852322;846.4285714285713;0.2857142857142857;7.142857142857142;2;0.12000000000000005;-3;-2;0;0.025089605734767026;0.21428571428571427;0.18666666666666668;1.3333333333333333;0;3;3;1;0;0;0;1;0.21428571428571427;0.5;0.005376344086021506;4.666666666666667;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
