Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Robert Sánchez-Chelsea;Reece James-Chelsea;Trevoh Chalobah-Chelsea;Levi Colwill-Chelsea;Marc Cucurella-Chelsea;Enzo Fernández-Chelsea;Moisés Caicedo-Chelsea;Noni Madueke-Chelsea;Cole Palmer-Chelsea;Pedro Neto-Chelsea;Nicolas Jackson-Chelsea;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Filip Jörgensen-Chelsea;Josh Acheampong-Chelsea;Tosin Adarabioyo-Chelsea;Benoît Badiashile-Chelsea;Kiernan Dewsbury-Hall-Chelsea;Jadon Sancho-Chelsea;Christopher Nkunku-Chelsea;Malo Gusto-Chelsea;Tyrique George-Chelsea;Wesley Fofana-Chelsea;Shim Mheuka-Chelsea;Roméo Lavia-Chelsea;Axel Disasi-Chelsea;Renato Veiga-Chelsea;João Félix-Chelsea;Marc Guiu-Chelsea;Cesare Casadei-Chelsea;Mijailo Mudryk-Chelsea;Raheem Sterling-Chelsea;Carney Chukwuemeka-Chelsea;Đorđe Petrović-Chelsea;Thiago Silva-Chelsea;Conor Gallagher-Chelsea;Alfie Gilchrist-Chelsea;Ben Chilwell-Chelsea;Armando Broja-Chelsea;Ian Maatsen-Chelsea;Lesley Ugochukwu-Chelsea;Bashir Humphreys-Chelsea;Diego Moreira-Chelsea;Mason Burstow-Chelsea;Kepa Arrizabalaga-Chelsea;Gaga Słonina-Chelsea;Andrey Santos-Chelsea;Jamie Cumming-Chelsea;César Azpilicueta-Chelsea;Lewis Hall-Chelsea;Ruben Loftus-Cheek-Chelsea;Kai Havertz-Chelsea;Édouard Mendy-Chelsea;Mateo Kovačić-Chelsea;N'Golo Kanté-Chelsea;Pierre Emerick Aubameyang-Chelsea;Denis Zakaria-Chelsea;Christian Pulisic-Chelsea;Kalidou Koulibaly-Chelsea
2025-04-20;Chelsea;3;3;3;53;58;Fulham;3;1;13;6;8;1;0.6;0.4;528;0.88;9;13;3;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.06666666666666667;0.3333333333333333;465;0.01935483870967742;775.0;0.3076923076923077;6.666666666666667;7;0.19999999999999996;-1;2;-4;0.02462121212121212;0.15384615384615385;0.3;2.0;0;2;2;1;0;0;1;0;0.15384615384615385;0.25;0.003787878787878788;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-17;Chelsea;21;3;7;53;136;Legia de Varsovia;2;0;16;13;8;5;0.71;0.29;785;0.92;9;6;2;0;0;0;2;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;3;0.022307692307692306;0.2222222222222222;722;0.012465373961218837;1016.9014084507043;0.125;2.8169014084507045;3;0.42;-1;2;3;0.02038216560509554;0.0625;0.71;2.0;1;0;1;0;0;1;0;1;0.0625;0.125;0.0012738853503184713;16.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Chelsea;3;3;3;53;66;Ipswich;2;2;34;13;9;4;0.74;0.26;581;0.87;11;7;2;2;0;0;15;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.02;0.18181818181818182;505;0.02178217821782178;682.4324324324324;0.4411764705882353;20.27027027027027;21;0.48;11;0;4;0.058519793459552494;0.058823529411764705;0.37;7.5;0;2;2;0;1;0;0;1;0.058823529411764705;0.2222222222222222;0.0034423407917383822;17.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-10;Chelsea;21;3;9;53;136;Legia de Varsovia;0;0;23;8;10;1;0.73;0.27;782;0.93;5;7;0;0;0;0;8;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6;0.03375;0.0;727;0.0068775790921595595;995.8904109589041;0.34782608695652173;10.95890410958904;15;0.45999999999999996;2;0;-2;0.029411764705882353;0.13043478260869565;0.24333333333333332;2.6666666666666665;0;3;3;1;0;0;1;0;0.13043478260869565;0.3;0.0038363171355498722;7.666666666666667;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Chelsea;3;3;3;53;57;Brentford;3;1;21;9;5;2;0.6;0.4;488;0.83;12;12;3;1;0;0;6;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;3;0.044444444444444446;0.25;405;0.02962962962962963;675.0;0.2857142857142857;10.0;12;0.19999999999999996;3;2;0;0.0430327868852459;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-03;Chelsea;3;3;0;53;56;Tottenham;5;5;11;8;5;2;0.5;0.5;437;0.85;7;16;5;5;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;6;0.0625;0.7142857142857143;371;0.018867924528301886;742.0;0.36363636363636365;8.0;3;0.0;-2;0;-9;0.02517162471395881;0.09090909090909091;0.5;4.0;0;1;1;1;0;0;0;1;0.09090909090909091;0.2;0.002288329519450801;11.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Chelsea;3;3;0;53;9;Arsenal;3;3;8;12;2;4;0.6;0.4;515;0.86;13;10;3;3;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;5;0.03333333333333333;0.23076923076923078;443;0.029345372460496615;738.3333333333334;0.5;6.666666666666667;-4;0.19999999999999996;-1;0;3;0.015533980582524271;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Chelsea;21;3;9;53;158;København;2;1;11;10;5;1;0.54;0.46;559;0.89;9;7;2;1;0;0;1;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;6;0.046;0.2222222222222222;498;0.018072289156626505;922.2222222222222;0.09090909090909091;1.8518518518518516;1;0.08000000000000002;-5;1;2;0.01967799642218247;0.09090909090909091;0.54;1.0;0;1;1;1;0;0;0;1;0.09090909090909091;0.2;0.0017889087656529517;11.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Chelsea;3;3;17;53;63;Leicester City;1;0;20;3;7;3;0.57;0.43;541;0.86;12;13;1;0;0;0;12;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;2;0.14333333333333334;0.08333333333333333;465;0.025806451612903226;815.7894736842106;0.6;21.05263157894737;17;0.13999999999999996;10;1;-1;0.036968576709796676;0.05;0.57;12.0;0;1;1;1;0;0;0;1;0.05;0.14285714285714285;0.0018484288354898336;20.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Chelsea;21;3;9;53;158;København;1;4;5;5;2;2;0.63;0.37;720;0.92;5;10;1;4;0;0;0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1;0.074;0.2;662;0.0075528700906344415;1050.7936507936508;0.0;0.0;0;0.26;-1;-3;-5;0.006944444444444444;0.4;0.315;0.0;0;2;2;1;0;0;1;0;0.4;1.0;0.002777777777777778;2.5;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
