Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
20/11/24;Criciúma;10;13;3;778;693;Vitória;13;1;49;419;83;11;1;1;6;Luiz Gustavo de Almeida Pinto;Portero;Claudinho;Defensor;Rodrigo Fagundes de Freitas;Defensor;Tobias Figueiredo;Defensor;Marcelo Hermes;Defensor;Ronald dos Santos Lopes;Mediocampista;Newton;Mediocampista;Matheus Leonardo Sales Cardoso;Mediocampista;Fellipe Mateus;Mediocampista;Felipe Vizeu;Delantero;Yannick Bolasie;Delantero;0;0;0;0;0;1;0;1
9/11/24;Criciúma;10;3;3;778;636;Cruzeiro;12;7;36;337;77;11;4;0;5;Alisson Machado dos Santos;Portero;Claudinho;Defensor;Rodrigo Fagundes de Freitas;Defensor;Wilker Ángel;Defensor;Miguel Trauco;Defensor;Newton;Mediocampista;Gustavo Barreto;Mediocampista;Allano;Mediocampista;Matheus Leonardo Sales Cardoso;Mediocampista;Marcelo Hermes;Mediocampista;Arthur Caike do Nascimento Cruz;Delantero;0;1;1;0;0;1;1;0
5/11/24;Criciúma;10;1;3;778;641;Internacional;5;4;31;272;72;13;2;1;3;Luiz Gustavo de Almeida Pinto;Portero;Jonathan Francisco Lemos;Defensor;Rodrigo Fagundes de Freitas;Defensor;Tobias Figueiredo;Defensor;Marcelo Hermes;Defensor;Claudinho;Mediocampista;Gustavo Barreto;Mediocampista;Newton;Mediocampista;Fellipe Mateus;Mediocampista;Yannick Bolasie;Delantero;Felipe Vizeu;Delantero;0;0;0;0;0;1;1;0
26/10/24;Criciúma;10;3;3;778;201;São Paulo;10;3;30;277;76;13;2;0;6;Luiz Gustavo de Almeida Pinto;Portero;Claudinho;Defensor;Rodrigo Fagundes de Freitas;Defensor;Tobias Figueiredo;Defensor;Miguel Trauco;Defensor;Newton;Mediocampista;Gustavo Barreto;Mediocampista;Yannick Bolasie;Mediocampista;Matheus Leonardo Sales Cardoso;Mediocampista;Marcelo Hermes;Mediocampista;Felipe Vizeu;Delantero;1;0;1;0;1;0;0;1
18/10/24;Criciúma;10;9;6;778;210;Botafogo;6;3;27;258;68;10;2;0;1;Luiz Gustavo de Almeida Pinto;Portero;Claudinho;Defensor;Rodrigo Fagundes de Freitas;Defensor;Tobias Figueiredo;Defensor;Marcelo Hermes;Defensor;Miguel Trauco;Defensor;Allano;Mediocampista;Ronald dos Santos Lopes;Mediocampista;Higor Meritão;Mediocampista;Fellipe Mateus;Mediocampista;Arthur Caike do Nascimento Cruz;Delantero;0;1;1;0;1;0;1;0
3/10/24;Criciúma;10;3;0;778;776;Atlético Goianiense;17;5;46;385;78;16;1;0;7;Luiz Gustavo de Almeida Pinto;Portero;Dudu;Defensor;Rodrigo Fagundes de Freitas;Defensor;Tobias Figueiredo;Defensor;Marcelo Hermes;Defensor;Newton;Mediocampista;Gustavo Barreto;Mediocampista;Allano;Mediocampista;Matheus Leonardo Sales Cardoso;Mediocampista;Fellipe Mateus;Mediocampista;Yannick Bolasie;Delantero;1;1;2;1;0;0;0;1
29/9/24;Criciúma;10;28;1;778;697;Bahía;2;1;45;431;82;8;2;0;1;Luiz Gustavo de Almeida Pinto;Portero;Claudinho;Defensor;Rodrigo Fagundes de Freitas;Defensor;Tobias Figueiredo;Defensor;Marcelo Hermes;Defensor;Gustavo Barreto;Mediocampista;Patrick de Paula;Mediocampista;Fellipe Mateus;Mediocampista;Marquinhos Gabriel;Mediocampista;Allano;Delantero;Yannick Bolasie;Delantero;0;0;0;0;0;1;1;0
25/9/24;Criciúma;10;7;3;778;206;Grêmio;11;4;35;323;79;12;5;0;3;Luiz Gustavo de Almeida Pinto;Portero;Dudu;Defensor;Rodrigo Fagundes de Freitas;Defensor;Tobias Figueiredo;Defensor;Marcelo Hermes;Defensor;Gustavo Barreto;Mediocampista;Allano;Mediocampista;Newton;Mediocampista;Matheus Leonardo Sales Cardoso;Mediocampista;Fellipe Mateus;Mediocampista;Arthur Caike do Nascimento Cruz;Delantero;1;1;2;1;0;0;1;0
22/9/24;Criciúma;10;7;0;778;649;Paranaense;25;6;62;499;82;11;2;0;12;Luiz Gustavo de Almeida Pinto;Portero;Dudu;Defensor;Rodrigo Fagundes de Freitas;Defensor;Tobias Figueiredo;Defensor;Marcelo Hermes;Defensor;Gustavo Barreto;Mediocampista;Allano;Mediocampista;Newton;Mediocampista;Matheus Leonardo Sales Cardoso;Mediocampista;Fellipe Mateus;Mediocampista;Yannick Bolasie;Delantero;0;0;0;0;1;0;0;1
15/9/24;Criciúma;10;22;3;778;217;Palmeiras;14;5;46;384;84;11;3;0;6;Luiz Gustavo de Almeida Pinto;Portero;Claudinho;Defensor;Walisson Moreira Farias Maia;Defensor;Tobias Figueiredo;Defensor;Marcelo Hermes;Defensor;Patrick de Paula;Mediocampista;Newton;Mediocampista;Gustavo Barreto;Mediocampista;Matheus Leonardo Sales Cardoso;Mediocampista;Arthur Caike do Nascimento Cruz;Delantero;Yannick Bolasie;Delantero;0;0;0;0;0;1;1;0
31/8/24;Criciúma;10;7;3;778;656;Cuiabá;12;3;55;484;85;9;0;0;5;Luiz Gustavo de Almeida Pinto;Portero;Dudu;Defensor;Tobias Figueiredo;Defensor;Walisson Moreira Farias Maia;Defensor;Marcelo Hermes;Defensor;Higor Meritão;Mediocampista;Allano;Mediocampista;Newton;Mediocampista;Fellipe Mateus;Mediocampista;Ronald dos Santos Lopes;Mediocampista;Arthur Caike do Nascimento Cruz;Delantero;1;0;1;0;0;1;1;0
28/8/24;Criciúma;10;7;0;778;659;Bragantino;13;2;48;352;79;17;3;0;6;Luiz Gustavo de Almeida Pinto;Portero;Dudu;Defensor;Walisson Moreira Farias Maia;Defensor;Tobias Figueiredo;Defensor;Marcelo Hermes;Defensor;Patrick de Paula;Mediocampista;Allano;Mediocampista;Newton;Mediocampista;Matheus Leonardo Sales Cardoso;Mediocampista;Ronald dos Santos Lopes;Mediocampista;Yannick Bolasie;Delantero;1;0;1;1;0;0;0;1
25/8/24;Criciúma;10;22;3;778;206;Grêmio;19;4;46;395;78;15;2;0;6;Luiz Gustavo de Almeida Pinto;Portero;Claudinho;Defensor;Rodrigo Fagundes de Freitas;Defensor;Tobias Figueiredo;Defensor;Miguel Trauco;Defensor;Higor Meritão;Mediocampista;Newton;Mediocampista;Marcelo Hermes;Mediocampista;Marquinhos Gabriel;Mediocampista;Arthur Caike do Nascimento Cruz;Delantero;Yannick Bolasie;Delantero;0;0;0;0;0;1;0;1
18/8/24;Criciúma;10;3;3;778;777;Vasco da Gama;19;8;51;434;81;15;3;0;9;Luiz Gustavo de Almeida Pinto;Portero;Claudinho;Defensor;Rodrigo Fagundes de Freitas;Defensor;Wilker Ángel;Defensor;Miguel Trauco;Defensor;Newton;Mediocampista;Higor Meritão;Mediocampista;Marquinhos Gabriel;Mediocampista;Fellipe Mateus;Mediocampista;Allano;Mediocampista;Yannick Bolasie;Delantero;1;1;2;0;1;0;0;1
10/8/24;Criciúma;10;3;3;778;644;Fortaleza;12;2;49;433;81;13;4;0;6;Luiz Gustavo de Almeida Pinto;Portero;Claudinho;Defensor;Rodrigo Fagundes de Freitas;Defensor;Wilker Ángel;Defensor;Miguel Trauco;Defensor;Newton;Mediocampista;Higor Meritão;Mediocampista;Allano;Mediocampista;Marquinhos Gabriel;Mediocampista;Marcelo Hermes;Mediocampista;Yannick Bolasie;Delantero;0;0;0;0;0;1;1;0
