Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Dean Henderson-Crystal Palace;Chris Richards-Crystal Palace;Maxence Lacroix-Crystal Palace;Marc Guéhi-Crystal Palace;Daniel Muñoz-Crystal Palace;Adam Wharton-Crystal Palace;Will Hughes-Crystal Palace;Tyrick Mitchell-Crystal Palace;Ismaïla Sarr-Crystal Palace;Eberechi Eze-Crystal Palace;Jean-Philippe Mateta-Crystal Palace;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jefferson Lerma-Crystal Palace;Daichi Kamada-Crystal Palace;Nathaniel Clyne-Crystal Palace;Caleb Kporha-Crystal Palace;Romain Esse-Crystal Palace;Eddie Nketiah-Crystal Palace;Matt Turner-Crystal Palace;Ben Chilwell-Crystal Palace;Justin Devenny-Crystal Palace;Chadi Riad-Crystal Palace;Cheick Doucouré-Crystal Palace;Trevoh Chalobah-Crystal Palace;Odsonne Edouard-Crystal Palace;Joachim Andersen-Crystal Palace;Jeff Schlupp-Crystal Palace;Jordan Ayew-Crystal Palace;Sam Johnstone-Crystal Palace;Jesurun Rak-Sakyi-Crystal Palace;Rob Holding-Crystal Palace;Joel Ward-Crystal Palace;Michael Olise-Crystal Palace;Matheus França de Oliveira-Crystal Palace;Jaïro Riedewald-Crystal Palace;James Tomkins-Crystal Palace;Naouirou Ahamada-Crystal Palace;Wilfried Zaha-Crystal Palace;Albert Sambi Lokonga-Crystal Palace;Luka Milivojević-Crystal Palace;Vicente Guaita-Crystal Palace;Joe Whitworth-Crystal Palace
2025-04-19;Crystal Palace;3;17;3;65;59;Bournemouth;4;4;5;15;0;4;0.27;0.73;210;0.6;13;10;3;4;1;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0486666666666666;0.3076923076923077;126;0.1031746031746031;466.6666666666666;1.0;18.51851851851852;-10;-0.4599999999999999;1;0;3;0.0238095238095238;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Crystal Palace;3;17;0;65;60;Newcastle;3;2;11;14;4;7;0.4;0.6;361;0.77;15;9;3;2;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;5;0.0428571428571428;0.2;278;0.0539568345323741;695.0;0.3636363636363636;10.0;-3;-0.1999999999999999;-1;1;6;0.0304709141274238;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Crystal Palace;3;17;3;65;3;Manchester City;3;2;8;21;3;9;0.32;0.68;341;0.81;16;10;3;2;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1;0.0323809523809523;0.1875;276;0.0579710144927536;862.5;0.5;12.5;-13;-0.36;3;1;6;0.0234604105571847;0.25;0.16;2.0;2;0;2;0;0;1;1;0;0.25;0.6666666666666666;0.0058651026392961;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Crystal Palace;3;17;3;65;54;Brighton;2;2;8;11;3;5;0.37;0.63;325;0.75;12;13;0;1;2;1;2;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.0572727272727272;0.1666666666666666;244;0.0491803278688524;659.4594594594595;0.25;5.405405405405405;-3;-0.26;-2;0;-1;0.0246153846153846;0.25;0.185;1.0;1;1;2;1;0;0;0;1;0.25;0.6666666666666666;0.0061538461538461;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Crystal Palace;3;17;17;65;68;Southampton;1;2;9;8;3;2;0.58;0.42;526;0.84;9;14;1;2;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2;0.0525;0.1111111111111111;442;0.0203619909502262;762.0689655172414;0.2222222222222222;3.4482758620689657;1;0.1599999999999999;0;-1;-5;0.0171102661596958;0.1111111111111111;0.58;2.0;0;1;1;0;1;0;1;0;0.1111111111111111;0.3333333333333333;0.0019011406844106;9.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Crystal Palace;15;17;3;65;58;Fulham;4;0;8;16;6;3;0.29;0.71;263;0.68;10;11;4;0;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;12;0.044375;0.4;179;0.0558659217877094;617.2413793103449;0.25;6.896551724137932;-8;-0.42;-10;4;-1;0.0304182509505703;0.375;0.0966666666666666;0.6666666666666666;2;1;3;1;0;0;1;0;0.375;0.5;0.0114068441064638;2.6666666666666665;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Crystal Palace;6;17;2;65;-1;Hamarkameratene;0;0;14;9;4;2;0.66;0.34;616;0.86;12;6;0;0;0;0;11;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3;0.0377777777777777;0.0;530;0.0226415094339622;803.030303030303;0.7857142857142857;16.666666666666664;5;0.32;8;0;6;0.0227272727272727;0.0714285714285714;0.66;11.0;0;1;1;1;0;0;1;0;0.0714285714285714;0.25;0.0016233766233766;14.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Crystal Palace;3;17;3;65;66;Ipswich;4;3;19;15;4;8;0.56;0.44;407;0.73;8;7;4;3;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;4;0.0293333333333333;0.5;297;0.0269360269360269;530.3571428571428;0.2631578947368421;8.928571428571427;4;0.12;1;1;1;0.0466830466830466;0.0526315789473684;0.56;5.0;0;1;1;1;0;0;0;1;0.0526315789473684;0.25;0.0024570024570024;19.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Crystal Palace;15;17;3;65;825;Millwall;0;3;17;6;6;2;0.77;0.23;608;0.86;9;11;0;2;0;1;3;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;4;0.0383333333333333;0.0;523;0.017208413001912;679.2207792207791;0.1764705882352941;3.896103896103896;11;0.54;-1;-3;-2;0.0279605263157894;0.1764705882352941;0.2566666666666666;1.0;2;1;3;1;0;0;0;1;0.1764705882352941;0.5;0.0049342105263157;5.666666666666667;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Crystal Palace;3;17;6;65;1;Aston Villa;3;1;19;6;6;2;0.35;0.65;257;0.72;19;10;3;1;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8;0.1083333333333333;0.1578947368421052;185;0.1027027027027027;528.5714285714286;0.1578947368421052;8.571428571428571;13;-0.3;-5;2;9;0.0739299610894941;0.2105263157894736;0.0875;0.75;1;3;4;1;0;0;0;1;0.2105263157894736;0.6666666666666666;0.0155642023346303;4.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
