Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
28/9/24;Crystal Palace;3;6;17;5;60;535;81;11;0;0;8;1;0;1;0;0;1;1;0
21/9/24;Crystal Palace;3;17;9;4;33;313;70;7;3;0;4;0;0;0;0;1;0;0;1
17/9/24;Crystal Palace;14;17;8;4;57;583;87;12;3;0;2;1;1;2;1;0;0;1;0
14/9/24;Crystal Palace;3;17;20;4;68;595;84;11;0;0;5;0;2;2;0;1;0;0;1
1/9/24;Crystal Palace;3;17;9;3;37;350;78;13;2;0;4;0;1;1;0;1;0;1;0
27/8/24;Crystal Palace;14;17;14;5;43;541;89;13;2;0;4;1;3;4;1;0;0;0;1
24/8/24;Crystal Palace;3;17;14;2;59;552;82;9;1;0;3;0;0;0;0;0;1;0;1
18/8/24;Crystal Palace;3;17;14;6;54;481;80;15;5;0;7;0;1;1;0;0;1;1;0
11/8/24;Crystal Palace;6;17;13;2;63;617;88;12;0;0;2;0;1;1;0;1;0;0;1
3/8/24;Crystal Palace;6;17;16;8;46;386;76;9;1;0;7;0;0;0;1;0;0;0;1
31/7/24;Crystal Palace;6;17;9;4;35;328;75;14;2;0;3;1;2;3;1;0;0;0;1
27/7/24;Crystal Palace;6;6;17;9;39;359;78;12;0;0;2;4;2;6;1;0;0;1;0
19/7/24;Crystal Palace;6;6;12;4;65;586;84;10;0;0;5;0;1;1;0;1;0;0;1
19/5/24;Crystal Palace;3;17;15;9;54;552;89;10;1;0;2;2;3;5;1;0;0;0;1
11/5/24;Crystal Palace;3;17;13;3;38;345;73;12;2;1;3;2;1;3;1;0;0;1;0
6/5/24;Crystal Palace;3;17;18;10;42;439;81;12;1;0;6;2;2;4;1;0;0;0;1
27/4/24;Crystal Palace;3;17;14;4;46;446;81;15;2;0;9;0;1;1;0;1;0;1;0
24/4/24;Crystal Palace;3;17;20;7;46;441;76;10;3;0;7;0;2;2;1;0;0;0;1
21/4/24;Crystal Palace;3;17;18;7;61;650;85;9;3;0;4;4;1;5;1;0;0;0;1
14/4/24;Crystal Palace;3;6;8;5;30;324;68;10;1;0;1;1;0;1;1;0;0;1;0
