Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
23/11/24;Dinamo Zagreb;51;7;3;22;-1;Rijeka;9;0;53;437;75;15;3;0;4;Danijel Zagorac;Portero;Stefan Ristovski;Defensor;Kévin Théophile Catherine;Defensor;Raúl Torrente;Defensor;Takuya Ogiwara;Defensor;Josip Mišić;Mediocampista;Dario Špikić;Mediocampista;Arijan Ademi;Mediocampista;Martin Baturina;Mediocampista;Marko Pjaca;Mediocampista;Sandro Kulenović;Delantero;0;0;0;0;1;0;0;1
9/11/24;Dinamo Zagreb;51;7;3;22;-1;HNK Gorica;34;7;71;536;83;12;1;0;13;Danijel Zagorac;Portero;Stefan Ristovski;Defensor;Kévin Théophile Catherine;Defensor;Raúl Torrente;Defensor;Ronaël Pierre-Gabriel;Defensor;Petar Sučić;Mediocampista;Dario Špikić;Mediocampista;Arijan Ademi;Mediocampista;Martin Baturina;Mediocampista;Marko Pjaca;Mediocampista;Sandro Kulenović;Delantero;1;1;2;0;1;0;1;0
5/11/24;Dinamo Zagreb;0;0;3;22;36;Slovan Bratislava;13;5;40;335;84;13;2;0;3;Danijel Zagorac;Portero;Stefan Ristovski;Defensor;Kévin Théophile Catherine;Defensor;Raúl Torrente;Defensor;Takuya Ogiwara;Defensor;Petar Sučić;Mediocampista;Josip Mišić;Mediocampista;Martin Baturina;Mediocampista;Dario Špikić;Delantero;Sandro Kulenović;Delantero;Marko Pjaca;Delantero;2;2;4;1;0;0;1;0
5/11/24;Dinamo Zagreb;0;0;3;22;36;Slovan Bratislava;13;5;40;335;84;13;2;0;3;Danijel Zagorac;Portero;Stefan Ristovski;Defensor;Kévin Théophile Catherine;Defensor;Raúl Torrente;Defensor;Takuya Ogiwara;Defensor;Petar Sučić;Mediocampista;Josip Mišić;Mediocampista;Martin Baturina;Mediocampista;Dario Špikić;Delantero;Sandro Kulenović;Delantero;Marko Pjaca;Delantero;2;2;4;1;0;0;1;0
1/11/24;Dinamo Zagreb;51;3;3;22;-1;Šibenik;13;6;60;515;84;14;0;0;5;Danijel Zagorac;Portero;Stefan Ristovski;Defensor;Kévin Théophile Catherine;Defensor;Raúl Torrente;Defensor;Takuya Ogiwara;Defensor;Petar Sučić;Mediocampista;Arijan Ademi;Mediocampista;Dario Špikić;Mediocampista;Marko Rog;Mediocampista;Marko Pjaca;Mediocampista;Sandro Kulenović;Delantero;2;2;4;1;0;0;1;0
27/10/24;Dinamo Zagreb;51;7;4;22;-1;Osijek;14;5;68;643;86;11;3;0;4;Ivan Nevistic;Portero;Samy Mmaee;Defensor;Maxime Bernauer;Defensor;Raúl Torrente;Defensor;Arbër Hoxha;Defensor;Josip Mišić;Mediocampista;Ronaël Pierre-Gabriel;Mediocampista;Petar Sučić;Mediocampista;Martin Baturina;Mediocampista;Marko Pjaca;Mediocampista;Sandro Kulenović;Delantero;1;1;2;0;0;1;0;1
23/10/24;Dinamo Zagreb;0;23;0;22;34;RB Salzburg;18;5;52;474;85;10;1;0;5;Ivan Nevistic;Portero;Kévin Théophile Catherine;Defensor;Maxime Bernauer;Defensor;Raúl Torrente;Defensor;Stefan Ristovski;Mediocampista;Petar Sučić;Mediocampista;Josip Mišić;Mediocampista;Arijan Ademi;Mediocampista;Takuya Ogiwara;Mediocampista;Martin Baturina;Mediocampista;Sandro Kulenović;Delantero;0;2;2;1;0;0;1;0
19/10/24;Dinamo Zagreb;51;7;3;22;-1;Istra;16;3;67;521;81;9;3;0;4;Danijel Zagorac;Portero;Stefan Ristovski;Defensor;Kévin Théophile Catherine;Defensor;Raúl Torrente;Defensor;Ronaël Pierre-Gabriel;Defensor;Josip Mišić;Mediocampista;Marko Pjaca;Mediocampista;Arijan Ademi;Mediocampista;Petar Sučić;Mediocampista;Luka Stojković;Mediocampista;Sandro Kulenović;Delantero;0;2;2;0;1;0;1;0
6/10/24;Dinamo Zagreb;51;7;29;22;-1;NK Varaždin;11;6;42;319;63;17;3;0;4;Danijel Zagorac;Portero;Stefan Ristovski;Defensor;Kévin Théophile Catherine;Defensor;Raúl Torrente;Defensor;Ronaël Pierre-Gabriel;Defensor;Josip Mišić;Mediocampista;Juan José Cordoba;Mediocampista;Petar Sučić;Mediocampista;Martin Baturina;Mediocampista;Arbër Hoxha;Mediocampista;Sandro Kulenović;Delantero;1;0;1;1;0;0;1;0
2/10/24;Dinamo Zagreb;0;17;3;22;4;Mónaco;7;3;38;318;71;16;5;0;2;Ivan Nevistic;Portero;Maxime Bernauer;Defensor;Kévin Théophile Catherine;Defensor;Raúl Torrente;Defensor;Stefan Ristovski;Mediocampista;Petar Sučić;Mediocampista;Josip Mišić;Mediocampista;Ronaël Pierre-Gabriel;Mediocampista;Arijan Ademi;Mediocampista;Martin Baturina;Mediocampista;Bruno Petković;Delantero;1;1;2;0;1;0;0;1
28/9/24;Dinamo Zagreb;51;7;3;22;-1;Lokomotiva;17;9;51;419;80;15;1;0;6;Ivan Nevistic;Portero;Stefan Ristovski;Defensor;Maxime Bernauer;Defensor;Raúl Torrente;Defensor;Ronaël Pierre-Gabriel;Defensor;Josip Mišić;Mediocampista;Juan José Cordoba;Mediocampista;Arijan Ademi;Mediocampista;Martin Baturina;Mediocampista;Arbër Hoxha;Mediocampista;Bruno Petković;Delantero;2;3;5;1;0;0;0;1
21/9/24;Dinamo Zagreb;51;7;3;22;-1;Slaven Koprivnica;17;5;59;451;84;11;1;0;10;Ivan Nevistic;Portero;Ronaël Pierre-Gabriel;Defensor;Maxime Bernauer;Defensor;Samy Mmaee;Defensor;Takuya Ogiwara;Defensor;Josip Mišić;Mediocampista;Juan José Cordoba;Mediocampista;Luka Stojković;Mediocampista;Martin Baturina;Mediocampista;Marko Pjaca;Mediocampista;Bruno Petković;Delantero;1;0;1;0;0;1;1;0
