Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Gregor Kobel-Dortmund;Niklas Süle-Dortmund;Waldemar Anton-Dortmund;Ramy Bensebaini-Dortmund;Julian Ryerson-Dortmund;Felix Nmecha-Dortmund;Pascal Groß-Dortmund;Daniel Svensson-Dortmund;Julian Brandt-Dortmund;Jamie Bynoe-Gittens-Dortmund;Serhou Guirassy-Dortmund;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Emre Can-Dortmund;Yan Couto-Dortmund;Maximilian Beier-Dortmund;Karim Adeyemi-Dortmund;Salih Özcan-Dortmund;Carney Chukwuemeka-Dortmund;Nico Schlotterbeck-Dortmund;Marcel Sabitzer-Dortmund;Giovanni Reyna-Dortmund;Julien Duranville-Dortmund;Yannik Lührs-Dortmund;Almugera Kabar-Dortmund;Donyell Malen-Dortmund;Alexander Meyer-Dortmund;Tom Rothe-Dortmund;Ayman Azhil-Dortmund;Sébastien Haller-Dortmund;Youssoufa Moukoko-Dortmund;Paris Brunner-Dortmund;Elias Benkara-Dortmund;Kjell-Arik Wätjen-Dortmund;Tyler Meiser-Dortmund;Mats Hummels-Dortmund;Ian Maatsen-Dortmund;Jadon Sancho-Dortmund;Niclas Füllkrug-Dortmund;Marco Reus-Dortmund;Marius Wolf-Dortmund;Mateu Morey-Dortmund;Antonios Papadopoulos-Dortmund;Thomas Meunier-Dortmund;Guille Bueno-Dortmund;Ole Pohlmann-Dortmund;Paul-Philipp Besong-Dortmund;Thorgan Hazard-Dortmund;Franz Pfanne-Dortmund;Samuel Bamba-Dortmund;Julian Rijkhoff-Dortmund;Raphaël Guerreiro-Dortmund;Jude Bellingham-Dortmund;Mahmoud Dahoud-Dortmund
2025-05-03;Dortmund;9;17;2;11;175;Wolfsburg;0;1;11;11;5;2;0.55;0.45;527;0.87;13;6;0;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.04090909090909091;0.0;458;0.028384279475982533;832.7272727272726;0.36363636363636365;7.2727272727272725;0;0.10000000000000003;1;-1;7;0.020872865275142316;0.36363636363636365;0.1375;1.0;1;3;4;1;0;0;0;1;0.36363636363636365;0.8;0.007590132827324478;2.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Dortmund;9;17;17;11;97;Hoffenheim;1;5;16;11;8;3;0.63;0.37;622;0.86;9;17;1;5;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2;0.03363636363636364;0.1111111111111111;535;0.016822429906542057;849.2063492063492;0.3125;7.936507936507937;5;0.26;3;-4;-8;0.02572347266881029;0.1875;0.21;1.6666666666666667;1;2;3;1;0;0;1;0;0.1875;0.375;0.00482315112540193;5.333333333333333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Dortmund;9;17;3;11;172;Mönchengladbach;1;2;14;6;6;3;0.6;0.4;561;0.82;13;10;1;2;0;0;6;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;2;0.06666666666666667;0.07692307692307693;460;0.02826086956521739;766.6666666666667;0.42857142857142855;10.0;8;0.19999999999999996;4;-1;3;0.024955436720142603;0.21428571428571427;0.19999999999999998;2.0;3;0;3;1;0;0;0;1;0.21428571428571427;0.5;0.0053475935828877;4.666666666666667;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-15;Dortmund;0;17;3;11;10;Barcelona;1;1;18;7;11;2;0.46;0.54;425;0.83;14;11;1;1;0;0;8;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.07714285714285715;0.07142857142857142;353;0.039660056657223795;767.391304347826;0.4444444444444444;17.391304347826086;11;-0.08000000000000002;4;0;3;0.042352941176470586;0.16666666666666666;0.15333333333333335;2.6666666666666665;1;2;3;1;0;0;0;1;0.16666666666666666;0.2727272727272727;0.007058823529411765;6.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Dortmund;9;30;3;11;23;Bayern;0;0;11;28;3;11;0.37;0.63;384;0.75;5;8;0;0;0;0;5;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;6;0.0225;0.0;288;0.017361111111111112;778.3783783783784;0.45454545454545453;13.513513513513514;-17;-0.26;-1;0;-3;0.028645833333333332;0.18181818181818182;0.185;2.5;0;2;2;0;1;0;1;0;0.18181818181818182;0.6666666666666666;0.005208333333333333;5.5;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-09;Dortmund;0;5;3;11;10;Barcelona;2;0;13;18;3;10;0.39;0.61;349;0.82;12;5;2;0;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;4;0.033888888888888885;0.16666666666666666;286;0.04195804195804196;733.3333333333333;0.46153846153846156;15.384615384615383;-5;-0.21999999999999997;2;2;7;0.03724928366762178;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Dortmund;9;2;3;11;170;Friburgo;0;1;18;12;7;3;0.46;0.54;412;0.8;6;8;0;1;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;3;0.045000000000000005;0.0;330;0.01818181818181818;717.391304347826;0.2222222222222222;8.695652173913043;6;-0.08000000000000002;1;-1;-2;0.043689320388349516;0.2222222222222222;0.115;1.0;1;3;4;1;0;0;1;0;0.2222222222222222;0.5714285714285714;0.009708737864077669;4.5;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Dortmund;9;30;17;11;174;Mainz 05;2;0;18;12;7;2;0.44;0.56;421;0.74;10;8;2;0;0;0;6;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;4;0.04666666666666667;0.2;312;0.03205128205128205;709.0909090909091;0.3333333333333333;13.636363636363637;6;-0.12000000000000005;2;2;2;0.04275534441805225;0.16666666666666666;0.14666666666666667;2.0;2;1;3;1;0;0;0;1;0.16666666666666666;0.42857142857142855;0.007125890736342043;6.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Dortmund;9;3;17;11;31;RB Leipzig;3;3;25;15;9;5;0.67;0.33;593;0.83;10;14;3;3;0;0;12;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;3;0.022000000000000002;0.3;492;0.02032520325203252;734.3283582089551;0.48;17.91044776119403;10;0.34;9;0;-4;0.04215851602023609;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-12;Dortmund;0;3;3;11;15;LOSC;3;2;17;11;8;4;0.51;0.49;440;0.8;12;11;3;2;0;0;3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;4;0.04454545454545455;0.25;352;0.03409090909090909;690.1960784313725;0.17647058823529413;5.88235294117647;6;0.020000000000000018;-1;1;1;0.038636363636363635;0.11764705882352941;0.255;1.5;0;2;2;1;0;0;1;0;0.11764705882352941;0.25;0.004545454545454545;8.5;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
