Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
10/11/24;Estrella Roja;49;3;4;33;-1;OFK Belgrado;24;4;62;498;83;14;0;0;6;Ivan Guteša;Portero;Seol Young-woo;Defensor;Stefan Leković;Defensor;Vanja Drkušić;Defensor;Timi Max Elšnik;Defensor;Guélor Kanga;Mediocampista;Dálcio;Mediocampista;Silas;Mediocampista;Luka Ilić;Mediocampista;Felicio Milson;Mediocampista;Aleksandar Katai;Delantero;0;1;1;1;0;0;1;0
6/11/24;Estrella Roja;0;5;3;33;10;Barcelona;4;2;30;280;74;4;2;0;1;Marko Ilić;Portero;Seol Young-woo;Defensor;Nasser Djiga;Defensor;Uroš Spajić;Defensor;Milan Rodić;Defensor;Silas;Mediocampista;Rade Krunić;Mediocampista;Guélor Kanga;Mediocampista;Timi Max Elšnik;Mediocampista;Andrija Maksimović;Mediocampista;Cherif Ndiaye;Delantero;1;1;2;0;0;1;0;1
3/11/24;Estrella Roja;49;3;3;33;-1;F. K. Vojvodina;14;8;71;604;90;10;0;0;9;Marko Ilić;Portero;Seol Young-woo;Defensor;Nasser Djiga;Defensor;Uroš Spajić;Defensor;Milan Rodić;Defensor;Rade Krunić;Mediocampista;Guélor Kanga;Mediocampista;Silas;Mediocampista;Andrija Maksimović;Mediocampista;Felicio Milson;Mediocampista;Cherif Ndiaye;Delantero;3;0;3;1;0;0;0;1
26/10/24;Estrella Roja;49;3;9;33;-1;Spartak Subotica;20;6;73;698;91;12;0;0;12;Marko Ilić;Portero;Seol Young-woo;Defensor;Nasser Djiga;Defensor;Stefan Leković;Defensor;Milan Rodić;Defensor;Rade Krunić;Mediocampista;Guélor Kanga;Mediocampista;Silas;Mediocampista;Luka Ilić;Mediocampista;Felicio Milson;Mediocampista;Cherif Ndiaye;Delantero;2;3;5;1;0;0;1;0
22/10/24;Estrella Roja;0;4;3;33;4;Mónaco;5;2;29;236;66;8;1;0;5;Marko Ilić;Portero;Silas;Defensor;Seol Young-woo;Defensor;Uroš Spajić;Defensor;Nasser Djiga;Defensor;Peter Olayinka;Defensor;Andrija Maksimović;Mediocampista;Timi Max Elšnik;Mediocampista;Rade Krunić;Mediocampista;Cherif Ndiaye;Delantero;Bruno Duarte da Silva;Delantero;1;0;1;0;0;1;1;0
18/10/24;Estrella Roja;49;3;31;33;-1;Radnicki Niš;11;6;49;443;85;14;0;0;1;Marko Ilić;Portero;Yegor Prutsev;Defensor;Nasser Djiga;Defensor;Uroš Spajić;Defensor;Milan Rodić;Defensor;Rade Krunić;Mediocampista;Timi Max Elšnik;Mediocampista;Andrija Maksimović;Mediocampista;Luka Ilić;Mediocampista;Peter Olayinka;Mediocampista;Bruno Duarte da Silva;Delantero;3;2;5;1;0;0;0;1
6/10/24;Estrella Roja;49;3;7;33;-1;FK IMT;27;12;67;521;87;11;0;0;12;Omri Glazer;Portero;Yegor Prutsev;Defensor;Nasser Djiga;Defensor;Stefan Leković;Defensor;Milan Rodić;Defensor;Guélor Kanga;Mediocampista;Dálcio;Mediocampista;Andrija Maksimović;Mediocampista;Luka Ilić;Mediocampista;Felicio Milson;Mediocampista;Bruno Duarte da Silva;Delantero;1;2;3;1;0;0;1;0
1/10/24;Estrella Roja;0;3;2;33;7;Inter;11;3;47;498;88;8;1;0;2;Omri Glazer;Portero;Seol Young-woo;Defensor;Vanja Drkušić;Defensor;Uroš Spajić;Defensor;Nasser Djiga;Defensor;Rade Krunić;Mediocampista;Timi Max Elšnik;Mediocampista;Silas;Mediocampista;Andrija Maksimović;Mediocampista;Peter Olayinka;Mediocampista;Cherif Ndiaye;Delantero;0;0;0;0;0;1;1;0
27/9/24;Estrella Roja;49;3;7;33;-1;FK Železničar Pančevo;15;7;68;617;90;3;0;0;11;Omri Glazer;Portero;Yegor Prutsev;Defensor;Nasser Djiga;Defensor;Vanja Drkušić;Defensor;Milan Rodić;Defensor;Rade Krunić;Mediocampista;Timi Max Elšnik;Mediocampista;Aleksandar Katai;Mediocampista;Luka Ilić;Mediocampista;Felicio Milson;Mediocampista;Bruno Duarte da Silva;Delantero;1;1;2;1;0;0;0;1
23/9/24;Estrella Roja;49;31;3;33;-1;Partizan;18;5;61;525;88;14;1;0;3;Omri Glazer;Portero;Seol Young-woo;Defensor;Uroš Spajić;Defensor;Nasser Djiga;Defensor;Rade Krunić;Mediocampista;Timi Max Elšnik;Mediocampista;Silas;Mediocampista;Andrija Maksimović;Mediocampista;Mirko Ivanić;Mediocampista;Peter Olayinka;Mediocampista;Cherif Ndiaye;Delantero;2;2;4;1;0;0;1;0
19/9/24;Estrella Roja;0;3;3;33;13;Benfica;15;3;56;454;84;12;2;0;7;Omri Glazer;Portero;Ognjen Mimović;Defensor;Nasser Djiga;Defensor;Uroš Spajić;Defensor;Seol Young-woo;Defensor;Rade Krunić;Mediocampista;Timi Max Elšnik;Mediocampista;Silas;Mediocampista;Mirko Ivanić;Mediocampista;Peter Olayinka;Mediocampista;Bruno Duarte da Silva;Delantero;0;1;1;0;0;1;0;1
14/9/24;Estrella Roja;49;3;9;33;-1;Napredak;32;11;74;661;90;13;0;0;14;Omri Glazer;Portero;Ognjen Mimović;Defensor;Stefan Leković;Defensor;Vanja Drkušić;Defensor;Seol Young-woo;Defensor;Rade Krunić;Mediocampista;Timi Max Elšnik;Mediocampista;Silas;Mediocampista;Mirko Ivanić;Mediocampista;Peter Olayinka;Mediocampista;Bruno Duarte da Silva;Delantero;1;1;2;1;0;0;0;1
1/9/24;Estrella Roja;49;3;7;33;-1;Radnicki 1923;18;6;66;444;85;17;0;0;9;Marko Ilić;Portero;Ognjen Mimović;Defensor;Nasser Djiga;Defensor;Vanja Drkušić;Defensor;Seol Young-woo;Defensor;Dálcio;Mediocampista;Timi Max Elšnik;Mediocampista;José Luis Rodríguez Francis;Mediocampista;Luka Ilić;Mediocampista;Peter Olayinka;Mediocampista;Bruno Duarte da Silva;Delantero;0;1;1;1;0;0;1;0
28/8/24;Estrella Roja;0;3;0;33;89;Bodø/Glimt;18;8;41;349;80;13;3;0;8;Marko Ilić;Portero;Ognjen Mimović;Defensor;Nasser Djiga;Defensor;Uroš Spajić;Defensor;Seol Young-woo;Defensor;Hwang In-beom;Mediocampista;Timi Max Elšnik;Mediocampista;Peter Olayinka;Mediocampista;Mirko Ivanić;Mediocampista;Felicio Milson;Mediocampista;Bruno Duarte da Silva;Delantero;1;1;2;1;0;0;0;1
15/8/24;Estrella Roja;49;7;3;33;-1;Čukarički;20;6;61;491;90;10;0;0;2;Marko Ilić;Portero;Ognjen Mimović;Defensor;Nasser Djiga;Defensor;Uroš Spajić;Defensor;Seol Young-woo;Defensor;Timi Max Elšnik;Mediocampista;José Luis Rodríguez Francis;Mediocampista;Hwang In-beom;Mediocampista;Mirko Ivanić;Mediocampista;Peter Olayinka;Mediocampista;Bruno Duarte da Silva;Delantero;2;2;4;1;0;0;1;0
10/8/24;Estrella Roja;49;7;6;33;-1;Novi Pazar;22;10;63;541;85;10;1;0;10;Marko Ilić;Portero;Nemanja Stojić;Defensor;Uroš Spajić;Defensor;Stefan Leković;Defensor;Seol Young-woo;Defensor;Timi Max Elšnik;Mediocampista;Yegor Prutsev;Mediocampista;Hwang In-beom;Mediocampista;Mirko Ivanić;Mediocampista;Felicio Milson;Mediocampista;Bruno Duarte da Silva;Delantero;1;3;4;1;0;0;0;1
3/8/24;Estrella Roja;49;31;3;33;-1;FK Tekstilac Odžaci;21;6;75;642;88;9;0;0;5;Marko Ilić;Portero;Stefan Leković;Defensor;Uroš Spajić;Defensor;Seol Young-woo;Defensor;Nemanja Stojić;Mediocampista;Guélor Kanga;Mediocampista;Yegor Prutsev;Mediocampista;Hwang In-beom;Mediocampista;Mirko Ivanić;Mediocampista;Felicio Milson;Mediocampista;Cherif Ndiaye;Delantero;0;4;4;1;0;0;1;0
27/7/24;Estrella Roja;49;3;6;33;-1;Mladost Lučani;40;13;76;628;91;7;1;0;19;Marko Ilić;Portero;Ognjen Mimović;Defensor;Nasser Djiga;Defensor;Uroš Spajić;Defensor;Milan Rodić;Defensor;Hwang In-beom;Mediocampista;Dálcio;Mediocampista;José Luis Rodríguez Francis;Mediocampista;Aleksandar Katai;Mediocampista;Luka Ilić;Mediocampista;Cherif Ndiaye;Delantero;0;2;2;0;1;0;0;1
20/7/24;Estrella Roja;49;3;0;33;-1;FK Jedinstvo Ub;25;9;62;550;90;15;1;0;10;Marko Ilić;Portero;Ognjen Mimović;Defensor;Nasser Djiga;Defensor;Nemanja Stojić;Defensor;Milan Rodić;Defensor;Hwang In-beom;Mediocampista;Dálcio;Mediocampista;José Luis Rodríguez Francis;Mediocampista;Aleksandar Katai;Mediocampista;Luka Ilić;Mediocampista;Cherif Ndiaye;Delantero;2;2;4;1;0;0;0;1
25/5/24;Estrella Roja;49;3;1;33;-1;Čukarički;20;12;68;576;89;10;1;0;9;Omri Glazer;Portero;Ognjen Mimović;Defensor;Nasser Djiga;Defensor;Aleksandar Dragović;Defensor;Viktor Radojević;Defensor;Nikola Knežević;Mediocampista;Guélor Kanga;Mediocampista;Jovan Šljivić;Mediocampista;Aleksandar Katai;Mediocampista;Peter Olayinka;Mediocampista;Uroš Sremčević;Delantero;1;3;4;1;0;0;0;1
16/5/24;Estrella Roja;49;3;9;33;-1;Napredak;19;12;62;535;88;19;0;0;8;Ivan Guteša;Portero;Ognjen Mimović;Defensor;Nasser Djiga;Defensor;Nemanja Milunović;Defensor;Viktor Radojević;Defensor;Guélor Kanga;Mediocampista;Nikola Knežević;Mediocampista;Jovan Šljivić;Mediocampista;Jean-Philippe Krasso;Mediocampista;Aleksandar Katai;Mediocampista;Uroš Sremčević;Delantero;3;1;4;1;0;0;1;0
12/5/24;Estrella Roja;49;7;0;33;-1;Radnicki 1923;22;9;59;459;82;20;2;0;4;Omri Glazer;Portero;Srđan Mijailović;Defensor;Uroš Spajić;Defensor;Aleksandar Dragović;Defensor;Milan Rodić;Defensor;Guélor Kanga;Mediocampista;Peter Olayinka;Mediocampista;Marko Stamenic;Mediocampista;Hwang In-beom;Mediocampista;Mirko Ivanić;Mediocampista;Cherif Ndiaye;Delantero;3;0;3;1;0;0;0;1
