Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Jordan Pickford-Everton;Jake O'Brien-Everton;James Tarkowski-Everton;Jarrad Branthwaite-Everton;Vitali Mykolenko-Everton;James Garner-Everton;Idrissa Gana Gueye-Everton;Jack Harrison-Everton;Abdoulaye Doucouré-Everton;Iliman Ndiaye-Everton;Armando Broja-Everton;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Nathan Patterson-Everton;Tim Iroegbunam-Everton;Beto Betuncal-Everton;Carlos Jonás Alcaraz-Everton;Jesper Lindstrøm-Everton;Ashley Young-Everton;Orel Mangala-Everton;Dominic Calvert-Lewin-Everton;João Virgínia-Everton;Michael Keane-Everton;Harrison Armstrong-Everton;Séamus Coleman-Everton;Dwight McNeil-Everton;Roman Dixon-Everton;Amadou Onana-Everton;Ben Godfrey-Everton;Youssef Chermiti-Everton;André Gomes-Everton;Arnaut Danjuma-Everton;Lewis Dobbin-Everton;Alex Iwobi-Everton;Neal Maupay-Everton;Yerry Mina-Everton;Conor Coady-Everton;Demarai Gray-Everton;Mason Holgate-Everton;Ellis Simms-Everton;Tom Davies-Everton;Anthony Gordon-Everton;Asmir Begović-Everton;Rúben Vinagre-Everton;Isaac Price-Everton
2025-04-19;Everton;3;3;3;64;3;Manchester City;4;0;8;12;3;7;0.32;0.68;318;0.78;7;6;4;0;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.05666666666666667;0.5714285714285714;248;0.028225806451612902;775.0;0.25;6.25;-4;-0.36000000000000004;-3;4;1;0.025157232704402517;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Everton;3;3;3;64;55;Nottingham Forest;3;0;13;10;5;5;0.58;0.42;444;0.81;13;9;3;0;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.041999999999999996;0.23076923076923078;360;0.03611111111111111;620.6896551724138;0.5384615384615384;12.06896551724138;3;0.15999999999999998;6;3;4;0.02927927927927928;0.07692307692307693;0.58;7.0;0;1;1;1;0;0;1;0;0.07692307692307693;0.2;0.0022522522522522522;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Everton;3;3;0;64;9;Arsenal;3;1;5;14;2;5;0.29;0.71;189;0.68;17;13;3;1;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;8;0.05071428571428571;0.17647058823529413;129;0.13178294573643412;444.82758620689657;0.6;10.344827586206897;-9;-0.42;-5;2;4;0.026455026455026454;0.2;0.29;3.0;0;1;1;0;1;0;0;1;0.2;0.5;0.005291005291005291;5.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Everton;3;3;3;64;2;Liverpool;2;2;5;17;0;3;0.26;0.74;206;0.63;11;7;2;2;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;11;0.04352941176470588;0.18181818181818182;130;0.08461538461538462;500.0;1.0;19.23076923076923;-12;-0.48;-6;0;4;0.024271844660194174;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Everton;3;3;2;64;61;West Ham;1;2;13;10;5;5;0.54;0.46;488;0.84;12;8;1;2;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.046;0.08333333333333333;410;0.02926829268292683;759.2592592592592;0.46153846153846156;11.11111111111111;3;0.08000000000000002;1;-1;4;0.02663934426229508;0.07692307692307693;0.54;6.0;0;1;1;0;1;0;0;1;0.07692307692307693;0.2;0.0020491803278688526;13.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Everton;3;3;17;64;67;Wolves;2;2;12;11;4;3;0.34;0.66;306;0.76;16;11;2;2;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.060000000000000005;0.125;233;0.06866952789699571;685.2941176470588;0.4166666666666667;14.705882352941176;1;-0.32;0;0;5;0.0392156862745098;0.08333333333333333;0.34;5.0;1;0;1;0;1;0;1;0;0.08333333333333333;0.25;0.0032679738562091504;12.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Everton;3;3;3;64;57;Brentford;1;2;14;12;4;3;0.48;0.52;425;0.82;6;3;1;2;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2;0.043333333333333335;0.16666666666666666;348;0.017241379310344827;725.0;0.35714285714285715;10.416666666666668;2;-0.040000000000000036;3;-1;3;0.03294117647058824;0.07142857142857142;0.48;5.0;0;1;1;0;1;0;1;0;0.07142857142857142;0.25;0.002352941176470588;14.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Everton;3;3;17;64;62;Manchester United;4;1;9;9;8;3;0.37;0.63;313;0.73;12;9;4;1;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;8;0.07;0.3333333333333333;228;0.05263157894736842;616.2162162162163;0.7777777777777778;18.91891891891892;0;-0.26;-1;3;3;0.02875399361022364;0.2222222222222222;0.185;3.5;2;0;2;0;1;0;0;1;0.2222222222222222;0.25;0.006389776357827476;4.5;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Everton;3;3;17;64;65;Crystal Palace;1;0;11;17;6;6;0.41;0.59;368;0.71;12;9;1;0;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;6;0.03470588235294118;0.08333333333333333;261;0.04597701149425287;636.5853658536586;0.18181818181818182;4.878048780487805;-6;-0.18;-4;1;3;0.029891304347826088;0.18181818181818182;0.205;1.0;1;1;2;1;0;0;1;0;0.18181818181818182;0.3333333333333333;0.005434782608695652;5.5;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-12;Everton;3;3;3;64;2;Liverpool;3;3;10;6;3;4;0.36;0.64;307;0.7;9;20;2;2;1;1;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;3;0.10666666666666667;0.3333333333333333;215;0.04186046511627907;597.2222222222223;0.2;5.555555555555555;4;-0.28;-1;0;-11;0.03257328990228013;0.2;0.18;1.0;1;1;2;0;1;0;0;1;0.2;0.6666666666666666;0.006514657980456026;5.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
