Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Frederik Rønnow-FC Union Berlin;Danilho Doekhi-FC Union Berlin;Leopold Querfeld-FC Union Berlin;Kevin Vogt-FC Union Berlin;Christopher Trimmel-FC Union Berlin;András Schäfer-FC Union Berlin;Rani Khedira-FC Union Berlin;Janik Haberer-FC Union Berlin;Tom Rothe-FC Union Berlin;Benedict Hollerbach-FC Union Berlin;Andrej Ilić-FC Union Berlin;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Diogo Filipe Monteiro Pinto Leite-FC Union Berlin;Josip Juranović-FC Union Berlin;Tim Skarke-FC Union Berlin;Jeong Woo-yeong-FC Union Berlin;Lucas Tousart-FC Union Berlin;Marin Ljubičić-FC Union Berlin;Robert Skov-FC Union Berlin;Ivan Prtajin-FC Union Berlin;László Bénes-FC Union Berlin;Alexander Schwolow-FC Union Berlin;Aljoscha Kemlein-FC Union Berlin;Jordan Siebatcheu-FC Union Berlin;Jérôme Roussillon-FC Union Berlin;Yorbe Vertessen-FC Union Berlin;Robin Gosens-FC Union Berlin;Robin Knoche-FC Union Berlin;Brenden Aaronson-FC Union Berlin;Kevin Volland-FC Union Berlin;Alex Král-FC Union Berlin;Mikkel Kaufmann-FC Union Berlin;Aïssa Laïdouni-FC Union Berlin;Kevin Behrens-FC Union Berlin;Sheraldo Becker-FC Union Berlin;Paul Jaeckel-FC Union Berlin;Datro Fofana-FC Union Berlin;Leonardo Bonucci-FC Union Berlin;Morten Thorsby-FC Union Berlin;Niko Gießelmann-FC Union Berlin;Lennart Grill-FC Union Berlin;Paul Seguin-FC Union Berlin;Timo Baumgartl-FC Union Berlin;Sven Michel-FC Union Berlin;Genki Haraguchi-FC Union Berlin;Julian Ryerson-FC Union Berlin
2025-05-03;FC Union Berlin;9;2;2;169;171;Werder Bremen;2;3;18;13;8;6;0.4;0.6;376;0.78;9;8;2;3;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.0461538461538461;0.2222222222222222;293;0.030716723549488;732.5;0.2777777777777778;12.5;5;-0.1999999999999999;0;-1;1;0.0478723404255319;0.1111111111111111;0.2;2.5;1;1;2;0;1;0;0;1;0.1111111111111111;0.25;0.0053191489361702;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;FC Union Berlin;9;2;29;169;178;Bochum;2;3;5;10;1;4;0.33;0.67;263;0.66;9;11;2;3;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10;0.067;0.2222222222222222;174;0.0517241379310344;527.2727272727273;0.8;12.12121212121212;-5;-0.34;-6;-1;-2;0.0190114068441064;0.2;0.33;4.0;1;0;1;0;1;0;1;0;0.2;1.0;0.0038022813688212;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;FC Union Berlin;9;2;3;169;18;Stuttgart;0;2;12;12;5;6;0.22;0.78;225;0.66;8;9;0;2;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.065;0.0;148;0.054054054054054;672.7272727272727;0.25;13.636363636363637;0;-0.56;-2;-2;-1;0.0533333333333333;0.3333333333333333;0.055;0.75;4;0;4;0;1;0;0;1;0.3333333333333333;0.8;0.0177777777777777;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;FC Union Berlin;9;17;2;169;6;Leverkusen;1;2;7;17;3;4;0.25;0.75;248;0.67;13;10;1;2;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;7;0.0441176470588235;0.0769230769230769;166;0.0783132530120482;664.0;0.4285714285714285;12.0;-10;-0.5;-4;-1;3;0.0282258064516129;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;FC Union Berlin;9;2;29;169;175;Wolfsburg;0;1;13;12;3;3;0.44;0.56;322;0.72;13;14;0;1;0;0;6;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.0466666666666666;0.0;232;0.0560344827586206;527.2727272727273;0.4615384615384615;13.636363636363637;1;-0.12;2;-1;-1;0.0403726708074534;0.0769230769230769;0.44;6.0;0;1;1;1;0;0;0;1;0.0769230769230769;0.3333333333333333;0.0031055900621118;13.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;FC Union Berlin;9;6;8;169;170;Friburgo;4;3;10;9;6;3;0.27;0.73;239;0.67;11;8;4;3;0;0;3;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;3;0.0811111111111111;0.3636363636363636;160;0.06875;592.5925925925926;0.3;11.11111111111111;1;-0.4599999999999999;0;1;3;0.0418410041841004;0.2;0.135;1.5;1;1;2;1;0;0;1;0;0.2;0.3333333333333333;0.00836820083682;5.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;FC Union Berlin;9;9;3;169;23;Bayern;1;2;7;18;3;4;0.2;0.8;180;0.53;13;8;1;2;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;14;0.0444444444444444;0.0769230769230769;95;0.1368421052631579;475.0;0.2857142857142857;10.0;-11;-0.6000000000000001;-12;-1;5;0.0388888888888888;0.1428571428571428;0.2;2.0;0;1;1;0;1;0;0;1;0.1428571428571428;0.3333333333333333;0.0055555555555555;7.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;FC Union Berlin;9;2;3;169;87;Frankfurt;0;3;11;14;3;3;0.32;0.68;288;0.65;8;10;0;3;0;0;5;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1;0.0485714285714285;0.0;187;0.0427807486631016;584.375;0.4545454545454545;15.625;-3;-0.36;4;-3;-2;0.0381944444444444;0.1818181818181818;0.16;2.5;0;2;2;1;0;0;1;0;0.1818181818181818;0.6666666666666666;0.0069444444444444;5.5;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;FC Union Berlin;9;6;29;169;177;KSV Holstein;4;0;14;10;3;3;0.51;0.49;290;0.66;16;12;4;0;0;0;11;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3;0.049;0.25;191;0.0837696335078534;374.5098039215686;0.7857142857142857;21.56862745098039;4;0.02;8;4;4;0.0482758620689655;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;FC Union Berlin;9;3;3;169;11;Dortmund;2;2;6;24;1;8;0.35;0.65;316;0.75;11;10;2;2;0;0;3;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;5;0.0270833333333333;0.1818181818181818;237;0.0464135021097046;677.1428571428572;0.5;8.571428571428571;-18;-0.3;-2;0;1;0.0189873417721519;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;FC Union Berlin;9;3;3;169;172;Mönchengladbach;0;1;18;9;3;5;0.51;0.49;474;0.84;9;8;0;1;0;0;4;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;5;0.0544444444444444;0.0;398;0.0226130653266331;780.3921568627451;0.2222222222222222;7.84313725490196;9;0.02;-1;-1;1;0.0379746835443038;0.0555555555555555;0.51;4.0;0;1;1;0;0;1;0;1;0.0555555555555555;0.3333333333333333;0.0021097046413502;18.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;FC Union Berlin;9;3;3;169;97;Hoffenheim;1;2;22;16;7;4;0.35;0.65;320;0.74;16;9;1;2;0;0;4;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;8;0.040625;0.0625;237;0.0675105485232067;677.1428571428572;0.1818181818181818;11.428571428571429;6;-0.3;-4;-1;7;0.06875;0.1818181818181818;0.0875;1.0;1;3;4;1;0;0;1;0;0.1818181818181818;0.5714285714285714;0.0125;5.5;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
