Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Agustín Rossi-Flamengo;Wesley Vinícius França Lima-Flamengo;Danilo da Silva-Flamengo;Léo Pereira-Flamengo;Ayrton Lucas-Flamengo;Erick Pulgar-Flamengo;Nicolás de la Cruz Arcosa-Flamengo;Gerson Santos da Silva-Flamengo;Giorgian De Arrascaeta-Flamengo;Bruno Henrique Pinto-Flamengo;Pedro-Flamengo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Leonardo Rech Ortiz-Flamengo;Alex Sandro-Flamengo;Éverton Sousa Soares-Flamengo;Matheus Cunha Queiroz-Flamengo;Guillermo Varela-Flamengo;João Victor de Souza-Flamengo;Evertton Araújo-Flamengo;Allan Rodrigues de Souza-Flamengo;Luiz Araújo-Flamengo;Gonzalo Plata-Flamengo;Michael Richard Delgado de Oliveira-Flamengo;Juninho Vieira-Flamengo;David Luiz-Flamengo;Gabriel Barbosa-Flamengo;Fabrício Bruno-Flamengo;Matheus Gonçalves-Flamengo;Carlos Jonás Alcaraz-Flamengo;Cleiton-Flamengo;Lorran Lucas-Flamengo;Carlos Moisés de Lima-Flamengo;Matías Viña-Flamengo;Victor Hugo Gomes Silva-Flamengo;Igor Jesus-Flamengo;Pablo Nascimento Castro-Flamengo;Filipe Luís-Flamengo;Matheuzinho-Flamengo;Thiago Maia-Flamengo;Éverton Ribeiro-Flamengo;Matheus França de Oliveira-Flamengo;Arturo Vidal-Flamengo;Aderbar Melo dos Santos Neto-Flamengo;Marinho-Flamengo
2025-05-07;Flamengo;-1;3;3;214;-1;Central Córdoba;3;0;5;8;2;4;0.55;0.45;499;0.83;10;12;3;0;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.05625;0.3;414;0.024154589371980676;752.7272727272726;0.2;1.8181818181818181;-3;0.10000000000000003;-2;3;-2;0.01002004008016032;0.2;0.55;1.0;1;0;1;0;1;0;1;0;0.2;0.5;0.002004008016032064;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Flamengo;10;3;3;214;636;Cruzeiro;2;4;6;17;4;11;0.6;0.4;510;0.86;9;18;2;4;0;0;5;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.023529411764705882;0.2222222222222222;439;0.02050113895216401;731.6666666666667;0.8333333333333334;8.333333333333334;-11;0.19999999999999996;-1;-2;-9;0.011764705882352941;0.16666666666666666;0.6;5.0;1;0;1;0;0;1;1;0;0.16666666666666666;0.25;0.00196078431372549;6.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01;Flamengo;12;3;5;214;692;Botafogo PB;1;1;24;7;9;1;0.77;0.23;670;0.91;10;13;1;1;0;0;11;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1;0.032857142857142856;0.1;610;0.01639344262295082;792.2077922077922;0.4583333333333333;14.285714285714285;17;0.54;10;0;-3;0.03582089552238806;0.041666666666666664;0.77;11.0;0;1;1;1;0;0;1;0;0.041666666666666664;0.1111111111111111;0.0014925373134328358;24.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Flamengo;10;3;1;214;652;Corinthians;2;1;17;8;6;2;0.54;0.46;520;0.91;14;12;2;1;0;0;10;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0575;0.14285714285714285;473;0.02959830866807611;875.9259259259259;0.5882352941176471;18.51851851851852;9;0.08000000000000002;7;1;2;0.032692307692307694;0.23529411764705882;0.135;2.5;3;1;4;1;0;0;0;1;0.23529411764705882;0.6666666666666666;0.007692307692307693;4.25;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-22;Flamengo;-1;3;3;214;211;LDU Quito;1;1;10;11;2;1;0.57;0.43;550;0.86;11;15;1;1;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;7;0.03909090909090909;0.09090909090909091;473;0.023255813953488372;829.8245614035088;0.3;5.2631578947368425;-1;0.13999999999999996;-4;0;-4;0.01818181818181818;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Flamengo;10;3;3;214;777;Vasco da Gama;1;2;17;6;7;1;0.65;0.35;544;0.89;10;14;1;2;0;0;11;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.05833333333333333;0.1;484;0.02066115702479339;744.6153846153846;0.6470588235294118;16.923076923076923;11;0.30000000000000004;9;-1;-4;0.03125;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Flamengo;10;3;0;214;779;Juventude;1;1;18;4;8;1;0.69;0.31;636;0.91;14;12;1;1;0;0;6;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0;0.0775;0.07142857142857142;579;0.024179620034542316;839.1304347826087;0.3333333333333333;8.695652173913045;14;0.37999999999999995;6;0;2;0.02830188679245283;0.3333333333333333;0.11499999999999999;1.0;3;3;6;1;0;0;0;1;0.3333333333333333;0.75;0.009433962264150943;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Flamengo;10;3;3;214;206;Grêmio;2;1;8;10;4;2;0.61;0.39;600;0.87;14;11;2;1;0;0;4;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.039;0.14285714285714285;522;0.02681992337164751;855.7377049180328;0.5;6.557377049180328;-2;0.21999999999999997;1;1;3;0.013333333333333334;0.25;0.305;2.0;1;1;2;1;0;0;1;0;0.25;0.5;0.0033333333333333335;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-09;Flamengo;-1;3;3;214;-1;Central Córdoba;2;4;19;8;6;6;0.78;0.22;589;0.87;12;13;2;4;0;0;13;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1;0.0275;0.16666666666666666;512;0.0234375;656.4102564102564;0.6842105263157895;16.666666666666668;11;0.56;12;-2;-1;0.03225806451612903;0.05263157894736842;0.78;13.0;0;1;1;0;0;1;0;1;0.05263157894736842;0.16666666666666666;0.001697792869269949;19.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Flamengo;10;3;7;214;693;Vitória;0;0;14;5;7;3;0.63;0.37;666;0.89;17;7;0;0;0;0;6;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;2;0.074;0.0;593;0.02866779089376054;941.2698412698412;0.42857142857142855;9.523809523809524;9;0.26;4;0;10;0.021021021021021023;0.14285714285714285;0.315;3.0;0;2;2;1;0;0;1;0;0.14285714285714285;0.2857142857142857;0.003003003003003003;7.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
