Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;João Ricardo Riedi-Fortaleza;Eros Mancuso-Fortaleza;David Luiz-Fortaleza;Gustavo Mancha-Fortaleza;Bruno Pacheco-Fortaleza;Calebe-Fortaleza;Zé Welison-Fortaleza;Guillermo Matías Fernández-Fortaleza;Allanzinho-Fortaleza;Kervin Andrade-Fortaleza;Deyverson-Fortaleza;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Guilherme de Jesus da Silva-Fortaleza;Benjamín Kuscevic-Fortaleza;Cristian Chagas Tarouco-Fortaleza;Diogo Barbosa-Fortaleza;Yago Pikachu-Fortaleza;Lucas Pacheco Affini-Fortaleza;Matheus Rossetto-Fortaleza;Bruno César Pereira Silva-Fortaleza;Juan Martín Lucero-Fortaleza;Breno Henrique Vasconcelos Lopes-Fortaleza;Leandro Emmanuel Martínez-Fortaleza;Marinho-Fortaleza;Moisés Vieira da Veiga-Fortaleza;Emanuel Brítez-Fortaleza;Hércules Pereira do Nascimento-Fortaleza;Tomás Pochettino-Fortaleza;Tomás Cardona-Fortaleza;Felipe Jonatan-Fortaleza;Renato Kayser-Fortaleza;Pedro Augusto-Fortaleza;Imanol Machuca-Fortaleza;Dudu-Fortaleza;Kauan-Fortaleza;Gonzalo Escobar-Fortaleza;Thiago Galhardo-Fortaleza;Marcelo da Conceição Benevenuto Malaquias-Fortaleza;Guilherme Vieira dos Santos-Fortaleza;Caio Alexandre-Fortaleza;Lucas Crispim-Fortaleza;Tobias Figueiredo-Fortaleza;Fernando Miguel Kaufmann-Fortaleza;Silvio Romero-Fortaleza;Vinicius Zanocelo-Fortaleza;Romarinho-Fortaleza;Brayan Ceballos-Fortaleza;Kozlinski-Fortaleza;Gastón Ávila-Fortaleza
2025-05-13;Fortaleza;-1;0;3;644;-1;Bucaramanga;0;1;15;7;2;1;0.64;0.36;507;0.88;14;12;0;1;0;0;11;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2;0.0514285714285714;0.0;446;0.0313901345291479;696.875;0.7333333333333333;17.1875;8;0.28;9;-1;2;0.029585798816568;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-10;Fortaleza;10;0;3;644;779;Juventude;3;4;20;4;13;1;0.49;0.51;334;0.79;13;14;3;4;0;0;5;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;0.1275;0.2307692307692307;264;0.0492424242424242;538.7755102040817;0.25;10.20408163265306;16;-0.02;1;-1;-1;0.059880239520958;0.25;0.098;1.0;1;4;5;1;0;0;0;1;0.25;0.3846153846153846;0.0149700598802395;4.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2025-05-06;Fortaleza;-1;0;9;644;198;Colo-Colo;3;2;17;15;12;7;0.45;0.55;352;0.77;11;9;3;2;0;0;9;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4;0.0366666666666666;0.2727272727272727;271;0.040590405904059;602.2222222222222;0.5294117647058824;20.0;2;-0.1;5;1;2;0.0482954545454545;0.2352941176470588;0.1125;2.25;3;1;4;1;0;0;0;1;0.2352941176470588;0.3333333333333333;0.0113636363636363;4.25;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-02;Fortaleza;10;0;3;644;201;São Paulo;2;2;17;14;1;4;0.45;0.55;327;0.81;19;15;2;2;0;0;13;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.0392857142857142;0.1052631578947368;265;0.0716981132075471;588.8888888888889;0.7647058823529411;28.88888888888889;3;-0.1;8;0;4;0.0519877675840978;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-29;Fortaleza;12;1;0;644;-1;Retrô Futebol Clube Brasil;5;2;21;21;6;8;0.59;0.41;454;0.88;15;9;5;2;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.0195238095238095;0.3333333333333333;400;0.0375;677.9661016949153;0.3809523809523809;13.559322033898306;0;0.18;3;3;6;0.0462555066079295;0.0476190476190476;0.59;8.0;0;1;1;0;1;0;1;0;0.0476190476190476;0.1666666666666666;0.0022026431718061;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Fortaleza;10;1;3;644;679;Sport Recife;3;0;11;16;1;8;0.42;0.58;361;0.76;9;11;2;0;1;0;6;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;0.03625;0.3333333333333333;274;0.0328467153284671;652.3809523809524;0.5454545454545454;14.285714285714286;-5;-0.1599999999999999;0;3;-2;0.0304709141274238;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-23;Fortaleza;-1;4;3;644;-1;Bucaramanga;3;0;13;17;7;4;0.31;0.69;235;0.69;10;7;3;0;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0405882352941176;0.3;162;0.0617283950617283;522.5806451612904;0.2307692307692307;9.67741935483871;-4;-0.3799999999999999;-1;3;3;0.0553191489361702;0.0769230769230769;0.31;3.0;1;0;1;0;1;0;1;0;0.0769230769230769;0.1428571428571428;0.0042553191489361;13.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Fortaleza;10;17;17;644;217;Palmeiras;1;1;13;6;5;4;0.53;0.47;375;0.83;12;13;1;1;0;0;8;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2;0.0783333333333333;0.0833333333333333;311;0.0385852090032154;586.7924528301886;0.6153846153846154;15.094339622641508;7;0.06;6;0;-1;0.0346666666666666;0.0769230769230769;0.53;8.0;0;1;1;0;0;1;0;1;0.0769230769230769;0.2;0.0026666666666666;13.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Fortaleza;10;30;3;644;693;Vitória;1;1;9;15;4;8;0.6;0.4;581;0.9;10;15;1;1;0;0;5;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5;0.0266666666666666;0.1;523;0.0191204588910133;871.6666666666667;0.5555555555555556;8.333333333333334;-6;0.1999999999999999;0;0;-5;0.0154905335628227;0.1111111111111111;0.6;5.0;0;1;1;0;0;1;1;0;0.1111111111111111;0.25;0.0017211703958691;9.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Fortaleza;10;4;3;644;641;Internacional;5;2;10;9;1;1;0.54;0.46;439;0.87;12;13;4;2;1;0;5;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;5;0.0511111111111111;0.4166666666666667;382;0.031413612565445;707.4074074074074;0.5;9.25925925925926;1;0.08;0;3;-1;0.0227790432801822;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
