Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Kevin Trapp-Frankfurt;Lucas Silva Melo-Frankfurt;Robin Koch-Frankfurt;Arthur Theate-Frankfurt;Rasmus Nissen Kristensen-Frankfurt;Ellyes Skhiri-Frankfurt;Hugo Larsson-Frankfurt;Nathaniel Brown-Frankfurt;Ansgar Knauff-Frankfurt;Jean-Mattéo Bahoya-Frankfurt;Hugo Ekitike-Frankfurt;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Nnamdi Collins-Frankfurt;Farès Chaïbi-Frankfurt;Michy Batshuayi-Frankfurt;Kauã Santos-Frankfurt;Mario Götze-Frankfurt;Oscar Højlund-Frankfurt;Can Uzun-Frankfurt;Elye Wahi-Frankfurt;Omar Marmoush-Frankfurt;Mahmoud Dahoud-Frankfurt;Niels Nkounkou-Frankfurt;Igor Matanović-Frankfurt;Éric Junior Dina-Ebimbe-Frankfurt;Aurèle Amenda-Frankfurt;Aurélio Buta-Frankfurt;Willian Pacho-Frankfurt;Philipp Max-Frankfurt;Makoto Hasebe-Frankfurt;Donny van de Beek-Frankfurt;Saša Kalajdžić-Frankfurt;Jens Grahl-Frankfurt;Hrvoje Smolčić-Frankfurt;Elias Baum-Frankfurt;Jens Petter Hauge-Frankfurt;Jessic Ngankam-Frankfurt;Paxten Aaronson-Frankfurt;Sebastian Rode-Frankfurt;Kristijan Jakić-Frankfurt;Randal Kolo Muani-Frankfurt;Jesper Lindstrøm-Frankfurt;Evan N’Dicka-Frankfurt;Djibril Sow-Frankfurt;Daichi Kamada-Frankfurt;Christopher Lenz-Frankfurt;Almamy Touré-Frankfurt;Rafael Santos Borré-Frankfurt
2025-05-04;Frankfurt;9;17;17;87;174;Mainz 05;0;1;8;12;2;3;0.35;0.65;311;0.67;10;10;0;1;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8;0.0541666666666666;0.0;208;0.048076923076923;594.2857142857143;0.125;2.857142857142857;-4;-0.3;-7;-1;0;0.0257234726688102;0.125;0.35;1.0;1;0;1;0;1;0;1;0;0.125;0.5;0.0032154340836012;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Frankfurt;9;17;23;87;31;RB Leipzig;1;3;9;7;6;3;0.45;0.55;459;0.83;10;13;1;2;0;1;8;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0785714285714285;0.1;381;0.0262467191601049;846.6666666666666;0.8888888888888888;17.77777777777778;2;-0.1;4;-2;-3;0.0196078431372549;0.4444444444444444;0.1125;2.0;1;3;4;1;0;0;0;1;0.4444444444444444;0.6666666666666666;0.008714596949891;2.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Frankfurt;9;2;17;87;173;Augsburgo;1;2;8;13;5;2;0.55;0.45;487;0.83;8;6;1;2;0;0;9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.0346153846153846;0.125;404;0.0198019801980198;734.5454545454545;1.125;16.363636363636363;-5;0.1;6;-1;2;0.0164271047227926;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-17;Frankfurt;5;3;0;87;56;Tottenham;3;3;14;12;5;3;0.61;0.39;532;0.84;7;9;3;3;0;0;8;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;7;0.0325;0.4285714285714285;447;0.0156599552572706;732.7868852459017;0.5714285714285714;13.114754098360656;2;0.2199999999999999;1;0;-2;0.0263157894736842;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Frankfurt;9;3;30;87;142;Heidenheim;1;1;19;14;8;3;0.44;0.56;489;0.84;6;7;1;1;0;0;5;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;3;0.04;0.1666666666666666;411;0.0145985401459854;934.0909090909092;0.2631578947368421;11.363636363636363;5;-0.12;2;0;-1;0.0388548057259713;0.1578947368421052;0.1466666666666666;1.6666666666666667;2;1;3;1;0;0;0;1;0.1578947368421052;0.375;0.0061349693251533;6.333333333333333;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-10;Frankfurt;5;3;0;87;56;Tottenham;2;1;4;10;2;6;0.43;0.57;414;0.8;15;14;2;1;0;0;3;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;9;0.0569999999999999;0.1333333333333333;331;0.0453172205438066;769.7674418604652;0.75;6.976744186046512;-6;-0.1399999999999999;-6;1;1;0.0096618357487922;0.25;0.43;3.0;1;0;1;0;1;0;1;0;0.25;0.5;0.002415458937198;4.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Frankfurt;9;3;2;87;171;Werder Bremen;3;3;9;12;0;4;0.63;0.37;568;0.84;15;8;3;3;0;0;6;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;5;0.0308333333333333;0.2;477;0.0314465408805031;757.1428571428571;0.6666666666666666;9.523809523809524;-3;0.26;1;0;7;0.0158450704225352;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Frankfurt;9;3;3;87;18;Stuttgart;1;4;19;8;6;2;0.46;0.54;383;0.77;9;6;1;3;0;1;6;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;10;0.0675;0.1111111111111111;295;0.0305084745762711;641.3043478260869;0.3157894736842105;13.043478260869565;11;-0.08;-4;-3;3;0.0496083550913838;0.0526315789473684;0.46;6.0;0;1;1;1;0;0;0;1;0.0526315789473684;0.1666666666666666;0.0026109660574412;19.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Frankfurt;9;3;1;87;178;Bochum;1;4;18;17;7;7;0.49;0.51;427;0.8;9;7;1;4;0;0;3;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;8;0.03;0.1111111111111111;342;0.0263157894736842;697.9591836734694;0.1666666666666666;6.122448979591836;1;-0.02;-5;-3;2;0.0421545667447306;0.1666666666666666;0.1633333333333333;1.0;2;1;3;1;0;0;1;0;0.1666666666666666;0.4285714285714285;0.0070257611241217;6.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Frankfurt;5;3;17;87;85;Ajax;0;0;16;12;9;5;0.54;0.46;573;0.86;8;7;0;0;0;0;2;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6;0.0383333333333333;0.0;493;0.0162271805273833;912.9629629629628;0.125;3.7037037037037033;4;0.08;-4;0;1;0.0279232111692844;0.25;0.135;0.5;2;2;4;1;0;0;0;1;0.25;0.4444444444444444;0.0069808027923211;4.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
