Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Florian Müller-Friburgo;Max Rosenfelder-Friburgo;Matthias Ginter-Friburgo;Philipp Lienhart-Friburgo;Jordy Makengo-Friburgo;Ritsu Dōan-Friburgo;Maximilian Eggestein-Friburgo;Patrick Osterhage-Friburgo;Vincenzo Grifo-Friburgo;Johan Manzambi-Friburgo;Junior Adamu-Friburgo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Lucas Höler-Friburgo;Lukas Kübler-Friburgo;Christian Günter-Friburgo;Noah Atubolu-Friburgo;Kiliann Sildillia-Friburgo;Michael Gregoritsch-Friburgo;Eren Dinkci-Friburgo;Merlin Röhl-Friburgo;Nicolas Höfler-Friburgo;Maximilian Philipp-Friburgo;Bruno Ogbus-Friburgo;Yannik Keitel-Friburgo;Roland Sallai-Friburgo;Manuel Gulde-Friburgo;Noah Weißhaupt-Friburgo;Kenneth Schmidt-Friburgo;Mark Flekken-Friburgo;Jeong Woo-yeong-Friburgo;Daniel-Kofi Kyereh-Friburgo
2025-05-10;Friburgo;9;8;29;170;177;KSV Holstein;0;1;9;15;4;3;0.4;0.6;307;0.76;13;9;0;1;0;0;5;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.04;0.0;233;0.055793991416309;582.5;0.5555555555555556;12.5;-6;-0.1999999999999999;3;-1;4;0.0293159609120521;0.2222222222222222;0.2;2.5;1;1;2;1;0;0;1;0;0.2222222222222222;0.5;0.006514657980456;4.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Friburgo;9;8;17;170;6;Leverkusen;1;2;7;5;3;2;0.32;0.68;297;0.67;10;16;1;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.136;0.1;199;0.050251256281407;621.875;0.5714285714285714;12.5;2;-0.36;3;-1;-6;0.0235690235690235;0.2857142857142857;0.16;2.0;1;1;2;0;1;0;0;1;0.2857142857142857;0.6666666666666666;0.0067340067340067;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Friburgo;9;8;2;170;175;Wolfsburg;1;4;15;7;2;1;0.57;0.43;451;0.87;9;6;1;3;0;1;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0614285714285714;0.1111111111111111;392;0.0229591836734693;687.7192982456141;0.1333333333333333;3.5087719298245617;8;0.1399999999999999;-1;-3;3;0.0332594235033259;0.0666666666666666;0.57;2.0;0;1;1;1;0;0;1;0;0.0666666666666666;0.5;0.0022172949002217;15.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Friburgo;9;8;17;170;97;Hoffenheim;3;2;12;19;6;6;0.39;0.61;332;0.77;14;13;3;2;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;6;0.0321052631578947;0.2142857142857142;256;0.0546875;656.4102564102564;0.1666666666666666;5.128205128205128;-7;-0.2199999999999999;-4;1;1;0.036144578313253;0.25;0.13;0.6666666666666666;2;1;3;1;0;0;0;1;0.25;0.5;0.0090361445783132;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Friburgo;9;3;3;170;172;Mönchengladbach;1;0;19;10;7;1;0.59;0.41;529;0.86;11;4;1;0;0;0;6;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0409999999999999;0.0909090909090909;455;0.0241758241758241;771.1864406779662;0.3157894736842105;10.16949152542373;9;0.18;2;1;7;0.0359168241965973;0.1052631578947368;0.295;3.0;1;1;2;1;0;0;1;0;0.1052631578947368;0.2857142857142857;0.0037807183364839;9.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Friburgo;9;3;2;170;11;Dortmund;1;0;12;18;3;7;0.54;0.46;469;0.8;8;6;1;0;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0255555555555555;0.125;375;0.0213333333333333;694.4444444444443;0.25;5.555555555555555;-6;0.08;-1;1;2;0.0255863539445629;0.0833333333333333;0.54;3.0;0;1;1;0;0;1;0;1;0.0833333333333333;0.3333333333333333;0.0021321961620469;12.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Friburgo;9;8;6;170;169;FC Union Berlin;3;4;9;10;3;6;0.73;0.27;608;0.84;8;11;3;4;0;0;3;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;3;0.027;0.375;511;0.0156555772994129;700.0;0.3333333333333333;4.109589041095891;-1;0.4599999999999999;0;-1;-3;0.0148026315789473;0.1111111111111111;0.73;3.0;1;0;1;0;0;1;0;1;0.1111111111111111;0.3333333333333333;0.0016447368421052;9.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Friburgo;9;8;17;170;174;Mainz 05;2;2;24;9;8;4;0.56;0.44;459;0.81;7;7;2;1;0;1;4;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1;0.0488888888888888;0.2857142857142857;372;0.0188172043010752;664.2857142857142;0.1666666666666666;7.142857142857142;15;0.12;3;0;0;0.0522875816993464;0.0833333333333333;0.28;2.0;0;2;2;0;1;0;1;0;0.0833333333333333;0.25;0.0043572984749455;12.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Friburgo;9;3;1;170;31;RB Leipzig;0;3;10;18;2;3;0.53;0.47;486;0.79;6;11;0;3;0;0;2;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;6;0.0261111111111111;0.0;384;0.015625;724.5283018867924;0.2;3.773584905660377;-8;0.06;-4;-3;-5;0.0205761316872428;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Friburgo;9;3;17;170;173;Augsburgo;1;1;7;13;3;5;0.49;0.51;471;0.83;9;13;1;1;0;0;2;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.0392307692307692;0.1111111111111111;391;0.0230179028132992;797.9591836734694;0.2857142857142857;4.081632653061225;-6;-0.02;-3;0;-4;0.0148619957537154;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
