Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Bernd Leno-Fulham;Kenny Tete-Fulham;Joachim Andersen-Fulham;Calvin Bassey-Fulham;Antonee Robinson-Fulham;Sander Berge-Fulham;Saša Lukić-Fulham;Ryan Sessegnon-Fulham;Harry Wilson-Fulham;Alex Iwobi-Fulham;Raúl Jiménez-Fulham;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Andreas Pereira-Fulham;Willian-Fulham;Timothy Castagne-Fulham;Rodrigo Muniz-Fulham;Issa Diop-Fulham;Jorge Cuenca Barreno-Fulham;Adama Traoré Diarra-Fulham;Emile Smith Rowe-Fulham;Steven Benda-Fulham;Tom Cairney-Fulham;Harrison Reed-Fulham;Joshua King-Fulham;Martial Godo-Fulham;Reiss Nelson-Fulham;Jay Stansfield-Fulham;Tim Ream-Fulham;João Palhinha-Fulham;Bobby Decordova-Reid-Fulham;Tosin Adarabioyo-Fulham;Marek Rodák-Fulham;Luc de Fougerolles-Fulham;Fodé Ballo-Touré-Fulham;Carlos Vinícius-Fulham;Kevin Mbabu-Fulham;Aleksandar Mitrović-Fulham;Cédric Soares-Fulham;Manor Solomon-Fulham;Daniel James-Fulham;Shane Duffy-Fulham;Layvin Kurzawa-Fulham;Luke Harris-Fulham
2025-05-10;Fulham;3;3;3;58;64;Everton;1;0;18;11;6;7;0.64;0.36;552;0.86;15;9;1;0;0;0;5;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.0327272727272727;0.0666666666666666;475;0.031578947368421;742.1875;0.2777777777777778;7.8125;7;0.28;0;1;6;0.0326086956521739;0.0555555555555555;0.64;5.0;1;0;1;0;0;1;0;1;0.0555555555555555;0.1666666666666666;0.0018115942028985;18.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Fulham;3;3;3;58;1;Aston Villa;5;0;11;10;3;3;0.48;0.52;396;0.88;17;6;5;0;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.052;0.2941176470588235;348;0.0488505747126436;725.0;0.2727272727272727;6.25;1;-0.04;-2;5;11;0.0277777777777777;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Fulham;3;0;17;58;68;Southampton;1;1;26;7;5;3;0.65;0.35;544;0.88;12;10;1;1;0;0;13;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0;0.0499999999999999;0.0833333333333333;479;0.0250521920668058;736.9230769230769;0.5;20.0;19;0.3;13;0;2;0.0477941176470588;0.0769230769230769;0.325;6.5;0;2;2;1;0;0;1;0;0.0769230769230769;0.4;0.0036764705882352;13.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Fulham;3;3;3;58;53;Chelsea;1;3;6;13;1;8;0.4;0.6;345;0.81;13;9;1;3;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.0461538461538461;0.0769230769230769;279;0.046594982078853;697.5;0.8333333333333334;12.5;-7;-0.1999999999999999;1;-2;4;0.017391304347826;0.1666666666666666;0.4;5.0;1;0;1;0;0;1;0;1;0.1666666666666666;1.0;0.0028985507246376;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-14;Fulham;3;3;3;58;59;Bournemouth;2;3;12;12;7;3;0.6;0.4;473;0.81;10;11;2;3;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;6;0.0333333333333333;0.2;383;0.0261096605744125;638.3333333333334;0.75;15.0;0;0.1999999999999999;3;-1;-1;0.0253699788583509;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Fulham;3;3;3;58;2;Liverpool;3;0;12;14;6;6;0.37;0.63;337;0.77;10;9;3;0;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;4;0.045;0.3;259;0.0386100386100386;700.0;0.3333333333333333;10.81081081081081;-2;-0.26;0;3;1;0.0356083086053412;0.25;0.1233333333333333;1.3333333333333333;3;0;3;1;0;0;0;1;0.25;0.5;0.0089020771513353;4.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Fulham;3;17;0;58;9;Arsenal;3;1;9;17;3;4;0.49;0.51;473;0.86;10;2;3;1;0;0;4;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;5;0.03;0.3;407;0.0245700245700245;830.6122448979592;0.4444444444444444;8.16326530612245;-8;-0.02;-1;2;8;0.0190274841437632;0.1111111111111111;0.49;4.0;0;1;1;0;0;1;1;0;0.1111111111111111;0.3333333333333333;0.0021141649048625;9.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Fulham;15;3;17;58;65;Crystal Palace;0;4;16;8;3;6;0.71;0.29;622;0.85;11;10;0;4;0;0;12;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;2;0.03625;0.0;529;0.0207939508506616;745.0704225352113;0.75;16.901408450704228;8;0.42;10;-4;1;0.0257234726688102;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Fulham;3;3;0;58;56;Tottenham;0;0;13;12;4;4;0.57;0.43;528;0.84;13;10;0;0;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;5;0.0358333333333333;0.0;444;0.0292792792792792;778.9473684210527;0.4615384615384615;10.526315789473683;1;0.1399999999999999;1;0;3;0.0246212121212121;0.1538461538461538;0.285;3.0;0;2;2;1;0;0;0;1;0.1538461538461538;0.5;0.0037878787878787;6.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Fulham;3;17;3;58;54;Brighton;2;0;6;9;1;4;0.46;0.54;441;0.84;12;6;2;0;0;0;7;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;3;0.06;0.1666666666666666;370;0.0324324324324324;804.3478260869565;1.1666666666666667;15.217391304347826;-3;-0.08;4;2;6;0.0136054421768707;0.1666666666666666;0.46;7.0;1;0;1;0;0;1;1;0;0.1666666666666666;1.0;0.0022675736961451;6.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Fulham;15;3;17;58;62;Manchester United;2;1;12;20;5;9;0.6;0.4;666;0.87;13;10;2;1;0;0;8;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;5;0.02;0.1538461538461538;579;0.0224525043177892;965.0;0.6666666666666666;13.333333333333334;-8;0.1999999999999999;3;1;3;0.018018018018018;0.0833333333333333;0.6;8.0;1;0;1;0;1;0;1;0;0.0833333333333333;0.2;0.0015015015015015;12.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Fulham;3;17;17;58;67;Wolves;3;1;11;18;5;5;0.4;0.6;387;0.84;15;8;3;1;0;0;4;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;7;0.0333333333333333;0.2;325;0.0461538461538461;812.5;0.3636363636363636;10.0;-7;-0.1999999999999999;-3;2;7;0.0284237726098191;0.1818181818181818;0.2;2.0;1;1;2;1;0;0;1;0;0.1818181818181818;0.4;0.0051679586563307;5.5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Fulham;3;3;17;58;65;Crystal Palace;1;3;10;10;0;5;0.63;0.37;543;0.82;10;7;1;3;0;0;7;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.037;0.1;445;0.0224719101123595;706.3492063492064;0.7;11.11111111111111;0;0.26;0;-2;3;0.0184162062615101;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Fulham;3;3;2;58;55;Nottingham Forest;0;0;24;8;10;2;0.56;0.44;499;0.87;13;8;0;0;0;0;8;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;4;0.055;0.0;434;0.0299539170506912;774.9999999999999;0.3333333333333333;14.285714285714285;16;0.12;4;0;5;0.0480961923847695;0.0833333333333333;0.28;4.0;1;1;2;1;0;0;0;1;0.0833333333333333;0.2;0.0040080160320641;12.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Fulham;15;3;3;58;261;Wigan;0;2;15;10;5;5;0.7;0.3;600;0.89;7;11;0;2;0;0;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;7;0.03;0.0;534;0.0131086142322097;762.8571428571429;0.4666666666666667;10.0;5;0.3999999999999999;0;-2;-4;0.025;0.1333333333333333;0.35;3.5;1;1;2;1;0;0;1;0;0.1333333333333333;0.4;0.0033333333333333;7.5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
