Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
2025-03-14;Genoa;4;3;3;83;82;Lecce;8;2;43;344;72;12;3;0;3;Nicola Leali;Portero;Stefano Sabelli;Defensor;Koni de Winter;Defensor;Johan Vásquez;Defensor;Aarón Martín;Defensor;Patrizio Masini;Mediocampista;Morten Frendrup;Mediocampista;Alessandro Zanoli;Mediocampista;Ruslan Malinovskyi;Mediocampista;Fabio Miretti;Mediocampista;Andrea Pinamonti;Delantero;2;0;2;1;0;0;0;1
2025-03-07;Genoa;4;3;3;83;79;Cagliari;8;2;54;428;76;15;2;0;5;Nicola Leali;Portero;Brooke Norton-Cuffy;Defensor;Koni de Winter;Defensor;Johan Vásquez;Defensor;Aarón Martín;Defensor;Morten Frendrup;Mediocampista;Milan Badelj;Mediocampista;Jeff Ekhator;Mediocampista;Fabio Miretti;Mediocampista;Maxwel Cornet;Mediocampista;Caleb Ekuban;Delantero;0;1;1;0;1;0;1;0
2025-03-02;Genoa;4;17;17;83;75;Empoli;4;1;61;412;74;12;1;0;3;Nicola Leali;Portero;Koni de Winter;Defensor;Mattia Bani;Defensor;Johan Vásquez;Defensor;Alessandro Zanoli;Mediocampista;Patrizio Masini;Mediocampista;Morten Frendrup;Mediocampista;Aarón Martín;Mediocampista;Junior Messias;Mediocampista;Fabio Miretti;Mediocampista;Andrea Pinamonti;Delantero;0;1;1;0;1;0;0;1
2025-02-22;Genoa;4;3;30;83;7;Inter;11;2;37;349;76;14;2;0;7;Nicola Leali;Portero;Stefano Sabelli;Defensor;Mattia Bani;Defensor;Johan Vásquez;Defensor;Aarón Martín;Defensor;Patrizio Masini;Mediocampista;Morten Frendrup;Mediocampista;Alessandro Zanoli;Mediocampista;Fabio Miretti;Mediocampista;Jeff Ekhator;Mediocampista;Andrea Pinamonti;Delantero;0;0;0;0;0;1;1;0
2025-02-17;Genoa;4;1;2;83;81;Venezia;14;5;51;355;73;14;1;0;4;Nicola Leali;Portero;Koni de Winter;Defensor;Mattia Bani;Defensor;Johan Vásquez;Defensor;Aarón Martín;Defensor;Junior Messias;Mediocampista;Morten Frendrup;Mediocampista;Patrizio Masini;Mediocampista;Fabio Miretti;Mediocampista;Vítor Oliveira;Delantero;Andrea Pinamonti;Delantero;0;2;2;1;0;0;0;1
2025-02-08;Genoa;4;1;17;83;73;Torino;6;2;43;383;77;10;2;0;2;Nicola Leali;Portero;Stefano Sabelli;Defensor;Johan Vásquez;Defensor;Alan Matturro;Defensor;Aarón Martín;Defensor;Vítor Oliveira;Mediocampista;Milan Badelj;Mediocampista;Morten Frendrup;Mediocampista;Fabio Miretti;Mediocampista;Morten Thorsby;Delantero;Andrea Pinamonti;Delantero;0;1;1;0;1;0;1;0
2025-02-02;Genoa;4;3;3;83;70;Fiorentina;17;3;60;422;78;14;1;0;8;Nicola Leali;Portero;Stefano Sabelli;Defensor;Koni de Winter;Defensor;Johan Vásquez;Defensor;Aarón Martín;Defensor;Patrizio Masini;Mediocampista;Morten Frendrup;Mediocampista;Maxwel Cornet;Mediocampista;Morten Thorsby;Mediocampista;Fabio Miretti;Mediocampista;Andrea Pinamonti;Delantero;0;1;1;0;0;1;1;0
2025-01-27;Genoa;4;3;17;83;80;Monza;18;6;49;304;74;13;0;0;9;Nicola Leali;Portero;Stefano Sabelli;Defensor;Koni de Winter;Defensor;Johan Vásquez;Defensor;Aarón Martín;Defensor;Patrizio Masini;Mediocampista;Morten Frendrup;Mediocampista;Lior Kasa;Mediocampista;Morten Thorsby;Mediocampista;Fabio Miretti;Mediocampista;Andrea Pinamonti;Delantero;0;2;2;1;0;0;0;1
2025-01-17;Genoa;4;3;2;83;74;Roma;7;3;47;460;83;12;1;0;2;Nicola Leali;Portero;Koni de Winter;Defensor;Mattia Bani;Defensor;Johan Vásquez;Defensor;Aarón Martín;Defensor;Morten Frendrup;Mediocampista;Patrizio Masini;Mediocampista;Alessandro Zanoli;Mediocampista;Morten Thorsby;Mediocampista;Fabio Miretti;Mediocampista;Andrea Pinamonti;Delantero;1;0;1;0;0;1;1;0
2025-01-12;Genoa;4;7;3;83;76;Parma;14;4;62;547;86;10;2;0;6;Nicola Leali;Portero;Koni de Winter;Defensor;Mattia Bani;Defensor;Johan Vásquez;Defensor;Aarón Martín;Defensor;Milan Badelj;Mediocampista;Alessandro Zanoli;Mediocampista;Morten Thorsby;Mediocampista;Morten Frendrup;Mediocampista;Fabio Miretti;Mediocampista;Andrea Pinamonti;Delantero;0;1;1;1;0;0;0;1
