Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Tiago Luis Volpi-Grêmio;Igor Serrote-Grêmio;Jemerson-Grêmio;Wagner Leonardo-Grêmio;Lucas Esteves-Grêmio;Camilo Reijers de Oliveira-Grêmio;Gustavo Cuéllar-Grêmio;Alysson-Grêmio;Franco Cristaldo-Grêmio;Luan Cândido-Grêmio;Matías Arezo-Grêmio;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Marlon Rodrigues Xavier-Grêmio;Dodi-Grêmio;Edenilson Andrade dos Santos-Grêmio;Cristian Olivera Ibarra-Grêmio;Martin Braithwaite-Grêmio;João Pedro Maturano dos Santos-Grêmio;Walter Kannemann-Grêmio;Miguel Monsalve-Grêmio;Mathías Villasanti-Grêmio;Cristian Pavón-Grêmio;Francis Amuzu-Grêmio;Rodrigo Ely-Grêmio;Gustavo Martins-Grêmio;Gabriel Grando-Grêmio;João Lucas de Almeida Carvalho-Grêmio;Natã Felipe-Grêmio;Viery-Grêmio;Alexander Aravena-Grêmio;Pepê-Grêmio;Pedro Gabriel Crisóstomo Pinheiro-Grêmio;André Henrique-Grêmio;Mayk-Grêmio;Caíque Luiz Santos da Purificação-Grêmio;Pedro Geromel-Grêmio;Reinaldo Manoel da Silva-Grêmio;Yeferson Soteldo-Grêmio;Diego Costa-Grêmio;Agustín Marchesín-Grêmio;Rodrigo Caio-Grêmio;Fábio da Silva-Grêmio;José Guilherme-Grêmio;Du Queiroz-Grêmio;Nathan Fernandes-Grêmio;Gustavo Nunes-Grêmio;Felipe Carballo-Grêmio;Nathan Allan de Souza-Grêmio;Everton-Grêmio;Rafael Cabral Barbosa-Grêmio;João Pedro Geraldino dos Santos Galvão-Grêmio;Cuiabano-Grêmio;Wesley Costa-Grêmio;Luis Suárez-Grêmio;Ferreira-Grêmio;Bruno Fabiano Alves-Grêmio;Bruno Uvini-Grêmio;Ronald Falkoski-Grêmio;Lucas Besozzi-Grêmio;Josué-Grêmio;Juan Iturbe-Grêmio;João Paulo Bitello-Grêmio;Vinícius Goes-Grêmio;Brenno-Grêmio;Mila-Grêmio;Adriel-Grêmio;Thomas Luciano-Grêmio;Diogo Barbosa-Grêmio;Lucas Silva Borges-Grêmio;Zinho-Grêmio;Leonardo Gomes da Conceição Silva-Grêmio;Lucas Leiva-Grêmio;Jáminton Campaz-Grêmio;Guilherme Vieira dos Santos-Grêmio;Gabriel Silva-Grêmio;Thiago dos Santos-Grêmio;Emerson-Grêmio;Elkeson de Oliveira Cardoso-Grêmio;Thaciano-Grêmio;Diego Souza-Grêmio
2025-05-07;Grêmio;-1;3;1;206;-1;Atlético Grau;1;2;12;4;2;0;0.64;0.36;584;0.87;9;10;1;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.09;0.1111111111111111;508;0.017716535433070866;793.75;0.3333333333333333;6.25;8;0.28;2;-1;-1;0.02054794520547945;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Grêmio;10;3;3;206;662;Santos;5;3;8;13;3;1;0.45;0.55;361;0.78;10;19;5;3;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;6;0.04230769230769231;0.5;282;0.03546099290780142;626.6666666666666;0.375;6.666666666666666;-5;-0.10000000000000003;-3;2;-9;0.0221606648199446;0.125;0.45;3.0;0;1;1;1;0;0;0;1;0.125;0.3333333333333333;0.002770083102493075;8.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-30;Grêmio;12;3;3;206;802;CSA;2;3;13;13;6;6;0.51;0.49;408;0.85;16;21;2;3;0;0;4;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2;0.03769230769230769;0.125;347;0.04610951008645533;680.3921568627451;0.3076923076923077;7.8431372549019605;0;0.020000000000000018;2;-1;-5;0.031862745098039214;0.15384615384615385;0.255;2.0;1;1;2;0;0;1;1;0;0.15384615384615385;0.3333333333333333;0.004901960784313725;6.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Grêmio;10;3;3;206;693;Vitória;1;4;11;14;8;3;0.45;0.55;384;0.83;11;20;1;4;0;0;2;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6;0.03928571428571429;0.09090909090909091;319;0.034482758620689655;708.8888888888889;0.18181818181818182;4.444444444444445;-3;-0.10000000000000003;-4;-3;-9;0.028645833333333332;0.09090909090909091;0.45;2.0;1;0;1;0;1;0;1;0;0.09090909090909091;0.125;0.0026041666666666665;11.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-24;Grêmio;-1;3;0;206;-1;Godoy Cruz;0;2;7;19;5;4;0.4;0.6;279;0.7;3;5;0;2;0;0;3;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6;0.031578947368421054;0.0;195;0.015384615384615385;487.5;0.42857142857142855;7.5;-12;-0.19999999999999996;-3;-2;-2;0.025089605734767026;0.2857142857142857;0.2;1.5;1;1;2;0;1;0;1;0;0.2857142857142857;0.4;0.007168458781362007;3.5;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Grêmio;10;3;3;206;641;Internacional;6;3;8;14;2;5;0.38;0.62;268;0.67;14;14;5;3;1;0;3;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;0.04428571428571428;0.42857142857142855;180;0.07777777777777778;473.6842105263158;0.375;7.894736842105263;-6;-0.24;-4;3;0;0.029850746268656716;0.125;0.38;3.0;1;0;1;0;1;0;0;1;0.125;0.5;0.0037313432835820895;8.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Grêmio;10;3;3;206;670;Mirassol;4;2;16;11;6;6;0.59;0.41;527;0.88;16;12;4;2;0;0;7;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;2;0.03727272727272727;0.25;464;0.034482758620689655;786.4406779661017;0.4375;11.864406779661017;5;0.18;5;2;4;0.030360531309297913;0.0625;0.59;7.0;0;1;1;0;0;1;1;0;0.0625;0.16666666666666666;0.0018975332068311196;16.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Grêmio;10;3;3;206;214;Flamengo;1;2;10;8;2;4;0.39;0.61;376;0.84;11;14;1;2;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;4;0.07625;0.09090909090909091;316;0.03481012658227848;810.2564102564103;0.3;7.692307692307692;2;-0.21999999999999997;-1;-1;-3;0.026595744680851064;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-08;Grêmio;-1;7;1;206;-1;Atlético Grau;2;3;14;7;8;3;0.61;0.39;553;0.83;12;9;2;3;0;0;4;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;4;0.055714285714285716;0.16666666666666666;459;0.026143790849673203;752.4590163934427;0.2857142857142857;6.557377049180328;7;0.21999999999999997;0;-1;3;0.02531645569620253;0.14285714285714285;0.305;2.0;1;1;2;1;0;0;0;1;0.14285714285714285;0.25;0.003616636528028933;7.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Grêmio;10;3;3;206;680;Ceará;3;1;12;12;3;6;0.63;0.37;417;0.8;18;9;3;1;0;0;10;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3;0.030833333333333334;0.16666666666666666;334;0.05389221556886228;530.1587301587301;0.8333333333333334;15.873015873015873;0;0.26;7;2;9;0.02877697841726619;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
