Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Kevin Müller-Heidenheim;Omar Haktab Traoré-Heidenheim;Patrick Mainka-Heidenheim;Benedikt Gimber-Heidenheim;Tim Siersleben-Heidenheim;Frans Krätzig-Heidenheim;Marnon Busch-Heidenheim;Jan Schöppner-Heidenheim;Niklas Dorsch-Heidenheim;Adrian Beck-Heidenheim;Marvin Pieringer-Heidenheim;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Sirlord Conteh-Heidenheim;Budu Zivzivadze-Heidenheim;Mathias Honsak-Heidenheim;Luca Kerber-Heidenheim;Paul Wanner-Heidenheim;Jonas Föhrenbach-Heidenheim;Frank Feller-Heidenheim;Thomas Keller-Heidenheim;Julian Niehues-Heidenheim;Norman Theuerkauf-Heidenheim;Léo Scienza-Heidenheim;Mikkel Kaufmann-Heidenheim;Vitus Eicher-Heidenheim;Lennard Maloney-Heidenheim;Maximilian Breunig-Heidenheim;Denis Thomalla-Heidenheim;Stefan Schimmer-Heidenheim;Eren Dinkci-Heidenheim;Kevin Sessa-Heidenheim;Jan-Niklas Beste-Heidenheim;Tim Kleindienst-Heidenheim;Nikola Dovedan-Heidenheim;Florian Pick-Heidenheim;Dženis Burnić-Heidenheim;Christian Kühlwetter-Heidenheim;Marvin Rittmüller-Heidenheim;Andreas Geipl-Heidenheim
2025-05-02;Heidenheim;9;17;30;142;178;Bochum;0;1;12;14;3;3;0.45;0.55;372;0.74;8;14;0;1;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.0392857142857142;0.0;275;0.029090909090909;611.1111111111111;0.5;13.333333333333332;-2;-0.1;2;-1;-6;0.032258064516129;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-25;Heidenheim;9;4;3;142;18;Stuttgart;4;0;6;19;2;3;0.3;0.7;307;0.74;16;14;4;0;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6;0.0368421052631578;0.25;227;0.0704845814977973;756.6666666666667;0.8333333333333334;16.666666666666668;-13;-0.3999999999999999;-1;4;2;0.019543973941368;0.1666666666666666;0.3;5.0;0;1;1;1;0;0;1;0;0.1666666666666666;0.5;0.003257328990228;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Heidenheim;9;28;3;142;23;Bayern;3;1;4;18;1;11;0.31;0.69;341;0.81;8;11;3;1;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0383333333333333;0.375;276;0.0289855072463768;890.3225806451613;1.0;12.903225806451614;-14;-0.3799999999999999;0;2;-3;0.0117302052785923;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Heidenheim;9;30;3;142;87;Frankfurt;1;1;14;19;3;8;0.56;0.44;608;0.87;7;6;1;1;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.0231578947368421;0.1428571428571428;529;0.0132325141776937;944.642857142857;0.2142857142857142;5.357142857142857;-5;0.12;-2;0;1;0.0230263157894736;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Heidenheim;9;9;17;142;6;Leverkusen;1;0;10;6;2;2;0.48;0.52;506;0.8;14;10;1;0;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0866666666666666;0.0714285714285714;405;0.0345679012345679;843.75;0.4;8.333333333333334;4;-0.04;4;1;4;0.0197628458498023;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Heidenheim;9;29;0;142;175;Wolfsburg;4;2;11;11;4;2;0.38;0.62;361;0.73;10;8;4;2;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0563636363636363;0.4;264;0.0378787878787878;694.7368421052631;0.4545454545454545;13.157894736842104;0;-0.24;1;2;2;0.0304709141274238;0.0909090909090909;0.38;5.0;1;0;1;1;0;0;1;0;0.0909090909090909;0.25;0.002770083102493;11.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Heidenheim;9;29;2;142;177;KSV Holstein;1;3;14;16;5;4;0.38;0.62;320;0.74;15;13;1;3;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.03875;0.0666666666666666;237;0.0632911392405063;623.6842105263158;0.2142857142857142;7.894736842105263;-2;-0.24;-2;-2;2;0.04375;0.2142857142857142;0.1266666666666666;1.0;1;2;3;1;0;0;0;1;0.2142857142857142;0.6;0.009375;4.666666666666667;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Heidenheim;9;28;14;142;97;Hoffenheim;3;2;23;16;5;3;0.45;0.55;387;0.77;11;9;3;2;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;6;0.034375;0.2727272727272727;298;0.0369127516778523;662.2222222222222;0.1739130434782608;8.88888888888889;7;-0.1;-2;1;2;0.0594315245478036;0.0434782608695652;0.45;4.0;0;1;1;0;1;0;1;0;0.0434782608695652;0.2;0.0025839793281653;23.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Heidenheim;9;17;3;142;172;Mönchengladbach;2;3;20;13;5;5;0.44;0.56;389;0.83;9;15;2;3;0;0;6;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2;0.043076923076923;0.2222222222222222;323;0.0278637770897832;734.0909090909091;0.3;13.636363636363637;7;-0.12;4;-1;-6;0.0514138817480719;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Heidenheim;9;17;13;142;31;RB Leipzig;3;3;4;17;2;6;0.26;0.74;192;0.59;15;15;3;3;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;7;0.0435294117647058;0.2;113;0.1327433628318584;434.6153846153846;1.0;15.384615384615383;-13;-0.48;-3;0;0;0.0208333333333333;0.5;0.13;2.0;2;0;2;0;1;0;1;0;0.5;1.0;0.0104166666666666;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
