Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Anthoni-Internacional;Braian Aguirre-Internacional;Vitão-Internacional;Victor Gabriel-Internacional;Alexandro Bernabei-Internacional;Bruno Henrique Corsini-Internacional;Fernando Reges-Internacional;Thiago Maia-Internacional;Alan Patrick-Internacional;Enner Valencia-Internacional;Wesley Ribeiro Silva-Internacional;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Agustín Rogel-Internacional;Ramon Ramos Lima-Internacional;Bruno Tabata-Internacional;Óscar Romero Villamayor-Internacional;Nathan Santos de Araújo-Internacional;Ronaldo da Silva Souza-Internacional;Gabriel Carvalho-Internacional;Vitor Hugo Naum dos Santos-Internacional;Johan Carbonero-Internacional;Rafael Santos Borré-Internacional;José Carlos Ferreira Júnior-Internacional;Sergio Rochet-Internacional;Gustavo Prado-Internacional;Wanderson Maciel Sousa Campos-Internacional;Bruno Gomes-Internacional;Clayton Sampaio-Internacional;Rômulo Zwarg-Internacional;Renê Rodrigues Martins-Internacional;Gabriel Mercado-Internacional;Lucas Alario-Internacional;Igor Gomes-Internacional;Robert Renan-Internacional;Fabricio Bustos-Internacional;Fabrício-Internacional;Hyoran-Internacional;Lucca Drummond-Internacional;Hugo Mallo-Internacional;Charles Aránguiz-Internacional;Matheus Dias-Internacional;Lucca Holanda Sampaio Tavares-Internacional;Maurício Magalhães Prado-Internacional;Gabriel Barros-Internacional;Johnny Cardoso-Internacional;Dalbert Henrique-Internacional;Nicolás Hernández Rodríguez-Internacional;Pedro Henrique-Internacional;Carlos de Pena-Internacional;Keiller-Internacional;Gabriel Girotto Franco-Internacional;Luiz Adriano-Internacional;Gustavo Campanharo-Internacional;John-Internacional;Rodrigo Moledo-Internacional;Jean Dias-Internacional;Thauan Lara-Internacional;Alexandre Zurawski-Internacional;Gabriel Baralhas-Internacional;Taison-Internacional;Edenilson Andrade dos Santos-Internacional;Ricardo Mathias-Internacional;Diego Rosa-Internacional
2025-05-15;Internacional;-1;20;3;641;225;Nacional;1;2;11;16;6;3;0.48;0.52;405;0.79;16;5;1;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;7;0.0325;0.0625;320;0.05;666.6666666666667;0.3636363636363636;8.333333333333334;-5;-0.04;-3;-1;11;0.0271604938271604;0.1818181818181818;0.24;2.0;1;1;2;1;0;0;1;0;0.1818181818181818;0.3333333333333333;0.0049382716049382;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2025-05-11;Internacional;10;0;1;641;210;Botafogo;1;0;19;12;5;6;0.57;0.43;519;0.86;10;11;1;0;0;0;7;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2;0.0358333333333333;0.1;446;0.0224215246636771;782.4561403508773;0.3684210526315789;12.280701754385966;7;0.1399999999999999;5;1;-1;0.0366088631984585;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2025-05-08;Internacional;-1;28;3;641;-1;Atlético Nacional;4;4;10;11;5;3;0.57;0.43;429;0.82;11;12;4;4;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.039090909090909;0.3636363636363636;352;0.03125;617.5438596491229;0.7;12.280701754385966;-1;0.1399999999999999;4;0;-1;0.0233100233100233;0.1;0.57;7.0;0;1;1;0;0;1;1;0;0.1;0.2;0.0023310023310023;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Internacional;10;29;1;641;652;Corinthians;2;3;8;22;4;9;0.34;0.66;306;0.76;13;11;1;3;1;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.03;0.1538461538461538;233;0.055793991416309;685.2941176470588;0.875;20.588235294117645;-14;-0.32;4;-1;2;0.0261437908496732;0.25;0.17;3.5;2;0;2;0;0;1;1;0;0.25;0.5;0.0065359477124183;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-29;Internacional;12;3;4;641;-1;Maracanã Esporte Clube;0;5;30;2;6;1;0.73;0.27;651;0.89;15;12;0;5;0;0;15;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0;0.135;0.0;579;0.0259067357512953;793.1506849315068;0.5;20.54794520547945;28;0.4599999999999999;15;-5;3;0.0460829493087557;0.0333333333333333;0.73;15.0;0;1;1;1;0;0;0;1;0.0333333333333333;0.1666666666666666;0.0015360983102918;30.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Internacional;10;14;9;641;779;Juventude;1;2;13;4;7;1;0.53;0.47;395;0.82;17;8;1;2;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;2;0.1175;0.0588235294117647;324;0.0524691358024691;611.3207547169811;0.6923076923076923;16.9811320754717;9;0.06;7;-1;9;0.0329113924050632;0.2307692307692307;0.1766666666666666;3.0;2;1;3;1;0;0;0;1;0.2307692307692307;0.4285714285714285;0.0075949367088607;4.333333333333333;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-22;Internacional;-1;3;9;641;225;Nacional;4;0;14;9;6;5;0.72;0.28;473;0.86;13;9;4;0;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;7;0.0311111111111111;0.3076923076923077;407;0.0319410319410319;565.2777777777778;0.3571428571428571;6.944444444444445;5;0.4399999999999999;-2;4;4;0.0295983086680761;0.2142857142857142;0.24;1.6666666666666667;1;2;3;0;1;0;0;1;0.2142857142857142;0.5;0.0063424947145877;4.666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Internacional;10;3;3;641;206;Grêmio;3;6;14;8;5;2;0.62;0.38;425;0.81;14;14;3;5;0;1;7;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;3;0.0475;0.2142857142857142;344;0.0406976744186046;554.8387096774194;0.5;11.290322580645162;6;0.24;4;-3;0;0.0329411764705882;0.0714285714285714;0.62;7.0;0;1;1;0;1;0;1;0;0.0714285714285714;0.2;0.0023529411764705;14.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Internacional;10;3;17;641;217;Palmeiras;0;1;11;12;2;4;0.68;0.32;579;0.87;15;16;0;1;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;6;0.0266666666666666;0.0;504;0.0297619047619047;741.1764705882352;0.0909090909090909;1.4705882352941175;-1;0.36;-5;-1;-1;0.0189982728842832;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Internacional;10;3;4;641;644;Fortaleza;2;5;9;10;1;1;0.46;0.54;382;0.84;13;12;2;4;0;1;5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;5;0.054;0.1538461538461538;321;0.0404984423676012;697.8260869565217;0.5555555555555556;10.869565217391305;-1;-0.08;0;-3;1;0.0235602094240837;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
