Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Michele Di Gregorio-Juventus;Pierre Kalulu-Juventus;Renato Veiga-Juventus;Lloyd Kelly-Juventus;Nicolás González-Juventus;Manuel Locatelli-Juventus;Khéphren Thuram-Juventus;Weston McKennie-Juventus;Teun Koopmeiners-Juventus;Kenan Yıldız-Juventus;Dušan Vlahović-Juventus;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Timothy Weah-Juventus;Federico Gatti-Juventus;Randal Kolo Muani-Juventus;Andrea Cambiaso-Juventus;Mattia Perin-Juventus;Francisco Conceição-Juventus;Nicolò Savona-Juventus;Douglas Luiz-Juventus;Samuel Mbangula-Juventus;Danilo da Silva-Juventus;Nicolò Fagioli-Juventus;Juan David Cabal-Juventus;Gleison Bremer-Juventus;Jonas Rouhi-Juventus;Wojciech Szczęsny-Juventus;Fabio Miretti-Juventus;Adrien Rabiot-Juventus;Samuel Iling-Junior-Juventus;Federico Chiesa-Juventus;Hans Nicolussi-Juventus;Daniele Rugani-Juventus;Filip Kostić-Juventus;Moise Kean-Juventus;Alex Sandro-Juventus;Carlos Jonás Alcaraz-Juventus;Mattia De Sciglio-Juventus;Arkadiusz Milik-Juventus;Leonardo Bonucci-Juventus;Juan Guillermo Cuadrado-Juventus;Ángel Di María-Juventus;Tommaso Barbieri-Juventus;Leandro Paredes-Juventus;Paul Pogba-Juventus;Matías Soulé-Juventus;Enzo Barrenechea-Juventus
2025-04-12;Juventus;4;17;17;14;82;Lecce;0;1;22;14;7;3;0.67;0.33;670;0.87;7;10;0;1;0;0;9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.023571428571428573;0.0;583;0.012006861063464836;870.1492537313433;0.4090909090909091;13.432835820895521;8;0.34;5;-1;-3;0.03283582089552239;0.09090909090909091;0.335;4.5;2;0;2;1;0;0;0;1;0.09090909090909091;0.2857142857142857;0.0029850746268656717;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Juventus;4;17;17;14;74;Roma;1;1;11;11;7;4;0.6;0.4;612;0.88;15;11;1;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.03636363636363637;0.06666666666666667;539;0.027829313543599257;898.3333333333334;0.36363636363636365;6.666666666666667;0;0.19999999999999996;0;0;4;0.017973856209150325;0.09090909090909091;0.6;4.0;1;0;1;0;1;0;1;0;0.09090909090909091;0.14285714285714285;0.0016339869281045752;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Juventus;4;17;3;14;83;Genoa;2;2;9;9;6;3;0.49;0.51;418;0.8;13;11;2;2;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.05666666666666667;0.15384615384615385;334;0.038922155688622756;681.6326530612245;0.4444444444444444;8.16326530612245;0;-0.020000000000000018;1;0;2;0.0215311004784689;0.1111111111111111;0.49;4.0;1;0;1;1;0;0;0;1;0.1111111111111111;0.16666666666666666;0.0023923444976076554;9.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Juventus;4;3;23;14;70;Fiorentina;3;2;11;9;2;3;0.64;0.36;596;0.88;13;9;3;2;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1;0.04;0.23076923076923078;524;0.02480916030534351;818.75;0.5454545454545454;9.375;2;0.28;5;1;4;0.018456375838926176;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Juventus;4;3;6;14;17;Atalanta;1;1;9;19;2;9;0.64;0.36;601;0.88;12;11;1;1;0;0;2;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;5;0.01894736842105263;0.08333333333333333;529;0.022684310018903593;826.5625;0.2222222222222222;3.125;-10;0.28;-3;0;1;0.014975041597337771;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-03;Juventus;4;3;4;14;77;Hellas Verona;1;0;27;5;9;2;0.77;0.23;672;0.88;14;8;1;0;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0;0.046;0.07142857142857142;591;0.023688663282571912;767.5324675324675;0.2222222222222222;7.792207792207792;22;0.54;6;1;6;0.04017857142857143;0.07407407407407407;0.385;3.0;0;2;2;1;0;0;0;1;0.07407407407407407;0.2222222222222222;0.002976190476190476;13.5;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Juventus;35;7;2;14;75;Empoli;1;3;15;10;4;5;0.69;0.31;658;0.9;13;13;1;3;0;0;9;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2;0.031;0.07692307692307693;592;0.02195945945945946;857.9710144927537;0.6;13.043478260869566;5;0.37999999999999995;7;-2;0;0.022796352583586626;0.06666666666666667;0.69;9.0;0;1;1;0;1;0;0;1;0.06666666666666667;0.25;0.001519756838905775;15.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Juventus;4;3;5;14;79;Cagliari;1;0;14;8;7;2;0.61;0.39;606;0.89;15;9;1;0;0;0;4;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;3;0.04875;0.06666666666666667;539;0.027829313543599257;883.6065573770492;0.2857142857142857;6.557377049180328;6;0.21999999999999997;1;1;6;0.0231023102310231;0.07142857142857142;0.61;4.0;1;0;1;1;0;0;1;0;0.07142857142857142;0.14285714285714285;0.0016501650165016502;14.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-19;Juventus;0;3;3;14;28;PSV;3;1;15;25;4;10;0.4;0.6;449;0.76;20;14;3;1;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;6;0.024;0.15;341;0.05865102639296188;852.5;0.3333333333333333;12.5;-10;-0.19999999999999996;-1;2;6;0.0334075723830735;0.06666666666666667;0.4;5.0;0;1;1;0;0;1;1;0;0.06666666666666667;0.25;0.0022271714922048997;15.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Juventus;4;3;2;14;7;Inter;1;1;16;17;8;2;0.41;0.59;334;0.82;17;10;1;1;0;0;7;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;5;0.03470588235294118;0.058823529411764705;274;0.06204379562043796;668.2926829268293;0.4375;17.073170731707318;-1;-0.18;2;0;7;0.04790419161676647;0.0625;0.41;7.0;0;1;1;1;0;0;0;1;0.0625;0.125;0.0029940119760479044;16.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
