Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Thomas Dähne-KSV Holstein;Timo Becker-KSV Holstein;Carl Johansson-KSV Holstein;David Zec-KSV Holstein;Lasse Rosenboom-KSV Holstein;Nicolai Remberg-KSV Holstein;Armin Gigović-KSV Holstein;John Tolkin-KSV Holstein;Steven Skrzybski-KSV Holstein;Alexander Bernhardsson-KSV Holstein;Shuto Machino-KSV Holstein;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Marko Ivezić-KSV Holstein;Marco Komenda-KSV Holstein;Magnus Knudsen-KSV Holstein;Finn Porath-KSV Holstein;Phil Harres-KSV Holstein;Timon Weiner-KSV Holstein;Max Geschwill-KSV Holstein;Dominik Javorček-KSV Holstein;Ivan Nekić-KSV Holstein;Lewis Holtby-KSV Holstein;Fiete Arp-KSV Holstein;Andu Kelati-KSV Holstein;Marvin Schulz-KSV Holstein;Patrick Erras-KSV Holstein;Tymoteusz Puchacz-KSV Holstein;Benedikt Pichler-KSV Holstein;Marcel Engelhardt-KSV Holstein;Tom Rothe-KSV Holstein;Philipp Sander-KSV Holstein;Colin Kleine-Bekel-KSV Holstein;Joshua Mees-KSV Holstein;Jonas Sterner-KSV Holstein;Hólmbert Friðjónsson-KSV Holstein;Ba-Muaka Simakala-KSV Holstein;Stefan Thesker-KSV Holstein;Fabian Reese-KSV Holstein;Fin Bartels-KSV Holstein;Hauke Wahl-KSV Holstein;Mikkel Kirkeskov-KSV Holstein;Alexander Mühling-KSV Holstein;Kwasi Okyere Wriedt-KSV Holstein;Robin Himmelmann-KSV Holstein;Simon Lorenz-KSV Holstein;Tim Schreiber-KSV Holstein;Marvin Obuz-KSV Holstein;Julian Korb-KSV Holstein;Aleksandar Ignjovski-KSV Holstein;Johannes van den Bergh-KSV Holstein
2025-05-04;KSV Holstein;9;29;17;177;173;Augsburgo;2;0;7;27;5;10;0.28;0.72;238;0.71;20;4;2;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;12;0.0266666666666666;0.1;169;0.1183431952662721;603.5714285714286;0.0;0.0;-20;-0.4399999999999999;-12;2;16;0.0294117647058823;0.4285714285714285;0.0933333333333333;0.0;2;1;3;1;0;0;1;0;0.4285714285714285;0.6;0.0126050420168067;2.333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;KSV Holstein;9;29;3;177;172;Mönchengladbach;2;1;22;16;11;7;0.37;0.63;257;0.75;13;11;2;1;0;0;7;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8;0.039375;0.1538461538461538;193;0.0673575129533678;521.6216216216217;0.3181818181818182;18.91891891891892;6;-0.26;-1;1;2;0.0856031128404669;0.1818181818181818;0.0925;1.75;2;2;4;1;0;0;0;1;0.1818181818181818;0.3636363636363636;0.0155642023346303;5.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;KSV Holstein;9;6;1;177;31;RB Leipzig;2;1;14;10;3;4;0.39;0.61;336;0.72;9;5;2;1;0;0;7;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.061;0.2222222222222222;242;0.0371900826446281;620.5128205128204;0.5;17.94871794871795;4;-0.2199999999999999;-2;1;4;0.0416666666666666;0.0714285714285714;0.39;7.0;1;0;1;0;1;0;1;0;0.0714285714285714;0.3333333333333333;0.0029761904761904;14.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;KSV Holstein;9;29;17;177;176;St. Pauli;3;4;6;14;2;6;0.53;0.47;424;0.81;15;11;3;4;0;0;3;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.0335714285714285;0.2;343;0.0437317784256559;647.1698113207547;0.5;5.660377358490566;-8;0.06;0;-1;4;0.0141509433962264;0.1666666666666666;0.53;3.0;1;0;1;0;0;1;0;1;0.1666666666666666;0.5;0.0023584905660377;6.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;KSV Holstein;9;29;17;177;174;Mainz 05;4;3;10;13;5;3;0.42;0.58;315;0.67;8;12;4;3;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0446153846153846;0.5;211;0.0379146919431279;502.3809523809524;0.4;9.523809523809524;-3;-0.1599999999999999;0;1;-4;0.0317460317460317;0.1;0.42;4.0;1;0;1;0;1;0;1;0;0.1;0.2;0.0031746031746031;10.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;KSV Holstein;9;29;2;177;171;Werder Bremen;4;1;11;14;0;7;0.55;0.45;470;0.82;13;8;4;1;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;4;0.0321428571428571;0.3076923076923077;385;0.0337662337662337;700.0;0.2727272727272727;5.454545454545454;-3;0.1;-1;3;5;0.0234042553191489;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;KSV Holstein;9;2;29;177;142;Heidenheim;3;1;16;14;4;5;0.62;0.38;524;0.85;13;15;3;1;0;0;5;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;3;0.0271428571428571;0.2307692307692307;445;0.0292134831460674;717.741935483871;0.3125;8.064516129032258;2;0.24;2;2;-2;0.0305343511450381;0.0625;0.62;5.0;0;1;1;0;0;1;1;0;0.0625;0.25;0.0019083969465648;16.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;KSV Holstein;9;17;1;177;18;Stuttgart;1;3;17;6;5;2;0.53;0.47;476;0.84;8;9;1;2;0;1;3;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1;0.0783333333333333;0.125;400;0.02;754.7169811320755;0.1764705882352941;5.660377358490566;11;0.06;2;-2;-1;0.0357142857142857;0.1176470588235294;0.265;1.5;1;1;2;0;1;0;0;1;0.1176470588235294;0.4;0.0042016806722689;8.5;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;KSV Holstein;9;29;6;177;169;FC Union Berlin;0;4;10;14;3;3;0.49;0.51;318;0.72;12;16;0;4;0;0;3;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;11;0.0364285714285714;0.0;229;0.0524017467248908;467.34693877551024;0.3;6.122448979591836;-4;-0.02;-8;-4;-4;0.0314465408805031;0.1;0.49;3.0;1;0;1;1;0;0;1;0;0.1;0.3333333333333333;0.0031446540880503;10.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;KSV Holstein;9;2;17;177;6;Leverkusen;4;1;4;18;3;8;0.38;0.62;333;0.71;11;10;4;1;0;0;5;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;11;0.0344444444444444;0.3636363636363636;236;0.0466101694915254;621.0526315789474;1.25;13.157894736842104;-14;-0.24;-6;3;1;0.012012012012012;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
