Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Christos Mandas-Lazio;Manuel Lazzari-Lazio;Mario Gila-Lazio;Alessio Romagnoli-Lazio;Adam Marušić-Lazio;Nicolò Rovella-Lazio;Mattéo Guendouzi-Lazio;Gustav Isaksen-Lazio;Pedro-Lazio;Mattia Zaccagni-Lazio;Valentín Mariano Castellanos-Lazio;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Samuel Gigot-Lazio;Luca Pellegrini-Lazio;Fisayo Dele-Bashiru-Lazio;Elseid Hysaj-Lazio;Matías Vecino-Lazio;Boulaye Dia-Lazio;Nuno Tavares-Lazio;Reda Belahyane-Lazio;Loum Tchaouna-Lazio;Ivan Provedel-Lazio;Patricio Gabarrón-Lazio;Tijjani Noslin-Lazio;Gaetano Castrovilli-Lazio;Nicolò Casale-Lazio;Daichi Kamada-Lazio;Felipe Anderson-Lazio;Ciro Immobile-Lazio;Luis Alberto Romero Alconchel-Lazio;Danilo Cataldi-Lazio;Sergej Milinković-Savić-Lazio;Marcos Antônio Silva Santos-Lazio;Matteo Cancellieri-Lazio;Toma Bašić-Lazio;Luís Maximiano-Lazio
2025-04-17;Lazio;5;3;0;71;89;Bodø/Glimt;3;5;33;12;11;8;0.54;0.46;552;0.84;14;15;3;4;0;1;15;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0383333333333333;0.2142857142857142;464;0.0301724137931034;859.2592592592592;0.4545454545454545;27.77777777777777;21;0.08;12;-2;-1;0.0597826086956521;0.0909090909090909;0.18;5.0;1;2;3;1;0;0;0;1;0.0909090909090909;0.2727272727272727;0.0054347826086956;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Lazio;4;3;3;71;74;Roma;4;2;12;9;7;4;0.47;0.53;342;0.82;12;12;4;2;0;0;10;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;5;0.0588888888888888;0.3333333333333333;280;0.0428571428571428;595.7446808510639;0.8333333333333334;21.27659574468085;3;-0.06;5;2;0;0.0350877192982456;0.0833333333333333;0.47;10.0;0;1;1;0;1;0;0;1;0.0833333333333333;0.1428571428571428;0.0029239766081871;12.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-10;Lazio;5;3;0;71;89;Bodø/Glimt;3;0;6;18;1;6;0.41;0.59;441;0.81;13;9;3;0;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1;0.0327777777777777;0.2307692307692307;357;0.0364145658263305;870.7317073170732;0.6666666666666666;9.75609756097561;-12;-0.18;3;3;4;0.0136054421768707;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Lazio;4;3;17;71;17;Atalanta;2;1;8;10;3;2;0.41;0.59;377;0.77;6;6;2;1;0;0;4;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;11;0.059;0.3333333333333333;290;0.0206896551724137;707.3170731707318;0.5;9.75609756097561;-2;-0.18;-7;1;0;0.0212201591511936;0.125;0.41;4.0;0;1;1;1;0;0;1;0;0.125;0.3333333333333333;0.0026525198938992;8.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-31;Lazio;4;3;3;71;73;Torino;3;4;16;7;6;2;0.59;0.41;474;0.86;9;20;3;4;0;0;5;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.0585714285714285;0.3333333333333333;408;0.0220588235294117;691.5254237288136;0.3125;8.474576271186441;9;0.18;2;-1;-11;0.0337552742616033;0.0625;0.59;5.0;0;1;1;0;1;0;0;1;0.0625;0.1666666666666666;0.0021097046413502;16.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Lazio;4;3;3;71;29;Bolonia;3;2;7;13;2;7;0.48;0.52;445;0.84;16;18;3;2;0;0;1;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;7;0.04;0.1875;374;0.0427807486631016;779.1666666666667;0.1428571428571428;2.083333333333333;-6;-0.04;-6;1;-2;0.0157303370786516;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Lazio;5;3;4;71;98;Viktoria Plzeň;2;2;15;11;5;3;0.54;0.46;429;0.82;12;13;2;2;0;0;12;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;4;0.0418181818181818;0.1666666666666666;352;0.034090909090909;651.8518518518518;0.8;22.22222222222222;4;0.08;8;0;-1;0.0349650349650349;0.0666666666666666;0.54;12.0;0;1;1;0;1;0;0;1;0.0666666666666666;0.2;0.0023310023310023;15.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-10;Lazio;4;3;2;71;72;Udinese;2;4;10;15;5;4;0.49;0.51;441;0.87;9;11;2;4;0;0;4;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;9;0.034;0.2222222222222222;384;0.0234375;783.6734693877551;0.4;8.16326530612245;-5;-0.02;-5;-2;-2;0.0226757369614512;0.1;0.49;4.0;1;0;1;0;1;0;0;1;0.1;0.2;0.0022675736961451;10.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Lazio;5;3;17;71;98;Viktoria Plzeň;4;3;10;12;4;5;0.43;0.57;357;0.76;13;17;2;3;2;0;2;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7;0.0474999999999999;0.3076923076923077;271;0.047970479704797;630.232558139535;0.2;4.651162790697675;-2;-0.1399999999999999;-5;1;-4;0.0280112044817927;0.2;0.215;1.0;1;1;2;1;0;0;1;0;0.2;0.5;0.0056022408963585;5.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Lazio;4;3;3;71;25;Milan;1;4;21;15;8;4;0.39;0.61;346;0.84;6;14;1;3;0;1;5;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;3;0.0406666666666666;0.1666666666666666;291;0.0206185567010309;746.1538461538461;0.238095238095238;12.82051282051282;6;-0.2199999999999999;2;-3;-8;0.0606936416184971;0.0952380952380952;0.195;2.5;1;1;2;1;0;0;1;0;0.0952380952380952;0.25;0.0057803468208092;10.5;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
