Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Mathieu Gorgelin-Le Havre;Loïc Nego-Le Havre;Étienne Youte Kinkoue-Le Havre;Arouna Sangante-Le Havre;Fodé Ballo-Touré-Le Havre;Yassine Kechta-Le Havre;Junior Mwanga-Le Havre;Abdoulaye Touré-Le Havre;Josué Casimir-Le Havre;André Ayew-Le Havre;Issa Soumaré-Le Havre;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Ahmed Hassan Mahgoub-Le Havre;Gautier Lloris-Le Havre;Mahamadou Diawara-Le Havre;Timothée Pembélé-Le Havre;Antoine Joujou-Le Havre;Arthur Desmas-Le Havre;Yanis Zouaoui-Le Havre;Rassoul Ndiaye-Le Havre;Oussama Targhalline-Le Havre;Emmanuel Afriyie Mario Sabbi-Le Havre;Yoann Salmier-Le Havre;Daler Kuziáyev-Le Havre;Ilyes Housni-Le Havre;Mathéo Bodmer-Le Havre;Christopher Opéri-Le Havre;Samuel Grandsir-Le Havre;Steve Ngoura-Le Havre;Oualid El Hajjam-Le Havre;Mohamed Bayo-Le Havre;Mohamed Koné-Le Havre;Nabil Alioui-Le Havre;Andy Elysée Logbo-Le Havre;Nolan Mbemba-Le Havre;Simon Ebonog-Le Havre;Amir Richardson-Le Havre;Victor Lekhal-Le Havre;Elies Mahmoud-Le Havre;Quentin Cornette-Le Havre;Jamal Thiaré-Le Havre;Terence Kongolo-Le Havre;Alois Confais-Le Havre;Yann Kitala-Le Havre;Check Oumar Diakité-Le Havre;Zakaria Diallo-Le Havre
2025-05-10;Le Havre;2;0;3;774;764;Marsella;2;2;10;22;4;5;0.45;0.55;373;0.78;12;12;2;2;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.025;0.1666666666666666;291;0.0412371134020618;646.6666666666666;0.2;4.444444444444445;-12;-0.1;-7;0;0;0.0268096514745308;0.1;0.45;2.0;0;1;1;0;0;1;0;1;0.1;0.25;0.002680965147453;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Le Havre;2;7;9;774;770;Auxerre;1;2;11;4;5;1;0.53;0.47;426;0.84;10;11;1;2;0;0;9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0;0.1175;0.1;358;0.0279329608938547;675.4716981132075;0.8181818181818182;16.9811320754717;7;0.06;9;-1;-1;0.0258215962441314;0.1818181818181818;0.265;4.5;0;2;2;1;0;0;1;0;0.1818181818181818;0.4;0.0046948356807511;5.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Le Havre;2;3;1;774;4;Mónaco;1;0;9;20;3;7;0.39;0.61;333;0.77;12;13;1;0;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.0305;0.0833333333333333;256;0.046875;656.4102564102564;0.3333333333333333;7.692307692307692;-11;-0.2199999999999999;-3;1;-1;0.027027027027027;0.1111111111111111;0.39;3.0;1;0;1;0;1;0;0;1;0.1111111111111111;0.3333333333333333;0.003003003003003;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Le Havre;2;0;6;774;19;PSG;0;0;9;18;1;11;0.29;0.71;316;0.81;10;7;0;0;0;0;3;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;7;0.0394444444444444;0.0;256;0.0390625;882.7586206896552;0.3333333333333333;10.344827586206897;-9;-0.42;-4;0;3;0.0284810126582278;0.1111111111111111;0.29;3.0;0;1;1;0;0;1;1;0;0.1111111111111111;1.0;0.0031645569620253;9.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Le Havre;2;3;2;774;768;Rennes;2;3;11;10;2;6;0.56;0.44;451;0.86;16;11;2;3;0;0;4;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.044;0.125;388;0.0412371134020618;692.8571428571428;0.3636363636363636;7.142857142857142;1;0.12;1;-1;5;0.024390243902439;0.0909090909090909;0.56;4.0;1;0;1;0;0;1;0;1;0.0909090909090909;0.5;0.0022172949002217;11.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Le Havre;2;3;3;774;775;Montpellier;1;2;13;14;4;6;0.45;0.55;419;0.83;7;15;1;1;0;1;2;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.0392857142857142;0.1428571428571428;348;0.0201149425287356;773.3333333333333;0.1538461538461538;4.444444444444445;-1;-0.1;-3;-1;-8;0.0310262529832935;0.1538461538461538;0.225;1.0;2;0;2;1;0;0;1;0;0.1538461538461538;0.5;0.0047732696897374;6.5;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Le Havre;2;3;0;774;769;Nantes;1;2;16;7;5;2;0.53;0.47;396;0.83;16;9;1;2;0;0;3;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0671428571428571;0.0625;329;0.0486322188449848;620.754716981132;0.1875;5.660377358490566;9;0.06;-1;-1;7;0.0404040404040404;0.1875;0.1766666666666666;1.0;2;1;3;1;0;0;0;1;0.1875;0.6;0.0075757575757575;5.333333333333333;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Le Havre;2;3;3;774;90;Lyon;3;2;14;16;5;7;0.33;0.67;299;0.78;12;20;3;2;0;0;1;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.041875;0.25;233;0.0515021459227467;706.060606060606;0.0714285714285714;3.0303030303030303;-2;-0.34;-3;1;-8;0.0468227424749163;0.1428571428571428;0.165;0.5;2;0;2;0;0;1;1;0;0.1428571428571428;0.4;0.0066889632107023;7.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Le Havre;2;3;3;774;773;Saint-Étienne;2;3;13;12;7;3;0.46;0.54;356;0.79;9;17;2;3;0;0;5;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;6;0.045;0.2222222222222222;281;0.0320284697508896;610.8695652173913;0.3846153846153846;10.869565217391305;1;-0.08;-1;-1;-8;0.0365168539325842;0.0769230769230769;0.46;5.0;1;0;1;0;1;0;0;1;0.0769230769230769;0.1428571428571428;0.0028089887640449;13.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Le Havre;2;1;4;774;765;Lens;2;2;8;20;4;7;0.3;0.7;262;0.79;11;12;2;2;0;0;2;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;9;0.0349999999999999;0.1818181818181818;207;0.0531400966183574;690.0;0.25;6.666666666666667;-12;-0.3999999999999999;-7;0;-1;0.0305343511450381;0.5;0.075;0.5;2;2;4;1;0;0;1;0;0.5;1.0;0.015267175572519;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
