Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
2025-03-14;Lecce;4;3;3;82;83;Genoa;15;2;57;445;77;10;2;0;3;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Antonino Gallo;Defensor;Lassana Coulibaly;Mediocampista;Medon Berisha;Mediocampista;Santiago Pierotti;Mediocampista;Þórir Jóhann Helgason;Mediocampista;José Antonio Morente Oliva;Mediocampista;Nikola Krstović;Delantero;0;1;1;0;0;1;1;0
2025-03-08;Lecce;4;3;3;82;25;Milan;11;3;29;243;67;13;2;0;2;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Antonino Gallo;Defensor;Lassana Coulibaly;Mediocampista;Medon Berisha;Mediocampista;Santiago Pierotti;Mediocampista;Þórir Jóhann Helgason;Mediocampista;José Antonio Morente Oliva;Mediocampista;Nikola Krstović;Delantero;1;1;2;0;0;1;0;1
2025-02-28;Lecce;4;3;2;82;70;Fiorentina;8;3;53;454;79;12;2;0;2;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Antonino Gallo;Defensor;Lassana Coulibaly;Mediocampista;Balthazar Pierret;Mediocampista;José Antonio Morente Oliva;Mediocampista;Medon Berisha;Mediocampista;Jesper Karlsson;Mediocampista;Nikola Krstović;Delantero;0;0;0;0;0;1;1;0
2025-02-21;Lecce;4;3;1;82;72;Udinese;10;1;45;376;75;15;1;0;11;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Antonino Gallo;Defensor;Lassana Coulibaly;Mediocampista;Balthazar Pierret;Mediocampista;Santiago Pierotti;Mediocampista;Hamza Rafia;Mediocampista;José Antonio Morente Oliva;Mediocampista;Nikola Krstović;Delantero;0;0;0;0;0;1;0;1
2025-02-16;Lecce;4;3;17;82;80;Monza;19;5;43;377;80;18;2;0;7;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Antonino Gallo;Defensor;Lassana Coulibaly;Mediocampista;Balthazar Pierret;Mediocampista;Santiago Pierotti;Mediocampista;Þórir Jóhann Helgason;Mediocampista;José Antonio Morente Oliva;Mediocampista;Nikola Krstović;Delantero;0;0;0;0;1;0;1;0
2025-02-09;Lecce;4;3;3;82;29;Bolonia;6;1;41;317;68;14;0;0;6;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Antonino Gallo;Defensor;Lassana Coulibaly;Mediocampista;Ylber Ramadani;Mediocampista;Santiago Pierotti;Mediocampista;Þórir Jóhann Helgason;Mediocampista;José Antonio Morente Oliva;Mediocampista;Nikola Krstović;Delantero;0;0;0;0;1;0;0;1
2025-01-31;Lecce;4;0;3;82;76;Parma;6;3;54;472;84;14;2;0;2;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Antonino Gallo;Defensor;Þórir Jóhann Helgason;Mediocampista;Ylber Ramadani;Mediocampista;Balthazar Pierret;Mediocampista;Santiago Pierotti;Delantero;Nikola Krstović;Delantero;Jesper Karlsson;Delantero;1;2;3;1;0;0;1;0
2025-01-26;Lecce;4;0;2;82;7;Inter;17;4;49;438;86;13;0;0;7;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Patrick Dorgu;Defensor;Þórir Jóhann Helgason;Mediocampista;Lassana Coulibaly;Mediocampista;Balthazar Pierret;Mediocampista;Santiago Pierotti;Delantero;Nikola Krstović;Delantero;José Antonio Morente Oliva;Delantero;0;0;0;0;0;1;0;1
2025-01-19;Lecce;4;0;8;82;79;Cagliari;7;2;51;430;80;10;1;1;1;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Patrick Dorgu;Defensor;Þórir Jóhann Helgason;Mediocampista;Lassana Coulibaly;Mediocampista;Balthazar Pierret;Mediocampista;Santiago Pierotti;Delantero;Nikola Krstović;Delantero;José Antonio Morente Oliva;Delantero;1;0;1;0;0;1;1;0
2025-01-11;Lecce;4;0;17;82;75;Empoli;14;6;51;405;69;21;3;0;2;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Patrick Dorgu;Defensor;Þórir Jóhann Helgason;Mediocampista;Lassana Coulibaly;Mediocampista;Balthazar Pierret;Mediocampista;Santiago Pierotti;Delantero;Nikola Krstović;Delantero;José Antonio Morente Oliva;Delantero;2;1;3;1;0;0;1;0
2025-01-05;Lecce;4;0;7;82;83;Genoa;10;3;63;532;83;11;0;0;9;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Antonino Gallo;Defensor;Hamza Rafia;Mediocampista;Lassana Coulibaly;Mediocampista;Balthazar Pierret;Mediocampista;Patrick Dorgu;Delantero;Nikola Krstović;Delantero;José Antonio Morente Oliva;Delantero;0;0;0;0;1;0;0;1
2024-12-30;Lecce;4;0;3;82;78;Como;11;1;43;365;79;15;2;0;4;Wladimiro Falcone;Portero;Patrick Dorgu;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Antonino Gallo;Defensor;Hamza Rafia;Mediocampista;Lassana Coulibaly;Mediocampista;Balthazar Pierret;Mediocampista;Santiago Pierotti;Delantero;Nikola Krstović;Delantero;José Antonio Morente Oliva;Delantero;0;0;0;0;0;1;1;0
2024-12-21;Lecce;4;0;3;82;71;Lazio;11;2;40;355;76;13;3;1;6;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Patrick Dorgu;Defensor;Lassana Coulibaly;Mediocampista;Medon Berisha;Mediocampista;Hamza Rafia;Mediocampista;Santiago Pierotti;Delantero;Nikola Krstović;Delantero;José Antonio Morente Oliva;Delantero;0;1;1;0;0;1;0;1
2024-12-15;Lecce;4;0;17;82;80;Monza;11;4;44;327;76;16;1;0;2;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Federico Baschirotto;Defensor;Gaby Jean;Defensor;Patrick Dorgu;Defensor;Lassana Coulibaly;Mediocampista;Medon Berisha;Mediocampista;Hamza Rafia;Mediocampista;Santiago Pierotti;Delantero;Nikola Krstović;Delantero;José Antonio Morente Oliva;Delantero;2;0;2;1;0;0;0;1
2024-12-07;Lecce;4;29;29;82;74;Roma;3;1;40;365;80;14;3;0;1;Wladimiro Falcone;Portero;Federico Baschirotto;Defensor;Kialonda Gaspar;Defensor;Gaby Jean;Defensor;Frédéric Guilbert;Mediocampista;Lassana Coulibaly;Mediocampista;Ylber Ramadani;Mediocampista;Patrick Dorgu;Mediocampista;Hamza Rafia;Mediocampista;Nikola Krstović;Delantero;Ante Rebić;Delantero;1;0;1;0;0;1;1;0
2024-12-01;Lecce;4;3;3;82;14;Juventus;10;6;38;357;85;8;1;0;2;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Lassana Coulibaly;Mediocampista;Ylber Ramadani;Mediocampista;Patrick Dorgu;Mediocampista;Hamza Rafia;Mediocampista;José Antonio Morente Oliva;Mediocampista;Nikola Krstović;Delantero;0;1;1;0;1;0;0;1
2024-11-25;Lecce;4;0;17;82;81;Venezia;7;2;39;340;77;16;4;0;2;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Lassana Coulibaly;Mediocampista;Ylber Ramadani;Mediocampista;Hamza Rafia;Mediocampista;Patrick Dorgu;Delantero;Nikola Krstović;Delantero;Santiago Pierotti;Delantero;0;1;1;1;0;0;1;0
2024-11-08;Lecce;4;5;30;82;75;Empoli;18;3;59;444;82;7;0;0;4;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Patrick Dorgu;Mediocampista;Rémi Oudin;Mediocampista;Ylber Ramadani;Mediocampista;Hamza Rafia;Mediocampista;Lameck Banda;Mediocampista;Nikola Krstović;Delantero;0;1;1;0;1;0;0;1
2024-11-02;Lecce;4;5;3;82;29;Bolonia;6;0;27;219;67;14;2;0;1;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Santiago Pierotti;Mediocampista;Patrick Dorgu;Mediocampista;Ylber Ramadani;Mediocampista;Hamza Rafia;Mediocampista;Lameck Banda;Mediocampista;Nikola Krstović;Delantero;0;0;0;0;0;1;1;0
2024-10-29;Lecce;4;0;3;82;77;Hellas Verona;14;6;58;442;86;14;1;0;3;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Lassana Coulibaly;Mediocampista;Ylber Ramadani;Mediocampista;Hamza Rafia;Mediocampista;Patrick Dorgu;Delantero;Nikola Krstović;Delantero;Lameck Banda;Delantero;0;1;1;1;0;0;0;1
2024-10-26;Lecce;4;5;0;82;69;Napoli;11;2;35;272;72;7;2;0;5;Wladimiro Falcone;Portero;Andy Pelmard;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Patrick Dorgu;Defensor;Santiago Pierotti;Mediocampista;Ylber Ramadani;Mediocampista;Lassana Coulibaly;Mediocampista;Hamza Rafia;Mediocampista;Lameck Banda;Mediocampista;Nikola Krstović;Delantero;0;0;0;0;0;1;1;0
2024-10-20;Lecce;4;28;1;82;70;Fiorentina;5;2;38;353;79;8;0;1;1;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Rémi Oudin;Mediocampista;Balthazar Pierret;Mediocampista;Ylber Ramadani;Mediocampista;Patrick Dorgu;Mediocampista;Ante Rebić;Delantero;Nikola Krstović;Delantero;0;0;0;0;0;1;0;1
2024-10-05;Lecce;4;3;2;82;72;Udinese;9;3;43;349;77;16;2;0;0;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Balthazar Pierret;Mediocampista;Ylber Ramadani;Mediocampista;Patrick Dorgu;Mediocampista;Lassana Coulibaly;Mediocampista;Ante Rebić;Mediocampista;Nikola Krstović;Delantero;0;0;0;0;0;1;1;0
2024-09-27;Lecce;4;0;3;82;25;Milan;16;7;43;372;88;8;1;0;7;Wladimiro Falcone;Portero;Patrick Dorgu;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Ylber Ramadani;Mediocampista;Balthazar Pierret;Mediocampista;Lassana Coulibaly;Mediocampista;José Antonio Morente Oliva;Delantero;Nikola Krstović;Delantero;Ante Rebić;Delantero;0;0;0;0;0;1;1;0
2024-09-24;Lecce;35;3;0;82;593;Sassuolo;14;7;65;572;87;10;0;0;8;Christian Früchtl;Portero;Andy Pelmard;Defensor;Frédéric Guilbert;Defensor;Gaby Jean;Defensor;Patrick Dorgu;Defensor;Hamza Rafia;Mediocampista;Balthazar Pierret;Mediocampista;Rémi Oudin;Mediocampista;Filip Marchwiński;Mediocampista;Lameck Banda;Mediocampista;Santiago Pierotti;Delantero;0;0;0;0;0;1;0;1
2024-09-21;Lecce;4;3;3;82;76;Parma;14;3;38;323;80;12;4;1;2;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Ylber Ramadani;Mediocampista;Lassana Coulibaly;Mediocampista;Patrick Dorgu;Mediocampista;Ante Rebić;Mediocampista;José Antonio Morente Oliva;Mediocampista;Nikola Krstović;Delantero;1;1;2;0;1;0;0;1
2024-09-15;Lecce;4;3;2;82;73;Torino;20;6;46;397;80;13;3;0;7;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Ylber Ramadani;Mediocampista;Balthazar Pierret;Mediocampista;José Antonio Morente Oliva;Mediocampista;Medon Berisha;Mediocampista;Ante Rebić;Mediocampista;Nikola Krstović;Delantero;0;0;0;0;1;0;1;0
2024-08-31;Lecce;4;3;2;82;79;Cagliari;17;4;34;253;71;10;1;1;7;Wladimiro Falcone;Portero;Frédéric Guilbert;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Ylber Ramadani;Mediocampista;Balthazar Pierret;Mediocampista;Patrick Dorgu;Mediocampista;Rémi Oudin;Mediocampista;Lameck Banda;Mediocampista;Nikola Krstović;Delantero;1;0;1;1;0;0;0;1
2024-08-24;Lecce;4;3;2;82;7;Inter;10;4;38;366;86;12;2;0;6;Wladimiro Falcone;Portero;Valentin Gendrey;Defensor;Kialonda Gaspar;Defensor;Federico Baschirotto;Defensor;Antonino Gallo;Defensor;Ylber Ramadani;Mediocampista;Balthazar Pierret;Mediocampista;Patrick Dorgu;Mediocampista;Hamza Rafia;Mediocampista;Lameck Banda;Mediocampista;Nikola Krstović;Delantero;0;0;0;0;0;1;1;0
