Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marko Dmitrović-Leganés;Valentin Rosier-Leganés;Jorge Sáenz-Leganés;Sergio González Poirrier-Leganés;Javier Hernández Carrera-Leganés;Renato Tapia-Leganés;Yvan Neyou-Leganés;Yan Diomande-Leganés;Seydouba Cissé-Leganés;Adrià Altimira-Leganés;Diego García Campos-Leganés;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Óscar Rodríguez Arnaiz-Leganés;Dani Raba-Leganés;Matija Nastasić-Leganés;Juan Cruz Díaz Espósito-Leganés;Darko Brašanac-Leganés;Miguel de la Fuente Escudero-Leganés;Borna Barišić-Leganés;Juan Soriano-Leganés;Munir El Haddadi-Leganés;Roberto López Alcaide-Leganés;Jackson Porozo-Leganés;Iker Bachiller-Leganés;Julián Chicco-Leganés;Sébastien Haller-Leganés;Enric Franquesa-Leganés;Aritz Arambarri-Leganés;Diego Conde-Leganés;Jorge Miramón-Leganés;Francisco Portillo Soler-Leganés;Näis Djouahra-Leganés;Allan Romeo Nyom-Leganés;Iker Undabarrena-Leganés;Óscar Ureña García-Leganés;Naím García-Leganés;Luis Perea Hernández-Leganés;Daniel Jiménez López-Leganés;Kenneth Omeruo-Leganés;Fede Vico-Leganés;Jon Karrikaburu-Leganés;Yacine Qasmi-Leganés;José Manuel Sánchez Guillén-Leganés;José Arnaiz-Leganés;Asier Riesgo-Leganés;Rubén Pardo-Leganés;Juan José Narváez-Leganés;Gaku Shibasaki-Leganés;Juan Muñoz Muñoz-Leganés;Riza Durmisi-Leganés;Duk-Leganés
2025-05-04;Leganés;1;1;3;47;43;Sevilla;5;4;9;25;3;7;0.43;0.57;318;0.71;12;17;5;4;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;8;0.022799999999999997;0.4166666666666667;226;0.05309734513274336;525.5813953488372;0.2222222222222222;4.651162790697675;-16;-0.13999999999999996;-6;1;-5;0.02830188679245283;0.2222222222222222;0.215;1.0;1;1;2;0;1;0;1;0;0.2222222222222222;0.6666666666666666;0.006289308176100629;4.5;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2025-04-24;Leganés;1;9;6;47;24;Girona;5;2;7;8;1;3;0.32;0.68;253;0.74;16;18;4;2;1;0;4;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;5;0.085;0.3125;187;0.0855614973262032;584.375;0.5714285714285714;12.5;-1;-0.36000000000000004;-1;3;-2;0.02766798418972332;0.14285714285714285;0.32;4.0;0;1;1;0;1;0;0;1;0.14285714285714285;1.0;0.003952569169960474;7.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Leganés;1;3;4;47;40;R.C.D. Mallorca;1;2;15;11;1;1;0.45;0.55;323;0.74;15;17;1;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.05;0.0666666666666666;239;0.0627615062761506;531.1111111111111;0.2666666666666666;8.88888888888889;4;-0.1;0;-1;-2;0.0464396284829721;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Leganés;1;5;3;47;10;Barcelona;2;1;6;12;1;3;0.33;0.67;302;0.73;10;4;2;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;8;0.0558333333333333;0.2;220;0.0454545454545454;666.6666666666666;0.6666666666666666;12.12121212121212;-6;-0.34;-4;1;6;0.0198675496688741;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-07;Leganés;1;29;4;47;41;Osasuna;3;3;13;13;7;6;0.56;0.44;409;0.82;18;14;3;3;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;8;0.0338461538461538;0.1666666666666666;335;0.053731343283582;598.2142857142857;0.3076923076923077;7.142857142857142;0;0.12;-4;0;4;0.0317848410757946;0.0769230769230769;0.56;4.0;0;1;1;0;1;0;0;1;0.0769230769230769;0.1428571428571428;0.0024449877750611;13.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Leganés;1;3;3;47;12;Real Madrid;4;1;10;24;4;10;0.29;0.71;248;0.74;13;9;4;1;0;0;3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;8;0.0295833333333333;0.3076923076923077;184;0.0706521739130434;634.4827586206897;0.3;10.344827586206897;-14;-0.42;-5;3;4;0.0403225806451612;0.2;0.145;1.5;2;0;2;0;0;1;1;0;0.2;0.5;0.0080645161290322;5.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Leganés;1;5;3;47;39;Betis;2;0;10;21;4;6;0.35;0.65;298;0.75;16;5;2;0;0;0;3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;7;0.0309523809523809;0.125;224;0.0714285714285714;640.0;0.3;8.571428571428571;-11;-0.3;-4;2;11;0.0335570469798657;0.2;0.175;1.5;2;0;2;0;0;1;0;1;0.2;0.5;0.0067114093959731;5.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Leganés;1;9;6;47;44;Celta de Vigo;2;3;12;7;6;4;0.43;0.57;443;0.82;9;10;2;3;0;0;5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.0814285714285714;0.2222222222222222;363;0.024793388429752;844.1860465116279;0.4166666666666667;11.627906976744184;5;-0.1399999999999999;3;-1;-1;0.0270880361173814;0.0833333333333333;0.43;5.0;1;0;1;0;0;1;1;0;0.0833333333333333;0.1666666666666666;0.0022573363431151;12.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Leganés;1;9;1;47;48;Getafe;1;1;6;9;1;0;0.6;0.4;426;0.75;15;15;1;1;0;0;2;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;6;0.0444444444444444;0.0666666666666666;320;0.046875;533.3333333333334;0.3333333333333333;3.333333333333333;-3;0.1999999999999999;-4;0;0;0.0140845070422535;0.1666666666666666;0.6;2.0;0;1;1;1;0;0;0;1;0.1666666666666666;1.0;0.0023474178403755;6.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Leganés;1;4;7;47;46;Real Sociedad;3;3;8;12;2;5;0.44;0.56;379;0.8;13;13;3;3;0;0;3;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3;0.0466666666666666;0.2307692307692307;303;0.0429042904290429;688.6363636363636;0.375;6.818181818181818;-4;-0.12;0;0;0;0.021108179419525;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
