Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Mads Hermansen-Leicester City;Ricardo Pereira-Leicester City;Wout Faes-Leicester City;Conor Coady-Leicester City;Luke Thomas-Leicester City;Wilfred Ndidi-Leicester City;Boubakary Soumaré-Leicester City;Bobby Decordova-Reid-Leicester City;Bilal El Khannous-Leicester City;Stephy Mavididi-Leicester City;Jamie Vardy-Leicester City;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;James Justin-Leicester City;Caleb Okoli-Leicester City;Kasey McAteer-Leicester City;Victor Kristiansen-Leicester City;Patson Daka-Leicester City;Jannik Vestergaard-Leicester City;Facundo Buonanotte-Leicester City;Woyo Coulibaly-Leicester City;Jordan Ayew-Leicester City;Harry Winks-Leicester City;Jakub Stolarczyk-Leicester City;Danny Ward-Leicester City;Oliver Skipp-Leicester City;Hamza Choudhury-Leicester City;Abdul Fatawu Issahaku-Leicester City;Odsonne Edouard-Leicester City;Ben Nelson-Leicester City;Yunus Akgün-Leicester City;Kiernan Dewsbury-Hall-Leicester City;Callum Doyle-Leicester City;Dennis Praet-Leicester City;Arjan Raikhy-Leicester City;Marc Albrighton-Leicester City;Tom Cannon-Leicester City;Wanya Marçal-Leicester City;Cesare Casadei-Leicester City;Kelechi Iheanacho-Leicester City;Harry Souttar-Leicester City;Timothy Castagne-Leicester City;Daniel Iversen-Leicester City;Jonny Evans-Leicester City;James Maddison-Leicester City;Youri Tielemans-Leicester City;Harvey Barnes-Leicester City;Çağlar Söyüncü-Leicester City;Tetê-Leicester City;Daniel Amartey-Leicester City;Nampalys Mendy-Leicester City;Ayoze Pérez-Leicester City;Lewis Brunt-Leicester City
2025-05-03;Leicester City;3;3;17;63;68;Southampton;1;3;14;8;4;2;0.49;0.51;446;0.89;12;13;1;3;0;0;6;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;7;0.06375;0.0833333333333333;397;0.0302267002518891;810.2040816326531;0.4285714285714285;12.244897959183673;6;-0.02;-1;-2;-1;0.0313901345291479;0.1428571428571428;0.245;3.0;2;0;2;1;0;0;0;1;0.1428571428571428;0.5;0.0044843049327354;7.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Leicester City;3;3;17;63;67;Wolves;4;1;8;20;2;6;0.43;0.57;471;0.84;17;7;4;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0284999999999999;0.2352941176470588;396;0.0429292929292929;920.9302325581396;0.25;4.651162790697675;-12;-0.1399999999999999;-2;3;10;0.0169851380042462;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Leicester City;3;3;3;63;2;Liverpool;1;2;5;28;0;10;0.41;0.59;367;0.77;11;7;1;2;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13;0.0210714285714285;0.0909090909090909;283;0.03886925795053;690.2439024390244;0.2;2.4390243902439024;-23;-0.18;-12;-1;4;0.0136239782016348;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Leicester City;3;3;7;63;54;Brighton;5;2;15;21;6;7;0.4;0.6;358;0.78;11;9;5;2;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;3;0.0285714285714285;0.4545454545454545;279;0.039426523297491;697.5;0.4;15.0;-6;-0.1999999999999999;3;3;2;0.0418994413407821;0.1333333333333333;0.2;3.0;1;1;2;0;1;0;1;0;0.1333333333333333;0.3333333333333333;0.0055865921787709;7.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-07;Leicester City;3;17;0;63;60;Newcastle;2;0;7;16;2;5;0.58;0.42;547;0.83;8;9;2;0;0;0;12;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.02625;0.25;454;0.0176211453744493;782.7586206896552;1.7142857142857142;20.689655172413797;-9;0.1599999999999999;10;2;-1;0.0127970749542961;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Leicester City;3;17;3;63;3;Manchester City;4;1;2;18;0;5;0.28;0.72;300;0.8;8;11;4;1;0;0;0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;5;0.04;0.5;240;0.0333333333333333;857.1428571428571;0.0;0.0;-16;-0.4399999999999999;-5;3;-3;0.0066666666666666;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Leicester City;3;17;17;63;62;Manchester United;2;0;11;18;3;5;0.54;0.46;520;0.83;6;6;2;0;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.0255555555555555;0.3333333333333333;432;0.0138888888888888;800.0;0.5454545454545454;11.11111111111111;-7;0.08;2;2;0;0.0211538461538461;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Leicester City;3;17;3;63;53;Chelsea;0;1;3;20;3;7;0.43;0.57;417;0.81;13;12;0;1;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;12;0.0284999999999999;0.0;338;0.0384615384615384;786.046511627907;0.6666666666666666;4.651162790697675;-17;-0.1399999999999999;-10;-1;1;0.0071942446043165;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-27;Leicester City;3;3;2;63;61;West Ham;0;0;10;8;2;2;0.42;0.58;462;0.84;6;12;0;0;0;0;3;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0725;0.0;388;0.0154639175257731;923.809523809524;0.3;7.142857142857143;2;-0.1599999999999999;0;0;-6;0.0216450216450216;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-21;Leicester City;3;3;3;63;57;Brentford;4;0;8;14;3;6;0.47;0.53;382;0.82;10;10;4;0;0;0;5;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.0378571428571428;0.4;313;0.0319488817891373;665.9574468085107;0.625;10.638297872340424;-6;-0.06;-1;4;0;0.0209424083769633;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
