Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
23/11/24;Lens;2;17;2;765;764;Marsella;16;7;45;392;80;17;5;0;6;Brice Samba;Portero;Malang Sarr;Defensor;Kevin Danso;Defensor;Facundo Medina;Defensor;Przemysław Frankowski;Mediocampista;Adrien Thomasson;Mediocampista;Hamzat Ojediran;Mediocampista;Deiver Machado;Mediocampista;Florian Sotoca;Mediocampista;David Costa;Mediocampista;M'Bala Nzola;Delantero;0;1;1;0;0;1;0;1
9/11/24;Lens;2;17;6;765;769;Nantes;15;3;68;651;86;14;2;0;6;Brice Samba;Portero;Jonathan Gradit;Defensor;Kevin Danso;Defensor;Facundo Medina;Defensor;Przemysław Frankowski;Mediocampista;Neil El Aynaoui;Mediocampista;Adrien Thomasson;Mediocampista;Deiver Machado;Mediocampista;David Costa;Mediocampista;Andy Diouf;Mediocampista;Rémy Labeau Lascary;Delantero;1;2;3;1;0;0;0;1
2/11/24;Lens;2;6;0;765;19;PSG;13;2;31;322;78;20;4;1;4;Brice Samba;Portero;Jonathan Gradit;Defensor;Kevin Danso;Defensor;Abdukodir Khusanov;Defensor;Jhoanner Chávez;Mediocampista;Adrien Thomasson;Mediocampista;Andy Diouf;Mediocampista;Deiver Machado;Mediocampista;Florian Sotoca;Delantero;M'Bala Nzola;Delantero;Anass Zaroury;Delantero;0;0;0;0;0;1;1;0
26/10/24;Lens;2;29;3;765;15;LOSC;11;4;59;432;75;16;4;0;8;Brice Samba;Portero;Jonathan Gradit;Defensor;Kevin Danso;Defensor;Abdukodir Khusanov;Defensor;Przemysław Frankowski;Mediocampista;Andy Diouf;Mediocampista;Facundo Medina;Mediocampista;Anass Zaroury;Mediocampista;Adrien Thomasson;Mediocampista;Florian Sotoca;Delantero;M'Bala Nzola;Delantero;0;0;0;0;0;1;0;1
19/10/24;Lens;2;17;0;765;773;Saint-Étienne;13;5;64;568;87;16;2;0;7;Brice Samba;Portero;Abdukodir Khusanov;Defensor;Kevin Danso;Defensor;Facundo Medina;Defensor;Przemysław Frankowski;Mediocampista;Adrien Thomasson;Mediocampista;Andy Diouf;Mediocampista;Jhoanner Chávez;Mediocampista;Florian Sotoca;Mediocampista;Angelo Fulgini;Mediocampista;M'Bala Nzola;Delantero;1;1;2;1;0;0;1;0
6/10/24;Lens;2;29;3;765;767;Racing de Estrasburgo;12;5;64;532;86;18;4;0;5;Brice Samba;Portero;Malang Sarr;Defensor;Abdukodir Khusanov;Defensor;Facundo Medina;Defensor;Przemysław Frankowski;Mediocampista;Adrien Thomasson;Mediocampista;Andy Diouf;Mediocampista;Jhoanner Chávez;Mediocampista;Angelo Fulgini;Mediocampista;M'Bala Nzola;Delantero;Wesley Saïd;Delantero;2;0;2;0;1;0;1;0
28/9/24;Lens;2;3;17;765;109;Niza;22;7;56;452;84;16;1;1;11;Brice Samba;Portero;Przemysław Frankowski;Defensor;Jonathan Gradit;Defensor;Abdukodir Khusanov;Defensor;Deiver Machado;Defensor;Adrien Thomasson;Mediocampista;Facundo Medina;Mediocampista;Angelo Fulgini;Mediocampista;Andy Diouf;Mediocampista;Wesley Saïd;Mediocampista;M'Bala Nzola;Delantero;0;0;0;0;1;0;0;1
21/9/24;Lens;2;29;17;765;768;Rennes;10;2;60;492;77;20;4;0;3;Brice Samba;Portero;Jonathan Gradit;Defensor;Abdukodir Khusanov;Defensor;Facundo Medina;Defensor;Przemysław Frankowski;Mediocampista;Adrien Thomasson;Mediocampista;Andy Diouf;Mediocampista;Jhoanner Chávez;Mediocampista;Anass Zaroury;Mediocampista;Florian Sotoca;Delantero;Rémy Labeau Lascary;Delantero;0;1;1;0;1;0;1;0
15/9/24;Lens;2;29;2;765;90;Lyon;12;5;54;492;82;12;0;0;5;Brice Samba;Portero;Jonathan Gradit;Defensor;Abdukodir Khusanov;Defensor;Facundo Medina;Defensor;Przemysław Frankowski;Mediocampista;Adrien Thomasson;Mediocampista;Andy Diouf;Mediocampista;Deiver Machado;Mediocampista;David Costa;Mediocampista;Florian Sotoca;Delantero;Wesley Saïd;Delantero;0;0;0;0;1;0;0;1
1/9/24;Lens;2;29;3;765;4;Mónaco;12;4;38;267;74;21;4;0;7;Brice Samba;Portero;Jonathan Gradit;Defensor;Abdukodir Khusanov;Defensor;Facundo Medina;Defensor;Ruben Aguilar;Mediocampista;Adrien Thomasson;Mediocampista;Andy Diouf;Mediocampista;Jhoanner Chávez;Mediocampista;Anass Zaroury;Mediocampista;Florian Sotoca;Delantero;Wesley Saïd;Delantero;0;1;1;0;1;0;1;0
