Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Matěj Kovář-Leverkusen;Edmond Tapsoba-Leverkusen;Jonathan Tah-Leverkusen;Piero Hincapié-Leverkusen;Jeremie Frimpong-Leverkusen;Aleix García Serrano-Leverkusen;Granit Xhaka-Leverkusen;Alejandro Grimaldo-Leverkusen;Florian Wirtz-Leverkusen;Emiliano Buendía-Leverkusen;Patrik Schick-Leverkusen;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Arthur Augusto-Leverkusen;Nathan Tella-Leverkusen;Robert Andrich-Leverkusen;Lukáš Hrádecký-Leverkusen;Exequiel Palacios-Leverkusen;Victor Boniface-Leverkusen;Amine Adli-Leverkusen;Nordi Mukiele-Leverkusen;Mario Hermoso Canseco-Leverkusen;Martin Terrier-Leverkusen;Jonas Hofmann-Leverkusen;Jeanuël Belocian-Leverkusen;Odilon Kossounou-Leverkusen;Josip Stanišić-Leverkusen;Adam Hložek-Leverkusen;Borja Iglesias-Leverkusen;Nadiem Amiri-Leverkusen;Niklas Lomb-Leverkusen;Gustavo Puerta-Leverkusen;Mitchel Bakker-Leverkusen;Sardar Azmoun-Leverkusen;Moussa Diaby-Leverkusen;Kerem Demirbay-Leverkusen
2025-05-04;Leverkusen;9;17;8;6;170;Friburgo;2;1;5;7;2;3;0.68;0.32;631;0.85;16;10;2;1;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.045714285714285714;0.125;536;0.029850746268656716;788.235294117647;0.2;1.4705882352941175;-2;0.36000000000000004;-3;1;6;0.00792393026941363;0.4;0.34;0.5;0;2;2;0;1;0;1;0;0.4;1.0;0.003169572107765452;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Leverkusen;9;8;17;6;173;Augsburgo;0;1;14;11;5;2;0.53;0.47;519;0.86;10;10;0;1;0;0;3;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;7;0.042727272727272725;0.0;446;0.02242152466367713;841.5094339622641;0.21428571428571427;5.660377358490566;3;0.06000000000000005;-4;-1;0;0.02697495183044316;0.14285714285714285;0.265;1.5;2;0;2;1;0;0;0;1;0.14285714285714285;0.4;0.0038535645472061657;7.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Leverkusen;9;17;6;6;176;St. Pauli;4;1;6;10;4;5;0.58;0.42;585;0.85;12;12;4;1;0;0;4;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;4;0.041999999999999996;0.3333333333333333;497;0.02414486921529175;856.896551724138;0.6666666666666666;6.8965517241379315;-4;0.15999999999999998;0;3;0;0.010256410256410256;0.16666666666666666;0.58;4.0;1;0;1;0;1;0;1;0;0.16666666666666666;0.25;0.0017094017094017094;6.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Leverkusen;9;2;17;6;169;FC Union Berlin;2;1;17;7;4;3;0.75;0.25;703;0.91;10;13;2;1;0;0;7;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.03571428571428571;0.2;640;0.015625;853.3333333333334;0.4117647058823529;9.333333333333334;10;0.5;4;1;-3;0.02418207681365576;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Leverkusen;9;17;9;6;142;Heidenheim;0;1;6;10;2;2;0.52;0.48;536;0.85;10;14;0;1;0;0;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;4;0.048;0.0;456;0.021929824561403508;876.9230769230769;0.0;0.0;-4;0.040000000000000036;-4;-1;-4;0.011194029850746268;0.16666666666666666;0.52;0.0;0;1;1;1;0;0;1;0;0.16666666666666666;0.5;0.0018656716417910447;6.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Leverkusen;23;29;9;6;614;Arminia;5;3;13;8;4;3;0.52;0.48;383;0.63;12;14;5;3;0;0;6;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;7;0.06;0.4166666666666667;241;0.04979253112033195;463.46153846153845;0.46153846153846156;11.538461538461538;5;0.040000000000000036;-1;2;-2;0.033942558746736295;0.07692307692307693;0.52;6.0;1;0;1;0;0;1;1;0;0.07692307692307693;0.25;0.0026109660574412533;13.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-28;Leverkusen;9;2;4;6;178;Bochum;0;1;14;8;5;3;0.66;0.34;690;0.88;6;13;0;1;0;0;3;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2;0.0425;0.0;607;0.009884678747940691;919.6969696969696;0.21428571428571427;4.545454545454545;6;0.32;1;-1;-7;0.020289855072463767;0.21428571428571427;0.22;1.0;1;2;3;1;0;0;0;1;0.21428571428571427;0.6;0.004347826086956522;4.666666666666667;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Leverkusen;9;8;1;6;18;Stuttgart;2;3;16;11;4;6;0.57;0.43;438;0.8;14;13;2;3;0;0;10;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1;0.03909090909090909;0.14285714285714285;350;0.04;614.0350877192983;0.625;17.54385964912281;5;0.13999999999999996;9;-1;1;0.0365296803652968;0.25;0.1425;2.5;0;4;4;1;0;0;1;0;0.25;1.0;0.0091324200913242;4.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-11;Leverkusen;0;5;3;6;23;Bayern;4;3;17;12;3;5;0.54;0.46;365;0.75;24;13;4;3;0;0;14;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;6;0.03833333333333334;0.16666666666666666;274;0.08759124087591241;507.4074074074074;0.8235294117647058;25.925925925925924;5;0.08000000000000002;8;1;11;0.04657534246575343;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Leverkusen;9;17;2;6;171;Werder Bremen;4;4;18;11;4;7;0.73;0.27;692;0.9;12;10;4;4;0;0;10;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;3;0.024545454545454547;0.3333333333333333;623;0.019261637239165328;853.4246575342466;0.5555555555555556;13.698630136986301;7;0.45999999999999996;7;0;2;0.02601156069364162;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
