Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Alisson Becker-Liverpool;Trent Alexander-Arnold-Liverpool;Jarell Amorin Quansah-Liverpool;Virgil van Dijk-Liverpool;Kostas Tsimikas-Liverpool;Wataru Endō-Liverpool;Curtis Jones-Liverpool;Mohamed Salah-Liverpool;Harvey Elliott-Liverpool;Cody Gakpo-Liverpool;Diogo Jota-Liverpool;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Ibrahima Konaté-Liverpool;Andrew Robertson-Liverpool;Ryan Gravenberch-Liverpool;Alexis Mac Allister-Liverpool;Dominik Szoboszlai-Liverpool;Luis Fernando Díaz-Liverpool;Conor Bradley-Liverpool;Caoimhín Kelleher-Liverpool;Darwin Núñez-Liverpool;James McConnell-Liverpool;Joe Gomez-Liverpool;Trey Nyoni-Liverpool;Federico Chiesa-Liverpool;Jayden Danns-Liverpool;Tyler Morton-Liverpool;Rio Ngumoha-Liverpool;Vítězslav Jaroš-Liverpool;Nathaniel Phillips-Liverpool;Ben Doak-Liverpool;Fábio Carvalho-Liverpool;Sepp van den Berg-Liverpool;Bobby Lamont Clark-Liverpool;Lewis Koumas-Liverpool;Luke Chambers-Liverpool;Kaide Gordon-Liverpool;Joel Matip-Liverpool;Stefan Bajčetić-Liverpool;James Milner-Liverpool;Fabinho Tavares-Liverpool;Roberto Firmino-Liverpool;Jordan Henderson-Liverpool
2025-05-11;Liverpool;3;3;0;2;9;Arsenal;1;2;14;15;5;7;0.44;0.56;355;0.82;13;10;1;1;0;1;3;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1;0.0373333333333333;0.0769230769230769;291;0.0446735395189003;661.3636363636364;0.2142857142857142;6.818181818181818;-1;-0.12;2;-1;3;0.0394366197183098;0.1428571428571428;0.22;1.5;2;0;2;0;1;0;0;1;0.1428571428571428;0.4;0.0056338028169014;7.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Liverpool;3;3;3;2;53;Chelsea;2;2;11;17;2;7;0.65;0.35;645;0.88;11;10;2;2;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0205882352941176;0.1818181818181818;568;0.0193661971830985;873.8461538461538;0.5454545454545454;9.23076923076923;-6;0.3;3;0;1;0.0170542635658914;0.0909090909090909;0.65;6.0;0;1;1;0;0;1;1;0;0.0909090909090909;0.5;0.0015503875968992;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Liverpool;3;3;0;2;56;Tottenham;2;1;25;8;8;3;0.62;0.38;515;0.86;16;9;2;1;0;0;8;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2;0.0475;0.125;443;0.0361173814898419;714.516129032258;0.32;12.903225806451614;17;0.24;6;1;7;0.0485436893203883;0.2;0.124;1.6;3;2;5;1;0;0;0;1;0.2;0.625;0.0097087378640776;5.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Liverpool;3;3;3;2;63;Leicester City;2;1;28;5;10;0;0.59;0.41;503;0.86;7;11;2;1;0;0;13;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1;0.0819999999999999;0.2857142857142857;433;0.0161662817551963;733.8983050847459;0.4642857142857143;22.033898305084747;23;0.18;12;1;-4;0.0556660039761431;0.0357142857142857;0.59;13.0;0;1;1;1;0;0;1;0;0.0357142857142857;0.1;0.0019880715705765;28.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Liverpool;3;3;2;2;61;West Ham;0;2;15;11;6;4;0.56;0.44;498;0.85;15;8;0;2;0;0;10;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;3;0.04;0.0;423;0.0354609929078014;755.3571428571428;0.6666666666666666;17.857142857142854;4;0.12;7;-2;7;0.0301204819277108;0.1333333333333333;0.28;5.0;1;1;2;1;0;0;0;1;0.1333333333333333;0.3333333333333333;0.0040160642570281;7.5;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Liverpool;3;3;3;2;58;Fulham;0;3;14;12;6;6;0.63;0.37;556;0.83;9;10;0;3;0;0;4;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;4;0.0308333333333333;0.0;461;0.0195227765726681;731.7460317460317;0.2857142857142857;6.349206349206349;2;0.26;0;-3;-1;0.0251798561151079;0.1428571428571428;0.315;2.0;1;1;2;0;0;1;1;0;0.1428571428571428;0.3333333333333333;0.0035971223021582;7.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Liverpool;3;3;3;2;64;Everton;2;2;17;5;3;0;0.74;0.26;609;0.87;7;11;2;2;0;0;11;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;5;0.052;0.2857142857142857;530;0.0132075471698113;716.2162162162163;0.6470588235294118;14.864864864864863;12;0.48;6;0;-4;0.0279146141215106;0.0588235294117647;0.74;11.0;0;1;1;1;0;0;0;1;0.0588235294117647;0.3333333333333333;0.0016420361247947;17.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Liverpool;14;3;0;2;60;Newcastle;1;2;7;17;2;6;0.66;0.34;452;0.79;14;10;1;2;0;0;4;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;9;0.02;0.0714285714285714;357;0.0392156862745098;540.9090909090909;0.5714285714285714;6.0606060606060606;-10;0.32;-5;-1;4;0.0154867256637168;0.1428571428571428;0.66;4.0;0;1;1;0;0;1;0;1;0.1428571428571428;0.5;0.0022123893805309;7.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-11;Liverpool;0;3;0;2;19;PSG;1;1;19;21;3;8;0.45;0.55;536;0.79;14;6;1;1;0;0;12;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;6;0.0261904761904761;0.0714285714285714;423;0.0330969267139479;940.0;0.631578947368421;26.666666666666664;-2;-0.1;6;0;8;0.0354477611940298;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Liverpool;3;0;3;2;68;Southampton;2;1;28;6;7;4;0.72;0.28;655;0.9;10;9;2;1;0;0;6;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;4;0.0466666666666666;0.2;590;0.0169491525423728;819.4444444444445;0.2142857142857142;8.333333333333334;22;0.4399999999999999;2;1;1;0.0427480916030534;0.1071428571428571;0.24;2.0;0;3;3;1;0;0;0;1;0.1071428571428571;0.4285714285714285;0.0045801526717557;9.333333333333334;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-05;Liverpool;0;3;0;2;19;PSG;1;1;2;27;1;10;0.29;0.71;295;0.74;7;3;1;1;0;0;2;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;14;0.0262962962962962;0.1428571428571428;218;0.0321100917431192;751.7241379310345;1.0;6.896551724137932;-25;-0.42;-12;0;4;0.0067796610169491;0.5;0.29;2.0;0;1;1;1;0;0;1;0;0.5;1.0;0.0033898305084745;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Liverpool;3;3;3;2;60;Newcastle;0;1;12;3;3;0;0.62;0.38;594;0.89;12;11;0;1;0;0;4;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;2;0.1266666666666666;0.0;529;0.0226843100189035;853.2258064516129;0.3333333333333333;6.451612903225807;9;0.24;2;-1;1;0.0202020202020202;0.1666666666666666;0.31;2.0;1;1;2;1;0;0;0;1;0.1666666666666666;0.6666666666666666;0.0033670033670033;6.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Liverpool;3;13;7;2;3;Manchester City;0;0;8;16;4;5;0.33;0.67;332;0.8;10;3;0;0;0;0;5;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;7;0.041875;0.0;266;0.037593984962406;806.060606060606;0.625;15.15151515151515;-8;-0.34;-2;0;7;0.0240963855421686;0.25;0.165;2.5;2;0;2;1;0;0;1;0;0.25;0.5;0.0060240963855421;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-19;Liverpool;3;3;3;2;1;Aston Villa;0;1;17;9;3;4;0.47;0.53;407;0.83;6;8;0;1;0;0;8;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;6;0.0588888888888888;0.0;338;0.0177514792899408;719.1489361702128;0.4705882352941176;17.02127659574468;8;-0.06;2;-1;-2;0.0417690417690417;0.1176470588235294;0.235;4.0;1;1;2;0;1;0;1;0;0.1176470588235294;0.6666666666666666;0.0049140049140049;8.5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Liverpool;3;3;17;2;67;Wolves;2;2;10;16;3;4;0.49;0.51;443;0.82;15;13;2;2;0;0;4;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3;0.031875;0.1333333333333333;363;0.0413223140495867;740.8163265306123;0.4;8.16326530612245;-6;-0.02;1;0;2;0.0225733634311512;0.2;0.245;2.0;2;0;2;1;0;0;0;1;0.2;0.6666666666666666;0.0045146726862302;5.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-12;Liverpool;3;3;3;2;64;Everton;3;3;6;10;4;3;0.64;0.36;546;0.82;20;9;2;2;1;1;3;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2;0.036;0.15;448;0.0446428571428571;700.0;0.5;4.6875;-4;0.28;1;0;11;0.0109890109890109;0.3333333333333333;0.32;1.5;1;1;2;0;1;0;1;0;0.3333333333333333;0.5;0.0036630036630036;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Liverpool;15;0;17;2;836;Plymouth Argyle;2;4;14;10;4;2;0.75;0.25;595;0.83;7;9;2;4;0;0;7;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;4;0.025;0.2857142857142857;494;0.0141700404858299;658.6666666666666;0.5;9.333333333333334;4;0.5;3;-2;-2;0.0235294117647058;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-06;Liverpool;14;3;0;2;56;Tottenham;0;0;26;5;10;0;0.64;0.36;578;0.87;5;8;0;0;0;0;14;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;4;0.072;0.0;503;0.0099403578528827;785.9375;0.5384615384615384;21.875;21;0.28;10;0;-3;0.0449826989619377;0.1538461538461538;0.16;3.5;1;3;4;1;0;0;0;1;0.1538461538461538;0.4;0.0069204152249134;6.5;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Liverpool;3;3;3;2;59;Bournemouth;3;2;19;14;7;3;0.51;0.49;426;0.81;9;15;3;2;0;0;3;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;3;0.0349999999999999;0.3333333333333333;345;0.0260869565217391;676.4705882352941;0.1578947368421052;5.88235294117647;5;0.02;0;1;-6;0.0446009389671361;0.1052631578947368;0.255;1.5;1;1;2;1;0;0;1;0;0.1052631578947368;0.2857142857142857;0.0046948356807511;9.5;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Liverpool;0;0;1;2;28;PSV;4;2;9;12;5;5;0.46;0.54;454;0.84;11;11;3;2;1;0;2;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;8;0.045;0.3636363636363636;381;0.0288713910761154;828.2608695652174;0.2222222222222222;4.3478260869565215;-3;-0.08;-6;2;0;0.0198237885462555;0.2222222222222222;0.23;1.0;2;0;2;0;0;1;1;0;0.2222222222222222;0.4;0.0044052863436123;4.5;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Liverpool;3;3;3;2;66;Ipswich;0;2;16;3;6;3;0.71;0.29;746;0.9;10;11;0;2;0;0;3;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;4;0.0966666666666666;0.0;671;0.014903129657228;945.0704225352112;0.1875;4.225352112676057;13;0.42;-1;-2;-1;0.0214477211796246;0.25;0.1775;0.75;3;1;4;1;0;0;0;1;0.25;0.6666666666666666;0.0053619302949061;4.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-21;Liverpool;0;0;3;2;15;LOSC;2;2;13;4;7;1;0.56;0.44;583;0.89;12;9;2;1;0;1;3;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;3;0.11;0.1666666666666666;519;0.0231213872832369;926.7857142857142;0.2307692307692307;5.357142857142857;9;0.12;0;0;3;0.0222984562607204;0.1538461538461538;0.28;1.5;1;1;2;1;0;0;0;1;0.1538461538461538;0.2857142857142857;0.0034305317324185;6.5;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
