Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Lucas Perri-Lyon;Ainsley Maitland-Niles-Lyon;Clinton Mata-Lyon;Moussa Niakhaté-Lyon;Nicolás Tagliafico-Lyon;Jordan Veretout-Lyon;Corentin Tolisso-Lyon;Paul Akouokou-Lyon;Thiago Almada-Lyon;Rayan Cherki-Lyon;Georges Mikautadze-Lyon;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Saël Kumbedi-Lyon;Duje Ćaleta-Car-Lyon;Abner Vinícius-Lyon;Nemanja Matić-Lyon;Alexandre Lacazette-Lyon;Tanner Tessmann-Lyon;Ernest Nuamah-Lyon;Malick Fofana-Lyon;Saïd Benrahma-Lyon;Warmed Omari-Lyon;Rémy Descamps-Lyon;Maxence Caqueret-Lyon;Gift Orban-Lyon;Wilfried Zaha-Lyon;Orel Mangala-Lyon;Jake O'Brien-Lyon;Anthony Lopes-Lyon;Henrique Silva Milagres-Lyon;Mama Baldé-Lyon;Dejan Lovren-Lyon;Mahamadou Diawara-Lyon;Adryelson-Lyon;Diego Moreira-Lyon;Skelly Alvero-Lyon;Sinaly Diomandé-Lyon;Tino Kadewere-Lyon;Jeffinho-Lyon;Rémy Riou-Lyon;Bradley Barcola-Lyon;Amin Sarr-Lyon;Johann Lepenant-Lyon;Mamadou Sarr-Lyon;Achraf Laâziri-Lyon;Mohamed El Arouch-Lyon;Jérôme Boateng-Lyon;Castello Lukeba-Lyon;Malo Gusto-Lyon;Thiago Mendes-Lyon;Moussa Dembélé-Lyon;Tetê-Lyon;Karl Toko Ekambi-Lyon;Damien Da Silva-Lyon;Houssem Aouar-Lyon
2025-04-17;Lyon;5;28;17;90;62;Manchester United;4;3;21;21;9;8;0.59;0.41;690;0.87;14;17;3;3;1;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.0195238095238095;0.2857142857142857;600;0.0233333333333333;1016.949152542373;0.1428571428571428;5.084745762711865;0;0.18;-4;1;-3;0.0304347826086956;0.1904761904761904;0.1475;0.75;0;4;4;0;0;1;1;0;0.1904761904761904;0.4444444444444444;0.0057971014492753;5.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Lyon;2;3;9;90;770;Auxerre;2;3;13;14;7;3;0.6;0.4;554;0.87;9;11;2;3;0;0;6;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3;0.0285714285714285;0.2222222222222222;482;0.0186721991701244;803.3333333333334;0.4615384615384615;10.0;-1;0.1999999999999999;3;-1;-2;0.0234657039711191;0.2307692307692307;0.1999999999999999;2.0;0;3;3;1;0;0;1;0;0.2307692307692307;0.4285714285714285;0.0054151624548736;4.333333333333333;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-10;Lyon;5;28;6;90;62;Manchester United;1;4;16;13;5;5;0.55;0.45;521;0.9;10;14;1;4;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8;0.0346153846153846;0.1;469;0.021321961620469;852.7272727272726;0.3125;9.09090909090909;3;0.1;-3;-3;-4;0.0307101727447216;0.125;0.275;2.5;1;1;2;0;1;0;0;1;0.125;0.4;0.0038387715930902;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Lyon;2;3;3;90;15;LOSC;3;2;10;10;4;4;0.57;0.43;606;0.89;15;14;3;2;0;0;1;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3;0.043;0.2;539;0.0278293135435992;945.6140350877192;0.1;1.7543859649122808;0;0.1399999999999999;-2;1;1;0.0165016501650165;0.2;0.285;0.5;1;1;2;1;0;0;0;1;0.2;0.5;0.0033003300330033;5.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-28;Lyon;2;3;3;90;767;Racing de Estrasburgo;2;2;16;14;11;7;0.61;0.39;582;0.88;15;12;2;2;0;0;5;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;6;0.0278571428571428;0.1333333333333333;512;0.029296875;839.344262295082;0.3125;8.19672131147541;2;0.2199999999999999;-1;0;3;0.0274914089347079;0.125;0.305;2.5;0;2;2;0;0;1;1;0;0.125;0.1818181818181818;0.0034364261168384;8.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Lyon;2;3;3;90;774;Le Havre;2;3;16;14;7;5;0.67;0.33;608;0.9;20;12;2;3;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1;0.0235714285714285;0.1;547;0.036563071297989;816.4179104477612;0.25;5.970149253731343;2;0.34;3;-1;8;0.0263157894736842;0.25;0.1675;1.0;1;3;4;1;0;0;0;1;0.25;0.5714285714285714;0.006578947368421;4.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Lyon;5;3;3;90;93;FCSB;0;0;18;9;6;2;0.66;0.34;756;0.93;8;11;0;0;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;2;0.0377777777777777;0.0;703;0.011379800853485;1065.151515151515;0.1111111111111111;3.0303030303030303;9;0.32;0;0;-3;0.0238095238095238;0.2222222222222222;0.165;0.5;2;2;4;1;0;0;0;1;0.2222222222222222;0.6666666666666666;0.0052910052910052;4.5;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Lyon;2;3;17;90;109;Niza;2;1;8;18;5;4;0.63;0.37;683;0.87;11;12;2;1;0;0;2;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;9;0.0205555555555555;0.1818181818181818;594;0.0185185185185185;942.8571428571428;0.25;3.1746031746031744;-10;0.26;-7;1;-1;0.0117130307467057;0.25;0.315;1.0;0;2;2;1;0;0;1;0;0.25;0.4;0.0029282576866764;4.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Lyon;5;3;3;90;93;FCSB;0;2;17;11;5;4;0.67;0.33;639;0.88;9;15;0;2;0;0;6;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;5;0.03;0.0;562;0.0160142348754448;838.8059701492537;0.3529411764705882;8.955223880597014;6;0.34;1;-2;-6;0.0266040688575899;0.1764705882352941;0.2233333333333333;2.0;1;2;3;1;0;0;1;0;0.1764705882352941;0.6;0.0046948356807511;5.666666666666667;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Lyon;2;3;8;90;5;Stade Brestois;2;1;10;15;4;5;0.66;0.34;612;0.89;16;12;2;1;0;0;2;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;5;0.0226666666666666;0.125;545;0.0293577981651376;825.7575757575758;0.2;3.0303030303030303;-5;0.32;-3;1;4;0.0163398692810457;0.2;0.33;1.0;1;1;2;1;0;0;0;1;0.2;0.5;0.0032679738562091;5.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
