Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Lasse Finn Rieß-Mainz 05;Danny da Costa-Mainz 05;Andreas Hanche-Olsen-Mainz 05;Dominik Kohr-Mainz 05;Anthony Caci-Mainz 05;Kaishu Sano-Mainz 05;Nadiem Amiri-Mainz 05;Phillipp Mwene-Mainz 05;Paul Nebel-Mainz 05;Lee Jae-sung-Mainz 05;Jonathan Burkardt-Mainz 05;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Robin Zentner-Mainz 05;Moritz Jenz-Mainz 05;Nikolas Veratschnig-Mainz 05;Nelson Weiper-Mainz 05;Silvan Widmer-Mainz 05;Stefan Bell-Mainz 05;Armindo Sieb-Mainz 05;Maxim Leitsch-Mainz 05;Gabriel Vidović-Mainz 05;Hong Hyun-seok-Mainz 05;Karim Onisiwo-Mainz 05;Sepp van den Berg-Mainz 05;Leandro Barreiro-Mainz 05;Brajan Gruda-Mainz 05;Edimilson Fernandes-Mainz 05;Ludovic Ajorque-Mainz 05;Josuha Guilavogui-Mainz 05;Tom Krauß-Mainz 05;Merveille Papela-Mainz 05;Jessic Ngankam-Mainz 05;Marco Richter-Mainz 05;Daniel Batz-Mainz 05;Aymen Barkok-Mainz 05;Anton Stach-Mainz 05;Finn Dahmen-Mainz 05;Aarón Martín-Mainz 05;Marcus Ingvartsen-Mainz 05;Alexander Hack-Mainz 05;Angelo Fulgini-Mainz 05;Anderson Lucoqui-Mainz 05;Keanu Kraft-Mainz 05;Marlon Mustapha-Mainz 05;Eniss Shabani-Mainz 05;Moussa Niakhaté-Mainz 05;Daniel Brosinski-Mainz 05;Jean-Paul Boetius-Mainz 05
2025-05-04;Mainz 05;9;17;17;174;87;Frankfurt;1;0;12;8;3;2;0.65;0.35;549;0.8;10;10;1;0;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.04375;0.1;439;0.022779043280182234;675.3846153846154;0.6666666666666666;12.307692307692307;4;0.30000000000000004;7;1;0;0.02185792349726776;0.08333333333333333;0.65;8.0;0;1;1;0;1;0;0;1;0.08333333333333333;0.3333333333333333;0.0018214936247723133;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Mainz 05;9;17;13;174;23;Bayern;2;2;8;14;3;6;0.41;0.59;393;0.82;17;13;2;2;0;0;4;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.04214285714285714;0.11764705882352941;322;0.052795031055900624;785.3658536585366;0.5;9.75609756097561;-6;-0.18;0;0;4;0.020356234096692113;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Mainz 05;9;29;2;174;175;Wolfsburg;2;3;18;16;7;4;0.52;0.48;380;0.77;15;8;2;3;0;0;7;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;5;0.03;0.13333333333333333;293;0.051194539249146756;563.4615384615385;0.3888888888888889;13.461538461538462;2;0.040000000000000036;2;-1;7;0.04736842105263158;0.1111111111111111;0.26;3.5;2;0;2;0;1;0;0;1;0.1111111111111111;0.2857142857142857;0.005263157894736842;9.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Mainz 05;9;17;3;174;97;Hoffenheim;1;4;14;8;1;5;0.65;0.35;508;0.82;11;18;0;4;1;0;7;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;4;0.04375;0.09090909090909091;417;0.026378896882494004;641.5384615384615;0.5;10.769230769230768;6;0.30000000000000004;3;-3;-7;0.027559055118110236;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Mainz 05;9;17;29;174;177;KSV Holstein;3;4;13;10;3;5;0.58;0.42;428;0.75;12;8;3;4;0;0;4;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.041999999999999996;0.25;321;0.037383177570093455;553.448275862069;0.3076923076923077;6.8965517241379315;3;0.15999999999999998;0;-1;4;0.030373831775700934;0.07692307692307693;0.58;4.0;0;1;1;0;1;0;0;1;0.07692307692307693;0.3333333333333333;0.002336448598130841;13.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Mainz 05;9;17;30;174;11;Dortmund;0;2;12;18;2;7;0.56;0.44;535;0.78;8;10;0;2;0;0;4;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;6;0.024444444444444446;0.0;417;0.019184652278177457;744.6428571428571;0.3333333333333333;7.142857142857142;-6;0.12000000000000005;-2;-2;-2;0.022429906542056073;0.08333333333333333;0.56;4.0;0;1;1;0;0;1;1;0;0.08333333333333333;0.5;0.001869158878504673;12.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Mainz 05;9;17;8;174;170;Friburgo;2;2;9;24;4;8;0.44;0.56;376;0.75;7;7;1;2;1;0;1;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.023333333333333334;0.2857142857142857;282;0.024822695035460994;640.9090909090909;0.1111111111111111;2.272727272727273;-15;-0.12000000000000005;-3;0;0;0.023936170212765957;0.2222222222222222;0.22;0.5;1;1;2;0;1;0;0;1;0.2222222222222222;0.5;0.005319148936170213;4.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-07;Mainz 05;9;17;3;174;172;Mönchengladbach;1;0;15;12;7;4;0.42;0.58;455;0.81;6;6;1;0;0;0;3;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.04833333333333333;0.16666666666666666;369;0.016260162601626018;878.5714285714286;0.2;7.142857142857143;3;-0.15999999999999998;-1;1;0;0.03296703296703297;0.2;0.13999999999999999;1.0;1;2;3;1;0;0;1;0;0.2;0.42857142857142855;0.006593406593406593;5.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Mainz 05;9;17;29;174;31;RB Leipzig;1;1;15;13;3;4;0.51;0.49;543;0.78;15;8;1;1;0;0;1;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.03769230769230769;0.06666666666666667;424;0.03537735849056604;831.3725490196078;0.06666666666666667;1.9607843137254901;2;0.020000000000000018;-6;0;7;0.027624309392265192;0.13333333333333333;0.255;0.5;0;2;2;1;0;0;1;0;0.13333333333333333;0.6666666666666666;0.003683241252302026;7.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Mainz 05;9;29;17;174;176;St. Pauli;3;3;10;12;5;0;0.53;0.47;427;0.77;9;10;3;3;0;0;6;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;5;0.03916666666666666;0.3333333333333333;329;0.02735562310030395;620.754716981132;0.6;11.320754716981131;-2;0.06000000000000005;1;0;-1;0.0234192037470726;0.2;0.265;3.0;0;2;2;1;0;0;0;1;0.2;0.4;0.00468384074941452;5.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
