Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Ederson Moraes-Manchester City;Rico Lewis-Manchester City;Rúben Dias-Manchester City;Joško Gvardiol-Manchester City;Nico O'Reilly-Manchester City;Mateo Kovačić-Manchester City;Nico González-Manchester City;James McAtee-Manchester City;İlkay Gündoğan-Manchester City;Omar Marmoush-Manchester City;Kevin De Bruyne-Manchester City;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Matheus Nunes-Manchester City;Bernardo Silva-Manchester City;Phil Foden-Manchester City;Savinho-Manchester City;Jack Grealish-Manchester City;Jérémy Doku-Manchester City;Abdukodir Khusanov-Manchester City;Erling Haaland-Manchester City;Stefan Ortega-Manchester City;Vitor Reis-Manchester City;Nathan Aké-Manchester City;John Stones-Manchester City;Manuel Akanji-Manchester City;Jahmai Simpson-Pusey-Manchester City;Divin Mubama-Manchester City;Kyle Walker-Manchester City;Kaden Braithwaite-Manchester City;Rodrigo Hernández Cascante-Manchester City;Oscar Bobb-Manchester City;Kalvin Phillips-Manchester City;Josh Wilson-Esbrand-Manchester City;Mahamadou Susoho-Manchester City;Callum Doyle-Manchester City;Máximo Perrone-Manchester City;Luke Mbete-Manchester City;Julián Álvarez-Manchester City;Sergio Gómez Martín-Manchester City;Micah Hamilton-Manchester City;Cole Palmer-Manchester City;Aymeric Laporte-Manchester City;Riyad Mahrez-Manchester City
2025-04-12;Manchester City;3;3;17;3;65;Crystal Palace;2;3;21;8;9;3;0.68;0.32;741;0.9;10;16;2;3;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.04;0.2;667;0.0149925037481259;980.8823529411764;0.0476190476190476;1.4705882352941175;13;0.36;-3;-1;-6;0.0283400809716599;0.238095238095238;0.136;0.2;2;3;5;1;0;0;0;1;0.238095238095238;0.5555555555555556;0.0067476383265856;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Manchester City;3;22;17;3;62;Manchester United;2;3;9;13;5;2;0.59;0.41;564;0.88;9;13;2;3;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;5;0.0315384615384615;0.2222222222222222;496;0.0181451612903225;840.677966101695;0.3333333333333333;5.084745762711865;-4;0.18;-2;-1;-4;0.0159574468085106;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Manchester City;3;3;17;3;63;Leicester City;1;4;18;2;5;0;0.72;0.28;784;0.93;11;8;1;4;0;0;5;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0;0.14;0.0909090909090909;729;0.0150891632373113;1012.5;0.2777777777777778;6.944444444444445;16;0.4399999999999999;5;-3;3;0.0229591836734693;0.1111111111111111;0.36;2.5;2;0;2;1;0;0;0;1;0.1111111111111111;0.4;0.0025510204081632;9.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Manchester City;15;0;3;3;59;Bournemouth;3;3;17;5;7;2;0.64;0.36;516;0.81;12;14;3;3;0;0;4;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2;0.072;0.25;418;0.0287081339712918;653.125;0.2352941176470588;6.25;12;0.28;2;0;-2;0.0329457364341085;0.1176470588235294;0.32;2.0;0;2;2;1;0;0;1;0;0.1176470588235294;0.2857142857142857;0.003875968992248;8.5;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Manchester City;3;3;3;3;54;Brighton;2;5;11;15;3;3;0.61;0.39;502;0.83;10;10;2;5;0;0;4;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;5;0.026;0.2;417;0.0239808153477218;683.6065573770492;0.3636363636363636;6.557377049180328;-4;0.2199999999999999;-1;-3;0;0.0219123505976095;0.1818181818181818;0.305;2.0;2;0;2;0;1;0;0;1;0.1818181818181818;0.6666666666666666;0.0039840637450199;5.5;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Manchester City;3;7;3;3;55;Nottingham Forest;2;3;14;9;3;4;0.7;0.3;609;0.89;7;9;2;3;0;0;2;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3;0.0333333333333333;0.2857142857142857;542;0.0129151291512915;774.2857142857143;0.1428571428571428;2.857142857142857;5;0.3999999999999999;-1;-1;-2;0.0229885057471264;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Manchester City;15;7;9;3;836;Plymouth Argyle;0;0;29;1;9;1;0.73;0.27;679;0.89;5;7;0;0;0;0;20;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1;0.27;0.0;604;0.0082781456953642;827.3972602739726;0.6896551724137931;27.3972602739726;28;0.4599999999999999;19;0;-2;0.0427098674521354;0.1034482758620689;0.2433333333333333;6.666666666666667;1;2;3;1;0;0;0;1;0.1034482758620689;0.3333333333333333;0.0044182621502209;9.666666666666666;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Manchester City;3;3;0;3;56;Tottenham;0;3;12;11;5;6;0.44;0.56;416;0.87;15;12;0;3;0;0;3;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;8;0.0509090909090909;0.0;362;0.0414364640883977;822.7272727272727;0.25;6.818181818181818;1;-0.12;-5;-3;3;0.0288461538461538;0.0833333333333333;0.44;3.0;1;0;1;1;0;0;1;0;0.0833333333333333;0.2;0.0024038461538461;12.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Manchester City;3;7;13;3;2;Liverpool;0;0;16;8;5;4;0.67;0.33;659;0.91;3;10;0;0;0;0;7;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;5;0.04125;0.0;600;0.005;895.5223880597015;0.4375;10.44776119402985;8;0.34;2;0;-7;0.0242792109256449;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-19;Manchester City;0;22;1;3;12;Real Madrid;2;1;12;15;4;8;0.52;0.48;528;0.9;9;9;2;1;0;0;5;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;7;0.032;0.2222222222222222;475;0.0189473684210526;913.4615384615385;0.4166666666666667;9.615384615384617;-3;0.04;-2;1;0;0.0227272727272727;0.0833333333333333;0.52;5.0;0;1;1;0;0;1;1;0;0.0833333333333333;0.25;0.0018939393939393;12.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
