Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;André Onana-Manchester United;Victor Lindelöf-Manchester United;Harry Maguire-Manchester United;Leny Yoro-Manchester United;Noussair Mazraoui-Manchester United;Manuel Ugarte Ribeiro-Manchester United;Casemiro-Manchester United;Patrick Dorgu-Manchester United;Alejandro Garnacho-Manchester United;Bruno Miguel Borges Fernandes-Manchester United;Rasmus Højlund-Manchester United;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Altay Bayındır-Manchester United;Tyler Fredricson-Manchester United;Matthijs de Ligt-Manchester United;Luke Shaw-Manchester United;Kobbie Mainoo-Manchester United;Harry Amass-Manchester United;Mason Mount-Manchester United;Chido Obi-Manchester United;Christian Eriksen-Manchester United;Diogo Dalot-Manchester United;Joshua Zirkzee-Manchester United;Ayden Heaven-Manchester United;Amad Diallo-Manchester United;Lisandro Martínez-Manchester United;Toby Collyer-Manchester United;Tyrell Malacia-Manchester United;Antony dos Santos-Manchester United;Marcus Rashford-Manchester United;Jonny Evans-Manchester United;Aaron Wan-Bissaka-Manchester United;Jadon Sancho-Manchester United;Tom Heaton-Manchester United;Scott McTominay-Manchester United;Sam Murray-Manchester United;Ethan Wheatley-Manchester United;Radek Vítek-Manchester United;Will Fish-Manchester United;Ethan Williams-Manchester United;Hannibal Mejbri-Manchester United;Raphaël Varane-Manchester United;Sofyan Amrabat-Manchester United;Willy Kambwala-Manchester United;Omari Forson-Manchester United;Sergio Reguilón-Manchester United;Anthony Martial-Manchester United;Facundo Pellistri-Manchester United;Álvaro Carreras-Manchester United;Daniel Gore-Manchester United;Donny van de Beek-Manchester United;Brandon Williams-Manchester United;Nathan Bishop-Manchester United;Marc Jurado-Manchester United;Shola Shoretire-Manchester United;Isak Hansen-Aarøen-Manchester United;Joe Hugill-Manchester United;Matěj Kovář-Manchester United;David de Gea-Manchester United;Frederico Rodrigues Santos-Manchester United
2025-05-08;Manchester United;5;17;3;62;38;Athletic;3;4;11;11;5;1;0.52;0.48;453;0.78;10;17;3;4;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.04363636363636363;0.3;353;0.028328611898016998;678.8461538461538;0.0;0.0;0;0.040000000000000036;-2;-1;-7;0.024282560706401765;0.36363636363636365;0.13;0.0;0;4;4;1;0;0;0;1;0.36363636363636365;0.8;0.008830022075055188;2.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Manchester United;3;17;3;62;57;Brentford;2;0;14;12;5;6;0.54;0.46;477;0.81;10;8;2;0;0;0;3;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;7;0.03833333333333334;0.2;386;0.025906735751295335;714.8148148148148;0.21428571428571427;5.555555555555555;2;0.08000000000000002;-4;2;2;0.029350104821802937;0.21428571428571427;0.18000000000000002;1.0;1;2;3;0;0;1;1;0;0.21428571428571427;0.6;0.006289308176100629;4.666666666666667;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01;Manchester United;5;17;3;62;38;Athletic;3;4;14;9;7;3;0.73;0.27;631;0.89;7;19;3;3;0;1;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.030000000000000002;0.42857142857142855;562;0.012455516014234875;769.8630136986302;0.35714285714285715;6.8493150684931505;5;0.45999999999999996;1;-1;-12;0.022187004754358162;0.21428571428571427;0.24333333333333332;1.6666666666666667;3;0;3;1;0;0;1;0;0.21428571428571427;0.42857142857142855;0.004754358161648178;4.666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Manchester United;3;17;3;62;59;Bournemouth;2;5;25;8;6;1;0.62;0.38;470;0.82;12;11;2;4;0;1;10;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;5;0.0475;0.16666666666666666;385;0.03116883116883117;620.9677419354839;0.4;16.129032258064516;17;0.24;5;-3;1;0.05319148936170213;0.04;0.62;10.0;0;1;1;0;1;0;1;0;0.04;0.16666666666666666;0.002127659574468085;25.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Manchester United;3;17;17;62;67;Wolves;2;3;12;4;2;2;0.6;0.4;557;0.88;11;18;2;3;0;0;9;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;2;0.1;0.18181818181818182;490;0.022448979591836733;816.6666666666667;0.75;15.0;8;0.19999999999999996;7;-1;-7;0.02154398563734291;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-17;Manchester United;5;17;28;62;90;Lyon;3;4;21;21;8;9;0.41;0.59;484;0.84;17;14;3;3;0;1;7;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.028095238095238093;0.17647058823529413;407;0.04176904176904177;992.6829268292684;0.3333333333333333;17.073170731707318;0;-0.18;4;-1;3;0.04338842975206612;0.23809523809523808;0.08199999999999999;1.4;2;3;5;1;0;0;0;1;0.23809523809523808;0.625;0.010330578512396695;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Manchester United;3;17;0;62;60;Newcastle;2;0;9;13;5;6;0.52;0.48;472;0.8;9;7;2;0;0;0;2;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;7;0.03692307692307692;0.2222222222222222;378;0.023809523809523808;726.9230769230769;0.2222222222222222;3.846153846153846;-4;0.040000000000000036;-5;2;2;0.019067796610169493;0.1111111111111111;0.52;2.0;1;0;1;0;0;1;1;0;0.1111111111111111;0.2;0.00211864406779661;9.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-10;Manchester United;5;6;28;62;90;Lyon;4;1;13;16;5;5;0.45;0.55;428;0.88;14;10;4;1;0;0;8;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.034375;0.2857142857142857;377;0.03713527851458886;837.7777777777777;0.6153846153846154;17.77777777777778;-3;-0.10000000000000003;3;3;4;0.030373831775700934;0.15384615384615385;0.225;4.0;1;1;2;0;1;0;1;0;0.15384615384615385;0.4;0.004672897196261682;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Manchester United;3;17;22;62;3;Manchester City;3;2;13;9;2;5;0.41;0.59;381;0.84;13;9;3;2;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.06555555555555555;0.23076923076923078;320;0.040625;780.4878048780488;0.38461538461538464;12.195121951219512;4;-0.18;2;1;4;0.03412073490813648;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Manchester United;3;17;3;62;55;Nottingham Forest;3;1;23;8;6;2;0.69;0.31;649;0.85;12;5;3;1;0;0;10;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.03875;0.25;552;0.021739130434782608;800.0000000000001;0.43478260869565216;14.492753623188406;15;0.37999999999999995;7;2;7;0.03543913713405239;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
