Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11
9/11/24;Milan;4;3;3;25;79;Cagliari;13;6;55;507;89;11;2;0;3;2;1;3;0;1;0;1;0;Mike Maignan;Portero;Emerson Royal;Defensor;Malick Thiaw;Defensor;Strahinja Pavlović;Defensor;Theo Hernández;Defensor;Youssouf Fofana;Mediocampista;Tijjani Reijnders;Mediocampista;Samuel Chukwueze;Mediocampista;Christian Pulisic;Mediocampista;Rafael Leão;Mediocampista;Francesco Camarda;Delantero
5/11/24;Milan;0;3;1;25;12;Real Madrid;14;9;43;401;88;9;2;0;5;2;1;3;1;0;0;1;0;Mike Maignan;Portero;Emerson Royal;Defensor;Malick Thiaw;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Youssouf Fofana;Mediocampista;Tijjani Reijnders;Mediocampista;Yunus Musah;Mediocampista;Christian Pulisic;Mediocampista;Rafael Leão;Mediocampista;Álvaro Morata;Delantero
2/11/24;Milan;4;3;17;25;80;Monza;18;7;57;472;90;15;1;0;5;1;0;1;1;0;0;1;0;Mike Maignan;Portero;Filippo Terracciano;Defensor;Malick Thiaw;Defensor;Strahinja Pavlović;Defensor;Theo Hernández;Defensor;Youssouf Fofana;Mediocampista;Tijjani Reijnders;Mediocampista;Samuel Chukwueze;Mediocampista;Christian Pulisic;Mediocampista;Noah Okafor;Mediocampista;Álvaro Morata;Delantero
29/10/24;Milan;4;0;0;25;69;Napoli;13;5;62;560;89;14;0;0;5;0;0;0;0;0;1;0;1;Mike Maignan;Portero;Emerson Royal;Defensor;Malick Thiaw;Defensor;Strahinja Pavlović;Defensor;Filippo Terracciano;Defensor;Ruben Loftus-Cheek;Mediocampista;Youssouf Fofana;Mediocampista;Yunus Musah;Mediocampista;Samuel Chukwueze;Delantero;Álvaro Morata;Delantero;Noah Okafor;Delantero
22/10/24;Milan;0;0;8;25;26;Club Brujas;15;5;62;669;94;7;4;0;5;1;2;3;1;0;0;0;1;Mike Maignan;Portero;Emerson Royal;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Ruben Loftus-Cheek;Mediocampista;Youssouf Fofana;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Delantero;Álvaro Morata;Delantero;Rafael Leão;Delantero
19/10/24;Milan;4;3;2;25;72;Udinese;10;5;44;335;82;3;2;1;8;1;0;1;1;0;0;0;1;Mike Maignan;Portero;Emerson Royal;Defensor;Malick Thiaw;Defensor;Strahinja Pavlović;Defensor;Filippo Terracciano;Defensor;Youssouf Fofana;Mediocampista;Tijjani Reijnders;Mediocampista;Samuel Chukwueze;Mediocampista;Christian Pulisic;Mediocampista;Noah Okafor;Mediocampista;Álvaro Morata;Delantero
6/10/24;Milan;4;3;3;25;70;Fiorentina;16;8;61;440;86;21;3;1;7;0;1;1;0;0;1;1;0;Mike Maignan;Portero;Emerson Royal;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Youssouf Fofana;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Álvaro Morata;Mediocampista;Rafael Leão;Mediocampista;Tammy Abraham;Delantero
1/10/24;Milan;0;3;17;25;6;Leverkusen;16;5;49;551;90;4;3;0;4;0;0;0;0;0;1;1;0;Mike Maignan;Portero;Emerson Royal;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Youssouf Fofana;Mediocampista;Ruben Loftus-Cheek;Mediocampista;Christian Pulisic;Mediocampista;Tijjani Reijnders;Mediocampista;Rafael Leão;Mediocampista;Tammy Abraham;Delantero
27/9/24;Milan;4;3;0;25;82;Lecce;15;6;57;498;91;5;1;1;4;3;0;3;1;0;0;0;1;Mike Maignan;Portero;Emerson Royal;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Youssouf Fofana;Mediocampista;Tijjani Reijnders;Mediocampista;Christian Pulisic;Mediocampista;Álvaro Morata;Mediocampista;Rafael Leão;Mediocampista;Tammy Abraham;Delantero
22/9/24;Milan;4;3;2;25;7;Inter;16;8;43;398;84;4;1;0;2;1;1;2;1;0;0;1;0;Mike Maignan;Portero;Emerson Royal;Defensor;Matteo Gabbia;Defensor;Fikayo Tomori;Defensor;Theo Hernández;Defensor;Tijjani Reijnders;Mediocampista;Youssouf Fofana;Mediocampista;Christian Pulisic;Mediocampista;Álvaro Morata;Mediocampista;Rafael Leão;Mediocampista;Tammy Abraham;Delantero
