Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Walter Leandro Capeloza Artune-Mirassol;Lucas Ramon-Mirassol;João Victor-Mirassol;Jemmes-Mirassol;Reinaldo Manoel da Silva-Mirassol;Neto-Mirassol;Daniel de Oliveira Sertanejo-Mirassol;Gabriel Santana Pinto-Mirassol;Fabrício Daniel de Souza-Mirassol;Cristian Renato-Mirassol;Edson Carioca-Mirassol;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Alex Santana-Mirassol;José Aldo-Mirassol;Yago Felipe da Costa Rocha-Mirassol;Negueba-Mirassol;Iury Lírio Freitas de Castilho-Mirassol;Daniel Borges-Mirassol;Clayson Henrique da Silva Vieira-Mirassol;Everton Maceió-Mirassol;Chico Kim-Mirassol;Alan Empereur-Mirassol;David Braz-Mirassol;José Carlos Cracco Neto-Mirassol;Guilherme Pato-Mirassol;Diego Gonçalves-Mirassol;Matheus Alvarenga de Oliveira-Mirassol;Luiz Otávio da Silva Santos-Mirassol;Fernandinho-Mirassol;Dellatorre-Mirassol;Lucas Gazal-Mirassol;Léo Gamalho-Mirassol;Zé Mário-Mirassol;Isaque-Mirassol;Rodrigo Andrade-Mirassol;Vanderlei Farias da Silva-Mirassol;Alex da Silva-Mirassol;Warley Leandro da Silva-Mirassol;Quirino-Mirassol;Artur Sérgio Batista de Souza-Mirassol;Wanderson Santos Pereira-Mirassol;Yuri Oliveira Lima-Mirassol;Ronald dos Santos Lopes-Mirassol;Marcelo Correa-Mirassol;Paulinho-Mirassol;Rodrigo Ferreira-Mirassol;Wesley Santos Silva-Mirassol;Mário Sérgio Pereira Júnior-Mirassol;Rodrigo Sam-Mirassol;Heitor Rodrigues da Fonseca-Mirassol;Thalisson Kelven-Mirassol;Manoel-Mirassol;José Roberto Assunção de Araújo Filho-Mirassol;Guilherme da Trindade Dubas-Mirassol;Leandro Vilela-Mirassol;Julimar-Mirassol;Fernando Camilo Farias-Mirassol;Luiz Flávio Silverio Silva-Mirassol;Reinaldo Kauan Bento dos Santos-Mirassol;Ilson Cedric Borges de Accacio Lima-Mirassol;Silvio José Cardoso Reis Junior-Mirassol;Reniê-Mirassol;Arnaldo Manoel de Almeida-Mirassol;Luiz Gustavo Tavares Conde-Mirassol;Cesar-Mirassol;Zé Mateus-Mirassol;Everton Bala-Mirassol;Darley Ramon Torres-Mirassol;Rayan Poltronieri Pereira-Mirassol;Anderson Ferreira da Silva-Mirassol;Luís Felipe Oyama-Mirassol;Fabinho-Mirassol;Zeca-Mirassol;Lucão-Mirassol;Du Fernandes-Mirassol;Ivan Aparecido Martins-Mirassol;Claudinho-Mirassol
2025-05-05;Mirassol;10;0;3;670;659;Bragantino;3;2;12;15;3;4;0.47;0.53;446;0.81;12;8;3;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0353333333333333;0.25;361;0.0332409972299169;768.0851063829788;0.3333333333333333;8.51063829787234;-3;-0.06;0;1;4;0.0269058295964125;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Mirassol;10;0;3;670;220;Atlético Mineiro;4;2;20;16;6;6;0.38;0.62;284;0.75;11;5;4;2;0;0;9;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;7;0.03875;0.3636363636363636;213;0.0516431924882629;560.5263157894736;0.45;23.684210526315788;4;-0.24;2;2;6;0.0704225352112676;0.1;0.19;4.5;1;1;2;0;1;0;0;1;0.1;0.3333333333333333;0.0070422535211267;10.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Mirassol;10;0;0;670;779;Juventude;2;2;25;19;6;6;0.56;0.44;442;0.82;10;18;2;2;0;0;3;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;5;0.0231578947368421;0.2;362;0.0276243093922651;646.4285714285713;0.12;5.357142857142857;6;0.12;-2;0;-8;0.0565610859728506;0.08;0.28;1.5;1;1;2;0;1;0;1;0;0.08;0.3333333333333333;0.004524886877828;12.5;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Mirassol;10;3;3;670;206;Grêmio;2;4;11;16;6;6;0.41;0.59;370;0.84;12;16;2;4;0;0;2;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;7;0.036875;0.1666666666666666;311;0.0385852090032154;758.5365853658537;0.1818181818181818;4.878048780487805;-5;-0.18;-5;-2;-4;0.0297297297297297;0.3636363636363636;0.1025;0.5;2;2;4;1;0;0;0;1;0.3636363636363636;0.6666666666666666;0.0108108108108108;2.75;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Mirassol;10;3;0;670;697;Bahía;5;2;5;17;3;2;0.43;0.57;395;0.85;10;11;5;2;0;0;2;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;10;0.0335294117647058;0.5;336;0.0297619047619047;781.3953488372093;0.4;4.651162790697675;-12;-0.1399999999999999;-8;3;-1;0.0126582278481012;0.2;0.43;2.0;1;0;1;0;1;0;1;0;0.2;0.3333333333333333;0.0025316455696202;5.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Mirassol;10;3;7;670;644;Fortaleza;2;3;20;7;5;3;0.71;0.29;599;0.84;15;12;2;3;0;0;8;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1;0.0414285714285714;0.1333333333333333;503;0.0298210735586481;708.4507042253522;0.4;11.267605633802818;13;0.42;7;-1;3;0.0333889816360601;0.05;0.71;8.0;0;1;1;0;1;0;0;1;0.05;0.2;0.001669449081803;20.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Mirassol;10;3;13;670;636;Cruzeiro;3;4;16;8;6;2;0.56;0.44;455;0.81;21;18;3;4;0;0;6;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;2;0.055;0.1428571428571428;369;0.056910569105691;658.9285714285713;0.375;10.714285714285714;8;0.12;4;-1;3;0.0351648351648351;0.0625;0.56;6.0;1;0;1;0;0;1;1;0;0.0625;0.1666666666666666;0.0021978021978021;16.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Mirassol;27;3;28;670;652;Corinthians;4;1;13;10;4;6;0.54;0.46;450;0.88;5;19;4;1;0;0;8;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;7;0.046;0.8;396;0.0126262626262626;733.3333333333333;0.6153846153846154;14.814814814814811;3;0.08;1;3;-14;0.0288888888888888;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Mirassol;27;3;3;670;217;Palmeiras;2;1;11;17;3;7;0.54;0.46;385;0.84;15;11;2;1;0;0;4;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;7;0.0270588235294117;0.1333333333333333;323;0.0464396284829721;598.1481481481482;0.3636363636363636;7.4074074074074066;-6;0.08;-3;1;4;0.0285714285714285;0.1818181818181818;0.27;2.0;1;1;2;0;0;1;0;1;0.1818181818181818;0.6666666666666666;0.0051948051948051;5.5;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-20;Mirassol;27;3;0;670;659;Bragantino;3;1;17;13;3;7;0.55;0.45;473;0.86;10;8;3;1;0;0;11;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2;0.0346153846153846;0.3;407;0.0245700245700245;739.9999999999999;0.6470588235294118;20.0;4;0.1;9;2;2;0.0359408033826638;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
