Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
2025-03-15;Mónaco;2;3;3;4;771;Angers;16;5;57;545;84;11;2;0;9;Philipp Köhn;Portero;Vanderson;Defensor;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Caio Henrique;Defensor;Denis Zakaria;Mediocampista;Moatasem Al-Musrati;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Eliesse Ben Seghir;Mediocampista;Mika Biereth;Delantero;0;2;2;1;0;0;1;0
2025-03-07;Mónaco;2;3;17;4;772;Toulouse;13;3;49;417;79;17;3;0;5;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Christian Mawissa;Defensor;Caio Henrique;Defensor;Lamine Camara;Mediocampista;Moatasem Al-Musrati;Mediocampista;Maghnes Akliouche;Mediocampista;Breel Embolo;Mediocampista;Takumi Minamino;Mediocampista;Mika Biereth;Delantero;1;0;1;0;1;0;1;0
2025-02-28;Mónaco;2;3;4;4;766;Reims;23;9;57;575;86;7;0;0;7;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Christian Mawissa;Defensor;Caio Henrique;Defensor;Moatasem Al-Musrati;Mediocampista;Denis Zakaria;Mediocampista;Maghnes Akliouche;Mediocampista;Breel Embolo;Mediocampista;Takumi Minamino;Mediocampista;Mika Biereth;Delantero;2;1;3;1;0;0;0;1
2025-02-22;Mónaco;2;3;1;4;15;LOSC;13;3;57;512;90;18;2;0;6;Radosław Majecki;Portero;Vanderson;Defensor;Wilfried Singo;Defensor;Christian Mawissa;Defensor;Krépin Diatta;Defensor;Lamine Camara;Mediocampista;Denis Zakaria;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Eliesse Ben Seghir;Mediocampista;Mika Biereth;Delantero;1;0;1;0;0;1;1;0
2025-02-18;Mónaco;-1;4;0;4;13;Benfica;15;6;60;513;84;9;1;0;3;Radosław Majecki;Portero;Krépin Diatta;Defensor;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Christian Mawissa;Defensor;Caio Henrique;Defensor;Maghnes Akliouche;Mediocampista;Lamine Camara;Mediocampista;Eliesse Ben Seghir;Mediocampista;Takumi Minamino;Delantero;Breel Embolo;Delantero;1;2;3;0;1;0;1;0
2025-02-15;Mónaco;2;3;4;4;769;Nantes;22;11;65;603;89;18;1;0;9;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Christian Mawissa;Defensor;Caio Henrique;Defensor;Lamine Camara;Mediocampista;Denis Zakaria;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Eliesse Ben Seghir;Mediocampista;Mika Biereth;Delantero;2;5;7;1;0;0;0;1
2025-02-12;Mónaco;-1;3;0;4;13;Benfica;6;3;44;375;73;10;2;1;2;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Krépin Diatta;Defensor;Denis Zakaria;Mediocampista;Moatasem Al-Musrati;Mediocampista;Maghnes Akliouche;Mediocampista;Breel Embolo;Mediocampista;Aleksandr Golovin;Mediocampista;Mika Biereth;Delantero;0;0;0;0;0;1;0;1
2025-02-07;Mónaco;2;1;0;4;19;PSG;9;3;36;341;80;11;0;0;1;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Christian Mawissa;Defensor;Caio Henrique;Defensor;Maghnes Akliouche;Mediocampista;Denis Zakaria;Mediocampista;Soungoutou Magassa;Mediocampista;Takumi Minamino;Mediocampista;Mika Biereth;Delantero;Breel Embolo;Delantero;1;0;1;0;0;1;1;0
2025-02-01;Mónaco;2;3;9;4;770;Auxerre;11;6;58;504;82;17;2;0;5;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Christian Mawissa;Defensor;Lamine Camara;Mediocampista;Denis Zakaria;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Aleksandr Golovin;Mediocampista;Mika Biereth;Delantero;1;3;4;1;0;0;0;1
2025-01-29;Mónaco;-1;3;2;4;7;Inter;4;0;36;403;81;5;2;1;0;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Christian Mawissa;Defensor;Lamine Camara;Mediocampista;Denis Zakaria;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Aleksandr Golovin;Mediocampista;Breel Embolo;Delantero;0;0;0;0;0;1;1;0
2025-01-25;Mónaco;2;3;17;4;768;Rennes;20;10;53;441;79;12;3;0;4;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Christian Mawissa;Defensor;Lamine Camara;Mediocampista;Denis Zakaria;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Aleksandr Golovin;Mediocampista;Mika Biereth;Delantero;1;2;3;1;0;0;0;1
2025-01-21;Mónaco;-1;3;3;4;1;Aston Villa;12;4;39;320;75;14;1;0;4;Radosław Majecki;Portero;Vanderson;Defensor;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Christian Mawissa;Defensor;Lamine Camara;Mediocampista;Denis Zakaria;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Eliesse Ben Seghir;Mediocampista;Breel Embolo;Delantero;1;0;1;1;0;0;0;1
2025-01-17;Mónaco;2;3;4;4;775;Montpellier;26;11;68;530;83;9;2;0;16;Radosław Majecki;Portero;Jordan Teze;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Kassoum Ouattara;Defensor;Soungoutou Magassa;Mediocampista;Lamine Camara;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Eliesse Ben Seghir;Mediocampista;Mika Biereth;Delantero;1;0;1;0;0;1;1;0
2025-01-14;Mónaco;13;1;3;4;766;Reims;13;4;69;564;82;17;1;0;5;Philipp Köhn;Portero;Vanderson;Defensor;Wilfried Singo;Defensor;Mohamed Salisu Abdul Karim;Defensor;Kassoum Ouattara;Defensor;Takumi Minamino;Mediocampista;Lamine Camara;Mediocampista;Soungoutou Magassa;Mediocampista;Eliesse Ben Seghir;Mediocampista;Breel Embolo;Delantero;Lucas Michel;Delantero;0;1;1;0;1;0;1;0
2025-01-10;Mónaco;2;17;7;4;769;Nantes;15;7;69;618;88;14;0;0;11;Philipp Köhn;Portero;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Vanderson;Mediocampista;Lamine Camara;Mediocampista;Denis Zakaria;Mediocampista;Kassoum Ouattara;Mediocampista;Saïmon Bouabré;Mediocampista;Eliesse Ben Seghir;Mediocampista;Breel Embolo;Delantero;0;2;2;0;1;0;1;0
2025-01-05;Mónaco;-1;3;0;4;19;PSG;12;5;40;404;81;13;1;0;2;Philipp Köhn;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Caio Henrique;Defensor;Aleksandr Golovin;Mediocampista;Denis Zakaria;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Eliesse Ben Seghir;Mediocampista;George Ilenikhena;Delantero;0;0;0;0;0;1;1;0
2024-12-22;Mónaco;13;3;3;4;-1;L'Union Saint-Jean;27;12;69;662;87;17;2;0;9;Yann François Lienard;Portero;Jordan Teze;Defensor;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Caio Henrique;Defensor;Eliot Matazo;Mediocampista;Soungoutou Magassa;Mediocampista;Vanderson;Mediocampista;Takumi Minamino;Mediocampista;Eliesse Ben Seghir;Mediocampista;Breel Embolo;Delantero;2;2;4;1;0;0;1;0
2024-12-18;Mónaco;2;3;0;4;19;PSG;15;5;39;381;81;11;2;0;1;Philipp Köhn;Portero;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Vanderson;Defensor;Soungoutou Magassa;Mediocampista;Lamine Camara;Mediocampista;Maghnes Akliouche;Mediocampista;Eliesse Ben Seghir;Mediocampista;Aleksandr Golovin;Mediocampista;Breel Embolo;Delantero;0;2;2;0;0;1;0;1
2024-12-14;Mónaco;2;17;3;4;766;Reims;14;3;64;601;82;22;3;0;4;Philipp Köhn;Portero;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Christian Mawissa;Defensor;Jordan Teze;Mediocampista;Soungoutou Magassa;Mediocampista;Aleksandr Golovin;Mediocampista;Kassoum Ouattara;Mediocampista;Takumi Minamino;Mediocampista;Eliesse Ben Seghir;Mediocampista;George Ilenikhena;Delantero;0;0;0;0;1;0;1;0
2024-12-11;Mónaco;-1;3;0;4;9;Arsenal;7;2;45;438;85;7;1;0;1;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Caio Henrique;Defensor;Lamine Camara;Mediocampista;Soungoutou Magassa;Mediocampista;Maghnes Akliouche;Mediocampista;Aleksandr Golovin;Mediocampista;Eliesse Ben Seghir;Mediocampista;Breel Embolo;Delantero;0;0;0;0;0;1;1;0
2024-12-07;Mónaco;2;3;17;4;772;Toulouse;19;5;59;512;78;15;2;0;2;Radosław Majecki;Portero;Vanderson;Defensor;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Caio Henrique;Defensor;Eliot Matazo;Mediocampista;Lamine Camara;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Aleksandr Golovin;Mediocampista;George Ilenikhena;Delantero;0;2;2;1;0;0;0;1
2024-12-01;Mónaco;2;3;17;4;764;Marsella;7;4;36;377;75;16;1;0;3;Radosław Majecki;Portero;Vanderson;Defensor;Wilfried Singo;Defensor;Mohamed Salisu Abdul Karim;Defensor;Christian Mawissa;Defensor;Denis Zakaria;Mediocampista;Soungoutou Magassa;Mediocampista;Maghnes Akliouche;Mediocampista;Eliesse Ben Seghir;Mediocampista;Aleksandr Golovin;Mediocampista;Folarin Balogun;Delantero;1;0;1;0;0;1;1;0
2024-11-27;Mónaco;-1;3;0;4;13;Benfica;11;5;46;420;73;11;3;1;4;Radosław Majecki;Portero;Vanderson;Defensor;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Caio Henrique;Defensor;Lamine Camara;Mediocampista;Denis Zakaria;Mediocampista;Maghnes Akliouche;Mediocampista;Eliesse Ben Seghir;Mediocampista;Aleksandr Golovin;Mediocampista;Breel Embolo;Delantero;1;1;2;0;0;1;0;1
2024-11-22;Mónaco;2;3;0;4;5;Stade Brestois;10;4;52;496;79;7;2;0;2;Radosław Majecki;Portero;Vanderson;Defensor;Thilo Kehrer;Defensor;Mohamed Salisu Abdul Karim;Defensor;Christian Mawissa;Defensor;Denis Zakaria;Mediocampista;Soungoutou Magassa;Mediocampista;Maghnes Akliouche;Mediocampista;Eliesse Ben Seghir;Mediocampista;Aleksandr Golovin;Mediocampista;Breel Embolo;Delantero;2;1;3;1;0;0;0;1
2024-11-09;Mónaco;2;3;6;4;767;Racing de Estrasburgo;19;8;58;502;84;18;2;0;2;Radosław Majecki;Portero;Vanderson;Defensor;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Caio Henrique;Defensor;Soungoutou Magassa;Mediocampista;Lamine Camara;Mediocampista;Maghnes Akliouche;Mediocampista;Takumi Minamino;Mediocampista;Eliesse Ben Seghir;Mediocampista;Breel Embolo;Delantero;0;3;3;1;0;0;1;0
2024-11-05;Mónaco;-1;3;3;4;29;Bolonia;10;4;54;412;76;14;2;0;6;Radosław Majecki;Portero;Vanderson;Defensor;Wilfried Singo;Defensor;Thilo Kehrer;Defensor;Christian Mawissa;Defensor;Lamine Camara;Mediocampista;Soungoutou Magassa;Mediocampista;Maghnes Akliouche;Mediocampista;Eliesse Ben Seghir;Mediocampista;Aleksandr Golovin;Mediocampista;Breel Embolo;Delantero;0;1;1;1;0;0;1;0
