Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Jonas Omlin-Mönchengladbach;Joe Scally-Mönchengladbach;Ko Itakura-Mönchengladbach;Fabio Chiarodia-Mönchengladbach;Lukas Ullrich-Mönchengladbach;Rocco Reitz-Mönchengladbach;Julian Weigl-Mönchengladbach;Franck Honorat-Mönchengladbach;Kevin Stöger-Mönchengladbach;Robin Hack-Mönchengladbach;Tim Kleindienst-Mönchengladbach;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Tomáš Čvančara-Mönchengladbach;Alassane Pléa-Mönchengladbach;Nico Elvedi-Mönchengladbach;Tiago Pereira Cardoso-Mönchengladbach;Luca Netz-Mönchengladbach;Florian Neuhaus-Mönchengladbach;Philipp Sander-Mönchengladbach;Nathan N'Goumou-Mönchengladbach;Stefan Lainer-Mönchengladbach;Marvin Friedrich-Mönchengladbach;Moritz Nicolas-Mönchengladbach;Manu Koné-Mönchengladbach;Jordan Siebatcheu-Mönchengladbach;Maximilian Wöber-Mönchengladbach;Christoph Kramer-Mönchengladbach;Ramy Bensebaini-Mönchengladbach;Jonas Hofmann-Mönchengladbach;Lars Stindl-Mönchengladbach;Marcus Thuram-Mönchengladbach;Jan Olschowsky-Mönchengladbach;Hannes Wolf-Mönchengladbach;Tobias Sippel-Mönchengladbach;Tony Jantschke-Mönchengladbach;Yann Sommer-Mönchengladbach
2025-05-03;Mönchengladbach;9;3;17;172;97;Hoffenheim;0;0;12;26;7;8;0.44;0.56;383;0.76;6;8;0;0;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.02153846153846154;0.0;291;0.020618556701030927;661.3636363636364;0.3333333333333333;9.090909090909092;-14;-0.12000000000000005;-3;0;-2;0.031331592689295036;0.3333333333333333;0.11;1.0;2;2;4;0;1;0;0;1;0.3333333333333333;0.5714285714285714;0.010443864229765013;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Mönchengladbach;9;3;29;172;177;KSV Holstein;1;2;16;22;7;11;0.63;0.37;436;0.85;11;13;1;2;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.01681818181818182;0.09090909090909091;371;0.029649595687331536;588.8888888888889;0.5;12.698412698412698;-6;0.26;1;-1;-2;0.03669724770642202;0.1875;0.21;2.6666666666666665;0;3;3;0;0;1;1;0;0.1875;0.42857142857142855;0.006880733944954129;5.333333333333333;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Mönchengladbach;9;3;17;172;11;Dortmund;2;1;6;14;3;6;0.4;0.6;373;0.74;10;13;2;1;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;6;0.04285714285714286;0.2;276;0.036231884057971016;690.0;0.3333333333333333;5.0;-8;-0.19999999999999996;-4;1;-3;0.0160857908847185;0.3333333333333333;0.2;1.0;1;1;2;0;0;1;1;0;0.3333333333333333;0.6666666666666666;0.005361930294906166;3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Mönchengladbach;9;3;3;172;170;Friburgo;0;1;10;19;1;7;0.41;0.59;377;0.77;4;11;0;1;0;0;4;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;6;0.031052631578947366;0.0;290;0.013793103448275862;707.3170731707318;0.4;9.75609756097561;-9;-0.18;-2;-1;-7;0.026525198938992044;0.1;0.41;4.0;1;0;1;0;0;1;0;1;0.1;1.0;0.002652519893899204;10.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Mönchengladbach;9;3;29;172;176;St. Pauli;2;0;5;26;3;9;0.36;0.64;322;0.75;13;6;2;0;0;0;2;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;11;0.024615384615384615;0.15384615384615385;242;0.05371900826446281;672.2222222222223;0.4;5.555555555555555;-21;-0.28;-9;2;7;0.015527950310559006;0.2;0.36;2.0;1;0;1;0;1;0;1;0;0.2;0.3333333333333333;0.003105590062111801;5.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Mönchengladbach;9;3;2;172;31;RB Leipzig;2;2;16;19;3;3;0.39;0.61;356;0.7;5;9;2;2;0;0;5;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;8;0.032105263157894734;0.4;249;0.020080321285140562;638.4615384615385;0.3125;12.82051282051282;-3;-0.21999999999999997;-3;0;-4;0.0449438202247191;0.0625;0.39;5.0;0;1;1;1;0;0;0;1;0.0625;0.3333333333333333;0.0028089887640449437;16.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Mönchengladbach;9;3;2;172;171;Werder Bremen;1;1;13;23;7;2;0.47;0.53;441;0.81;7;10;0;1;1;0;1;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;4;0.023043478260869565;0.14285714285714285;357;0.0196078431372549;759.5744680851064;0.07692307692307693;2.127659574468085;-10;-0.06000000000000005;-3;0;-3;0.02947845804988662;0.3076923076923077;0.1175;0.25;2;2;4;1;0;0;1;0;0.3076923076923077;0.5714285714285714;0.009070294784580499;3.25;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-07;Mönchengladbach;9;3;17;172;174;Mainz 05;0;1;12;15;4;7;0.58;0.42;605;0.83;6;6;0;1;0;0;4;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;3;0.028;0.0;502;0.01195219123505976;865.5172413793103;0.3333333333333333;6.8965517241379315;-3;0.15999999999999998;1;-1;0;0.019834710743801654;0.08333333333333333;0.58;4.0;0;1;1;0;0;1;0;1;0.08333333333333333;0.25;0.001652892561983471;12.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Mönchengladbach;9;3;17;172;142;Heidenheim;3;2;13;20;5;5;0.56;0.44;502;0.88;15;9;3;2;0;0;2;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;6;0.022;0.2;442;0.033936651583710405;789.2857142857142;0.15384615384615385;3.571428571428571;-7;0.12000000000000005;-4;1;6;0.025896414342629483;0.23076923076923078;0.18666666666666668;0.6666666666666666;2;1;3;1;0;0;1;0;0.23076923076923078;0.6;0.00597609561752988;4.333333333333333;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Mönchengladbach;9;3;17;172;173;Augsburgo;4;2;8;17;5;4;0.49;0.51;514;0.87;10;9;3;2;1;0;2;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;4;0.03;0.4;447;0.02237136465324385;912.2448979591837;0.25;4.081632653061225;-9;-0.020000000000000018;-2;2;1;0.01556420233463035;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
