Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Anthony Lopes-Nantes;Kelvin Amian Adou-Nantes;Jean-Charles Castelletto-Nantes;Nathan Zeze-Nantes;Sorba Thomas-Nantes;Douglas Augusto Soares Gomes-Nantes;Louis Leroux-Nantes;Nicolas Cozza-Nantes;Matthis Abline-Nantes;Mostafa Mohamed-Nantes;Moses Simon-Nantes;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Saïdou Sow-Nantes;Nicolas Pallois-Nantes;Elia Meschack-Nantes;Johann Lepenant-Nantes;Pedro Chirivella-Nantes;Marcus Coco-Nantes;Francis Coquelin-Nantes;Herba Guirassy-Nantes;Florent Mollet-Nantes;Patrik Carlgren-Nantes;Jean-Kévin Duverne-Nantes;Ignatius Ganago-Nantes;Fabien Centonze-Nantes;Alban Lafont-Nantes;Tino Kadewere-Nantes;Jean-Philippe Gbamin-Nantes;Eray Cömert-Nantes;Samuel Moutoussamy-Nantes;Moussa Sissoko-Nantes;Bénie Traoré-Nantes;Rémy Descamps-Nantes;Quentin Merlin-Nantes;Ronaël Pierre-Gabriel-Nantes;Adson-Nantes;Marquinhos-Nantes;Bastien Meupiyou-Nantes;Kader Bamba-Nantes;João Victor-Nantes;Andrei Girotto-Nantes;Charles Traoré-Nantes;Ludovic Blas-Nantes;Andy Delort-Nantes;Evann Guessand-Nantes;Jaouen Hadjam-Nantes;Sébastien Corchia-Nantes;Lohann Doucet-Nantes;Fábio da Silva-Nantes;Dennis Appiah-Nantes
2025-04-18;Nantes;2;6;2;769;768;Rennes;6;3;4;19;1;5;0.34;0.66;292;0.8;13;24;5;3;1;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10;0.034736842105263156;0.46153846153846156;234;0.05555555555555555;688.235294117647;0.5;5.88235294117647;-15;-0.32;-8;3;-11;0.0136986301369863;0.25;0.34;2.0;0;1;1;0;0;1;1;0;0.25;1.0;0.003424657534246575;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-04;Nantes;2;6;17;769;109;Niza;1;1;8;21;4;9;0.23;0.77;220;0.6;14;9;1;1;0;0;2;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;11;0.03666666666666667;0.07142857142857142;132;0.10606060606060606;573.9130434782609;0.25;8.695652173913043;-13;-0.54;-9;0;5;0.03636363636363636;0.25;0.115;1.0;2;0;2;1;0;0;1;0;0.25;0.5;0.00909090909090909;4.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Nantes;2;0;3;769;774;Le Havre;2;1;7;16;2;5;0.47;0.53;366;0.83;9;16;2;1;0;0;4;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;3;0.033125;0.2222222222222222;304;0.029605263157894735;646.8085106382979;0.5714285714285714;8.51063829787234;-9;-0.06000000000000005;1;1;-7;0.01912568306010929;0.2857142857142857;0.235;2.0;1;1;2;0;0;1;1;0;0.2857142857142857;1.0;0.00546448087431694;3.5;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Nantes;2;0;3;769;15;LOSC;3;3;10;13;3;4;0.32;0.68;297;0.8;9;15;2;3;1;0;3;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;5;0.05230769230769231;0.3333333333333333;238;0.037815126050420166;743.75;0.3;9.375;-3;-0.36000000000000004;-2;0;-6;0.03367003367003367;0.1;0.32;3.0;0;1;1;1;0;0;0;1;0.1;0.3333333333333333;0.003367003367003367;10.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Nantes;2;4;17;769;767;Racing de Estrasburgo;1;1;11;9;2;1;0.39;0.61;353;0.82;12;17;1;1;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;9;0.06777777777777777;0.08333333333333333;289;0.04152249134948097;741.025641025641;0.2727272727272727;7.692307692307692;2;-0.21999999999999997;-6;0;-5;0.031161473087818695;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Nantes;2;9;17;769;764;Marsella;2;1;8;21;2;5;0.25;0.75;259;0.73;15;14;2;1;0;0;2;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;3;0.03571428571428571;0.13333333333333333;189;0.07936507936507936;756.0;0.25;8.0;-13;-0.5;-1;1;1;0.03088803088803089;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Nantes;2;0;3;769;765;Lens;2;5;17;14;8;4;0.35;0.65;325;0.8;13;18;2;4;0;1;2;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;11;0.04642857142857143;0.15384615384615385;260;0.05;742.8571428571429;0.11764705882352941;5.714285714285714;3;-0.30000000000000004;-9;-3;-5;0.052307692307692305;0.17647058823529413;0.11666666666666665;0.6666666666666666;1;2;3;1;0;0;0;1;0.17647058823529413;0.375;0.009230769230769232;5.666666666666667;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Nantes;2;4;3;769;4;Mónaco;2;1;6;22;2;11;0.35;0.65;336;0.77;9;18;1;1;1;0;1;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;9;0.029545454545454545;0.2222222222222222;259;0.03474903474903475;740.0;0.16666666666666666;2.857142857142857;-16;-0.30000000000000004;-8;1;-9;0.017857142857142856;0.16666666666666666;0.35;1.0;1;0;1;0;0;1;1;0;0.16666666666666666;0.5;0.002976190476190476;6.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-07;Nantes;2;0;0;769;5;Stade Brestois;3;2;15;10;2;6;0.59;0.41;471;0.84;15;13;3;2;0;0;12;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.040999999999999995;0.2;396;0.03787878787878788;671.1864406779662;0.8;20.33898305084746;5;0.18;8;1;2;0.03184713375796178;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Nantes;2;0;3;769;766;Reims;3;4;11;13;6;2;0.45;0.55;384;0.81;10;14;3;3;0;1;3;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;9;0.04230769230769231;0.3;311;0.03215434083601286;691.1111111111111;0.2727272727272727;6.666666666666666;-2;-0.10000000000000003;-6;-1;-4;0.028645833333333332;0.18181818181818182;0.225;1.5;1;1;2;1;0;0;1;0;0.18181818181818182;0.3333333333333333;0.005208333333333333;5.5;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
