Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Nick Pope-Newcastle;Kieran Trippier-Newcastle;Fabian Schär-Newcastle;Dan Burn-Newcastle;Tino Livramento-Newcastle;Bruno Guimarães-Newcastle;Sandro Tonali-Newcastle;Joelinton-Newcastle;Jacob Murphy-Newcastle;Alexander Isak-Newcastle;Harvey Barnes-Newcastle;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Martin Dúbravka-Newcastle;Lewis Miley-Newcastle;Anthony Gordon-Newcastle;Lewis Hall-Newcastle;Joe Willock-Newcastle;Callum Wilson-Newcastle;Emil Krafth-Newcastle;Matt Targett-Newcastle;Sean Longstaff-Newcastle;William Osula-Newcastle;Sven Botman-Newcastle;Lloyd Kelly-Newcastle;Miguel Almirón-Newcastle;Jamal Lewis-Newcastle;Alfie Harrison-Newcastle;Jamie Miley-Newcastle;Elliot Anderson-Newcastle;Jamaal Lascelles-Newcastle;Loris Karius-Newcastle;Paul Dummett-Newcastle;Matt Ritchie-Newcastle;Harrison Ashby-Newcastle;Allan Saint-Maximin-Newcastle
2025-04-19;Newcastle;3;0;3;60;1;Aston Villa;3;1;10;23;3;9;0.52;0.48;430;0.85;12;9;3;1;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.020869565217391303;0.25;366;0.03278688524590164;703.8461538461538;0.7;13.461538461538462;-13;0.040000000000000036;0;2;3;0.023255813953488372;0.1;0.52;7.0;1;0;1;0;0;1;1;0;0.1;0.3333333333333333;0.002325581395348837;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Newcastle;3;0;17;60;65;Crystal Palace;2;3;14;11;7;4;0.6;0.4;536;0.84;9;15;2;3;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.03636363636363637;0.2222222222222222;450;0.02;750.0;0.35714285714285715;8.333333333333334;3;0.19999999999999996;1;-1;-6;0.026119402985074626;0.35714285714285715;0.12;1.0;4;1;5;1;0;0;0;1;0.35714285714285715;0.7142857142857143;0.009328358208955223;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Newcastle;3;0;17;60;62;Manchester United;0;2;13;9;6;5;0.48;0.52;420;0.8;7;9;0;2;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.05777777777777778;0.0;336;0.020833333333333332;700.0;0.5384615384615384;14.583333333333334;4;-0.040000000000000036;5;-2;-2;0.030952380952380953;0.3076923076923077;0.12;1.75;1;3;4;1;0;0;0;1;0.3076923076923077;0.6666666666666666;0.009523809523809525;3.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-07;Newcastle;3;0;17;60;63;Leicester City;0;2;16;7;5;2;0.42;0.58;413;0.8;9;8;0;2;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;12;0.08285714285714285;0.0;330;0.02727272727272727;785.7142857142858;0.125;4.761904761904762;9;-0.15999999999999998;-10;-2;1;0.0387409200968523;0.1875;0.13999999999999999;0.6666666666666666;3;0;3;1;0;0;1;0;0.1875;0.6;0.007263922518159807;5.333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Newcastle;3;0;3;60;57;Brentford;1;1;21;12;4;3;0.48;0.52;402;0.75;12;12;1;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.043333333333333335;0.08333333333333333;302;0.039735099337748346;629.1666666666667;0.19047619047619047;8.333333333333334;9;-0.040000000000000036;-1;0;0;0.05223880597014925;0.09523809523809523;0.24;2.0;1;1;2;1;0;0;0;1;0.09523809523809523;0.5;0.004975124378109453;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Newcastle;14;0;3;60;2;Liverpool;2;1;17;7;6;2;0.34;0.66;228;0.63;10;14;2;1;0;0;9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.09428571428571429;0.2;144;0.06944444444444445;423.52941176470586;0.5294117647058824;26.470588235294116;10;-0.32;5;1;-4;0.07456140350877193;0.11764705882352941;0.17;4.5;1;1;2;1;0;0;1;0;0.11764705882352941;0.3333333333333333;0.008771929824561403;8.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-10;Newcastle;3;0;2;60;61;West Ham;1;0;9;9;3;2;0.48;0.52;433;0.81;15;7;1;0;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.05777777777777778;0.06666666666666667;351;0.042735042735042736;731.25;0.4444444444444444;8.333333333333334;0;-0.040000000000000036;1;1;8;0.020785219399538105;0.1111111111111111;0.48;4.0;0;1;1;1;0;0;1;0;0.1111111111111111;0.3333333333333333;0.0023094688221709007;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Newcastle;15;0;3;60;54;Brighton;2;4;15;21;5;5;0.47;0.53;534;0.82;13;17;1;3;1;1;6;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;5;0.02523809523809524;0.15384615384615385;438;0.02968036529680365;931.9148936170213;0.4;12.765957446808512;-6;-0.06000000000000005;1;-2;-4;0.028089887640449437;0.06666666666666667;0.47;6.0;1;0;1;0;0;1;0;1;0.06666666666666667;0.2;0.0018726591760299626;15.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Newcastle;3;3;3;60;2;Liverpool;1;0;3;12;0;3;0.38;0.62;366;0.84;11;12;1;0;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;4;0.051666666666666666;0.09090909090909091;307;0.035830618892508145;807.8947368421052;0.6666666666666666;5.2631578947368425;-9;-0.24;-2;1;-1;0.00819672131147541;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Newcastle;3;0;3;60;55;Nottingham Forest;1;4;13;17;5;5;0.58;0.42;463;0.81;11;13;1;4;0;0;7;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;6;0.024705882352941175;0.09090909090909091;375;0.029333333333333333;646.551724137931;0.5384615384615384;12.06896551724138;-4;0.15999999999999998;1;-3;-2;0.028077753779697623;0.3076923076923077;0.145;1.75;4;0;4;1;0;0;0;1;0.3076923076923077;0.8;0.008639308855291577;3.25;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Newcastle;3;0;3;60;3;Manchester City;1;0;3;11;1;7;0.38;0.62;353;0.82;13;5;1;0;0;0;4;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;7;0.056363636363636366;0.07692307692307693;289;0.04498269896193772;760.5263157894736;1.3333333333333333;10.526315789473685;-8;-0.24;-3;1;8;0.0084985835694051;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Newcastle;15;0;3;60;243;Birmingham City;3;4;16;11;9;6;0.63;0.37;461;0.82;11;12;3;4;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;3;0.03363636363636364;0.2727272727272727;378;0.0291005291005291;600.0;0.1875;4.761904761904762;5;0.26;0;-1;-1;0.03470715835140998;0.1875;0.21;1.0;2;1;3;1;0;0;1;0;0.1875;0.3333333333333333;0.006507592190889371;5.333333333333333;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-05;Newcastle;14;9;0;60;9;Arsenal;2;3;10;11;3;3;0.31;0.69;203;0.63;12;12;2;3;0;0;1;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;13;0.06272727272727273;0.16666666666666666;128;0.09375;412.90322580645164;0.1;3.2258064516129035;-1;-0.37999999999999995;-12;-1;0;0.04926108374384237;0.2;0.155;0.5;1;1;2;1;0;0;0;1;0.2;0.6666666666666666;0.009852216748768473;5.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Newcastle;3;0;3;60;58;Fulham;4;4;11;15;4;4;0.47;0.53;403;0.82;10;15;4;4;0;0;3;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;7;0.035333333333333335;0.4;330;0.030303030303030304;702.1276595744681;0.2727272727272727;6.382978723404256;-4;-0.06000000000000005;-4;0;-5;0.02729528535980149;0.09090909090909091;0.47;3.0;1;0;1;0;0;1;0;1;0.09090909090909091;0.25;0.0024813895781637717;11.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Newcastle;3;0;29;60;68;Southampton;0;1;17;12;9;5;0.47;0.53;428;0.83;5;10;0;1;0;0;8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.04416666666666667;0.0;355;0.014084507042253521;755.3191489361702;0.47058823529411764;17.02127659574468;5;-0.06000000000000005;5;-1;-5;0.0397196261682243;0.17647058823529413;0.15666666666666665;2.6666666666666665;2;1;3;1;0;0;1;0;0.17647058823529413;0.3333333333333333;0.007009345794392523;5.666666666666667;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Newcastle;3;0;3;60;59;Bournemouth;1;6;13;19;5;10;0.56;0.44;395;0.78;7;18;1;6;0;0;7;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;6;0.023157894736842106;0.14285714285714285;308;0.022727272727272728;550.0;0.5384615384615384;12.499999999999998;-6;0.12000000000000005;1;-5;-11;0.03291139240506329;0.07692307692307693;0.56;7.0;1;0;1;0;0;1;0;1;0.07692307692307693;0.2;0.002531645569620253;13.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Newcastle;3;0;17;60;67;Wolves;0;2;17;13;5;7;0.61;0.39;584;0.86;10;13;0;2;0;0;4;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.030000000000000002;0.0;502;0.0199203187250996;822.9508196721312;0.23529411764705882;6.557377049180328;4;0.21999999999999997;2;-2;-3;0.02910958904109589;0.17647058823529413;0.20333333333333334;1.3333333333333333;1;2;3;1;0;0;0;1;0.17647058823529413;0.6;0.005136986301369863;5.666666666666667;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Newcastle;15;0;17;60;-1;Bromley;0;0;17;3;3;1;0.82;0.18;781;0.91;7;6;0;0;0;0;7;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1;0.06;0.0;711;0.009845288326300985;867.0731707317074;0.4117647058823529;8.536585365853659;14;0.6399999999999999;6;0;1;0.02176696542893726;0.17647058823529413;0.2733333333333333;2.3333333333333335;1;2;3;1;0;0;0;1;0.17647058823529413;1.0;0.0038412291933418692;5.666666666666667;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-07;Newcastle;14;0;0;60;9;Arsenal;3;1;7;23;4;3;0.3;0.7;258;0.73;12;6;3;1;0;0;1;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;11;0.03043478260869565;0.25;188;0.06382978723404255;626.6666666666667;0.14285714285714285;3.3333333333333335;-16;-0.39999999999999997;-10;2;6;0.027131782945736434;0.2857142857142857;0.15;0.5;1;1;2;1;0;0;1;0;0.2857142857142857;0.5;0.007751937984496124;3.5;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Newcastle;3;0;3;60;56;Tottenham;4;1;14;13;4;4;0.43;0.57;359;0.79;15;11;4;1;0;0;10;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9;0.04384615384615384;0.26666666666666666;284;0.0528169014084507;660.4651162790698;0.7142857142857143;23.25581395348837;1;-0.13999999999999996;1;3;4;0.03899721448467967;0.14285714285714285;0.215;5.0;2;0;2;1;0;0;1;0;0.14285714285714285;0.5;0.005571030640668524;7.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
