Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marcin Bułka-Niza;Mohamed Abdelmonem-Niza;Youssouf Ndayishimiye-Niza;Melvin Bard-Niza;Jonathan Clauss-Niza;Hicham Boudaoui-Niza;Pablo Rosario-Niza;Morgan Sanson-Niza;Ali Abdi-Niza;Badredine Bouanani-Niza;Gaëtan Laborde-Niza;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jérémie Boga-Niza;Moïse Bombito-Niza;Dante Bonfim-Niza;Baptiste Santamaria-Niza;Evann Guessand-Niza;Momo Cho-Niza;Tom Louchet-Niza;Sofiane Diop-Niza;Maxime Dupé-Niza;Antoine Mendy-Niza;Yaël Nandjou-Niza;Issiaga Camara-Niza;Farès Bousnina-Niza;Youssoufa Moukoko-Niza;Tanguy Ndombélé-Niza;Billal Brahimi-Niza;Jean-Clair Todibo-Niza;Khéphren Thuram-Niza;Alexis Claude-Maurice-Niza;Jordan Lotomba-Niza;Terem Moffi-Niza;Romain Perraud-Niza;Ayoub Amraoui-Niza;Reda Belahyane-Niza;Youcef Atal-Niza;Kasper Schmeichel-Niza;Alexis Beka Beka-Niza;Ross Barkley-Niza;Aaron Ramsey-Niza;Nicolas Pépé-Niza;Mario Lemina-Niza;Joe Bryan-Niza
2025-04-25;Niza;2;2;0;109;19;PSG;1;3;7;32;3;13;0.24;0.76;249;0.76;11;9;1;3;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;17;0.02375;0.09090909090909091;189;0.0582010582010582;787.5;0.0;0.0;-25;-0.52;-17;-2;2;0.028112449799196786;0.42857142857142855;0.08;0.0;1;2;3;1;0;0;1;0;0.42857142857142855;1.0;0.012048192771084338;2.3333333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Niza;2;17;4;109;771;Angers;1;1;22;6;8;3;0.54;0.46;539;0.89;10;8;1;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;2;0.07666666666666667;0.1;480;0.020833333333333332;888.8888888888888;0.18181818181818182;7.4074074074074066;16;0.08000000000000002;2;0;2;0.04081632653061224;0.09090909090909091;0.27;2.0;1;1;2;1;0;0;0;1;0.09090909090909091;0.25;0.0037105751391465678;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Niza;2;17;17;109;767;Racing de Estrasburgo;2;1;23;11;6;4;0.53;0.47;522;0.85;8;5;2;1;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2;0.042727272727272725;0.25;444;0.018018018018018018;837.7358490566037;0.391304347826087;16.9811320754717;12;0.06000000000000005;7;1;3;0.044061302681992334;0.08695652173913043;0.265;4.5;1;1;2;0;1;0;1;0;0.08695652173913043;0.3333333333333333;0.0038314176245210726;11.5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-04;Niza;2;17;6;109;769;Nantes;1;1;21;8;9;4;0.77;0.23;669;0.87;9;14;1;1;0;0;11;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.02875;0.1111111111111111;582;0.015463917525773196;755.8441558441558;0.5238095238095238;14.285714285714285;13;0.54;9;0;-5;0.03139013452914798;0.047619047619047616;0.77;11.0;1;0;1;0;0;1;0;1;0.047619047619047616;0.1111111111111111;0.0014947683109118087;21.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Niza;2;6;1;109;4;Mónaco;5;3;9;17;4;6;0.42;0.58;321;0.81;14;17;4;3;1;0;4;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;7;0.03411764705882353;0.35714285714285715;260;0.05384615384615385;619.047619047619;0.4444444444444444;9.523809523809524;-8;-0.15999999999999998;-3;2;-3;0.028037383177570093;0.1111111111111111;0.42;4.0;1;0;1;0;0;1;1;0;0.1111111111111111;0.25;0.003115264797507788;9.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-14;Niza;2;6;9;109;770;Auxerre;2;3;20;10;6;4;0.52;0.48;436;0.83;14;18;1;3;1;0;7;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3;0.048;0.14285714285714285;362;0.03867403314917127;696.1538461538461;0.35;13.461538461538462;10;0.040000000000000036;4;-1;-4;0.045871559633027525;0.05;0.52;7.0;1;0;1;0;1;0;0;1;0.05;0.16666666666666666;0.0022935779816513763;20.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Niza;2;17;3;109;90;Lyon;1;2;18;8;4;5;0.37;0.63;387;0.82;12;11;1;2;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2;0.07875;0.08333333333333333;317;0.03785488958990536;856.7567567567568;0.5;24.324324324324326;10;-0.26;7;-1;1;0.046511627906976744;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Niza;2;17;3;109;773;Saint-Étienne;1;2;16;12;9;3;0.37;0.63;404;0.81;11;10;1;2;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;3;0.0525;0.09090909090909091;327;0.03363914373088685;883.7837837837837;0.25;10.81081081081081;4;-0.26;1;-1;1;0.039603960396039604;0.1875;0.12333333333333334;1.3333333333333333;1;2;3;1;0;0;1;0;0.1875;0.3333333333333333;0.007425742574257425;5.333333333333333;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Niza;2;17;4;109;775;Montpellier;1;1;16;13;6;1;0.57;0.43;497;0.84;17;15;1;1;0;0;8;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;5;0.03307692307692307;0.058823529411764705;417;0.0407673860911271;731.5789473684212;0.5;14.035087719298247;3;0.13999999999999996;3;0;2;0.03219315895372234;0.125;0.285;4.0;1;1;2;1;0;0;0;1;0.125;0.3333333333333333;0.004024144869215292;8.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Niza;2;17;7;109;774;Le Havre;1;2;9;14;3;4;0.51;0.49;470;0.87;16;14;0;2;1;0;2;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;6;0.034999999999999996;0.0625;409;0.039119804400977995;801.9607843137255;0.2222222222222222;3.9215686274509802;-5;0.020000000000000018;-4;-1;2;0.019148936170212766;0.3333333333333333;0.17;0.6666666666666666;2;1;3;1;0;0;1;0;0.3333333333333333;1.0;0.006382978723404255;3.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
