Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Matz Sels-Nottingham Forest;Neco Williams-Nottingham Forest;Nikola Milenković-Nottingham Forest;Murillo Santiago Costa dos Santos-Nottingham Forest;Alexandre Moreno Lopera-Nottingham Forest;Nicolás Domínguez-Nottingham Forest;Elliot Anderson-Nottingham Forest;Jota Silva-Nottingham Forest;Morgan Gibbs-White-Nottingham Forest;Callum Hudson-Odoi-Nottingham Forest;Chris Wood-Nottingham Forest;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Morato-Nottingham Forest;Ryan Yates-Nottingham Forest;Anthony Elanga-Nottingham Forest;Ola Aina-Nottingham Forest;Danilo dos Santos de Oliveira-Nottingham Forest;Taiwo Awoniyi-Nottingham Forest;Ibrahim Sangaré-Nottingham Forest;Ramón Sosa-Nottingham Forest;James Ward-Prowse-Nottingham Forest;Willy Boly-Nottingham Forest;Gonzalo Montiel-Nottingham Forest;Harry Toffolo-Nottingham Forest;Moussa Niakhaté-Nottingham Forest;Giovanni Reyna-Nottingham Forest;Andrew Omobamidele-Nottingham Forest;Felipe Augusto-Nottingham Forest;Divock Origi-Nottingham Forest;Nuno Tavares-Nottingham Forest;Matt Turner-Nottingham Forest;Orel Mangala-Nottingham Forest;Odisseas Vlachodimos-Nottingham Forest;Joe Worrall-Nottingham Forest;Cheikhou Kouyaté-Nottingham Forest;Serge Aurier-Nottingham Forest;Scott McKenna-Nottingham Forest;Andrey Santos-Nottingham Forest;Brennan Johnson-Nottingham Forest;Ethan Horvath-Nottingham Forest;Wayne Hennessey-Nottingham Forest;Renan Lodi-Nottingham Forest;Keylor Navas-Nottingham Forest;Remo Freuler-Nottingham Forest;Jonjo Shelvey-Nottingham Forest;Emmanuel Dennis-Nottingham Forest;André Ayew-Nottingham Forest;Jesse Lingard-Nottingham Forest;Jack Colback-Nottingham Forest;Gustavo Scarpa-Nottingham Forest;Sam Surridge-Nottingham Forest;Dean Henderson-Nottingham Forest;Steve Cook-Nottingham Forest;Billy Fewster-Nottingham Forest;Lewis O'Brien-Nottingham Forest;Zach Abbott-Nottingham Forest
2025-05-05;Nottingham Forest;3;3;17;55;65;Crystal Palace;8;3;12;20;4;3;0.51;0.49;410;0.82;15;9;8;3;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;7;0.0245;0.5333333333333333;336;0.0446428571428571;658.8235294117646;0.3333333333333333;7.84313725490196;-8;0.02;-3;5;6;0.0292682926829268;0.0833333333333333;0.51;4.0;0;1;1;0;1;0;1;0;0.0833333333333333;0.25;0.0024390243902439;12.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01;Nottingham Forest;3;3;3;55;57;Brentford;3;5;14;11;5;3;0.55;0.45;381;0.8;10;12;3;5;0;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;5;0.0409090909090909;0.3;305;0.0327868852459016;554.5454545454545;0.2857142857142857;7.272727272727272;3;0.1;-1;-2;-2;0.0367454068241469;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Nottingham Forest;15;1;13;55;3;Manchester City;2;3;8;14;1;6;0.33;0.67;303;0.8;10;8;2;3;0;0;2;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;6;0.0478571428571428;0.2;242;0.0413223140495867;733.3333333333333;0.25;6.0606060606060606;-6;-0.34;-4;-1;2;0.0264026402640264;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2025-04-21;Nottingham Forest;3;13;0;55;56;Tottenham;4;1;4;22;3;6;0.3;0.7;243;0.67;12;11;4;1;0;0;1;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;7;0.0318181818181818;0.3333333333333333;163;0.0736196319018405;543.3333333333334;0.25;3.333333333333333;-18;-0.3999999999999999;-6;3;1;0.0164609053497942;0.5;0.15;0.5;2;0;2;1;0;0;1;0;0.5;0.6666666666666666;0.0082304526748971;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Nottingham Forest;3;3;3;55;64;Everton;0;3;10;13;5;5;0.42;0.58;333;0.74;9;13;0;3;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.0446153846153846;0.0;246;0.0365853658536585;585.7142857142858;0.1;2.380952380952381;-3;-0.1599999999999999;-6;-3;-4;0.03003003003003;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Nottingham Forest;3;29;3;55;1;Aston Villa;2;2;19;17;3;8;0.47;0.53;389;0.84;15;7;2;2;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;4;0.0311764705882352;0.1333333333333333;327;0.0458715596330275;695.7446808510639;0.2105263157894736;8.51063829787234;2;-0.06;0;0;8;0.0488431876606683;0.0526315789473684;0.47;4.0;0;1;1;0;0;1;1;0;0.0526315789473684;0.3333333333333333;0.0025706940874035;19.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Nottingham Forest;3;3;17;55;62;Manchester United;1;3;8;23;2;6;0.31;0.69;310;0.73;5;12;1;3;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;10;0.03;0.2;226;0.0221238938053097;729.0322580645161;0.375;9.67741935483871;-15;-0.3799999999999999;-7;-2;-7;0.0258064516129032;0.125;0.31;3.0;1;0;1;1;0;0;0;1;0.125;0.5;0.0032258064516129;8.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Nottingham Forest;15;3;3;55;54;Brighton;4;2;13;13;5;2;0.47;0.53;504;0.74;10;19;4;2;0;0;7;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;6;0.0407692307692307;0.4;373;0.0268096514745308;793.6170212765958;0.5384615384615384;14.893617021276595;0;-0.06;1;2;-9;0.0257936507936507;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Nottingham Forest;3;3;3;55;66;Ipswich;1;1;11;11;6;4;0.44;0.56;356;0.78;13;4;1;1;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;6;0.0509090909090909;0.0769230769230769;278;0.0467625899280575;631.8181818181819;0.2727272727272727;6.818181818181818;0;-0.12;-3;0;9;0.0308988764044943;0.3636363636363636;0.11;0.75;3;1;4;1;0;0;1;0;0.3636363636363636;0.6666666666666666;0.0112359550561797;2.75;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Nottingham Forest;3;3;7;55;3;Manchester City;3;2;9;14;4;3;0.3;0.7;261;0.79;9;7;3;2;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;2;0.0499999999999999;0.3333333333333333;206;0.0436893203883495;686.6666666666667;0.3333333333333333;10.0;-5;-0.3999999999999999;1;1;2;0.0344827586206896;0.1111111111111111;0.3;3.0;0;1;1;1;0;0;0;1;0.1111111111111111;0.25;0.003831417624521;9.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
