Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Sergio Herrera Pirón-Osasuna;Jesús Areso-Osasuna;Enzo Boyomo-Osasuna;Alejandro Catena Marugán-Osasuna;Jorge Herrando-Osasuna;Abel Bretones-Osasuna;Jon Moncayola-Osasuna;Lucas Torró-Osasuna;Aimar Oroz-Osasuna;Ante Budimir-Osasuna;Rubén García Santos-Osasuna;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Aitor Fernández Abarisketa-Osasuna;Juan Cruz Álvaro Armada-Osasuna;Pablo Ibáñez Lumbreras-Osasuna;Iker Muñoz-Osasuna;José Arnaiz-Osasuna;Raúl García de Haro-Osasuna;Bryan Zaragoza-Osasuna;Rubén Peña Jiménez-Osasuna;Moi Gómez-Osasuna;Kike Barja-Osasuna;Nacho Vidal Miralles-Osasuna;Unai García-Osasuna;Iker Benito-Osasuna;Johan Mojica-Osasuna;David García-Osasuna;Darko Brašanac-Osasuna;Ezequiel Ávila-Osasuna;Aridane Hernández-Osasuna;Manuel Sánchez de la Peña-Osasuna;Abde Ezzalzouli-Osasuna;Diego Moreno Garbayo-Osasuna;Kike García-Osasuna;Roberto Torres Morales-Osasuna
2025-04-20;Osasuna;1;4;7;41;51;Valladolid;1;1;11;12;6;5;0.49;0.51;508;0.85;17;12;1;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5;0.0425;0.058823529411764705;432;0.03935185185185185;881.6326530612245;0.18181818181818182;4.081632653061225;-1;-0.020000000000000018;-3;0;5;0.021653543307086614;0.2727272727272727;0.16333333333333333;0.6666666666666666;2;1;3;1;0;0;1;0;0.2727272727272727;0.5;0.005905511811023622;3.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Osasuna;1;4;3;41;24;Girona;2;1;13;18;6;8;0.31;0.69;254;0.78;17;15;2;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.03833333333333333;0.11764705882352941;198;0.08585858585858586;638.7096774193549;0.3076923076923077;12.903225806451614;-5;-0.37999999999999995;0;1;2;0.051181102362204724;0.15384615384615385;0.155;2.0;1;1;2;1;0;0;0;1;0.15384615384615385;0.3333333333333333;0.007874015748031496;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-07;Osasuna;1;4;29;41;47;Leganés;3;3;13;13;6;7;0.44;0.56;323;0.75;14;18;3;3;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.04307692307692308;0.21428571428571427;242;0.05785123966942149;550.0;0.6153846153846154;18.181818181818183;0;-0.12000000000000005;4;0;-4;0.04024767801857585;0.07692307692307693;0.44;8.0;0;1;1;0;1;0;1;0;0.07692307692307693;0.16666666666666666;0.0030959752321981426;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Osasuna;1;9;3;41;38;Athletic;1;1;5;11;2;5;0.38;0.62;333;0.74;12;12;1;1;0;0;4;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.056363636363636366;0.08333333333333333;246;0.04878048780487805;647.3684210526316;0.8;10.526315789473685;-6;-0.24;1;0;0;0.015015015015015015;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-27;Osasuna;1;1;0;41;10;Barcelona;3;1;4;19;0;5;0.25;0.75;257;0.7;14;7;3;1;0;0;4;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;8;0.039473684210526314;0.21428571428571427;180;0.07777777777777778;720.0;1.0;16.0;-15;-0.5;-4;2;7;0.01556420233463035;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Osasuna;1;0;3;41;48;Getafe;2;3;12;7;4;4;0.63;0.37;453;0.83;19;15;2;2;0;1;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;2;0.05285714285714286;0.10526315789473684;376;0.05053191489361702;596.8253968253969;0.25;4.761904761904762;5;0.26;1;-1;4;0.026490066225165563;0.08333333333333333;0.63;3.0;1;0;1;0;0;1;0;1;0.08333333333333333;0.25;0.002207505518763797;12.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Osasuna;1;3;3;41;52;Valencia C. F.;2;1;11;12;5;5;0.51;0.49;452;0.84;10;7;2;1;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.04083333333333333;0.2;380;0.02631578947368421;745.0980392156863;0.2727272727272727;5.88235294117647;-1;0.020000000000000018;0;1;3;0.024336283185840708;0.2727272727272727;0.17;1.0;3;0;3;0;1;0;0;1;0.2727272727272727;0.6;0.00663716814159292;3.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-21;Osasuna;1;4;6;41;44;Celta de Vigo;0;1;18;12;1;5;0.55;0.45;532;0.84;13;11;0;1;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;5;0.0375;0.0;447;0.029082774049217;812.7272727272726;0.2222222222222222;7.2727272727272725;6;0.10000000000000003;-1;-1;2;0.03383458646616541;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Osasuna;1;7;1;41;12;Real Madrid;3;2;11;17;4;6;0.45;0.55;379;0.84;16;7;3;1;0;1;6;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2;0.03235294117647059;0.1875;318;0.050314465408805034;706.6666666666666;0.5454545454545454;13.333333333333332;-6;-0.10000000000000003;4;1;9;0.029023746701846966;0.09090909090909091;0.45;6.0;0;1;1;0;1;0;0;1;0.09090909090909091;0.25;0.002638522427440633;11.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-10;Osasuna;1;7;3;41;40;R.C.D. Mallorca;4;1;19;10;4;2;0.55;0.45;397;0.81;11;7;4;1;0;0;11;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;7;0.045;0.36363636363636365;322;0.034161490683229816;585.4545454545454;0.5789473684210527;20.0;9;0.10000000000000003;4;3;4;0.04785894206549118;0.05263157894736842;0.55;11.0;0;1;1;0;1;0;1;0;0.05263157894736842;0.25;0.0025188916876574307;19.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
