Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Matvéi Safónov-PSG;Lucas Beraldo-PSG;Lucas Hernández-PSG;Warren Zaïre-Emery-PSG;Achraf Hakimi-PSG;Lee Kang-in-PSG;Désiré Doué-PSG;Senny Mayulu-PSG;Ibrahim Mbaye-PSG;Gonçalo Ramos-PSG;Bradley Barcola-PSG;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Gianluigi Donnarumma-PSG;Marcos Aoás Corrêa-PSG;Willian Pacho-PSG;Nuno Mendes-PSG;João Neves-PSG;Vítor Ferreira-PSG;Fabián Ruiz Peña-PSG;Khvicha Kvaratskhelia-PSG;Ousmane Dembélé-PSG;Yoram Zague-PSG;Arnau Tenas-PSG;Axel Tape-PSG;Milan Škriniar-PSG;Marco Asensio-PSG;Randal Kolo Muani-PSG;Carlos Soler-PSG;Naoufel El Hannach-PSG;Kylian Mbappé-PSG;Keylor Navas-PSG;Nordi Mukiele-PSG;Danilo Pereira-PSG;Manuel Ugarte Ribeiro-PSG;Cher Ndour-PSG;Juan Bernat-PSG;Layvin Kurzawa-PSG;Serif Nhaga-PSG;Ethan Mbappé-PSG;Marco Verratti-PSG;Ismaël Gharbi-PSG;Hugo Ekitike-PSG;Neymar-PSG;Noha Lemina-PSG;Alexandre Letellier-PSG;Sergio Ramos-PSG;El Chadaille Bitshiabu-PSG;Lionel Messi-PSG;Renato Sanches-PSG;Timothée Pembélé-PSG;Presnel Kimpembe-PSG
2025-04-19;PSG;2;6;0;19;774;Le Havre;0;0;18;9;11;1;0.71;0.29;789;0.92;7;10;0;0;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0322222222222222;0.0;726;0.0096418732782369;1022.5352112676056;0.3888888888888889;9.859154929577466;9;0.42;4;0;-3;0.0228136882129277;0.1111111111111111;0.355;3.5;1;1;2;1;0;0;0;1;0.1111111111111111;0.1818181818181818;0.0025348542458808;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-15;PSG;0;0;3;19;1;Aston Villa;0;1;14;17;7;9;0.66;0.34;611;0.88;3;15;0;1;0;0;5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;5;0.02;0.0;538;0.0055762081784386;815.1515151515151;0.3571428571428571;7.575757575757575;-3;0.32;0;-1;-12;0.0229132569558101;0.1428571428571428;0.33;2.5;2;0;2;0;0;1;1;0;0.1428571428571428;0.2857142857142857;0.0032733224222585;7.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-09;PSG;0;0;3;19;1;Aston Villa;0;1;29;7;10;2;0.76;0.24;841;0.94;9;8;0;1;0;0;9;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1;0.0342857142857142;0.0;791;0.011378002528445;1040.7894736842104;0.3103448275862069;11.842105263157894;22;0.52;8;-1;1;0.0344827586206896;0.1034482758620689;0.2533333333333333;3.0;1;2;3;1;0;0;0;1;0.1034482758620689;0.3;0.0035671819262782;9.666666666666666;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;PSG;2;0;4;19;771;Angers;0;3;20;4;6;0;0.82;0.18;954;0.93;7;12;0;3;0;0;5;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1;0.045;0.0;887;0.0078917700112739;1081.7073170731708;0.25;6.097560975609756;16;0.6399999999999999;4;-3;-5;0.020964360587002;0.05;0.82;5.0;0;1;1;1;0;0;0;1;0.05;0.1666666666666666;0.0010482180293501;20.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;PSG;13;0;7;19;-1;Union Sportive du Littoral de Dunkerque;1;0;30;11;11;3;0.76;0.24;741;0.92;11;2;1;0;0;0;14;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;2;0.0218181818181818;0.0909090909090909;682;0.0161290322580645;897.3684210526316;0.4666666666666667;18.42105263157895;19;0.52;12;1;9;0.0404858299595141;0.1333333333333333;0.19;3.5;1;3;4;1;0;0;1;0;0.1333333333333333;0.3636363636363636;0.0053981106612685;7.5;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;PSG;2;0;0;19;773;Saint-Étienne;0;2;22;11;10;2;0.54;0.46;555;0.88;12;9;0;2;0;0;6;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;3;0.0418181818181818;0.0;488;0.0245901639344262;903.7037037037036;0.2727272727272727;11.11111111111111;11;0.08;3;-2;3;0.0396396396396396;0.2727272727272727;0.09;1.0;1;5;6;1;0;0;1;0;0.2727272727272727;0.6;0.0108108108108108;3.6666666666666665;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;PSG;2;0;17;19;764;Marsella;1;0;16;11;5;2;0.61;0.39;611;0.9;7;9;1;0;0;0;5;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;5;0.0354545454545454;0.1428571428571428;550;0.0127272727272727;901.6393442622953;0.3125;8.19672131147541;5;0.2199999999999999;0;1;-2;0.0261865793780687;0.1875;0.2033333333333333;1.6666666666666667;2;1;3;1;0;0;0;1;0.1875;0.6;0.0049099836333878;5.333333333333333;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-11;PSG;0;0;3;19;2;Liverpool;1;1;21;19;8;3;0.55;0.45;675;0.84;6;14;1;1;0;0;6;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;12;0.0236842105263157;0.1666666666666666;567;0.0105820105820105;1030.9090909090908;0.2857142857142857;10.909090909090908;2;0.1;-6;0;-8;0.0311111111111111;0.0476190476190476;0.55;6.0;1;0;1;1;0;0;1;0;0.0476190476190476;0.125;0.0014814814814814;21.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;PSG;2;0;17;19;768;Rennes;4;1;19;13;9;3;0.69;0.31;685;0.91;6;11;4;1;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.0238461538461538;0.6666666666666666;623;0.0096308186195826;902.8985507246376;0.1052631578947368;2.8985507246376816;6;0.3799999999999999;-1;3;-5;0.0277372262773722;0.2105263157894736;0.1725;0.5;1;3;4;1;0;0;1;0;0.2105263157894736;0.4444444444444444;0.0058394160583941;4.75;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-05;PSG;0;0;3;19;2;Liverpool;1;1;27;2;10;1;0.71;0.29;693;0.9;3;7;1;1;0;0;14;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2;0.145;0.3333333333333333;624;0.0048076923076923;878.8732394366198;0.5185185185185185;19.71830985915493;25;0.42;12;0;-4;0.0389610389610389;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
