Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Weverton-Palmeiras;Agustín Giay-Palmeiras;Gustavo Gómez Portillo-Palmeiras;Bruno Fuchs-Palmeiras;Allan-Palmeiras;Lucas Evangelista Santana de Oliveira-Palmeiras;Emiliano Martínez Toranza-Palmeiras;Vanderlan-Palmeiras;Estêvão Willian-Palmeiras;Vitor Roque-Palmeiras;Facundo Torres-Palmeiras;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Felipe Anderson-Palmeiras;Richard Ríos Montoya-Palmeiras;Joaquín Piquerez-Palmeiras;Luiz Benedetti-Palmeiras;Aníbal Moreno-Palmeiras;Maurício Magalhães Prado-Palmeiras;José Manuel López-Palmeiras;Micael-Palmeiras;Murilo Cerqueira-Palmeiras;Raphael Veiga-Palmeiras;Mayke-Palmeiras;Marcos Rocha-Palmeiras;Kaiky Naves-Palmeiras;Fábio Silva de Freitas-Palmeiras;Luighi-Palmeiras;Thalys-Palmeiras;Marcelo Lomba-Palmeiras;Caio Paulista-Palmeiras;Rômulo-Palmeiras;Vitor Reis-Palmeiras;Ronielson da Silva Barbosa-Palmeiras;Eduardo Pereira Rodrigues-Palmeiras;Zé Rafael-Palmeiras;Lázaro Vinícius-Palmeiras;Gabriel Menino-Palmeiras;Jhonatan dos Santos Rosa-Palmeiras;Luis Guilherme-Palmeiras;Endrick-Palmeiras;Luan Garcia Teixeira-Palmeiras;Gustavo Garcia-Palmeiras;Breno Henrique Vasconcelos Lopes-Palmeiras;Bruno Rodrigues-Palmeiras;Kevin-Palmeiras;Artur Victor Guimarães-Palmeiras;Jailson-Palmeiras
2025-05-07;Palmeiras;-1;6;1;217;199;Cerro;3;1;9;17;6;2;0.55;0.45;412;0.8;13;10;3;1;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8;0.026470588235294117;0.23076923076923078;330;0.03939393939393939;600.0;0.5555555555555556;9.09090909090909;-8;0.10000000000000003;-3;2;3;0.021844660194174758;0.2222222222222222;0.275;2.5;1;1;2;1;0;0;1;0;0.2222222222222222;0.3333333333333333;0.0048543689320388345;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Palmeiras;10;6;1;217;777;Vasco da Gama;0;2;16;13;2;5;0.48;0.52;375;0.85;8;11;0;2;0;0;11;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;7;0.04;0.0;319;0.025078369905956112;664.5833333333334;0.6875;22.916666666666668;3;-0.040000000000000036;4;-2;-3;0.042666666666666665;0.0625;0.48;11.0;0;1;1;1;0;0;1;0;0.0625;0.5;0.0026666666666666666;16.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-30;Palmeiras;12;1;3;217;680;Ceará;4;3;12;13;4;2;0.45;0.55;379;0.78;19;19;4;3;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.04230769230769231;0.21052631578947367;296;0.06418918918918919;657.7777777777777;0.3333333333333333;8.88888888888889;-1;-0.10000000000000003;1;1;0;0.0316622691292876;0.08333333333333333;0.45;4.0;1;0;1;1;0;0;1;0;0.08333333333333333;0.25;0.002638522427440633;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;Palmeiras;10;3;6;217;697;Bahía;1;2;21;11;2;5;0.51;0.49;432;0.84;12;16;1;2;0;0;6;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4;0.04454545454545455;0.08333333333333333;363;0.03305785123966942;711.7647058823529;0.2857142857142857;11.76470588235294;10;0.020000000000000018;2;-1;-4;0.04861111111111111;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-24;Palmeiras;-1;17;3;217;213;Bolívar;1;0;10;19;6;6;0.23;0.77;165;0.6;7;8;1;0;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;12;0.04052631578947369;0.14285714285714285;99;0.0707070707070707;430.4347826086956;0.3;13.043478260869565;-9;-0.54;-9;1;-1;0.06060606060606061;0.3;0.07666666666666667;1.0;2;1;3;1;0;0;1;0;0.3;0.5;0.01818181818181818;3.3333333333333335;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Palmeiras;10;17;17;217;644;Fortaleza;1;1;6;13;4;5;0.47;0.53;361;0.8;13;12;1;1;0;0;2;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;8;0.04076923076923077;0.07692307692307693;289;0.04498269896193772;614.8936170212767;0.3333333333333333;4.25531914893617;-7;-0.06000000000000005;-6;0;1;0.01662049861495845;0.3333333333333333;0.235;1.0;1;1;2;1;0;0;1;0;0.3333333333333333;0.5;0.00554016620498615;3.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Palmeiras;10;17;3;217;641;Internacional;1;0;12;11;4;2;0.32;0.68;286;0.77;16;15;1;0;0;0;6;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1;0.06181818181818182;0.0625;220;0.07272727272727272;687.5;0.5;18.75;1;-0.36000000000000004;5;1;1;0.04195804195804196;0.08333333333333333;0.32;6.0;0;1;1;1;0;0;1;0;0.08333333333333333;0.25;0.0034965034965034965;12.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Palmeiras;10;17;28;217;652;Corinthians;6;5;13;8;5;1;0.33;0.67;272;0.79;17;18;6;5;0;0;1;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3;0.08375;0.35294117647058826;215;0.07906976744186046;651.5151515151515;0.07692307692307693;3.0303030303030303;5;-0.34;-2;1;-1;0.04779411764705882;0.15384615384615385;0.165;0.5;2;0;2;1;0;0;0;1;0.15384615384615385;0.4;0.007352941176470588;6.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-09;Palmeiras;-1;17;0;217;199;Cerro;0;2;19;10;7;4;0.57;0.43;473;0.83;9;13;0;2;0;0;8;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;2;0.043;0.0;393;0.022900763358778626;689.4736842105264;0.42105263157894735;14.035087719298247;9;0.13999999999999996;6;-2;-4;0.040169133192389;0.05263157894736842;0.57;8.0;1;0;1;1;0;0;0;1;0.05263157894736842;0.14285714285714285;0.0021141649048625794;19.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Palmeiras;10;17;5;217;679;Sport Recife;4;6;7;9;4;2;0.49;0.51;355;0.77;21;17;4;6;0;0;3;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;6;0.05666666666666667;0.19047619047619047;273;0.07692307692307693;557.1428571428571;0.42857142857142855;6.122448979591836;-2;-0.020000000000000018;-3;-2;4;0.01971830985915493;0.2857142857142857;0.245;1.5;1;1;2;1;0;0;1;0;0.2857142857142857;0.5;0.005633802816901409;3.5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
