Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Dominik Greif-R.C.D. Mallorca;Pablo Maffeo-R.C.D. Mallorca;Martin Valjent-R.C.D. Mallorca;Antonio José Raíllo Arenas-R.C.D. Mallorca;José Manuel Arias Copete-R.C.D. Mallorca;Johan Mojica-R.C.D. Mallorca;Dani Rodríguez-R.C.D. Mallorca;Samuel Costa-R.C.D. Mallorca;Sergi Darder-R.C.D. Mallorca;Abdón Prats Bastidas-R.C.D. Mallorca;Cyle Larin-R.C.D. Mallorca;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Antonio Sánchez Navarro-R.C.D. Mallorca;Manuel Morlanes Ariño-R.C.D. Mallorca;Omar Mascarell-R.C.D. Mallorca;Takuma Asano-R.C.D. Mallorca;Vedat Muriqi-R.C.D. Mallorca;David López Guijarro-R.C.D. Mallorca;Antonio Latorre-R.C.D. Mallorca;Robert Navarro-R.C.D. Mallorca;Mateu Morey-R.C.D. Mallorca;Leo Román-R.C.D. Mallorca;Valery Fernández Estrada-R.C.D. Mallorca;Siebe Van der Heyden-R.C.D. Mallorca;Javier Llabrés-R.C.D. Mallorca;Chiquinho-R.C.D. Mallorca;Marc Domènech-R.C.D. Mallorca;Iván Cuéllar-R.C.D. Mallorca;Nacho Vidal Miralles-R.C.D. Mallorca;Jaume Costa-R.C.D. Mallorca;Nemanja Radonjić-R.C.D. Mallorca;Predrag Rajković-R.C.D. Mallorca;Giovanni González Apud-R.C.D. Mallorca;Matija Nastasić-R.C.D. Mallorca;Amath Ndiaye-R.C.D. Mallorca;Daniel Luna-R.C.D. Mallorca;Rubén Quintanilla-R.C.D. Mallorca;Iñigo Ruiz de Galarreta-R.C.D. Mallorca;Lee Kang-in-R.C.D. Mallorca;Josep Gayà-R.C.D. Mallorca;Iddrisu Baba-R.C.D. Mallorca;Dennis Hadžikadunić-R.C.D. Mallorca;Tino Kadewere-R.C.D. Mallorca;Ángel Luis Rodríguez Díaz-R.C.D. Mallorca;Ludwig Augustinsson-R.C.D. Mallorca;Clément Grenier-R.C.D. Mallorca;Rodrigo Battaglia-R.C.D. Mallorca;Braian Cufré-R.C.D. Mallorca;Franco Matías Russo-R.C.D. Mallorca;Lago Junior-R.C.D. Mallorca
2025-04-19;R.C.D. Mallorca;1;4;3;40;47;Leganés;2;1;11;15;1;1;0.55;0.45;401;0.79;17;15;2;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.030000000000000002;0.11764705882352941;317;0.05362776025236593;576.3636363636363;0.36363636363636365;7.2727272727272725;-4;0.10000000000000003;0;1;2;0.02743142144638404;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;R.C.D. Mallorca;1;4;3;40;46;Real Sociedad;1;3;7;15;3;4;0.34;0.66;280;0.72;12;11;1;3;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;8;0.044000000000000004;0.08333333333333333;202;0.0594059405940594;594.1176470588235;0.2857142857142857;5.88235294117647;-8;-0.32;-6;-2;1;0.025;0.2857142857142857;0.17;1.0;1;1;2;1;0;0;1;0;0.2857142857142857;0.6666666666666666;0.007142857142857143;3.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;R.C.D. Mallorca;1;3;5;40;44;Celta de Vigo;3;0;7;10;2;4;0.44;0.56;381;0.81;9;11;3;0;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;2;0.05600000000000001;0.3333333333333333;309;0.02912621359223301;702.2727272727273;0.5714285714285714;9.090909090909092;-3;-0.12000000000000005;2;3;-2;0.01837270341207349;0.14285714285714285;0.44;4.0;1;0;1;0;0;1;0;1;0.14285714285714285;0.5;0.0026246719160104987;7.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;R.C.D. Mallorca;1;4;3;40;52;Valencia C. F.;4;4;8;8;2;2;0.56;0.44;430;0.81;15;16;4;4;0;0;5;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;4;0.055;0.26666666666666666;348;0.04310344827586207;621.4285714285713;0.625;8.928571428571427;0;0.12000000000000005;1;0;-1;0.018604651162790697;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;R.C.D. Mallorca;1;3;1;40;49;RCD Espanyol;0;2;20;2;7;0;0.63;0.37;440;0.85;10;12;0;2;0;0;6;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;2;0.185;0.0;374;0.026737967914438502;593.6507936507936;0.3;9.523809523809524;18;0.26;4;-2;-2;0.045454545454545456;0.1;0.315;3.0;0;2;2;1;0;0;0;1;0.1;0.2857142857142857;0.004545454545454545;10.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;R.C.D. Mallorca;1;9;3;40;38;Athletic;3;1;9;8;2;2;0.44;0.56;347;0.75;13;6;3;1;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;3;0.07;0.23076923076923078;260;0.05;590.9090909090909;0.3333333333333333;6.818181818181818;1;-0.12000000000000005;0;2;7;0.025936599423631124;0.1111111111111111;0.44;3.0;0;1;1;0;1;0;1;0;0.1111111111111111;0.5;0.002881844380403458;9.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;R.C.D. Mallorca;1;1;1;40;45;Alavés;0;2;15;19;4;7;0.44;0.56;321;0.77;20;14;0;2;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;9;0.02947368421052632;0.0;247;0.08097165991902834;561.3636363636364;0.2;6.818181818181818;-4;-0.12000000000000005;-6;-2;6;0.04672897196261682;0.06666666666666667;0.44;3.0;1;0;1;0;1;0;0;1;0.06666666666666667;0.25;0.003115264797507788;15.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-24;R.C.D. Mallorca;1;9;3;40;43;Sevilla;3;1;13;19;2;4;0.46;0.54;391;0.77;12;11;3;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;4;0.028421052631578948;0.25;301;0.03986710963455149;654.3478260869565;0.3076923076923077;8.695652173913043;-6;-0.08000000000000002;0;2;1;0.03324808184143223;0.07692307692307693;0.46;4.0;0;1;1;0;1;0;1;0;0.07692307692307693;0.5;0.0025575447570332483;13.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;R.C.D. Mallorca;1;3;3;40;50;U. D. Las Palmas;1;4;14;9;5;4;0.48;0.52;411;0.81;7;13;1;4;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;5;0.05777777777777778;0.14285714285714285;333;0.021021021021021023;693.75;0.21428571428571427;6.25;5;-0.040000000000000036;-2;-3;-6;0.0340632603406326;0.21428571428571427;0.16;1.0;3;0;3;1;0;0;0;1;0.21428571428571427;0.6;0.0072992700729927005;4.666666666666667;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-10;R.C.D. Mallorca;1;3;7;40;41;Osasuna;1;4;10;19;2;4;0.45;0.55;345;0.82;7;11;1;4;0;0;7;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;11;0.028947368421052635;0.14285714285714285;283;0.024734982332155476;628.8888888888889;0.7;15.555555555555555;-9;-0.10000000000000003;-4;-3;-4;0.028985507246376812;0.1;0.45;7.0;0;1;1;0;1;0;0;1;0.1;0.5;0.002898550724637681;10.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
