Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Maarten Vandevoordt-RB Leipzig;Kosta Nedeljković-RB Leipzig;Lukas Klostermann-RB Leipzig;Castello Lukeba-RB Leipzig;David Raum-RB Leipzig;Kevin Kampl-RB Leipzig;Nicolas Seiwald-RB Leipzig;Amadou Haidara-RB Leipzig;Xavi Simons-RB Leipzig;Loïs Openda-RB Leipzig;Benjamin Šeško-RB Leipzig;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Lutsharel Geertruida-RB Leipzig;El Chadaille Bitshiabu-RB Leipzig;Bote Baku-RB Leipzig;Christoph Baumgartner-RB Leipzig;Péter Gulácsi-RB Leipzig;Arthur Vermeeren-RB Leipzig;Willi Orban-RB Leipzig;Antonio Nusa-RB Leipzig;Yussuf Poulsen-RB Leipzig;Benjamin Henrichs-RB Leipzig;Xaver Schlager-RB Leipzig;André Silva-RB Leipzig;Mohamed Simakan-RB Leipzig;Elif Elmas-RB Leipzig;Janis Blaswich-RB Leipzig;Dani Olmo-RB Leipzig;Emil Forsberg-RB Leipzig;Christopher Lenz-RB Leipzig;Fábio Carvalho-RB Leipzig;Timo Werner-RB Leipzig;Marcel Halstenberg-RB Leipzig;Konrad Laimer-RB Leipzig;Dominik Szoboszlai-RB Leipzig;Christopher Nkunku-RB Leipzig;Ørjan Nyland-RB Leipzig;Joško Gvardiol-RB Leipzig
2025-05-03;RB Leipzig;9;1;1;31;23;Bayern;3;1;8;20;6;6;0.37;0.63;364;0.75;9;6;3;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.0315;0.3333333333333333;273;0.03296703296703297;737.8378378378378;0.25;5.405405405405405;-12;-0.26;-5;2;3;0.02197802197802198;0.375;0.12333333333333334;0.6666666666666666;2;1;3;0;1;0;0;1;0.375;0.5;0.008241758241758242;2.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;RB Leipzig;9;23;17;31;87;Frankfurt;3;1;7;9;3;6;0.55;0.45;550;0.87;13;10;2;1;1;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;8;0.05;0.23076923076923078;478;0.027196652719665274;869.090909090909;0.5714285714285714;7.2727272727272725;-2;0.10000000000000003;-4;2;3;0.012727272727272728;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;RB Leipzig;9;1;6;31;177;KSV Holstein;1;2;10;14;4;3;0.61;0.39;540;0.81;5;9;1;2;0;0;9;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;7;0.027857142857142858;0.2;437;0.011441647597254004;716.3934426229508;0.9;14.754098360655737;-4;0.21999999999999997;2;-1;-4;0.018518518518518517;0.1;0.61;9.0;0;1;1;0;1;0;0;1;0.1;0.25;0.001851851851851852;10.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-11;RB Leipzig;9;13;29;31;175;Wolfsburg;3;2;16;17;5;6;0.53;0.47;464;0.82;13;14;3;2;0;0;5;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;8;0.02764705882352941;0.23076923076923078;380;0.034210526315789476;716.9811320754717;0.3125;9.433962264150942;-1;0.06000000000000005;-3;1;-1;0.034482758620689655;0.1875;0.17666666666666667;1.6666666666666667;2;1;3;1;0;0;1;0;0.1875;0.6;0.00646551724137931;5.333333333333333;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;RB Leipzig;9;13;3;31;97;Hoffenheim;0;4;16;9;5;5;0.67;0.33;604;0.88;10;12;0;3;0;1;8;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;2;0.03666666666666667;0.0;532;0.018796992481203006;794.0298507462686;0.5;11.940298507462686;7;0.34;6;-4;-2;0.026490066225165563;0.1875;0.22333333333333336;2.6666666666666665;2;1;3;1;0;0;0;1;0.1875;0.6;0.004966887417218543;5.333333333333333;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;RB Leipzig;23;1;4;31;18;Stuttgart;3;0;25;9;5;6;0.68;0.32;546;0.84;14;8;3;0;0;0;5;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;5;0.035555555555555556;0.21428571428571427;459;0.030501089324618737;675.0;0.2;7.352941176470588;16;0.36000000000000004;0;3;6;0.045787545787545784;0.04;0.68;5.0;0;1;1;0;0;1;1;0;0.04;0.2;0.0018315018315018315;25.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;RB Leipzig;9;2;3;31;172;Mönchengladbach;2;2;19;16;3;3;0.61;0.39;537;0.83;9;5;2;2;0;0;8;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;5;0.024375;0.2222222222222222;446;0.020179372197309416;731.1475409836065;0.42105263157894735;13.114754098360656;3;0.21999999999999997;3;0;4;0.035381750465549346;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;RB Leipzig;9;17;3;31;11;Dortmund;3;3;15;25;5;9;0.33;0.67;300;0.68;14;10;3;3;0;0;3;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;12;0.0268;0.21428571428571427;204;0.06862745098039216;618.1818181818181;0.2;9.09090909090909;-10;-0.34;-9;0;4;0.05;0.13333333333333333;0.165;1.5;1;1;2;1;0;0;0;1;0.13333333333333333;0.4;0.006666666666666667;7.5;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;RB Leipzig;9;1;3;31;170;Friburgo;3;0;18;10;3;2;0.47;0.53;420;0.81;11;6;3;0;0;0;6;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;2;0.053000000000000005;0.2727272727272727;340;0.03235294117647059;723.404255319149;0.3333333333333333;12.765957446808512;8;-0.06000000000000005;4;3;5;0.04285714285714286;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;RB Leipzig;9;29;17;31;174;Mainz 05;1;1;13;15;4;3;0.49;0.51;518;0.77;8;15;1;1;0;0;7;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.034;0.125;399;0.020050125313283207;814.2857142857143;0.5384615384615384;14.285714285714286;-2;-0.020000000000000018;6;0;-7;0.025096525096525095;0.07692307692307693;0.49;7.0;1;0;1;0;0;1;0;1;0.07692307692307693;0.25;0.0019305019305019305;13.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
