Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Joan García Pons-RCD Espanyol;Omar El Hilali-RCD Espanyol;Marash Kumbulla-RCD Espanyol;Leandro Cabrera-RCD Espanyol;Carlos Romero Serrano-RCD Espanyol;Urko González de Zárate-RCD Espanyol;Pol Lozano-RCD Espanyol;Jofre Carreras-RCD Espanyol;Eduardo Expósito Jaén-RCD Espanyol;Antoniu Roca-RCD Espanyol;Roberto Fernández Jaén-RCD Espanyol;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Javi Puado-RCD Espanyol;Alex Král-RCD Espanyol;Fernando Calero Villa-RCD Espanyol;Álvaro Aguado-RCD Espanyol;Brian Oliván-RCD Espanyol;Álvaro Tejero-RCD Espanyol;Alejo Véliz-RCD Espanyol;Walid Cheddira-RCD Espanyol;Justin Smith-RCD Espanyol;Irvin Cardona-RCD Espanyol;Sergi Gómez-RCD Espanyol;Fernando Pacheco-RCD Espanyol;Rafel Bauzà-RCD Espanyol;Naci Ünüvar-RCD Espanyol;José Luis Català Vázquez-RCD Espanyol;Salvi Sánchez-RCD Espanyol;Pere Milla-RCD Espanyol;José Gragera Amado-RCD Espanyol;Keidi Bare-RCD Espanyol;Nico Melamed-RCD Espanyol;Martin Braithwaite-RCD Espanyol;Óscar Gil Regaño-RCD Espanyol;Keita Baldé Diao-RCD Espanyol;Gastón Valles-RCD Espanyol;Víctor Ruiz Torre-RCD Espanyol;Rubén Sánchez Sáez-RCD Espanyol;Ian Forns-RCD Espanyol;Omar Sadik-RCD Espanyol;Ramon Ramos Lima-RCD Espanyol;José Carlos Lazo-RCD Espanyol;Ronaël Pierre-Gabriel-RCD Espanyol;César Montes-RCD Espanyol;Sergi Darder-RCD Espanyol;Denis Suárez-RCD Espanyol;Joselu-RCD Espanyol;Adrià Pedrosa-RCD Espanyol;Vinícius Souza-RCD Espanyol;Aleix Vidal-RCD Espanyol;Álvaro Fernández Llorente-RCD Espanyol;Roger Martínez Santamaría-RCD Espanyol;Simo-RCD Espanyol;Dani Villahermosa-RCD Espanyol;Daniel Gómez Alcón-RCD Espanyol;Benjamin Lecomte-RCD Espanyol
2025-05-04;RCD Espanyol;1;3;3;49;39;Betis;2;0;11;20;5;10;0.37;0.63;325;0.84;16;10;2;0;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;7;0.0315;0.125;273;0.05860805860805861;737.8378378378378;0.2727272727272727;8.108108108108109;-9;-0.26;-4;2;6;0.033846153846153845;0.09090909090909091;0.37;3.0;1;0;1;0;0;1;0;1;0.09090909090909091;0.2;0.003076923076923077;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-27;RCD Espanyol;1;3;1;49;37;Villarreal;0;4;12;14;1;5;0.56;0.44;430;0.87;11;19;0;4;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;8;0.03142857142857143;0.0;374;0.029411764705882353;667.8571428571428;0.5;10.714285714285714;-2;0.12000000000000005;-2;-4;-8;0.027906976744186046;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-22;RCD Espanyol;1;3;3;49;52;Valencia C. F.;1;1;8;16;3;7;0.33;0.67;320;0.77;7;7;1;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.041875;0.14285714285714285;246;0.028455284552845527;745.4545454545454;0.5;12.121212121212121;-8;-0.34;-2;0;0;0.025;0.125;0.33;4.0;1;0;1;0;1;0;1;0;0.125;0.3333333333333333;0.003125;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-18;RCD Espanyol;1;3;7;49;48;Getafe;0;3;9;9;3;4;0.63;0.37;406;0.78;12;15;0;2;0;1;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8;0.0411111111111111;0.0;317;0.0378548895899053;503.1746031746032;0.6666666666666666;9.523809523809524;0;0.26;-2;-3;-3;0.022167487684729;0.1111111111111111;0.63;6.0;1;0;1;1;0;0;0;1;0.1111111111111111;0.3333333333333333;0.0024630541871921;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;RCD Espanyol;1;3;7;49;44;Celta de Vigo;2;2;5;16;3;6;0.35;0.65;330;0.8;10;14;2;2;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;13;0.040625;0.2;264;0.0378787878787878;754.2857142857143;1.0;14.285714285714286;-11;-0.3;-8;0;-4;0.0151515151515151;0.4;0.175;2.5;1;1;2;1;0;0;1;0;0.4;0.6666666666666666;0.006060606060606;2.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-04;RCD Espanyol;1;3;3;49;42;Rayo Vallecano;2;2;15;16;7;5;0.3;0.7;242;0.71;10;8;2;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;8;0.04375;0.2;172;0.0581395348837209;573.3333333333334;0.2666666666666666;13.333333333333334;-1;-0.3999999999999999;-4;0;2;0.0619834710743801;0.2666666666666666;0.075;1.0;2;2;4;1;0;0;1;0;0.2666666666666666;0.5714285714285714;0.0165289256198347;3.75;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;RCD Espanyol;1;3;1;49;27;Atlético Madrid;2;1;8;13;1;2;0.39;0.61;398;0.82;12;14;2;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.0469230769230769;0.1666666666666666;326;0.0368098159509202;835.8974358974359;0.5;10.256410256410255;-5;-0.2199999999999999;1;1;-2;0.0201005025125628;0.125;0.39;4.0;0;1;1;0;1;0;0;1;0.125;1.0;0.0025125628140703;8.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;RCD Espanyol;1;1;3;49;40;R.C.D. Mallorca;2;0;2;20;0;7;0.37;0.63;275;0.73;12;10;2;0;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;6;0.0315;0.1666666666666666;201;0.0597014925373134;543.2432432432432;1.0;5.405405405405405;-18;-0.26;-4;2;2;0.0072727272727272;0.5;0.37;2.0;0;1;1;0;0;1;1;0;0.5;0.0;0.0036363636363636;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-10;RCD Espanyol;1;20;0;49;24;Girona;3;3;7;18;4;4;0.33;0.67;291;0.81;11;13;3;3;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;9;0.0372222222222222;0.2727272727272727;236;0.0466101694915254;715.1515151515151;0.5714285714285714;12.12121212121212;-11;-0.34;-5;0;-2;0.0240549828178694;0.1428571428571428;0.33;4.0;0;1;1;0;1;0;0;1;0.1428571428571428;0.25;0.0034364261168384;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;RCD Espanyol;1;3;1;49;45;Alavés;2;2;9;15;2;5;0.38;0.62;299;0.69;17;13;2;2;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;7;0.0413333333333333;0.1176470588235294;206;0.0825242718446602;542.1052631578947;0.0;0.0;-6;-0.24;-7;0;4;0.0301003344481605;0.1111111111111111;0.38;0.0;0;1;1;1;0;0;1;0;0.1111111111111111;0.5;0.0033444816053511;9.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
