Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Đorđe Petrović-Racing de Estrasburgo;Guéla Doué-Racing de Estrasburgo;Mamadou Sarr-Racing de Estrasburgo;Ismaël Doukouré-Racing de Estrasburgo;Dilane Bakwa-Racing de Estrasburgo;Andrey Santos-Racing de Estrasburgo;Valentín Barco-Racing de Estrasburgo;Diego Moreira-Racing de Estrasburgo;Habib Diarra-Racing de Estrasburgo;Samuel Amo-Ameyaw-Racing de Estrasburgo;Félix Lemaréchal-Racing de Estrasburgo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Emanuel Emegha-Racing de Estrasburgo;Andrew Omobamidele-Racing de Estrasburgo;Sebastian Nanasi-Racing de Estrasburgo;Abakar Sylla-Racing de Estrasburgo;Karl-Johan Johnsson-Racing de Estrasburgo;Abdoul Ouattara-Racing de Estrasburgo;Rayane Messi-Racing de Estrasburgo;Sékou Mara-Racing de Estrasburgo;Amadou Cissé-Racing de Estrasburgo;Saïdou Sow-Racing de Estrasburgo;Marvin Senaya-Racing de Estrasburgo;Samir El Mourabet-Racing de Estrasburgo;Yoni Gomis-Racing de Estrasburgo;Eduard Sobol-Racing de Estrasburgo;Pape Daouda Diong-Racing de Estrasburgo;Jérémy Sebas-Racing de Estrasburgo;Caleb Wiley-Racing de Estrasburgo;Junior Mwanga-Racing de Estrasburgo;Matthieu Dreyer-Racing de Estrasburgo;Nolan Ferro-Racing de Estrasburgo;Patrick Ouotro-Racing de Estrasburgo;Alaa Bellaarouch-Racing de Estrasburgo;Frédéric Guilbert-Racing de Estrasburgo;Rabby Nzingoula-Racing de Estrasburgo;Thomas Delaine-Racing de Estrasburgo;Moïse Dion Sahi-Racing de Estrasburgo;Aboubacar Ali Abdallah-Racing de Estrasburgo;Lucas Perrin-Racing de Estrasburgo;Ibrahima Sissoko-Racing de Estrasburgo;Kevin Gameiro-Racing de Estrasburgo;Ângelo Gabriel-Racing de Estrasburgo;Jessy Deminguet-Racing de Estrasburgo;Matz Sels-Racing de Estrasburgo;Steven Baseya-Racing de Estrasburgo;Lebo Mothiba-Racing de Estrasburgo;Gerzino Nyamsi-Racing de Estrasburgo;Jean-Ricner Bellegarde-Racing de Estrasburgo;Sanjin Prcić-Racing de Estrasburgo;Colin Dagba-Racing de Estrasburgo;Morgan Sanson-Racing de Estrasburgo;Habib Diallo-Racing de Estrasburgo;Alexander Djiku-Racing de Estrasburgo;Maxime Le Marchand-Racing de Estrasburgo;Jean-Eudes Aholou-Racing de Estrasburgo;Dimitri Liénard-Racing de Estrasburgo;Ludovic Ajorque-Racing de Estrasburgo;Ronaël Pierre-Gabriel-Racing de Estrasburgo;Adrien Thomasson-Racing de Estrasburgo;Karol Fila-Racing de Estrasburgo
2025-05-10;Racing de Estrasburgo;2;17;5;767;771;Angers;2;2;15;5;3;2;0.73;0.27;710;0.91;10;6;2;2;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.054;0.2;646;0.0154798761609907;884.931506849315;0.4;8.219178082191782;10;0.4599999999999999;4;0;4;0.0211267605633802;0.0666666666666666;0.73;6.0;1;0;1;0;0;1;1;0;0.0666666666666666;0.3333333333333333;0.0014084507042253;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Racing de Estrasburgo;2;17;6;767;19;PSG;1;2;9;20;2;4;0.36;0.64;333;0.79;14;13;1;2;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.032;0.0714285714285714;263;0.053231939163498;730.5555555555555;0.6666666666666666;16.666666666666668;-11;-0.28;4;-1;1;0.027027027027027;0.2222222222222222;0.18;3.0;2;0;2;1;0;0;0;1;0.2222222222222222;1.0;0.006006006006006;4.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Racing de Estrasburgo;2;17;0;767;773;Saint-Étienne;1;0;18;17;7;6;0.52;0.48;564;0.91;10;7;1;0;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;8;0.028235294117647;0.1;513;0.0194931773879142;986.5384615384615;0.2777777777777778;9.615384615384617;1;0.04;-3;1;3;0.0319148936170212;0.1666666666666666;0.1733333333333333;1.6666666666666667;1;2;3;1;0;0;0;1;0.1666666666666666;0.4285714285714285;0.0053191489361702;6.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;Racing de Estrasburgo;2;2;3;767;4;Mónaco;3;3;5;12;2;4;0.53;0.47;518;0.87;10;18;3;3;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;3;0.0391666666666666;0.3;451;0.0221729490022172;850.9433962264151;0.4;3.773584905660377;-7;0.06;-1;0;-8;0.0096525096525096;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Racing de Estrasburgo;2;17;17;767;109;Niza;1;2;11;23;4;6;0.47;0.53;483;0.84;5;8;1;2;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;9;0.0230434782608695;0.2;406;0.0123152709359605;863.8297872340426;0.1818181818181818;4.25531914893617;-12;-0.06;-7;-1;-3;0.0227743271221532;0.1818181818181818;0.235;1.0;0;2;2;0;1;0;0;1;0.1818181818181818;0.5;0.0041407867494824;5.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Racing de Estrasburgo;2;6;9;767;766;Reims;3;3;13;14;4;7;0.52;0.48;474;0.86;9;11;2;2;1;1;7;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.0342857142857142;0.3333333333333333;408;0.0220588235294117;784.6153846153846;0.5384615384615384;13.461538461538462;-1;0.04;3;0;-2;0.0274261603375527;0.0769230769230769;0.52;7.0;1;0;1;1;0;0;1;0;0.0769230769230769;0.25;0.0021097046413502;13.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-28;Racing de Estrasburgo;2;3;3;767;90;Lyon;2;2;14;16;7;11;0.39;0.61;381;0.84;12;15;2;2;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;5;0.038125;0.1666666666666666;320;0.0375;820.5128205128204;0.4285714285714285;15.384615384615383;-2;-0.2199999999999999;1;0;-3;0.0367454068241469;0.2857142857142857;0.0975;1.5;0;4;4;1;0;0;0;1;0.2857142857142857;0.5714285714285714;0.0104986876640419;3.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Racing de Estrasburgo;2;17;17;767;772;Toulouse;0;2;10;11;3;7;0.58;0.42;580;0.88;10;14;0;2;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.0381818181818181;0.0;510;0.0196078431372549;879.3103448275863;0.4;6.896551724137932;-1;0.1599999999999999;1;-2;-4;0.0172413793103448;0.2;0.29;2.0;0;2;2;1;0;0;0;1;0.2;0.6666666666666666;0.0034482758620689;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Racing de Estrasburgo;2;17;4;767;769;Nantes;1;1;9;11;1;2;0.61;0.39;553;0.89;17;12;1;1;0;0;9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.0354545454545454;0.0588235294117647;492;0.0345528455284552;806.5573770491803;1.0;14.754098360655735;-2;0.2199999999999999;6;0;5;0.0162748643761302;0.1111111111111111;0.61;9.0;0;1;1;1;0;0;1;0;0.1111111111111111;1.0;0.0018083182640144;9.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Racing de Estrasburgo;2;17;17;767;770;Auxerre;4;1;6;14;3;5;0.55;0.45;530;0.85;10;10;3;1;1;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;5;0.0321428571428571;0.4;450;0.0222222222222222;818.1818181818181;0.5;5.454545454545454;-8;0.1;-2;3;0;0.0113207547169811;0.1666666666666666;0.55;3.0;0;1;1;1;0;0;1;0;0.1666666666666666;0.3333333333333333;0.0018867924528301;6.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
