Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Thibaut Courtois-Real Madrid;Lucas Vázquez-Real Madrid;Raúl Asencio del Rosario-Real Madrid;Antonio Rüdiger-Real Madrid;David Alaba-Real Madrid;Federico Valverde-Real Madrid;Aurélien Tchouaméni-Real Madrid;Rodrygo-Real Madrid;Jude Bellingham-Real Madrid;Vinícius Júnior-Real Madrid;Kylian Mbappé-Real Madrid;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Francisco José García Torres-Real Madrid;Arda Güler-Real Madrid;Eduardo Camavinga-Real Madrid;Luka Modrić-Real Madrid;Fran González-Real Madrid;Brahim Díaz-Real Madrid;Andriy Lunin-Real Madrid;Endrick-Real Madrid;Ferland Mendy-Real Madrid;Dani Ceballos-Real Madrid;Jacobo Ramón-Real Madrid;Lorenzo Aguado-Real Madrid;Diego Aguado-Real Madrid;Éder Militão-Real Madrid;Dani Carvajal-Real Madrid;Mario Martín Rielves-Real Madrid;Jesús Vallejo-Real Madrid;Nacho Fernández Iglesias-Real Madrid;Toni Kroos-Real Madrid;Joselu-Real Madrid;Kepa Arrizabalaga-Real Madrid;Vinicius Tobias-Real Madrid;Álvaro Carrillo Alacid-Real Madrid;Nico Paz-Real Madrid;Karim Benzema-Real Madrid;Marco Asensio-Real Madrid;Eden Hazard-Real Madrid;Mariano Díaz Mejía-Real Madrid
2025-05-11;Real Madrid;1;3;3;12;10;Barcelona;3;4;9;23;5;9;0.37;0.63;296;0.8;15;17;3;4;0;0;2;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;10;0.027391304347826;0.2;237;0.0632911392405063;640.5405405405405;0.2222222222222222;5.405405405405405;-14;-0.26;-8;-1;-2;0.0304054054054054;0.3333333333333333;0.1233333333333333;0.6666666666666666;2;1;3;0;0;1;1;0;0.3333333333333333;0.6;0.0101351351351351;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-04;Real Madrid;1;3;17;12;44;Celta de Vigo;2;1;17;14;6;7;0.54;0.46;605;0.92;5;11;2;1;0;0;4;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;6;0.0328571428571428;0.4;557;0.0089766606822262;1031.4814814814815;0.2352941176470588;7.4074074074074066;3;0.08;-2;1;-6;0.028099173553719;0.1764705882352941;0.18;1.3333333333333333;2;1;3;1;0;0;0;1;0.1764705882352941;0.5;0.0049586776859504;5.666666666666667;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;Real Madrid;19;3;3;12;10;Barcelona;5;4;15;22;7;9;0.4;0.6;457;0.8;11;23;3;4;2;0;7;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;8;0.0272727272727272;0.4545454545454545;366;0.0300546448087431;915.0;0.4666666666666667;17.5;-7;-0.1999999999999999;-1;1;-12;0.0328227571115973;0.1333333333333333;0.2;3.5;0;2;2;0;0;1;1;0;0.1333333333333333;0.2857142857142857;0.0043763676148796;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-23;Real Madrid;1;1;9;12;48;Getafe;1;2;14;20;7;6;0.64;0.36;545;0.85;7;15;1;2;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;4;0.018;0.1428571428571428;463;0.0151187904967602;723.4375;0.2857142857142857;6.25;-6;0.28;0;-1;-8;0.0256880733944954;0.0714285714285714;0.64;4.0;1;0;1;1;0;0;1;0;0.0714285714285714;0.1428571428571428;0.0018348623853211;14.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Real Madrid;1;28;3;12;38;Athletic;1;2;22;3;7;1;0.74;0.26;661;0.91;7;15;1;2;0;0;14;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1;0.0866666666666666;0.1428571428571428;602;0.0116279069767441;813.5135135135135;0.6363636363636364;18.91891891891892;19;0.48;13;-1;-8;0.0332829046898638;0.0454545454545454;0.74;14.0;0;1;1;1;0;0;0;1;0.0454545454545454;0.1428571428571428;0.0015128593040847;22.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Real Madrid;0;3;0;12;9;Arsenal;3;2;18;12;3;6;0.67;0.33;431;0.86;18;15;3;2;0;0;10;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.0275;0.1666666666666666;371;0.0485175202156334;553.7313432835821;0.5555555555555556;14.925373134328357;6;0.34;6;1;3;0.0417633410672853;0.0555555555555555;0.67;10.0;0;1;1;0;0;1;0;1;0.0555555555555555;0.3333333333333333;0.0023201856148491;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Real Madrid;1;7;3;12;45;Alavés;5;5;11;13;4;6;0.44;0.56;404;0.85;12;21;4;4;1;1;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.043076923076923;0.4166666666666667;343;0.0349854227405247;779.5454545454545;0.3636363636363636;9.090909090909092;-2;-0.12;0;0;-9;0.0272277227722772;0.0909090909090909;0.44;4.0;1;0;1;1;0;0;1;0;0.0909090909090909;0.25;0.0024752475247524;11.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-08;Real Madrid;0;1;0;12;9;Arsenal;1;1;9;12;3;11;0.46;0.54;436;0.86;9;8;0;1;1;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.045;0.1111111111111111;375;0.024;815.2173913043478;0.3333333333333333;6.521739130434782;-3;-0.08;-2;0;1;0.0206422018348623;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Real Madrid;1;1;9;12;52;Valencia C. F.;0;4;21;10;9;2;0.65;0.35;621;0.9;10;13;0;4;0;0;9;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;4;0.0349999999999999;0.0;559;0.0178890876565295;860.0;0.4285714285714285;13.846153846153843;11;0.3;5;-4;-3;0.0338164251207729;0.0476190476190476;0.65;9.0;0;1;1;0;0;1;0;1;0.0476190476190476;0.1111111111111111;0.001610305958132;21.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Real Madrid;19;3;7;12;46;Real Sociedad;1;4;26;11;10;5;0.59;0.41;709;0.89;6;23;1;4;0;0;10;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;6;0.0372727272727272;0.1666666666666666;631;0.0095087163232963;1069.491525423729;0.3846153846153846;16.949152542372882;15;0.18;4;-3;-17;0.0366713681241184;0.1538461538461538;0.1475;2.5;1;3;4;0;1;0;0;1;0.1538461538461538;0.4;0.005641748942172;6.5;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
